accession	gene	tier	n_sites_total	n_sites_in_master	n_sites_with_mass	n_sites_count_only	n_modified_residue	n_lipidation	n_glycosylation	n_cross_link	n_disulfide_bond	sum_mass_delta_g_per_mol	mw_master	ptm_mass_delta_fraction_of_mw
O43670	ZNF207	erythrocytes	0	0	0	0	0	0	0	0	0	0	50749.8550	0
O43681	GET3	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	38661.1000	0.001087397927
O43707	ACTN4	erythrocytes	10	10	10	0	10	0	0	0	0	572.16	104852.2300	0.005456822425
O43747	AP1G1	erythrocytes	0	0	0	0	0	0	0	0	0	0	91350.1250	0
O43752	STX6	erythrocytes	4	4	4	0	4	0	0	0	0	281.98	29044.2450	0.00970863591
O43759	SYNGR1	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	25455.2400	0.001651526365
O43760	SYNGR2	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	24809.7050	0.004918236634
O43765	SGTA	erythrocytes	7	7	7	0	7	0	0	0	0	521.92	34062.5300	0.01532240852
O43791	SPOP	erythrocytes	0	0	0	0	0	0	0	0	0	0	42131.8750	0
O43795	MYO1B	erythrocytes	3	3	3	0	1	0	0	2	0	43.94	131983.2150	0.0003329211218
O43813	LANCL1	erythrocytes	2	2	2	0	2	0	0	0	0	84.08	45151.2850	0.001862183989
O43826	SLC37A4	erythrocytes	0	0	0	0	0	0	0	0	0	0	46359.4200	0
O43847	NRDC	erythrocytes	3	3	3	0	3	0	0	0	0	239.94	129469.1700	0.001853259737
O43852	CALU	erythrocytes	9	9	8	1	8	0	1	0	0	601.9	34960.6550	0.01721649666
O43866	CD5L	plasma	12	12	11	1	0	0	0	0	12	-22.176	36054.9050	-0.0006150619451
O60229	KALRN	erythrocytes	8	8	8	0	7	0	0	0	1	557.844	340255.5650	0.001639485309
O60232	ZNRD2	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	21342.7450	0.005717165247
O60234	GMFG	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	16669.9300	0.002521906211
O60256	PRPSAP2	erythrocytes	5	5	5	0	5	0	0	0	0	361.96	40925.1800	0.008844432694
O60262	GNG7	erythrocytes	3	3	3	0	2	1	0	0	0	328.55	7050.9850	0.04659632661
O60271	SPAG9	erythrocytes	30	30	30	0	30	0	0	0	0	2361.46	146203.3600	0.01615188598
O60282	KIF5C	erythrocytes	0	0	0	0	0	0	0	0	0	0	109493.2500	0
O60318	MCM3AP	erythrocytes	7	7	7	0	7	0	0	0	0	432.05	218401.2950	0.001978239186
O60331	PIP5K1C	erythrocytes	11	11	11	0	11	0	0	0	0	686.02	73258.8850	0.009364324887
O60341	KDM1A	erythrocytes	16	16	16	0	13	0	0	3	0	871.86	92901.3250	0.00938479618
O60488	ACSL4	erythrocytes	3	3	3	0	3	0	0	0	0	239.94	79187.1900	0.00303003554
O60499	STX10	erythrocytes	6	6	6	0	6	0	0	0	0	441.94	27982.4450	0.01579347337
O60506	SYNCRIP	erythrocytes	20	20	20	0	18	0	0	2	0	582.5	69470.6550	0.008384835295
O60547	GMDS	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	41818.0400	0.002917879461
O60568	PLOD3	erythrocytes	5	5	3	2	0	0	2	0	3	-6.048	82382.0350	-7.341406412e-05
O60610	DIAPH1	erythrocytes	10	10	10	0	10	0	0	0	0	685.98	141345.3650	0.004853218922
O60645	EXOC3	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	85566.1400	0.0004913158406
O60664	PLIN3	erythrocytes	14	14	14	0	13	0	0	1	0	945.84	46942.9600	0.02014870813
O60669	SLC16A7	erythrocytes	0	0	0	0	0	0	0	0	0	0	52199.5950	0
O60684	KPNA6	erythrocytes	3	3	3	0	3	0	0	0	0	202	60028.5950	0.003365062934
O60749	SNX2	erythrocytes	8	8	8	0	8	0	0	0	0	601.9	58470.1800	0.01029413626
O60762	DPM1	erythrocytes	3	3	3	0	3	0	0	0	0	202	29502.6900	0.006846833289
O60763	USO1	erythrocytes	4	4	4	0	4	0	0	0	0	281.98	107893.5450	0.00261350204
O60784	TOM1	erythrocytes	11	11	11	0	10	0	0	1	0	743.84	53817.5950	0.01382150206
O60831	PRAF2	erythrocytes	0	0	0	0	0	0	0	0	0	0	19257.5850	0
O60884	DNAJA2	erythrocytes	10	10	10	0	8	1	0	1	0	684.35	45408.8600	0.01507084741
O60888	CUTA	erythrocytes	0	0	0	0	0	0	0	0	0	0	15952.2300	0
O60925	PFDN1	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	14079.0500	0.002985996925
O75044	SRGAP2	erythrocytes	14	14	14	0	14	0	0	0	0	1067.79	120868.7200	0.008834295589
O75063	FAM20B	erythrocytes	5	5	4	1	0	0	1	0	4	-8.064	46431.7800	-0.0001736741516
O75064	DENND4B	erythrocytes	2	2	2	0	2	0	0	0	0	159.96	163844.1450	0.0009762936601
O75069	TMCC2	erythrocytes	6	6	6	0	6	0	0	0	0	413.93	77447.2000	0.005344673532
O75083	WDR1	erythrocytes	6	6	6	0	6	0	0	0	0	290.18	66192.7050	0.004383866772
O75093	SLIT1	erythrocytes	52	52	39	13	0	0	13	0	39	-78.624	164449.1200	-0.0004781053252
O75116	ROCK2	erythrocytes	6	6	6	0	6	0	0	0	0	479.88	160897.4650	0.002982520576
O75122	CLASP2	erythrocytes	28	28	28	0	28	0	0	0	0	2239.44	141061.3350	0.01587564728
O75131	CPNE3	erythrocytes	3	3	3	0	3	0	0	0	0	239.94	60129.9100	0.003990360205
O75157	TSC22D2	erythrocytes	0	0	0	0	0	0	0	0	0	0	79226.8850	0
O75165	DNAJC13	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	254411.1500	0.0001652443299
O75170	PPP6R2	erythrocytes	3	3	3	0	3	0	0	0	0	239.94	104940.1050	0.002286447112
O75190	DNAJB6	erythrocytes	2	2	2	0	2	0	0	0	0	94.01	35955.3900	0.00261462885
O75223	GGCT	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	21007.5050	0.003807210804
O75264	SMIM24	erythrocytes	0	0	0	0	0	0	0	0	0	0	12823.3550	0
O75317	USP12	erythrocytes	0	0	0	0	0	0	0	0	0	0	42857.2550	0
O75326	SEMA7A	erythrocytes	16	16	10	6	1	1	5	0	9	9.906	68437.0550	0.0001447461467
O75340	PDCD6	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	21736.9350	0.001934035318
O75347	TBCA	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	12723.4700	0.003304130084
O75348	ATP6V1G1	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	13626.1100	0.003085253238
O75352	MPDU1	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	26506.2350	0.001586041926
O75368	SH3BGRL	erythrocytes	0	0	0	0	0	0	0	0	0	0	12774.0750	0
O75373	ZNF737	erythrocytes	0	0	0	0	0	0	0	0	0	0	61930.7550	0
O75376	NCOR1	erythrocytes	32	32	32	0	26	0	0	6	0	1895.48	270205.5650	0.007014955447
O75387	SLC43A1	erythrocytes	6	6	3	3	3	0	3	0	0	239.94	61476.0000	0.003902986531
O75396	SEC22B	erythrocytes	7	7	7	0	7	0	0	0	0	521.92	24608.9750	0.0212085225
O75477	ERLIN1	erythrocytes	2	2	1	1	1	0	1	0	0	42.04	39170.5750	0.001073254605
O75531	BANF1	erythrocytes	7	7	7	0	7	0	0	0	0	483.98	10058.4800	0.04811661404
O75558	STX11	erythrocytes	0	0	0	0	0	0	0	0	0	0	33195.2700	0
O75629	CREG1	erythrocytes	3	3	0	3	0	0	3	0	0	0	21070.5800	0
O75636	FCN3	plasma	10	10	9	1	6	0	1	0	3	89.952	30353.3750	0.002963492528
O75663	TIPRL	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	31443.5250	0.00388060817
O75695	RP2	erythrocytes	2	2	2	0	0	2	0	0	0	448.77	39509.4400	0.01135855127
O75716	STK16	erythrocytes	6	6	6	0	3	3	0	0	0	927.12	34524.1150	0.02685427273
O75821	EIF3G	erythrocytes	8	8	8	0	8	0	0	0	0	639.84	35479.4000	0.01803412685
O75822	EIF3J	erythrocytes	8	8	8	0	7	0	0	1	0	503.9	28930.8700	0.0174173815
O75828	CBR3	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	30718.6550	0.00397217912
O75832	PSMD10	erythrocytes	0	0	0	0	0	0	0	0	0	0	24427.4850	0
O75844	ZMPSTE24	erythrocytes	0	0	0	0	0	0	0	0	0	0	54812.0800	0
O75874	IDH1	erythrocytes	10	10	10	0	10	0	0	0	0	612.34	46527.5200	0.01316081321
O75882	ATRN	plasma	39	39	13	26	0	0	26	0	13	-26.208	149762.8450	-0.0001749966756
O75907	DGAT1	erythrocytes	2	2	2	0	2	0	0	0	0	159.96	55277.3950	0.002893768782
O75915	ARL6IP5	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	21614.4650	0.001944993781
O75935	DCTN3	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	20987.8300	0.002003065586
O75955	FLOT1	erythrocytes	4	4	4	0	4	0	0	0	0	319.92	47354.5600	0.006755843577
O75964	ATP5MG	erythrocytes	5	5	5	0	5	0	0	0	0	210.2	11297.1450	0.01860647093
O76003	GLRX3	erythrocytes	3	3	3	0	3	0	0	0	0	202	37300.3250	0.005415502412
O76054	SEC14L2	erythrocytes	4	4	4	0	4	0	0	0	0	400.28	46144.6500	0.00867446172
O76071	CIAO1	erythrocytes	0	0	0	0	0	0	0	0	0	0	37839.4300	0
O76094	SRP72	erythrocytes	7	7	7	0	5	0	0	2	0	325.92	74473.8550	0.004376300918
O94766	B3GAT3	erythrocytes	2	2	0	2	0	0	1	0	1	0	37121.2200	0
O94804	STK10	erythrocytes	10	10	10	0	10	0	0	0	0	799.8	112133.5050	0.007132569342
O94829	IPO13	erythrocytes	0	0	0	0	0	0	0	0	0	0	108193.2500	0
O94832	MYO1D	erythrocytes	3	3	3	0	3	0	0	0	0	202	116069.4800	0.001740336909
O94885	SASH1	erythrocytes	7	7	7	0	7	0	0	0	0	559.86	136651.3100	0.004096996948
O94889	KLHL18	erythrocytes	0	0	0	0	0	0	0	0	0	0	63637.6750	0
O94903	PLPBP	erythrocytes	6	6	6	0	6	0	0	0	0	649.12	30343.5000	0.02139239046
O94905	ERLIN2	erythrocytes	2	2	1	1	1	0	1	0	0	42.04	37839.0600	0.001111021257
O94915	FRYL	erythrocytes	12	12	12	0	12	0	0	0	0	921.82	339461.2050	0.002715538584
O94919	ENDOD1	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	52886.3700	0.0007949118081
O94966	USP19	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	145648.7150	0.0005491294585
O94973	AP2A2	erythrocytes	0	0	0	0	0	0	0	0	0	0	103958.8600	0
O94979	SEC31A	erythrocytes	7	7	7	0	5	0	0	2	0	363.86	133012.4350	0.002735533712
O95070	YIF1A	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	31879.4550	0.003827543476
O95081	AGFG2	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	48962.3900	0.000858618217
O95147	DUSP14	erythrocytes	0	0	0	0	0	0	0	0	0	0	22254.6150	0
O95155	UBE4B	erythrocytes	15	15	15	0	15	0	0	0	0	1161.76	146182.3850	0.007947332368
O95159	ZFPL1	erythrocytes	0	0	0	0	0	0	0	0	0	0	34113.4550	0
O95166	GABARAP	erythrocytes	2	2	1	1	0	2	0	0	0	699.99	13804.7050	0.05070662502
O95180	CACNA1H	erythrocytes	3	3	0	3	0	0	3	0	0	0	259159.1700	0
O95197	RTN3	erythrocytes	11	11	11	0	11	0	0	0	0	841.84	112478.1600	0.007484475208
O95214	LEPROTL1	erythrocytes	0	0	0	0	0	0	0	0	0	0	14427.9800	0
O95235	KIF20A	erythrocytes	14	14	14	0	14	0	0	0	0	1081.78	100145.1100	0.01080212504
O95236	APOL3	erythrocytes	0	0	0	0	0	0	0	0	0	0	44277.4950	0
O95248	SBF1	erythrocytes	4	4	4	0	4	0	0	0	0	253.97	208440.0850	0.001218431666
O95251	KAT7	erythrocytes	22	22	22	0	20	0	0	2	0	1449.74	70641.3700	0.02052253517
O95260	ATE1	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	59089.4650	0.001353540771
O95273	CCNDBP1	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	40130.1100	0.001047592444
O95292	VAPB	erythrocytes	9	9	9	0	8	0	0	1	0	583.88	27096.8950	0.02154785631
O95297	MPZL1	erythrocytes	12	12	10	2	9	0	2	0	1	717.804	25704.8950	0.02792479798
