accession	gene	tier	n_sites_total	n_sites_in_master	n_sites_with_mass	n_sites_count_only	n_modified_residue	n_lipidation	n_glycosylation	n_cross_link	n_disulfide_bond	sum_mass_delta_g_per_mol	mw_master	ptm_mass_delta_fraction_of_mw
P04792	HSPB1	1	13	13	13	0	13	0	0	0	0	935.85	22782.1300	0.04107824861
P05413	FABP3	2	6	6	6	0	6	0	0	0	0	441.94	14726.6650	0.03000950996
P05787	KRT8	1	52	52	52	0	39	0	0	13	0	2461.48	53703.4600	0.04583466317
P05976	MYL1	1	6	6	6	0	6	0	0	0	0	405.05	21013.6500	0.01927556612
P06396	GSN	2	8	8	8	0	7	0	0	0	1	519.904	82957.9600	0.006267077927
P06733	ENO1	1	36	36	36	0	35	0	0	1	0	2127.2	47037.2200	0.0452237611
P06753	TPM3	1	20	20	20	0	20	0	0	0	0	1258.14	32818.2550	0.03833659041
P07451	CA3	1	14	14	14	0	14	0	0	0	0	1532.42	29425.7900	0.05207744635
P07951	TPM2	1	14	14	14	0	14	0	0	0	0	1081.78	32850.2550	0.0329306424
P07996	THBS1	2	42	42	33	9	0	0	12	0	30	724.232	127494.0350	0.005680516739
P08253	MMP2	1	9	9	7	2	0	0	2	0	7	-14.112	62058.6800	-0.0002273976823
P08590	MYL3	1	6	6	6	0	6	0	0	0	0	442.99	21800.6450	0.02032004099
P08727	KRT19	1	16	16	16	0	16	0	0	0	0	898	44105.2650	0.02036038101
P09493	TPM1	1	15	15	15	0	15	0	0	0	0	1010	32708.0250	0.03087927198
P0CAP1	MYZAP	1	0	0	0	0	0	0	0	0	0	0	52246.5050	0
P0CAP2	POLR2M	1	1	1	1	0	1	0	0	0	0	79.98	41738.8750	0.001916199227
P0DMT0	MRLN	2	0	0	0	0	0	0	0	0	0	0	5194.2050	0
P0DN84	STRIT1	2	0	0	0	0	0	0	0	0	0	0	3835.7100	0
P0DP23	CALM1	1	13	13	13	0	11	0	0	2	0	627.08	16706.2050	0.03753575393
P0DP24	CALM2	1	13	13	13	0	11	0	0	2	0	627.08	16706.2050	0.03753575393
P0DP25	CALM3	1	13	13	13	0	11	0	0	2	0	627.08	16706.2050	0.03753575393
P10916	MYL2	1	5	5	5	0	5	0	0	0	0	284.01	18657.9000	0.01522197032
P11055	MYH3	1	1	1	1	0	1	0	0	0	0	43.09	223901.3450	0.0001924508314
P11166	SLC2A1	1	6	6	5	1	5	0	1	0	0	361.96	54083.0650	0.006692668028
P11532	DMD	1	18	18	18	0	18	0	0	0	0	1439.64	426770.3300	0.003373336661
P12109	COL6A1	1;2	5	5	0	5	0	0	5	0	0	0	106476.7900	0
P12814	ACTN1	1	9	9	9	0	9	0	0	0	0	568.06	103055.8450	0.005512157025
P12829	MYL4	1	1	1	1	0	1	0	0	0	0	43.09	21433.1650	0.002010435696
P12882	MYH1	1	37	37	37	0	37	0	0	0	0	2856.42	223142.1500	0.01280089844
P12883	MYH7	1	9	9	9	0	9	0	0	0	0	682.93	223093.9700	0.003061176418
P13533	MYH6	1	13	13	13	0	13	0	0	0	0	1002.85	223731.4300	0.004482383186
P13535	MYH8	1	35	35	35	0	35	0	0	0	0	2696.46	222759.2000	0.01210481991
P13805	TNNT1	1	1	1	1	0	1	0	0	0	0	79.98	32947.7050	0.002427483189
P14625	HSP90B1	2	17	17	10	7	10	0	6	0	1	808.15	90176.8350	0.00896183593
P14672	SLC2A4	2	6	6	5	1	4	1	1	0	0	558.33	54786.4800	0.01019101793
P14923	JUP	1	7	7	7	0	6	0	1	0	0	645.13	81743.4900	0.007892126945
P15172	MYOD1	1	2	2	1	1	1	0	0	1	0	14.03	34500.8050	0.000406657178
P15382	KCNE1	1	4	4	1	3	1	0	3	0	0	79.98	14674.5600	0.005450248593
P16157	ANK1	1;2	34	34	34	0	34	0	0	0	0	2143.5	206261.6200	0.01039214179
P16298	PPP3CB	1	2	2	2	0	2	0	0	0	0	122.02	58892.3200	0.002071917017
P16615	ATP2A2	2	8	8	8	0	7	0	0	0	1	487.884	114755.4950	0.004251508828
P17661	DES	1	21	21	21	0	21	0	0	0	0	1891.12	53403.7200	0.03541176532
P18206	VCL	1	21	21	21	0	21	0	0	0	0	1603.7	123797.3550	0.01295423477
P19237	TNNI1	1	2	2	2	0	2	0	0	0	0	122.02	21560.8750	0.005659325051
P19429	TNNI3	1	18	18	18	0	18	0	0	0	0	1401.7	23875.9500	0.05870761163
P20807	CAPN3	1	0	0	0	0	0	0	0	0	0	0	94252.3600	0
P20929	NEB	1	0	0	0	0	0	0	0	0	0	0	986650.4600	0
P21291	CSRP1	1	8	8	8	0	7	0	0	1	0	352.14	20567.3300	0.01712132785
P21333	FLNA	1	53	53	53	0	48	0	0	5	0	3220.02	280605.1050	0.01147527234
P21817	RYR1	1;2	8	8	8	0	8	0	0	0	0	588.86	565167.7050	0.001041920822
P22460	KCNA5	1	4	4	4	0	1	1	0	2	0	282.35	67226.8800	0.004199956922
P23297	S100A1	2	1	1	1	0	1	0	0	0	0	29	10545.7050	0.002749934689
P23327	HRC	1;2	8	8	8	0	8	0	0	0	0	639.84	77182.7900	0.008289930955
P23634	ATP2B4	1	3	3	3	0	3	0	0	0	0	239.94	137918.4100	0.001739724233
P24844	MYL9	1	3	3	3	0	3	0	0	0	0	202	19695.7500	0.0102560197
P26678	PLN	2	4	4	4	0	3	1	0	0	0	440.41	6108.4750	0.07209819145
P27797	CALR	2	6	6	5	1	4	0	1	0	1	210.194	46465.7450	0.004523633485
P28161	GSTM2	2	2	2	2	0	2	0	0	0	0	159.96	25744.2650	0.006213422679
P28289	TMOD1	1	0	0	0	0	0	0	0	0	0	0	40568.6300	0
P29475	NOS1	1;2	3	3	3	0	3	0	0	0	0	239.94	160968.0450	0.001490606412
P29536	LMOD1	1	4	4	4	0	4	0	0	0	0	319.92	67029.3650	0.004772833519
P30626	SRI	1;2	0	0	0	0	0	0	0	0	0	0	21676.1250	0
P31415	CASQ1	1;2	5	5	4	1	4	0	1	0	0	319.92	41688.2750	0.007674100212
P31431	SDC4	1	4	4	0	4	0	0	4	0	0	0	19765.9650	0
P32418	SLC8A1	1	4	4	2	2	2	0	2	0	0	159.96	104542.9550	0.001530088756
P35222	CTNNB1	1	20	20	20	0	19	0	1	0	0	1595.95	85364.0250	0.01869581478
P35443	THBS4	2	25	25	21	4	0	0	2	0	23	-42.336	103145.8100	-0.0004104480832
P35498	SCN1A	1	25	25	14	11	8	0	9	0	8	627.744	228968.7300	0.002741614543
P35573	AGL	2	1	1	1	0	1	0	0	0	0	79.98	174761.3450	0.000457652692
P35609	ACTN2	1	1	1	1	0	1	0	0	0	0	79.98	103852.0450	0.0007701340884
P41145	OPRK1	2	4	4	2	2	0	1	2	0	1	236.394	42644.6150	0.005543349377
P45378	TNNT3	1	6	6	6	0	6	0	0	0	0	441.94	31692.8750	0.01394445913
P45379	TNNT2	1	6	6	6	0	6	0	0	0	0	441.94	35791.8200	0.01234751404
P47756	CAPZB	1	4	4	4	0	4	0	0	0	0	244.04	30497.1100	0.008002069704
P47989	XDH	2	2	2	2	0	0	0	0	0	2	-4.032	146422.5500	-2.753674212e-05
P48788	TNNI2	1	3	3	3	0	3	0	0	0	0	202	21207.0600	0.009525129839
P49257	LMAN1	1	4	4	2	2	1	0	0	0	3	77.964	54208.1250	0.001438234582
P50461	CSRP3	1	2	2	2	0	2	0	0	0	0	159.96	20968.8150	0.007628471137
P50479	PDLIM4	1	4	4	4	0	4	0	0	0	0	319.92	35397.5150	0.009037922577
P51114	FXR1	1	23	23	23	0	22	0	0	1	0	1349.96	69588.7850	0.01939910289
P52179	MYOM1	1	5	5	5	0	4	0	0	0	1	317.904	187624.1600	0.001694366013
P52961	ART1	2	5	5	2	3	0	1	2	0	2	-4.032	30536.9500	-0.000132036762
P54289	CACNA2D1	2	25	25	8	17	1	0	16	0	8	65.868	122134.5100	0.0005393070312
P54296	MYOM2	1	0	0	0	0	0	0	0	0	0	0	164867.1200	0
P55145	MANF	2	5	5	5	0	1	0	0	0	4	71.916	18161.8450	0.003959729862
P56539	CAV3	1	1	1	1	0	0	0	0	1	0	-18.02	17259.0900	-0.001044087492
P57103	SLC8A3	2	2	2	0	2	0	0	2	0	0	0	99593.2100	0
P60900	PSMA6	1	7	7	7	0	6	0	1	0	0	607.19	27399.1550	0.02216090241
P61313	RPL15	1	5	5	5	0	3	1	0	1	0	432.28	24014.5200	0.0180007762
P62942	FKBP1A	1;2	2	2	2	0	2	0	0	0	0	142.11	11819.3900	0.01202346314
P63261	ACTG1	1	8	8	6	2	6	0	0	2	0	144.14	41792.2900	0.003448961519
P63316	TNNC1	1	2	2	2	0	2	0	0	0	0	122.02	18402.3300	0.006630682093
P67936	TPM4	1	5	5	5	0	5	0	0	0	0	286.08	28390.2000	0.01007671661
P68032	ACTC1	1	7	7	5	2	5	0	0	2	0	102.1	41887.2250	0.002437497352
P68106	FKBP1B	1;2	0	0	0	0	0	0	0	0	0	0	11782.4050	0
P68133	ACTA1	1	8	8	6	2	6	0	0	2	0	188.15	41919.2950	0.004488386553
P84077	ARF1	1	2	2	2	0	1	1	0	0	0	252.4	20565.2950	0.01227310379
Q00765	REEP5	2	0	0	0	0	0	0	0	0	0	0	21492.8400	0
Q00872	MYBPC1	1	4	4	4	0	4	0	0	0	0	319.92	128292.8700	0.002493669368
Q01082	SPTBN1	1	42	42	42	0	41	0	1	0	0	3292.67	274473.2500	0.01199632387
Q01449	MYL7	1	3	3	3	0	3	0	0	0	0	202	19316.5850	0.01045733498
Q01484	ANK2	1	50	50	50	0	50	0	0	0	0	3999	433708.4500	0.009220479795
Q01668	CACNA1D	1	3	3	0	3	0	0	3	0	0	0	245137.6700	0
Q03001	DST	1	15	15	15	0	14	0	0	1	0	1101.7	860647.8550	0.0012800822
Q05682	CALD1	1	21	21	21	0	17	0	0	4	0	1287.58	93229.9300	0.01381080089
Q06413	MEF2C	2	20	20	20	0	19	0	0	1	0	1236.02	51220.5100	0.02413134895
Q07343	PDE4B	1	3	3	3	0	3	0	0	0	0	239.94	83342.1350	0.002878975923
Q08043	ACTN3	1	1	1	1	0	1	0	0	0	0	42.04	103239.6300	0.0004072079685
Q08209	PPP3CA	1	4	4	4	0	4	0	0	0	0	247	58555.8950	0.004218191866
Q08629	SPOCK1	2	11	11	8	3	0	0	3	0	8	-16.128	47008.1950	-0.0003430891146
Q09013	DMPK	2	3	3	3	0	3	0	0	0	0	239.94	69384.1200	0.003458139989
Q09666	AHNAK	1	179	179	179	0	146	0	0	33	0	10582.83	629096.1750	0.01682227682
Q0VAK6	LMOD3	1	0	0	0	0	0	0	0	0	0	0	64913.3850	0
Q0ZGT2	NEXN	1	8	8	8	0	8	0	0	0	0	639.84	80657.3200	0.007932819985
Q12792	TWF1	1	5	5	5	0	5	0	0	0	0	361.96	40150.8500	0.009015002173
Q12797	ASPH	2	5	5	2	3	1	0	3	0	1	77.964	85861.4550	0.0009080209507
Q12955	ANK3	1;2	32	32	32	0	32	0	0	0	0	2559.36	480403.1900	0.00532752499
Q13023	AKAP6	2	3	3	3	0	3	0	0	0	0	239.94	256716.3900	0.0009346501016
Q13049	TRIM32	1	5	5	5	0	5	0	0	0	0	361.96	71856.4750	0.005037263517
Q13061	TRDN	2	4	4	0	4	0	0	2	0	2	0	81594.3200	0
Q13153	PAK1	1	24	24	24	0	24	0	0	0	0	1881.58	60514.9250	0.03109282545
Q13203	MYBPH	1	2	2	2	0	2	0	0	0	0	159.96	52049.3700	0.003073236045
Q13418	ILK	1	5	5	5	0	5	0	0	0	0	324.02	51418.4950	0.006301623569
Q13496	MTM1	1	4	4	4	0	4	0	0	0	0	319.92	69930.6800	0.004574816089
Q13501	SQSTM1	1	32	32	32	0	25	2	0	5	0	2234.46	47555.3300	0.04698653127
Q13554	CAMK2B	2	9	9	9	0	9	0	0	0	0	719.82	72676.6850	0.009904414325
Q13555	CAMK2G	2	20	20	20	0	20	0	0	0	0	1599.6	62606.2650	0.0255501586
Q13557	CAMK2D	2	15	15	15	0	15	0	0	0	0	1123.82	56237.4050	0.01998349675
Q13586	STIM1	2	20	20	18	2	18	0	2	0	0	1439.64	74888.0200	0.01922390257
Q13643	FHL3	1	3	3	3	0	3	0	0	0	0	126.12	31060.5500	0.004060456109
Q13698	CACNA1S	1	12	12	9	3	5	0	3	0	4	391.836	212347.3000	0.0018452601
Q13813	SPTAN1	1	27	27	27	0	27	0	0	0	0	1931.82	284534.1550	0.006789413383
Q13936	CACNA1C	1	15	15	11	4	7	0	4	0	4	551.796	248973.0200	0.002216288335
Q14118	DAG1	1	18	18	4	14	2	0	14	0	2	155.928	94324.2550	0.001653106086
Q14192	FHL2	1	4	4	4	0	1	0	0	3	0	25.92	32192.6500	0.000805152729
Q14315	FLNC	1;2	15	15	15	0	15	0	0	0	0	1133.75	291019.3800	0.003895788658
Q14324	MYBPC2	1	0	0	0	0	0	0	0	0	0	0	128070.4100	0
Q14331	FRG1	1	0	0	0	0	0	0	0	0	0	0	29172.0250	0
Q14524	SCN5A	1	36	36	22	14	20	0	14	0	2	1241.928	226936.5850	0.005472577284
Q14571	ITPR2	2	6	6	6	0	6	0	0	0	0	479.88	308059.5600	0.001557750715
Q14573	ITPR3	2	8	8	8	0	7	0	0	0	1	557.844	304102.2000	0.001834396463
Q14596	NBR1	1	5	5	5	0	5	0	0	0	0	399.9	107411.6550	0.003723059662
Q14643	ITPR1	2	17	17	16	1	2	2	1	11	1	436.544	313924.7850	0.001390600618
Q14896	MYBPC3	1	11	11	11	0	10	0	0	0	1	693.894	140760.6650	0.004929601604
Q14BN4	SLMAP	1	3	3	3	0	3	0	0	0	0	239.94	95196.6650	0.002520466447
Q15124	PGM5	1	2	2	2	0	2	0	0	0	0	159.96	62224.3600	0.002570697392
Q15139	PRKD1	1	18	18	18	0	18	0	0	0	0	1439.64	101702.7550	0.01415536875
Q15149	PLEC	1;2	56	56	56	0	56	0	0	0	0	4157.28	531781.2150	0.007817651099
Q15172	PPP2R5A	1	4	4	4	0	4	0	0	0	0	281.98	56061.6200	0.005029822542
Q15327	ANKRD1	1	0	0	0	0	0	0	0	0	0	0	36251.4100	0
Q15413	RYR3	1;2	0	0	0	0	0	0	0	0	0	0	552034.3650	0
Q15842	KCNJ8	1	1	1	1	0	1	0	0	0	0	79.98	47967.2450	0.001667387818
Q16527	CSRP2	1	6	6	6	0	5	0	0	1	0	250.21	20953.7800	0.01194104357
Q16637	SMN1	1	12	12	12	0	10	0	0	2	0	725.82	31717.1100	0.02288417829
Q2TBA0	KLHL40	1	0	0	0	0	0	0	0	0	0	0	69256.3600	0
Q2TBC4	PRICKLE4	1	0	0	0	0	0	0	0	0	0	0	37550.4350	0
Q2V2M9	FHOD3	1	6	4	4	0	6	0	0	0	0	319.92	158610.7650	0.002017013158
Q53GG5	PDLIM3	1	3	3	3	0	3	0	0	0	0	239.94	39231.9650	0.006115931231
Q5BKX8	CAVIN4	1	5	5	5	0	5	0	0	0	0	399.9	41898.5750	0.009544477348
Q5BKY1	LRRC10	1	0	0	0	0	0	0	0	0	0	0	31641.4400	0
Q5JQC9	AKAP4	1	23	21	21	0	23	0	0	0	0	1679.58	73332.7050	0.02290355988
Q5JVS0	HABP4	1;2	13	13	13	0	7	0	0	6	0	385.79	45784.8300	0.008426153379
Q5TD97	FHL5	1	0	0	0	0	0	0	0	0	0	0	32719.4650	0
Q5VST9	OBSCN	1	53	53	53	0	14	0	0	0	39	1041.096	868451.9750	0.001198795132
Q5VTT5	MYOM3	1	0	0	0	0	0	0	0	0	0	0	162186.9100	0
Q5VU43	PDE4DIP	1	3	3	3	0	3	0	0	0	0	239.94	265098.1150	0.0009050988537
Q5VVH2	FKBP1C	2	0	0	0	0	0	0	0	0	0	0	12178.8850	0
Q5VZP5	STYXL2	1	5	5	5	0	5	0	0	0	0	399.9	130173.9850	0.00307204239
Q6H8Q1	ABLIM2	1	8	8	8	0	8	0	0	0	0	639.84	67811.3800	0.009435584411
Q6IBS0	TWF2	1	4	4	4	0	4	0	0	0	0	244.04	39416.1850	0.006191365298
Q6P050	FBXL22	1	0	0	0	0	0	0	0	0	0	0	26027.8800	0
Q6P5Q4	LMOD2	1	4	4	4	0	4	0	0	0	0	319.92	61674.4900	0.005187233814
Q6UXF7	CLEC18B	2	5	5	4	1	0	0	1	0	4	-8.064	47752.5900	-0.0001688704215
Q711Q0	CEFIP	1	4	4	4	0	4	0	0	0	0	319.92	156474.3000	0.002044553003
Q86SG2	ANKRD23	1	0	0	0	0	0	0	0	0	0	0	34296.8300	0
Q86TC9	MYPN	1	13	13	13	0	10	0	0	0	3	793.752	145254.8750	0.005464546371
Q86TD4	SRL	2	2	2	0	2	0	0	2	0	0	0	52371.3600	0
Q86VF2	IGFN1	1	0	0	0	0	0	0	0	0	0	0	137761.3000	0
Q86VF7	NRAP	1	1	1	1	0	1	0	0	0	0	79.98	197070.7750	0.0004058440426
Q86VW2	ARHGEF25	1	0	0	0	0	0	0	0	0	0	0	63841.7250	0
Q86YM7	HOMER1	1	2	2	2	0	2	0	0	0	0	122.02	40144.9200	0.003039487935
Q8IUG5	MYO18B	1	6	6	6	0	6	0	0	0	0	479.88	285210.1700	0.001682548697
Q8IVL5	P3H2	2	2	2	0	2	0	0	2	0	0	0	78195.8850	0
Q8IWX7	UNC45B	1	0	0	0	0	0	0	0	0	0	0	103731.5600	0
Q8IWX8	CHERP	2	14	14	14	0	12	0	0	2	0	809.9	103700.2450	0.007810010478
Q8N0Z2	ABRA	1	2	2	2	0	2	0	0	0	0	159.96	43116.8500	0.003709918512
Q8N3K9	CMYA5	1;2	5	5	5	0	5	0	0	0	0	399.9	449204.4400	0.0008902405328
Q8N3V7	SYNPO	1	27	27	26	1	26	0	1	0	0	2003.6	99461.7200	0.02014443346
Q8NBH2	KY	1	0	0	0	0	0	0	0	0	0	0	75152.3900	0
Q8NC69	KCTD6	1	0	0	0	0	0	0	0	0	0	0	27610.0000	0
Q8NDY3	ADPRHL1	1	1	1	1	0	1	0	0	0	0	79.98	40104.0850	0.001994310555
Q8NDZ2	SIMC1	1	0	0	0	0	0	0	0	0	0	0	96836.5750	0
Q8NEW0	SLC30A7	2	0	0	0	0	0	0	0	0	0	0	41625.1850	0
Q8NEZ5	FBXO22	1	4	4	4	0	4	0	0	0	0	244.04	44507.8600	0.005483076472
Q8NF91	SYNE1	1;2	11	11	9	2	9	0	0	0	2	719.82	1011067.9000	0.0007119403158
Q8TDC0	MYOZ3	1	1	1	1	0	1	0	0	0	0	79.98	27156.5100	0.002945150168
Q8WU10	PYROXD1	1	1	1	1	0	1	0	0	0	0	42.04	55792.1850	0.0007535105499
Q8WX93	PALLD	1	21	21	21	0	18	0	0	0	3	1433.592	150561.4600	0.009521639867
Q8WXH0	SYNE2	1;2	13	13	12	1	12	0	0	0	1	921.82	796429.2700	0.001157441137
Q8WXH2	JPH3	2	8	8	8	0	8	0	0	0	0	639.84	81467.6550	0.007853914538
Q8WZ42	TTN	1	61	61	61	0	15	0	0	0	46	1106.964	3815987.0450	0.0002900858905
Q92629	SGCD	2	5	5	2	3	0	0	3	0	2	-4.032	32071.0300	-0.0001257209388
Q92736	RYR2	1;2	10	10	10	0	10	0	0	0	0	799.8	564559.6000	0.001416679479
Q92831	KAT2B	1	0	0	0	0	0	0	0	0	0	0	93011.8850	0
Q92952	KCNN1	1	0	0	0	0	0	0	0	0	0	0	59986.4900	0
Q93084	ATP2A3	2	6	6	6	0	6	0	0	0	0	441.94	109254.7500	0.00404504152
Q969P5	FBXO32	1	0	0	0	0	0	0	0	0	0	0	41636.5500	0
Q969Q1	TRIM63	1	0	0	0	0	0	0	0	0	0	0	40247.1000	0
Q96AC1	FERMT2	1	5	5	5	0	5	0	0	0	0	399.9	77859.3750	0.005136183022
Q96DD0	LRRC39	1	0	0	0	0	0	0	0	0	0	0	38792.3800	0
Q96HC4	PDLIM5	1	16	16	16	0	15	0	0	1	0	1087.95	63813.1100	0.01704900451
Q96JJ6	JPH4	2	0	0	0	0	0	0	0	0	0	0	65859.7250	0
Q96JY6	PDLIM2	1	12	12	12	0	12	0	0	0	0	959.76	37458.2350	0.02562213623
Q96MG2	JSRP1	2	0	0	0	0	0	0	0	0	0	0	36318.0900	0
Q96Q27	ASB2	1	1	1	1	0	1	0	0	0	0	79.98	70211.0100	0.00113913758
Q9BR39	JPH2	1;2	12	12	12	0	12	0	0	0	0	959.76	74220.4650	0.01293120435
Q9BVC6	TMEM109	2	0	0	0	0	0	0	0	0	0	0	22751.2350	0
Q9BYV2	TRIM54	1	0	0	0	0	0	0	0	0	0	0	40300.3650	0
Q9C0I1	MTMR12	1;2	3	3	3	0	3	0	0	0	0	239.94	86146.4300	0.002785257613
Q9GZV1	ANKRD2	1	1	1	1	0	1	0	0	0	0	79.98	39858.5950	0.002006593559
Q9H1R3	MYLK2	1	5	5	5	0	5	0	0	0	0	361.96	64552.8300	0.005607190266
Q9H2S1	KCNN2	1	1	1	1	0	1	0	0	0	0	79.98	63758.7200	0.001254416651
Q9H6F2	TMEM38A	2	0	0	0	0	0	0	0	0	0	0	33259.4100	0
Q9H7C4	SYNC	1	3	3	3	0	3	0	0	0	0	239.94	55298.4550	0.004339000068
Q9H987	SYNPO2L	1	34	34	34	0	34	0	0	0	0	1875.99	102479.0200	0.01830608841
Q9HBI1	PARVB	1	2	2	2	0	2	0	0	0	0	159.96	41713.6650	0.003834714595
Q9HDC5	JPH1	1;2	9	9	9	0	9	0	0	0	0	719.82	71685.0200	0.01004142846
Q9NNX1	TUFT1	1	0	0	0	0	0	0	0	0	0	0	44263.1150	0
Q9NP98	MYOZ1	1	1	1	1	0	1	0	0	0	0	79.98	31744.3000	0.002519507439
Q9NPC6	MYOZ2	1	5	5	5	0	5	0	0	0	0	333.95	29897.4750	0.01116983959
Q9NR12	PDLIM7	1	4	4	4	0	4	0	0	0	0	267.99	49844.0400	0.005376570599
Q9NVD7	PARVA	1	6	6	6	0	6	0	0	0	0	441.94	42111.9200	0.01049441583
Q9NVV0	TMEM38B	2	1	1	1	0	1	0	0	0	0	79.98	32509.3500	0.002460215292
Q9NY72	SCN3B	1	6	6	2	4	0	0	4	0	2	-4.032	22179.9500	-0.000181785802
Q9NYL9	TMOD3	1	1	1	1	0	1	0	0	0	0	79.98	39594.2550	0.002019990021
Q9NZQ9	TMOD4	1	0	0	0	0	0	0	0	0	0	0	39334.8900	0
Q9NZR1	TMOD2	1	1	1	1	0	1	0	0	0	0	79.98	39594.5400	0.002019975481
Q9UBF9	MYOT	1	1	1	1	0	1	0	0	0	0	14.03	55394.2350	0.0002532754537
Q9UDY4	DNAJB4	1	2	2	2	0	2	0	0	0	0	159.96	37675.1850	0.004245765482
Q9UGI6	KCNN3	1	1	1	1	0	1	0	0	0	0	79.98	81383.7700	0.0009827512291
Q9UHP9	SMPX	1	0	0	0	0	0	0	0	0	0	0	9558.9250	0
Q9UJW0	DCTN4	1	4	4	4	0	3	0	0	1	0	183.98	52205.2100	0.003524169331
Q9UKP3	ITGB1BP2	1	0	0	0	0	0	0	0	0	0	0	38381.7000	0
