accession	gene	tier	n_chain_features	chain_features	master_ranges_union	length
P09651	HNRNPA1	2	2	PRO_0000424509 'Heterogeneous nuclear ribonucleoprotein A1' 1-372 | PRO_0000081828 'Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed' 2-372	1-372	372
P09874	PARP1	2	3	PRO_0000211320 'Poly [ADP-ribose] polymerase 1' 2-1014 | PRO_0000456361 'Poly [ADP-ribose] polymerase 1, processed N-terminus' 2-214 | PRO_0000456362 'Poly [ADP-ribose] polymerase 1, processed C-terminus' 215-1014	2-1014	1014
P0CG47	UBB	2	3	PRO_0000396174 'Ubiquitin' 1-76 | PRO_0000396175 'Ubiquitin' 77-152 | PRO_0000396176 'Ubiquitin' 153-228	1-228	229
P0CG48	UBC	2	9	PRO_0000396178 'Ubiquitin' 1-76 | PRO_0000396179 'Ubiquitin' 77-152 | PRO_0000396180 'Ubiquitin' 153-228 | PRO_0000396181 'Ubiquitin' 229-304 | PRO_0000396182 'Ubiquitin' 305-380 | PRO_0000396183 'Ubiquitin' 381-456 | PRO_0000396184 'Ubiquitin' 457-532 | PRO_0000396185 'Ubiquitin' 533-608 | PRO_0000396186 'Ubiquitin' 609-684	1-684	685
P10163	PRB4	2	3	PRO_0000022102 'Basic salivary proline-rich protein 4' 17-310 | PRO_0000022104 'Glycosylated protein A' 40-177 | PRO_0000022099 'Peptide P-D' 241-310	17-310	310
P10253	GAA	2	3	PRO_0000018566 'Lysosomal alpha-glucosidase' 70-952 | PRO_0000018567 '76 kDa lysosomal alpha-glucosidase' 123-952 | PRO_0000018568 '70 kDa lysosomal alpha-glucosidase' 204-952	70-952	952
P10619	CTSA	2	3	PRO_0000004274 'Lysosomal protective protein' 29-480 | PRO_0000004275 'Lysosomal protective protein 32 kDa chain' 29-326 | PRO_0000004276 'Lysosomal protective protein 20 kDa chain' 327-480	29-480	480
P10909	CLU	2	3	PRO_0000005529 'Clusterin' 23-449 | PRO_0000005530 'Clusterin beta chain' 23-227 | PRO_0000005531 'Clusterin alpha chain' 228-449	23-449	449
P11586	MTHFD1	2	2	PRO_0000423280 'C-1-tetrahydrofolate synthase, cytoplasmic' 1-935 | PRO_0000199321 'C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed' 2-935	1-935	935
P12236	SLC25A6	2	2	PRO_0000425781 'ADP/ATP translocase 3' 1-298 | PRO_0000090584 'ADP/ATP translocase 3, N-terminally processed' 2-298	1-298	298
P12821	ACE	2	2	PRO_0000028530 'Angiotensin-converting enzyme' 30-1306 | PRO_0000028531 'Angiotensin-converting enzyme, soluble form' 30-1232	30-1306	1306
P20591	MX1	2	2	PRO_0000382943 'Interferon-induced GTP-binding protein Mx1' 1-662 | PRO_0000206592 'Interferon-induced GTP-binding protein Mx1, N-terminally processed' 2-662	1-662	662
P22735	TGM1	2	3	PRO_0000213701 'Protein-glutamine gamma-glutamyltransferase K' 1-817 | PRO_0000463293 'Protein-glutamine gamma-glutamyltransferase K 67 kDa chain' 94-817 | PRO_0000463294 'Protein-glutamine gamma-glutamyltransferase K 33 kDa chain' 574-817	1-817	817
P23381	WARS1	2	3	PRO_0000136738 'Tryptophan--tRNA ligase, cytoplasmic' 2-471 | PRO_0000386461 'T1-TrpRS' 71-471 | PRO_0000386462 'T2-TrpRS' 94-471	2-471	471
P27694	RPA1	2	2	PRO_0000423231 'Replication protein A 70 kDa DNA-binding subunit' 1-616 | PRO_0000097260 'Replication protein A 70 kDa DNA-binding subunit, N-terminally processed' 2-616	1-616	616
P27695	APEX1	2	2	PRO_0000200010 'DNA repair nuclease/redox regulator APEX1' 2-318 | PRO_0000402572 'DNA repair nuclease/redox regulator APEX1, mitochondrial' 32-318	2-318	318
P30519	HMOX2	2	2	PRO_0000209691 'Heme oxygenase 2' 2-316 | PRO_0000455626 'Heme oxygenase 2 soluble form' 2-295	2-316	316
P31939	ATIC	2	2	PRO_0000192156 'Bifunctional purine biosynthesis protein ATIC' 1-592 | PRO_0000434376 'Bifunctional purine biosynthesis protein ATIC, N-terminally processed' 2-592	1-592	592
P31943	HNRNPH1	2	2	PRO_0000367119 'Heterogeneous nuclear ribonucleoprotein H' 1-449 | PRO_0000081857 'Heterogeneous nuclear ribonucleoprotein H, N-terminally processed' 2-449	1-449	449
P31944	CASP14	2	4	PRO_0000432793 'Caspase-14 subunit p20, intermediate form' 1-178 | PRO_0000432794 'Caspase-14 subunit p17, mature form' 6-146 | PRO_0000004654 'Caspase-14 subunit p10, mature form' 153-242 | PRO_0000432796 'Caspase-14 subunit p8, intermediate form' 179-242	1-242	242
P31946	YWHAB	2	2	PRO_0000367900 '14-3-3 protein beta/alpha' 1-246 | PRO_0000000003 '14-3-3 protein beta/alpha, N-terminally processed' 2-246	1-246	246
P31949	S100A11	2	2	PRO_0000424465 'Protein S100-A11' 1-105 | PRO_0000144009 'Protein S100-A11, N-terminally processed' 2-105	1-105	105
P35555	FBN1	2	2	PRO_0000007581 'Fibrillin-1' 45-2731 | PRO_0000436882 'Asprosin' 2732-2871	45-2871	2871
P38159	RBMX	2	2	PRO_0000081854 'RNA-binding motif protein, X chromosome' 1-391 | PRO_0000304582 'RNA-binding motif protein, X chromosome, N-terminally processed' 2-391	1-391	391
P38919	EIF4A3	2	2	PRO_0000423267 'Eukaryotic initiation factor 4A-III' 1-411 | PRO_0000054942 'Eukaryotic initiation factor 4A-III, N-terminally processed' 2-411	1-411	411
P39059	COL15A1	2	5	PRO_0000005788 'Collagen alpha-1(XV) chain' 28-1388 | PRO_0000005789 'Restin' 1198-1386 | PRO_0000423014 'Restin-2' 1207-1386 | PRO_0000423015 'Restin-3' 1213-1386 | PRO_0000423016 'Restin-4' 1221-1386	28-1388	1388
P46782	RPS5	2	2	PRO_0000370369 'Small ribosomal subunit protein uS7' 1-204 | PRO_0000124526 'Small ribosomal subunit protein uS7, N-terminally processed' 2-204	1-204	204
P46821	MAP1B	2	3	PRO_0000018604 'Microtubule-associated protein 1B' 2-2468 | PRO_0000418379 'MAP1B heavy chain' 2-2206 | PRO_0000018605 'MAP1 light chain LC1' 2207-2468	2-2468	2468
P47985	UQCRFS1	2	2	PRO_0000307241 'Cytochrome b-c1 complex subunit 9' 1-78 | PRO_0000030664 'Cytochrome b-c1 complex subunit Rieske, mitochondrial' 79-274	1-274	274
P49189	ALDH9A1	2	2	PRO_0000434351 '4-trimethylaminobutyraldehyde dehydrogenase' 1-494 | PRO_0000056485 '4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed' 2-494	1-494	494
P51610	HCFC1	2	12	PRO_0000016611 'HCF N-terminal chain 6' 2-1423 | PRO_0000016612 'HCF N-terminal chain 5' 2-1323 | PRO_0000016613 'HCF N-terminal chain 4' 2-1295 | PRO_0000016614 'HCF N-terminal chain 3' 2-1110 | PRO_0000016615 'HCF N-terminal chain 2' 2-1081 | PRO_0000016616 'HCF N-terminal chain 1' 2-1019 | PRO_0000016617 'HCF C-terminal chain 1' 1020-2035 | PRO_0000016618 'HCF C-terminal chain 2' 1082-2035 | PRO_0000016619 'HCF C-terminal chain 3' 1111-2035 | PRO_0000016620 'HCF C-terminal chain 4' 1296-2035 | PRO_0000016621 'HCF C-terminal chain 5' 1324-2035 | PRO_0000016622 'HCF C-terminal chain 6' 1424-2035	2-2035	2035
P51659	HSD17B4	2	3	PRO_0000054583 'Peroxisomal multifunctional enzyme type 2' 1-736 | PRO_0000400082 '(3R)-hydroxyacyl-CoA dehydrogenase' 1-311 | PRO_0000400083 'Enoyl-CoA hydratase 2' 312-736	1-736	736
P52294	KPNA1	2	2	PRO_0000120719 'Importin subunit alpha-5' 1-538 | PRO_0000424491 'Importin subunit alpha-5, N-terminally processed' 2-538	1-538	538
P52597	HNRNPF	2	2	PRO_0000367114 'Heterogeneous nuclear ribonucleoprotein F' 1-415 | PRO_0000081852 'Heterogeneous nuclear ribonucleoprotein F, N-terminally processed' 2-415	1-415	415
P52948	NUP98	2	2	PRO_0000019929 'Nuclear pore complex protein Nup98' 1-880 | PRO_0000019930 'Nuclear pore complex protein Nup96' 881-1817	1-1817	1817
P53634	CTSC	2	3	PRO_0000026338 'Dipeptidyl peptidase 1 exclusion domain chain' 25-134 | PRO_0000026340 'Dipeptidyl peptidase 1 heavy chain' 231-394 | PRO_0000026341 'Dipeptidyl peptidase 1 light chain' 395-463	25-134,231-463	463
P53708	ITGA8	2	3	PRO_0000016310 'Integrin alpha-8' 39-1063 | PRO_0000016311 'Integrin alpha-8 heavy chain' 39-906 | PRO_0000016312 'Integrin alpha-8 light chain' 907-1063	39-1063	1063
P54289	CACNA2D1	2	3	PRO_0000304633 'Voltage-dependent calcium channel subunit alpha-2/delta-1' 25-1103 | PRO_0000005001 'Voltage-dependent calcium channel subunit alpha-2-1' 25-956 | PRO_0000005002 'Voltage-dependent calcium channel subunit delta-1' 957-1103	25-1103	1103
P54577	YARS1	2	2	PRO_0000423285 'Tyrosine--tRNA ligase, cytoplasmic' 1-528 | PRO_0000055673 'Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed' 2-528	1-528	528
P54819	AK2	2	2	PRO_0000423212 'Adenylate kinase 2, mitochondrial' 1-239 | PRO_0000158917 'Adenylate kinase 2, mitochondrial, N-terminally processed' 2-239	1-239	239
P55210	CASP7	2	2	PRO_0000004617 'Caspase-7 subunit p20' 24-198 | PRO_0000004619 'Caspase-7 subunit p11' 207-303	24-198,207-303	303
P55769	SNU13	2	2	PRO_0000423260 'NHP2-like protein 1' 1-128 | PRO_0000136778 'NHP2-like protein 1, N-terminally processed' 2-128	1-128	128
P55957	BID	2	4	PRO_0000143101 'BH3-interacting domain death agonist' 1-195 | PRO_0000223233 'BH3-interacting domain death agonist p15' 61-195 | PRO_0000223232 'BH3-interacting domain death agonist p13' 76-195 | PRO_0000223231 'BH3-interacting domain death agonist p11' 100-195	1-195	195
P56385	ATP5ME	2	2	PRO_0000434346 'ATP synthase F(0) complex subunit e, mitochondrial' 1-69 | PRO_0000071684 'ATP synthase F(0) complex subunit e, mitochondrial, N-terminally processed' 2-69	1-69	69
P61769	B2M	2	2	PRO_0000018779 'Beta-2-microglobulin' 21-119 | PRO_0000018780 'Beta-2-microglobulin form pI 5.3' 22-119	21-119	119
P61981	YWHAG	2	2	PRO_0000367907 '14-3-3 protein gamma' 1-247 | PRO_0000058606 '14-3-3 protein gamma, N-terminally processed' 2-247	1-247	247
P62861	FAU	2	3	PRO_0000173999 'Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein' 1-133 | PRO_0000455003 'Ubiquitin-like protein FUBI' 1-74 | PRO_0000455004 'Small ribosomal subunit protein eS30' 75-133	1-133	133
P62877	RBX1	2	2	PRO_0000423264 'E3 ubiquitin-protein ligase RBX1' 1-108 | PRO_0000056013 'E3 ubiquitin-protein ligase RBX1, N-terminally processed' 2-108	1-108	108
P62937	PPIA	2	2	PRO_0000423240 'Peptidyl-prolyl cis-trans isomerase A' 1-165 | PRO_0000064115 'Peptidyl-prolyl cis-trans isomerase A, N-terminally processed' 2-165	1-165	165
P62979	RPS27A	2	2	PRO_0000396477 'Ubiquitin' 1-76 | PRO_0000396478 'Small ribosomal subunit protein eS31' 77-156	1-156	156
P62987	UBA52	2	2	PRO_0000396433 'Ubiquitin' 1-76 | PRO_0000396434 'Large ribosomal subunit protein eL40' 77-128	1-128	128
P63244	RACK1	2	2	PRO_0000424480 'Small ribosomal subunit protein RACK1' 1-317 | PRO_0000127731 'Small ribosomal subunit protein RACK1, N-terminally processed' 2-317	1-317	317
P63261	ACTG1	1	2	PRO_0000367100 'Actin, cytoplasmic 2' 1-375 | PRO_0000000831 'Actin, cytoplasmic 2, N-terminally processed' 2-375	1-375	375
P68032	ACTC1	1	2	PRO_0000442998 'Actin, alpha cardiac muscle 1, intermediate form' 2-377 | PRO_0000000813 'Actin, alpha cardiac muscle 1' 3-377	2-377	377
P68133	ACTA1	1	2	PRO_0000442803 'Actin, alpha skeletal muscle, intermediate form' 2-377 | PRO_0000442804 'Actin, alpha skeletal muscle' 3-377	2-377	377
P68363	TUBA1B	2	2	PRO_0000048108 'Tubulin alpha-1B chain' 1-451 | PRO_0000437384 'Detyrosinated tubulin alpha-1B chain' 1-450	1-451	451
P78559	MAP1A	2	3	PRO_0000018600 'Microtubule-associated protein 1A' 1-2803 | PRO_0000418376 'MAP1A heavy chain' 1-2566 | PRO_0000018601 'MAP1 light chain LC2' 2567-2803	1-2803	2803
P80303	NUCB2	2	2	PRO_0000004165 'Nucleobindin-2' 25-420 | PRO_0000419819 'Nesfatin-1' 25-106	25-420	420
P98160	HSPG2	2	3	PRO_0000026696 'Basement membrane-specific heparan sulfate proteoglycan core protein' 22-4391 | PRO_0000391621 'Endorepellin' 3687-4391 | PRO_0000391622 'LG3 peptide' 4197-4391	22-4391	4391
Q00653	NFKB2	2	2	PRO_0000030321 'Nuclear factor NF-kappa-B p100 subunit' 1-900 | PRO_0000030322 'Nuclear factor NF-kappa-B p52 subunit' 1-454	1-900	900
Q02790	FKBP4	2	2	PRO_0000391468 'Peptidyl-prolyl cis-trans isomerase FKBP4' 1-459 | PRO_0000075318 'Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed' 2-459	1-459	459
Q05655	PRKCD	2	3	PRO_0000055694 'Protein kinase C delta type' 1-676 | PRO_0000421667 'Protein kinase C delta type regulatory subunit' 1-329 | PRO_0000421668 'Protein kinase C delta type catalytic subunit' 330-676	1-676	676
Q08188	TGM3	2	2	PRO_0000033652 'Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain' 2-467 | PRO_0000033653 'Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain' 468-693	2-693	693
Q08431	MFGE8	2	3	PRO_0000007650 'Lactadherin' 24-387 | PRO_0000007651 'Lactadherin short form' 202-387 | PRO_0000007652 'Medin' 268-317	24-387	387
Q10471	GALNT2	2	2	PRO_0000223391 'Polypeptide N-acetylgalactosaminyltransferase 2' 1-571 | PRO_0000012265 'Polypeptide N-acetylgalactosaminyltransferase 2 soluble form' 52-571	1-571	571
Q12884	FAP	2	2	PRO_0000122424 'Prolyl endopeptidase FAP' 1-760 | PRO_0000430643 'Antiplasmin-cleaving enzyme FAP, soluble form' 24-760	1-760	760
Q12904	AIMP1	2	2	PRO_0000223394 'Aminoacyl tRNA synthase complex-interacting multifunctional protein 1' 2-312 | PRO_0000019242 'Endothelial monocyte-activating polypeptide 2' 147-312	2-312	312
Q13177	PAK2	2	3	PRO_0000086465 'Serine/threonine-protein kinase PAK 2' 2-524 | PRO_0000304922 'PAK-2p27' 2-212 | PRO_0000304923 'PAK-2p34' 213-524	2-524	524
Q13510	ASAH1	2	2	PRO_0000002312 'Acid ceramidase subunit alpha' 22-142 | PRO_0000002313 'Acid ceramidase subunit beta' 143-395	22-395	395
Q13683	ITGA7	2	4	PRO_0000016267 'Integrin alpha-7' 34-1181 | PRO_0000016268 'Integrin alpha-7 heavy chain' 34-955 | PRO_0000398833 'Integrin alpha-7 70 kDa form' 648-1181 | PRO_0000016269 'Integrin alpha-7 light chain' 959-1181	34-1181	1181
Q14118	DAG1	1	2	PRO_0000021065 'Alpha-dystroglycan' 30-653 | PRO_0000021066 'Beta-dystroglycan' 654-895	30-895	895
Q14624	ITIH4	2	2	PRO_0000016541 '70 kDa inter-alpha-trypsin inhibitor heavy chain H4' 29-661 | PRO_0000016543 '35 kDa inter-alpha-trypsin inhibitor heavy chain H4' 689-930	29-661,689-930	930
Q15067	ACOX1	2	3	PRO_0000204677 'Peroxisomal acyl-CoA oxidase 1, A chain' 1-660 | PRO_0000447500 'Peroxisomal acyl-CoA oxidase 1, B chain' 1-468 | PRO_0000447501 'Peroxisomal acyl-CoA oxidase 1, C chain' 469-660	1-660	660
Q15303	ERBB4	2	2	PRO_0000016674 'Receptor tyrosine-protein kinase erbB-4' 26-1308 | PRO_0000396797 'ERBB4 intracellular domain' 676-1308	26-1308	1308
Q15746	MYLK	2	2	PRO_0000024354 'Myosin light chain kinase, smooth muscle' 1-1914 | PRO_0000403731 'Myosin light chain kinase, smooth muscle, deglutamylated form' 1-1910	1-1914	1914
Q16543	CDC37	2	2	PRO_0000195057 'Hsp90 co-chaperone Cdc37' 1-378 | PRO_0000423197 'Hsp90 co-chaperone Cdc37, N-terminally processed' 2-378	1-378	378
Q16595	FXN	2	5	PRO_0000010129 'Frataxin intermediate form' 42-210 | PRO_0000010130 'Frataxin(56-210)' 56-210 | PRO_0000399388 'Frataxin(78-210)' 78-210 | PRO_0000456947 'Extramitochondrial frataxin' 81-210 | PRO_0000289331 'Frataxin mature form' 81-210	42-210	210
Q4V328	GRIPAP1	2	2	PRO_0000087581 'GRIP1-associated protein 1' 2-841 | PRO_0000441811 'GRASP-1 C-terminal chain' 599-841	2-841	841
Q66K74	MAP1S	2	3	PRO_0000311379 'Microtubule-associated protein 1S' 1-1059 | PRO_0000311380 'MAP1S heavy chain' 1-829 | PRO_0000311381 'MAP1S light chain' 830-1059	1-1059	1059
Q6P4A8	PLBD1	2	4	PRO_0000286106 'Lysosomal leucine aminopeptidase' 39-553 | PRO_0000425421 'Lysosomal leucine aminopeptidase chain A' 39-208 | PRO_0000425422 'Lysosomal leucine aminopeptidase chain C' 93-208 | PRO_0000425424 'Lysosomal leucine aminopeptidase chain B' 228-553	39-553	553
Q71U36	TUBA1A	2	2	PRO_0000048111 'Tubulin alpha-1A chain' 1-451 | PRO_0000437378 'Detyrosinated tubulin alpha-1A chain' 1-450	1-451	451
Q8IWL3	HSCB	2	2	PRO_0000446242 'Iron-sulfur cluster co-chaperone protein HscB, cytoplasmic' 1-235 | PRO_0000007262 'Iron-sulfur cluster co-chaperone protein HscB, mitochondrial' 30-235	1-235	235
