raised	stage	subject	rule	detail
2026-09-13T03:54:38Z	build_protein_set	Q07954	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000302750 'Low-density lipoprotein receptor-related protein 1 515 kDa subunit' 20-3943(UNSURE); PRO_0000302751 'Low-density lipoprotein receptor-related protein 1 85 kDa subunit' 3944(UNSURE)-4544; PRO_0000302752 'Low-density lipoprotein receptor-related protein 1 intracellular domain' 4441(UNSURE)-4544
2026-09-13T03:54:38Z	build_protein_set	Q14517	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000408559 'Protocadherin Fat 1, nuclear form' (UNKNOWN)-4588
2026-09-13T03:54:38Z	build_protein_set	Q15031	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000035806 'Leucine--tRNA ligase, mitochondrial' (UNKNOWN)-903
2026-09-13T03:54:38Z	build_protein_set	Q15070	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000020352 'Mitochondrial inner membrane protein OXA1L' (UNKNOWN)-435
2026-09-13T03:54:38Z	build_protein_set	Q15119	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000023440 '[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial' (UNKNOWN)-407
2026-09-13T03:54:38Z	build_protein_set	Q16654	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000023445 '[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial' (UNKNOWN)-411
2026-09-13T03:54:38Z	build_protein_set	Q16798	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000018539 'NADP-dependent malic enzyme, mitochondrial' (UNKNOWN)-604
2026-09-13T03:54:38Z	build_protein_set	Q86VB7	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000238939 'Soluble CD163' 42-(UNKNOWN)
2026-09-13T03:54:38Z	build_protein_set	Q8IWW8	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000322996 'Hydroxyacid-oxoacid transhydrogenase, mitochondrial' (UNKNOWN)-467
2026-09-13T03:54:38Z	build_protein_set	Q8N183	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000020054 'NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2' (UNKNOWN)-169
2026-09-13T03:54:38Z	build_protein_set	Q8N983	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030561 'Large ribosomal subunit protein mL43' (UNKNOWN)-215
2026-09-13T03:54:38Z	build_protein_set	Q8NFV4	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000281003 'sn-1-specific diacylglycerol lipase ABHD11' (UNKNOWN)-306
2026-09-13T03:54:38Z	build_protein_set	Q96E52	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000302809 'Metalloendopeptidase OMA1, mitochondrial' 144-(UNKNOWN)
2026-09-13T03:54:38Z	build_protein_set	Q96EL3	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000261664 'Large ribosomal subunit protein mL53' (UNKNOWN)-112
2026-09-13T03:54:38Z	build_protein_set	Q96EY1	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000007256 'DnaJ homolog subfamily A member 3, mitochondrial' (UNKNOWN)-480
2026-09-13T03:54:38Z	build_protein_set	Q96HY7	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000307936 '2-oxoadipate dehydrogenase complex component E1' (UNKNOWN)-919
2026-09-13T03:54:38Z	build_protein_set	Q99497	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000157849 'Parkinson disease protein 7' 2-(UNKNOWN)
2026-09-13T03:54:38Z	build_protein_set	Q9BRJ2	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030563 'Large ribosomal subunit protein mL45' (UNKNOWN)-306
2026-09-13T03:54:38Z	build_protein_set	Q9BVS5	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000311814 'tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial' (UNKNOWN)-477
2026-09-13T03:54:38Z	build_protein_set	Q9BVT8	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000435488 'iHOPS' (UNKNOWN)-246
2026-09-13T03:54:38Z	build_protein_set	Q9BW92	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000254586 'Threonine--tRNA ligase, mitochondrial' (UNKNOWN)-718
2026-09-13T03:54:38Z	build_protein_set	Q9GZT3	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000247051 'SRA stem-loop-interacting RNA-binding protein, mitochondrial' (UNKNOWN)-109
2026-09-13T03:54:38Z	build_protein_set	Q9H0U6	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030556 'Large ribosomal subunit protein uL18m' (UNKNOWN)-180
2026-09-13T03:54:38Z	build_protein_set	Q9H2W6	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030576 'Large ribosomal subunit protein mL46' (UNKNOWN)-279
2026-09-13T03:54:38Z	build_protein_set	Q9HA77	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000250741 'Probable cysteine--tRNA ligase, mitochondrial' (UNKNOWN)-564
2026-09-13T03:54:38Z	build_protein_set	Q9HD33	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030567 'Large ribosomal subunit protein uL29m' (UNKNOWN)-250
2026-09-13T03:54:38Z	build_protein_set	Q9NTG7	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000032612 'NAD-dependent protein deacetylase sirtuin-3, mitochondrial' (UNKNOWN)-399
2026-09-13T03:54:38Z	build_protein_set	Q9Y3B7	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030443 'Large ribosomal subunit protein uL11m' (UNKNOWN)-192
2026-09-13T03:54:38Z	build_protein_set	Q9Y697	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000001292 'Cysteine desulfurase' (UNKNOWN)-457
2026-09-13T03:54:38Z	build_protein_set	Q9Y6N5	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000022408 'Sulfide:quinone oxidoreductase, mitochondrial' (UNKNOWN)-450
