# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-12T21:58:23Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 eab7879e14401408aa6c70f4047db865441ca64fa933e1e751b571bfa7cac220
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 9ecb8ae2215e5755640d0ff4a5dd19bf23d7518a8401d0d7a77c6ad74939cdd4
# rules       = B0-B5, D31 (within-tier), D47 (summed rows), D48 (shared rows)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
accession	gene	tier	mw_master	match_rule	n_rows	rows	v_I	sd_I	valid_I	minor_row_share_I	shared_row_value_I	v_IIa	sd_IIa	valid_IIa	minor_row_share_IIa	shared_row_value_IIa	v_IIx	sd_IIx	valid_IIx	minor_row_share_IIx	shared_row_value_IIx	w_I_tier1	w_I_tier1_low	w_I_tier1_high	w_IIa_tier1	w_IIa_tier1_low	w_IIa_tier1_high	w_IIx_tier1	w_IIx_tier1_low	w_IIx_tier1_high	w_I_tier2	w_I_tier2_low	w_I_tier2_high	w_IIa_tier2	w_IIa_tier2_low	w_IIa_tier2_high	w_IIx_tier2	w_IIx_tier2_low	w_IIx_tier2_high
P12814	ACTN1	1	103055.8450	summed:2	2	71;72	100.260262	212.9036083	18	0.1247446929	0	128.8742752	245.859664	27	0.4671182346	0	41.93201447	86.31210952	11	0.281035752	0	0.000195507025	0	0.0006106680294	0.0002213277896	0	0.0006435654773	7.16887482e-05	0	0.0002192515869									
P12829	MYL4	1	21433.1650	single	1	2071	13.57751846	7.416290064	6	0	0	5.309072018	78.44240104	12	0	0	5.85212326	4.846481239	5	0	0	5.506398177e-06	2.498702316e-06	8.514094038e-06	1.896277999e-06	0	2.991409331e-05	2.080809939e-06	3.575710592e-07	3.804048819e-06									
P12882	MYH1	1	223142.1500	single	1	2051	34.63661957	583.8876573	19	0	0	2651.998779	1448.84512	29	0	0	12758.84668	4675.876134	13	0	0	0.0001462439862	0	0.002611555543	0.009861705189	0.004474039272	0.01524937111	0.0472308404	0.02992163018	0.06454005063									
P12883	MYH7	1	223093.9700	single	1	2062	42337.60547	9035.40461	19	0	0	23091.85547	6040.901672	29	0	0	23123.53906	7930.196245	13	0	0	0.17872077	0.1405793954	0.2168621446	0.08585068106	0.06339187417	0.1083094879	0.08558049163	0.05623074151	0.1149302417									
P13533	MYH6	1	223731.4300	single	1	2061	20.39925289	17.74817367	18	0	0	2.604974627	13.35371613	20	0	0	2.212247968	4.91554218	10	0	0	8.635791809e-05	1.122304252e-05	0.0001614927937	9.712422768e-06	0	5.950059929e-05	8.210950703e-06	0	2.645541294e-05									
P13535	MYH8	1	222759.2000	single	1	2064	1.72189486	1.78453326	6	0	0	3.966535807	3.784718276	17	0	0	3.169011474	2.038127811	8	0	0	7.257769689e-06	0	1.477955961e-05	1.472462051e-05	6.749451577e-07	2.877429587e-05	1.171094935e-05	4.179133271e-06	1.924276542e-05									
P13805	TNNT1	1	32947.7050	single	1	3534	47093.40234	13540.19393	19	0	0	19865.04492	16525.86361	29	0	0	18412.1875	15418.34299	13	0	0	0.02935932998	0.02091799846	0.0378006615	0.01090716298	0.001833421213	0.01998090475	0.01006382785	0.001636390884	0.01849126481									
P14625	HSP90B1	2	90176.8350	single	1	1499	41.69064713	37.58569913	19	0	0	44.16257477	369.7255107	29	0	0	48.89273071	137.085471	13	0	0										0.0007612185516	7.495116489e-05	0.001447485938	0.000633785996	0	0.005939791188	0.0005976650124	0	0.002273398573
P14672	SLC2A4	2	54786.4800	single	1	3169	9.202839851	7.48044311	12	0	0	10.79681492	4.102828924	17	0	0	12.4519186	19.83601562	8	0	0										0.0001020871317	1.910655252e-05	0.0001850677108	9.413742606e-05	5.836486189e-05	0.0001299099902	9.247582654e-05	0	0.0002397906299
P14923	JUP	1	81743.4900	single	1	1641	162.4871216	289.4117901	19	0	0	41.05331612	471.0216513	28	0	0	125.1250076	2408.60211	13	0	0	0.0002513234568	0	0.0006989649117	5.592403533e-05	0	0.00069756359	0.0001696797182	0	0.003435940676									
P15172	MYOD1	1	34500.8050	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P15382	KCNE1	1	14674.5600	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P16157	ANK1	1;2	206261.6200	summed:2	2	175;176	116.5371938	144.3267155	17	0.09474379776	0	75.08413935	47.23673008	28	0.08993250618	0	165.0350246	89.82406165	11	0.06922325196	0	0.0004548245347	0	0.001018106772	0.0002580855644	9.571947419e-05	0.0004204516547	0.0005647122233	0.0002573547658	0.0008720696807	0.004866970564	0	0.01089452154	0.00246467634	0.0009141058465	0.004015246834	0.004614377247	0.002102897595	0.0071258569
P16298	PPP3CB	1	58892.3200	single	1	2611	5.396234035	7.199681349	5	0	0	12.68431282	9.276319096	14	0	0	12.08845139	14.94728188	8	0	0	6.013265002e-06	0	1.403619203e-05	1.244866241e-05	3.344679681e-06	2.155264513e-05	1.181032837e-05	0	2.641371319e-05									
P16615	ATP2A2	2	114755.4950	single	1	312	10287.55078	3699.20502	19	0	0	4911.253418	1669.442924	29	0	0	7304.734863	2933.159035	13	0	0										0.2390348491	0.1530825236	0.3249871746	0.0896931134	0.05920445383	0.120181773	0.1136309136	0.06800331077	0.1592585163
P17661	DES	1	53403.7200	single	1	872	6504.340332	2644.015179	19	0	0	4521.089355	1925.632596	29	0	0	3542.89502	1893.545954	13	0	0	0.006572576818	0.003900823499	0.009244330138	0.004023571127	0.002309842619	0.005737299635	0.003138791266	0.001461223777	0.004816358755									
P18206	VCL	1	123797.3550	single	1	3757	88.01835632	89.3310762	19	0	0	135.1299591	513.4674166	29	0	0	137.9476776	1030.072803	13	0	0	0.0002061795196	0	0.0004154340336	0.0002787790241	0	0.001338084793	0.0002833077146	0	0.002398802347									
P19237	TNNI1	1	21560.8750	single	1	3531	51247.75781	16916.01966	19	0	0	411.6054688	2613.554749	29	0	0	369.5049744	1457.33518	13	0	0	0.02090750234	0.01400628879	0.02780871589	0.0001478919722	0	0.001086955701	0.000132165868	0	0.0006534307558									
P19429	TNNI3	1	23875.9500	single	1	3533	18.80967903	21.74869879	7	0	0	18.02183342	17.69495129	8	0	0	29.30483055	0	1	0	0	8.497730409e-06	0	1.832323454e-05	7.170620099e-06	1.300615473e-07	1.421117865e-05	1.160733494e-05	1.160733494e-05	1.160733494e-05									
P20807	CAPN3	1	94252.3600	single	1	473	148.8404541	74.54896495	19	0	0	189.5175095	115.1999129	28	0	0	236.6555328	91.16882869	13	0	0	0.0002654447395	0.0001324927763	0.0003983967028	0.0002976724597	0.0001167295931	0.0004786153264	0.0003700339206	0.0002274825984	0.0005125852429									
