# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-17T02:11:26Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# families from outputs/digest/shared_pairs.tsv at n_shared_peptides >= cutoff, anchored per config/carroll_classical_fractionation.ini (D52)
cutoff	band	accession	gene	tier	role	match_rule	v_I	v_IIa	v_IIx	w_I_tier1	w_IIa_tier1	w_IIx_tier1
1	myosin_heavy_chain	P13533	MYH6	1	family	single	20.39925289	2.604974627	2.212247968	8.634242063e-05	9.71134823e-06	8.209492738e-06
1	myosin_heavy_chain	Q8NF91	SYNE1	1	family	single	3.059793711	2.562503815	3.913133919	5.852688762e-05	4.317117551e-05	6.562367582e-05
1	myosin_heavy_chain	Q05682	CALD1	1	family	single	11.84749126	7.308197498	32.76321697	2.089607483e-05	1.135310527e-05	5.066375978e-05
1	myosin_heavy_chain	Q9Y2K3	MYH15	1	family	single	4.90601635	2.9650383	2.96331811	2.061935198e-05	1.097595708e-05	1.091935175e-05
1	myosin_heavy_chain	Q8WXH0	SYNE2	1	family	single	0.8987502754	1.164696336	0.7466751337	1.354157591e-05	1.545642152e-05	9.863576581e-06
1	myosin_heavy_chain	Q9Y623	MYH4	1	family	single	2.574687719	1674.002441	86.85237122	1.086538612e-05	0.006222182739	0.0003213474389
1	myosin_heavy_chain	Q92736	RYR2	1	family	single	0.8915997148	2.167798877	3.881194592	9.52275645e-06	2.039284484e-05	3.634383348e-05
1	myosin_heavy_chain	A7E2Y1	MYH7B	1	family	single	1.755599976	3.350167751	2.58501935	7.500869373e-06	1.260720056e-05	9.683277875e-06
1	myosin_heavy_chain	P13535	MYH8	1	family	single	1.72189486	3.966535807	3.169011474	7.256467237e-06	1.472299145e-05	1.170886991e-05
1	myosin_heavy_chain	Q15413	RYR3	1	family	single	0.3753759265	5.767174482	17.15056658	3.920265592e-06	5.304912638e-05	0.0001570363186
1	myosin_heavy_chain	Q96Q27	ASB2	1	family	single	1.843703866	3.888351321	381.8067627	2.448946775e-06	4.549039934e-06	0.0004446357279
1	myosin_heavy_chain	E7EW31	PROB1	2	family	single	49.43593597	45.22494507	57.55787277	0	0	0
1	myosin_heavy_chain	O14967	CLGN	2	family	single	10.80568886	0.9758123457	0	0	0	0
1	myosin_heavy_chain	O43795	MYO1B	2	family	single	1.847237498	0.4477324486	1.483661294	0	0	0
1	myosin_heavy_chain	O75400	PRPF40A	2	family	single	5.574793339	6.687864065	44.15148926	0	0	0
1	myosin_heavy_chain	O75410	TACC1	2	family	single	9.776913643	10.43659782	4.838321269	0	0	0
1	myosin_heavy_chain	O94855	SEC24D	2	family	single	0	2.196452677	1.23219955	0	0	0
1	myosin_heavy_chain	O94885	SASH1	2	family	shared_split	3.493979692	1.776664436	0	0	0	0
1	myosin_heavy_chain	O95163	ELP1	2	family	single+via_mapping:IKBKAP	13.78443718	33.59920692	20.50799751	0	0	0
1	myosin_heavy_chain	O95359	TACC2	2	family	single	0.6603604257	2.047634363	4.051144123	0	0	0
1	myosin_heavy_chain	O95613	PCNT	2	family	single	2.780619621	0.9271379709	1.309777439	0	0	0
1	myosin_heavy_chain	P00533	EGFR	2	family	single	0.9581164122	0.6491097212	1.239560425	0	0	0
1	myosin_heavy_chain	P04626	ERBB2	2	family	shared_split	0.4742775857	1.296662569	1.1032269	0	0	0
1	myosin_heavy_chain	P06744	GPI	2	family	single	53.49170685	603.2958984	1064.615356	0	0	0
1	myosin_heavy_chain	P07476	IVL	2	family	single	7.367417812	10.89863682	11.69188023	0	0	0
1	myosin_heavy_chain	P07942	LAMB1	2	family	single	4.848931313	3.109821081	10.88796329	0	0	0
1	myosin_heavy_chain	P11277	SPTB	2	family	single	80.39922333	70.34276581	76.55684662	0	0	0
1	myosin_heavy_chain	P27797	CALR	2	family	single	180.5045776	223.0112915	237.5467682	0	0	0
1	myosin_heavy_chain	P27824	CANX	2	family	single	186.8868713	140.2065506	140.6485291	0	0	0
1	myosin_heavy_chain	P30533	LRPAP1	2	family	single	40.10341644	50.14292526	89.72277832	0	0	0
1	myosin_heavy_chain	P35269	GTF2F1	2	family	single	9.017454147	9.697133541	148.1863251	0	0	0
1	myosin_heavy_chain	P35579	MYH9	2	family	single	64.55443573	25.17761803	18.68546867	0	0	0
1	myosin_heavy_chain	P35580	MYH10	2	family	single	2.319355011	4.749341488	6.063162804	0	0	0
1	myosin_heavy_chain	P36542	ATP5F1C	2	family	single+via_mapping:ATP5C1	3942.751709	2698.788818	1953.719238	0	0	0
1	myosin_heavy_chain	P36776	LONP1	2	family	single	26.36644363	35.6750412	33.66945267	0	0	0
1	myosin_heavy_chain	P42226	STAT6	2	family	single	2.602534533	2.952848792	3.764086127	0	0	0
1	myosin_heavy_chain	P42229	STAT5A	2	family	shared_split	1.687607169	2.700395823	1.801590025	0	0	0
1	myosin_heavy_chain	P43246	MSH2	2	family	single	13.87942886	8.222066879	342.6875305	0	0	0
1	myosin_heavy_chain	P46199	MTIF2	2	family	single	3.372376204	2.853332758	1.543218255	0	0	0
1	myosin_heavy_chain	P46821	MAP1B	2	family	single	0.7903709412	1.066627204	2.632425547	0	0	0
1	myosin_heavy_chain	P48681	NES	2	family	single	10.34482765	17.59271431	6.514631748	0	0	0
1	myosin_heavy_chain	P51692	STAT5B	2	family	shared_split	1.687607169	2.700395823	1.801590025	0	0	0
1	myosin_heavy_chain	P53992	SEC24C	2	family	single	1.118096709	0.8794983625	0	0	0	0
1	myosin_heavy_chain	P78559	MAP1A	2	family	single	1.457741797	4.605900884	9.076662064	0	0	0
1	myosin_heavy_chain	P82663	MRPS25	2	family	single	14.28259087	14.88260651	7.407115936	0	0	0
1	myosin_heavy_chain	Q01668	CACNA1D	1	family	none	0	0	0	0	0	0
1	myosin_heavy_chain	Q07065	CKAP4	2	family	single	99.22306633	119.441925	245.9496841	0	0	0
1	myosin_heavy_chain	Q12965	MYO1E	2	family	single	0.640203476	2.803213358	3.43583405	0	0	0
1	myosin_heavy_chain	Q13428	TCOF1	2	family	single	1.433183074	9.176070213	40.68408191	0	0	0
1	myosin_heavy_chain	Q13439	GOLGA4	2	family	single	3.245637894	3.90643692	4.8114748	0	0	0
1	myosin_heavy_chain	Q13936	CACNA1C	1	family	none	0	0	0	0	0	0
1	myosin_heavy_chain	Q14134	TRIM29	2	family	single	0	3.65002799	2.616476059	0	0	0
1	myosin_heavy_chain	Q14683	SMC1A	2	family	single	9.872264385	24.82921028	8.527701378	0	0	0
1	myosin_heavy_chain	Q15303	ERBB4	2	family	shared_split	0.4742775857	1.296662569	1.1032269	0	0	0
1	myosin_heavy_chain	Q2M2I8	AAK1	2	family	single	2.963959932	4.493111134	0	0	0	0
1	myosin_heavy_chain	Q32MZ4	LRRFIP1	2	family	single	2.548038244	3.062404871	6.843461037	0	0	0
1	myosin_heavy_chain	Q4ZHG4	FNDC1	2	family	single	6.083771706	46.66842079	25.10741043	0	0	0
1	myosin_heavy_chain	Q5K651	SAMD9	2	family	single	2.617737174	1.55685246	1.062440902	0	0	0
1	myosin_heavy_chain	Q5TZA2	CROCC	2	family	single	8.575520515	2.950431228	6.237491846	0	0	0
1	myosin_heavy_chain	Q63HN8	RNF213	2	family	single	1.315139174	0.6786234379	7.157934844	0	0	0
1	myosin_heavy_chain	Q7Z406	MYH14	2	family	single	26.89785767	16.64102173	16.4453373	0	0	0
1	myosin_heavy_chain	Q7Z478	DHX29	2	family	single	90.2467041	1.714293897	5.060132891	0	0	0
1	myosin_heavy_chain	Q8IVF2	AHNAK2	2	family	single	2.754482985	7.04200983	8.418522835	0	0	0
1	myosin_heavy_chain	Q8IVG5	SAMD9L	2	family	single	3.009855628	2.32253468	0	0	0	0
1	myosin_heavy_chain	Q8IYE0	CCDC146	2	family	single	1.672208786	7.121986389	7.723943233	0	0	0
1	myosin_heavy_chain	Q8N283	ANKRD35	2	family	single	8.347878456	219.4378052	198.2030182	0	0	0
1	myosin_heavy_chain	Q8N3F8	MICALL1	2	family	single	0	7.008239746	9.690259933	0	0	0
1	myosin_heavy_chain	Q8NDA2	HMCN2	2	family	single	0.7618579865	3.812968254	8.105929375	0	0	0
1	myosin_heavy_chain	Q96K21	ZFYVE19	2	family	single	18.28353882	6.412226439	0	0	0	0
1	myosin_heavy_chain	Q96PU8	QKI	2	family	single	9.626338005	6.940989494	25.45932961	0	0	0
1	myosin_heavy_chain	Q96TA1	NIBAN2	2	family	single+via_mapping:FAM129B	2.689213872	2.681913555	3.232263088	0	0	0
1	myosin_heavy_chain	Q99459	CDC5L	2	family	single	3.108220458	3.351043463	10.89725399	0	0	0
1	myosin_heavy_chain	Q99996	AKAP9	2	family	single	0.3246166557	2.786564112	0.8082692921	0	0	0
1	myosin_heavy_chain	Q9BUP0	EFHD1	2	family	shared_group	10.25807667	5.28288269	0	0	0	0
1	myosin_heavy_chain	Q9BXJ9	NAA15	2	family	single	1.054767638	3.26675272	5.614620328	0	0	0
1	myosin_heavy_chain	Q9BY77	POLDIP3	2	family	single	4.520644903	4.551243305	3.393966436	0	0	0
1	myosin_heavy_chain	Q9BZE1	MRPL37	2	family	single	7.305741549	5.916668892	4.034137964	0	0	0
1	myosin_heavy_chain	Q9BZF3	OSBPL6	2	family	single	1.398828268	5.970942736	3.86351943	0	0	0
1	myosin_heavy_chain	Q9BZF9	UACA	2	family	single	1.114580274	1.533164144	0.9049473405	0	0	0
1	myosin_heavy_chain	Q9H307	PNN	2	family	single	3.425848246	1.529166758	4.882400513	0	0	0
1	myosin_heavy_chain	Q9H6N6	MYH16	2	family	single	7.513045549	188.6961517	168.1551208	0	0	0
1	myosin_heavy_chain	Q9NQ89	FERRY3	2	family	single+via_mapping:C12orf4	20.68765545	10.33143663	14.40913391	0	0	0
1	myosin_heavy_chain	Q9NR19	ACSS2	2	family	single	5.779424191	2.257190704	10.96530724	0	0	0
1	myosin_heavy_chain	Q9NSI8	SAMSN1	2	family	shared_split	3.493979692	1.776664436	0	0	0	0
1	myosin_heavy_chain	Q9P0K7	RAI14	2	family	single	5.019768715	7.199249506	4.980962753	0	0	0
1	myosin_heavy_chain	Q9UKV3	ACIN1	2	family	single	6.871356964	3.384511471	0.9719824195	0	0	0
1	myosin_heavy_chain	Q9Y490	TLN1	2	family	single	10.34318352	15.59249401	21.52319908	0	0	0
1	myosin_heavy_chain	Q9Y4G6	TLN2	2	family	single	15.13807011	15.62867928	14.76961994	0	0	0
1	myosin_heavy_chain	Q9Y4I1	MYO5A	2	family	single	1.426143885	2.404366672	0	0	0	0
1	myosin_heavy_chain	Q9Y608	LRRFIP2	2	family	single	3.597070694	3.723127246	2.840220332	0	0	0
1	actin	P68133	ACTA1	1	anchor	single	100000	100000	100000	0.07930433534	0.0698494517	0.0695295614
1	actin	P63261	ACTG1	1	family	summed:3	239.3656788	203.8949623	131.7593317	0.0001892522311	0.0001419880176	9.13341249e-05
1	actin	P68032	ACTC1	1	family	none	0	0	0	0	0	0
1	actin	Q562R1	ACTBL2	2	family	single	53.31747818	45.57096481	22.73823738	0	0	0
1	actin	Q6S8J3	POTEE	2	family	single	2.749177217	2.124814034	21.47434044	0	0	0
1	actin	Q9BYX7	POTEKP	2	family	single	0	7.899624348	7.417660475	0	0	0
2	myosin_heavy_chain	P12883	MYH7	1	anchor	single	42337.60547	23091.85547	23123.53906	0.1786886974	0.08584118293	0.08556529566
2	myosin_heavy_chain	Q9UKX2	MYH2	1	anchor	summed:2	2410.703857	36875.86002	18653.31055	0.01017212804	0.137049099	0.06900752254
2	myosin_heavy_chain	P11055	MYH3	1	family	single	1753.500977	1782.352417	2616.046387	0.00742755154	0.006649658054	0.009715332367
2	myosin_heavy_chain	Q9UKX3	MYH13	1	family	single	1513.63501	1494.858154	1246.57373	0.006402927923	0.00556959358	0.004623256401
2	myosin_heavy_chain	P12882	MYH1	1	anchor	single	34.63661957	2651.998779	12758.84668	0.0001462177418	0.009860614135	0.04722245394
2	myosin_heavy_chain	P13533	MYH6	1	family	single	20.39925289	2.604974627	2.212247968	8.634242063e-05	9.71134823e-06	8.209492738e-06
2	myosin_heavy_chain	Q9Y2K3	MYH15	1	family	single	4.90601635	2.9650383	2.96331811	2.061935198e-05	1.097595708e-05	1.091935175e-05
2	myosin_heavy_chain	Q9Y623	MYH4	1	family	single	2.574687719	1674.002441	86.85237122	1.086538612e-05	0.006222182739	0.0003213474389
2	myosin_heavy_chain	A7E2Y1	MYH7B	1	family	single	1.755599976	3.350167751	2.58501935	7.500869373e-06	1.260720056e-05	9.683277875e-06
2	myosin_heavy_chain	P13535	MYH8	1	family	single	1.72189486	3.966535807	3.169011474	7.256467237e-06	1.472299145e-05	1.170886991e-05
2	myosin_heavy_chain	P35579	MYH9	2	family	single	64.55443573	25.17761803	18.68546867	0	0	0
2	myosin_heavy_chain	P35580	MYH10	2	family	single	2.319355011	4.749341488	6.063162804	0	0	0
2	myosin_heavy_chain	Q7Z406	MYH14	2	family	single	26.89785767	16.64102173	16.4453373	0	0	0
2	myosin_heavy_chain	Q9H6N6	MYH16	2	family	single	7.513045549	188.6961517	168.1551208	0	0	0
2	actin	P68133	ACTA1	1	anchor	single	100000	100000	100000	0.07930433534	0.0698494517	0.0695295614
2	actin	P63261	ACTG1	1	family	summed:3	239.3656788	203.8949623	131.7593317	0.0001892522311	0.0001419880176	9.13341249e-05
2	actin	P68032	ACTC1	1	family	none	0	0	0	0	0	0
2	actin	Q562R1	ACTBL2	2	family	single	53.31747818	45.57096481	22.73823738	0	0	0
2	actin	Q6S8J3	POTEE	2	family	single	2.749177217	2.124814034	21.47434044	0	0	0
2	actin	Q9BYX7	POTEKP	2	family	single	0	7.899624348	7.417660475	0	0	0
