# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-13T06:13:33Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
row_index	gene_cell	n_members	members_in_pool	v_I	v_IIa	v_IIx	outcome
355	BAP18;C17orf49;RNASEK-C17orf49	3	BAP18;C17orf49	13.76298618	16.86672592	14.24634647	shared_split I:BAP18=0.500,C17orf49=0.500 IIa:BAP18=0.500,C17orf49=0.500 IIx:BAP18=0.500,C17orf49=0.500
396	BTN3A2;BTN3A3;BTN3A1	3	BTN3A2;BTN3A3;BTN3A1	6.757125378	7.217715025	15.53369665	shared_split I:BTN3A2=0.333,BTN3A3=0.333,BTN3A1=0.333 IIa:BTN3A2=0.333,BTN3A3=0.333,BTN3A1=0.333 IIx:BTN3A2=0.333,BTN3A3=0.333,BTN3A1=0.333
454	CALM1;CALM2	2	CALM1;CALM2	285.4883423	564.8098755	733.2785034	shared_split I:CALM1=0.500,CALM2=0.500 IIa:CALM1=0.500,CALM2=0.500 IIx:CALM1=0.500,CALM2=0.500
585	CHCHD2;CHCHD2P9	2	CHCHD2;CHCHD2P9	46.42770195	95.85738373	51.65391541	shared_split I:CHCHD2=0.500,CHCHD2P9=0.500 IIa:CHCHD2=0.500,CHCHD2P9=0.500 IIx:CHCHD2=0.500,CHCHD2P9=0.500
677	COMMD3;COMMD3-BMI1	2	COMMD3	11.78804255	5.886271	0	shared_group:COMMD3
703	CORO7-PAM16;CORO7;PAM16	3	CORO7;PAM16	4.338575125	4.486690521	5.200763345	shared_split I:CORO7=0.500,PAM16=0.500 IIa:CORO7=0.500,PAM16=0.500 IIx:CORO7=0.500,PAM16=0.500
758	CSNK1E;CSNK1D	2	CSNK1E;CSNK1D	4.896736383	9.162130356	12.68433094	shared_split I:CSNK1E=0.500,CSNK1D=0.500 IIa:CSNK1E=0.500,CSNK1D=0.500 IIx:CSNK1E=0.500,CSNK1D=0.500
759	CSNK2A1;CSNK2A3	2	CSNK2A1;CSNK2A3	11.13010216	6.599895	6.047897339	shared_split I:CSNK2A1=0.500,CSNK2A3=0.500 IIa:CSNK2A1=0.500,CSNK2A3=0.500 IIx:CSNK2A1=0.500,CSNK2A3=0.500
760	CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991	3	CSNK2B	3.850231409	7.362249851	13.501544	shared_group:CSNK2B
815	DAK;TKFC	2	DAK;TKFC	0.9931744635	1.734969735	11.78439522	shared_split I:DAK=0.500,TKFC=0.500 IIa:DAK=0.500,TKFC=0.500 IIx:DAK=0.500,TKFC=0.500
831	DCTN1;DKFZp686E0752	2	DCTN1	3.342967868	6.509548664	17.03515053	shared_group:DCTN1
845	DDT;DDTL	2	DDT;DDTL	9.574565411	24.92087173	29.03260803	shared_split I:DDT=0.500,DDTL=0.500 IIa:DDT=0.500,DDTL=0.500 IIx:DDT=0.500,DDTL=0.500
850	DDX19A;DDX19B	2	DDX19A;DDX19B	12.96144009	5.467519283	4.088744998	shared_split I:DDX19A=0.500,DDX19B=0.500 IIa:DDX19A=0.500,DDX19B=0.500 IIx:DDX19A=0.500,DDX19B=0.500
875	DHCR24;Nbla03646	2	DHCR24	11.82531929	4.517328978	23.74826527	shared_group:DHCR24
972	DYNLRB1;DYNLRB2	2	DYNLRB1;DYNLRB2	17.97627831	21.3389101	21.71392822	shared_split I:DYNLRB1=0.500,DYNLRB2=0.500 IIa:DYNLRB1=0.500,DYNLRB2=0.500 IIx:DYNLRB1=0.500,DYNLRB2=0.500
973	DYRK1A;DYRK1B	2	DYRK1A;DYRK1B	8.74339664	2.445356846	0	shared_split I:DYRK1A=0.500,DYRK1B=0.500 IIa:DYRK1A=0.500,DYRK1B=0.500 IIx:DYRK1A=0.500,DYRK1B=0.500
983	ECI1;DCI	2	ECI1;DCI	1148.077393	832.3930054	458.7617188	shared_split I:ECI1=0.500,DCI=0.500 IIa:ECI1=0.500,DCI=0.500 IIx:ECI1=0.500,DCI=0.500
986	ECM29;KIAA0368	2	ECM29;KIAA0368	3.481372118	2.439524651	2.161964655	shared_split I:ECM29=0.500,KIAA0368=0.500 IIa:ECM29=0.500,KIAA0368=0.500 IIx:ECM29=0.500,KIAA0368=0.500
990	EEF1A1;EEF1A1P5	2	EEF1A1;EEF1A1P5	510.9580078	1281.549683	1086.510254	shared_split I:EEF1A1=0.500,EEF1A1P5=0.500 IIa:EEF1A1=0.500,EEF1A1P5=0.500 IIx:EEF1A1=0.500,EEF1A1P5=0.500
994	EEF1E1;EEF1E1-BLOC1S5	2	EEF1E1	2.713075399	4.361749172	1.601060838	shared_group:EEF1E1
1000	EFHD1;PP1187	2	EFHD1	10.25807667	5.28288269	0	shared_group:EFHD1
1010	EIF1;EIF1B	2	EIF1;EIF1B	26.43227005	32.48501492	97.34701538	shared_split I:EIF1=0.500,EIF1B=0.500 IIa:EIF1=0.500,EIF1B=0.500 IIx:EIF1=0.500,EIF1B=0.500
1011	EIF1AX;EIF1AY	2	EIF1AX;EIF1AY	10.39558649	9.841794729	11.49844837	shared_split I:EIF1AX=0.500,EIF1AY=0.500 IIa:EIF1AX=0.500,EIF1AY=0.500 IIx:EIF1AX=0.500,EIF1AY=0.500
1020	EIF2S3;EIF2S3L	2	EIF2S3	5.641252279	7.384181023	11.1495018	shared_group:EIF2S3
1023	EIF3C;EIF3CL	2	EIF3C;EIF3CL	2.878254056	6.169325829	7.256140709	shared_split I:EIF3C=0.500,EIF3CL=0.500 IIa:EIF3C=0.500,EIF3CL=0.500 IIx:EIF3C=0.500,EIF3CL=0.500
1043	EIF5A;EIF5AL1	2	EIF5A;EIF5AL1	78.04376984	167.6843948	320.709198	shared_split I:EIF5A=0.500,EIF5AL1=0.500 IIa:EIF5A=0.500,EIF5AL1=0.500 IIx:EIF5A=0.500,EIF5AL1=0.500
1047	ELMO2;ELMO1	2	ELMO2;ELMO1	4.189274788	4.175058842	2.429592371	shared_split I:ELMO2=0.500,ELMO1=0.500 IIa:ELMO2=0.500,ELMO1=0.500 IIx:ELMO2=0.500,ELMO1=0.500
1087	ERBB2;ERBB4	2	ERBB2;ERBB4	0.9485551715	2.593325138	2.2064538	shared_split I:ERBB2=0.500,ERBB4=0.500 IIa:ERBB2=0.500,ERBB4=0.500 IIx:ERBB2=0.500,ERBB4=0.500
1131	FAHD2A;FAHD2B	2	FAHD2A;FAHD2B	33.95443153	18.82043457	16.97394753	shared_split I:FAHD2A=0.500,FAHD2B=0.500 IIa:FAHD2A=0.500,FAHD2B=0.500 IIx:FAHD2A=0.500,FAHD2B=0.500
1144	FAM21A;FAM21C	2	FAM21A;FAM21C	9.626923561	11.52899933	0.538005352	shared_split I:FAM21A=0.500,FAM21C=0.500 IIa:FAM21A=0.500,FAM21C=0.500 IIx:FAM21A=0.500,FAM21C=0.500
1146	FAM45A;FAM45B	2	FAM45A	28.30018759	5.583292961	0	shared_group:FAM45A
1206	FNTB;CHURC1-FNTB	2	FNTB	25.70697021	13.13614178	4.18035078	shared_group:FNTB
1289	GLUD1;GLUD2	2	GLUD1;GLUD2	67.50807953	53.31233215	19.51170921	shared_split I:GLUD1=0.500,GLUD2=0.500 IIa:GLUD1=0.500,GLUD2=0.500 IIx:GLUD1=0.500,GLUD2=0.500
1356	GSTT2B;GSTT2;Em:AP000351.3	3	GSTT2B	65.03128052	30.50596237	41.00271225	shared_group:GSTT2B
1373	H2AFZ;H2AFV	2	H2AFZ;H2AFV	152.3264809	169.5323944	133.2213135	shared_split I:H2AFZ=0.500,H2AFV=0.500 IIa:H2AFZ=0.500,H2AFV=0.500 IIx:H2AFZ=0.500,H2AFV=0.500
1374	H3F3A;H3F3B;HIST3H3;H3F3C	4	H3F3B;HIST3H3;H3F3C	2084.066406	1911.730469	2024.065796	shared_split I:H3F3B=0.333,HIST3H3=0.333,H3F3C=0.333 IIa:H3F3B=0.333,HIST3H3=0.333,H3F3C=0.333 IIx:H3F3B=0.333,HIST3H3=0.333,H3F3C=0.333
1409	HEL-S-109;NUCB2;Nucb2	3	NUCB2	1.778798103	10.183393	12.91436672	shared_group:NUCB2
1411	HEMK2;N6AMT1	2	HEMK2;N6AMT1	53.53850555	0	0	shared_split I:HEMK2=0.500,N6AMT1=0.500 IIa:HEMK2=0.500,N6AMT1=0.500 IIx:HEMK2=0.500,N6AMT1=0.500
1430	HIST1H2AG;H2AFJ;HIST1H2AJ;HIST1H2AH;HIST1H2AD;HIST1H2AC;HIST3H2A;HIST1H2AB;HIST1H2AA	9	H2AFJ;HIST1H2AJ;HIST1H2AH;HIST1H2AD;HIST1H2AC;HIST3H2A;HIST1H2AA	30.51678085	87.08366585	172.5063095	shared_split I:H2AFJ=0.143,HIST1H2AJ=0.143,HIST1H2AH=0.143,HIST1H2AD=0.143,HIST1H2AC=0.143,HIST3H2A=0.143,HIST1H2AA=0.143 IIa:H2AFJ=0.143,HIST1H2AJ=0.143,HIST1H2AH=0.143,HIST1H2AD=0.143,HIST1H2AC=0.143,HIST3H2A=0.143,HIST1H2AA=0.143 IIx:H2AFJ=0.143,HIST1H2AJ=0.143,HIST1H2AH=0.143,HIST1H2AD=0.143,HIST1H2AC=0.143,HIST3H2A=0.143,HIST1H2AA=0.143
1431	HIST1H2BB;HIST2H2BE;HIST1H2BO;HIST1H2BJ	4	HIST1H2BB;HIST2H2BE;HIST1H2BO;HIST1H2BJ	4977.943848	4580.396973	4621.51709	shared_split I:HIST1H2BB=0.250,HIST2H2BE=0.250,HIST1H2BO=0.250,HIST1H2BJ=0.250 IIa:HIST1H2BB=0.250,HIST2H2BE=0.250,HIST1H2BO=0.250,HIST1H2BJ=0.250 IIx:HIST1H2BB=0.250,HIST2H2BE=0.250,HIST1H2BO=0.250,HIST1H2BJ=0.250
1432	HIST1H2BH;HIST1H2BM;HIST1H2BN;HIST2H2BF;HIST1H2BD;HIST1H2BK;HIST1H2BC;H2BFS	8	HIST1H2BH;HIST1H2BM;HIST1H2BN;HIST2H2BF;HIST1H2BD;HIST1H2BK;H2BFS	103.4359436	111.3155708	209.1997681	shared_split I:HIST1H2BH=0.143,HIST1H2BM=0.143,HIST1H2BN=0.143,HIST2H2BF=0.143,HIST1H2BD=0.143,HIST1H2BK=0.143,H2BFS=0.143 IIa:HIST1H2BH=0.143,HIST1H2BM=0.143,HIST1H2BN=0.143,HIST2H2BF=0.143,HIST1H2BD=0.143,HIST1H2BK=0.143,H2BFS=0.143 IIx:HIST1H2BH=0.143,HIST1H2BM=0.143,HIST1H2BN=0.143,HIST2H2BF=0.143,HIST1H2BD=0.143,HIST1H2BK=0.143,H2BFS=0.143
1434	HIST2H2AA3;HIST2H2AC	2	HIST2H2AC	4627.214844	4485.418945	6369.106934	shared_group:HIST2H2AC
1443	HLA-G;HLA-G3;HLA-G2.2	3	HLA-G	8.362933159	13.01187038	18.10243416	shared_group:HLA-G
1446	HMGB1;HMGB1P1	2	HMGB1;HMGB1P1	159.4634781	70.48429871	54.08208466	shared_split I:HMGB1=0.500,HMGB1P1=0.500 IIa:HMGB1=0.500,HMGB1P1=0.500 IIx:HMGB1=0.500,HMGB1P1=0.500
1458	HNRNPA1;HNRNPA1L2	2	HNRNPA1;HNRNPA1L2	58.02087021	58.22200394	300.2815247	shared_split I:HNRNPA1=0.500,HNRNPA1L2=0.500 IIa:HNRNPA1=0.500,HNRNPA1L2=0.500 IIx:HNRNPA1=0.500,HNRNPA1L2=0.500
1474	HNRNPUL2;HNRNPUL2-BSCL2	2	HNRNPUL2	2.7139678	3.492276907	1.991236448	shared_group:HNRNPUL2
1481	HPCAL1;HPCA	2	HPCAL1;HPCA	3.207099676	1.726565599	9.373001456	shared_split I:HPCAL1=0.500,HPCA=0.500 IIa:HPCAL1=0.500,HPCA=0.500 IIx:HPCAL1=0.500,HPCA=0.500
1501	HSPA1B;HSPA1A	2	HSPA1B;HSPA1A	372.5446777	384.2647705	505.4808655	shared_split I:HSPA1B=0.500,HSPA1A=0.500 IIa:HSPA1B=0.500,HSPA1A=0.500 IIx:HSPA1B=0.500,HSPA1A=0.500
1521	HSPE1-MOB4;MOB4	2	MOB4	710.3227539	579.6383057	429.9594727	shared_group:MOB4
1561	IGHA1;IGHA2	2	IGHA1;IGHA2	33.72826385	29.54399395	25.86748314	shared_split I:IGHA1=0.500,IGHA2=0.500 IIa:IGHA1=0.500,IGHA2=0.500 IIx:IGHA1=0.500,IGHA2=0.500
1567	IGHV3-74;IGHV3OR16-13;IGHV3-66;IGHV3-53;IGHV3-30;IGHV3-33;IGHV3OR16-12;IGHV3-23	8	IGHV3-74;IGHV3-66;IGHV3-53;IGHV3-30;IGHV3-33;IGHV3-23	0	26.05922127	0	shared_split I:IGHV3-74=0.167,IGHV3-66=0.167,IGHV3-53=0.167,IGHV3-30=0.167,IGHV3-33=0.167,IGHV3-23=0.167 IIa:IGHV3-74=0.167,IGHV3-66=0.167,IGHV3-53=0.167,IGHV3-30=0.167,IGHV3-33=0.167,IGHV3-23=0.167 IIx:IGHV3-74=0.167,IGHV3-66=0.167,IGHV3-53=0.167,IGHV3-30=0.167,IGHV3-33=0.167,IGHV3-23=0.167
1569	IGJ;JCHAIN	2	IGJ;JCHAIN	16.32272148	10.59399509	110.148222	shared_split I:IGJ=0.500,JCHAIN=0.500 IIa:IGJ=0.500,JCHAIN=0.500 IIx:IGJ=0.500,JCHAIN=0.500
1572	IGKV2D-29;IGKV2D-26	2	IGKV2D-29;IGKV2D-26	12.72471762	36.72233963	22.54640579	shared_split I:IGKV2D-29=0.500,IGKV2D-26=0.500 IIa:IGKV2D-29=0.500,IGKV2D-26=0.500 IIx:IGKV2D-29=0.500,IGKV2D-26=0.500
1576	IGLC3;IGLC2;IGLC6	3	IGLC3;IGLC2;IGLC6	33.33557892	43.89191628	56.30360031	shared_split I:IGLC3=0.333,IGLC2=0.333,IGLC6=0.333 IIa:IGLC3=0.333,IGLC2=0.333,IGLC6=0.333 IIx:IGLC3=0.333,IGLC2=0.333,IGLC6=0.333
1577	IGLL5;IGLC1	2	IGLL5;IGLC1	9.03162241	11.15483761	9.213130951	shared_split I:IGLL5=0.500,IGLC1=0.500 IIa:IGLL5=0.500,IGLC1=0.500 IIx:IGLL5=0.500,IGLC1=0.500
1732	LGALS9;LGALS9C;LGALS9B	3	LGALS9;LGALS9C;LGALS9B	42.93858337	70.16025543	2.045335531	shared_split I:LGALS9=0.333,LGALS9C=0.333,LGALS9B=0.333 IIa:LGALS9=0.333,LGALS9C=0.333,LGALS9B=0.333 IIx:LGALS9=0.333,LGALS9C=0.333,LGALS9B=0.333
1777	LRRC4B;LRRC4C	2	LRRC4B;LRRC4C	86.30274773	123.7379379	0	shared_split I:LRRC4B=0.500,LRRC4C=0.500 IIa:LRRC4B=0.500,LRRC4C=0.500 IIx:LRRC4B=0.500,LRRC4C=0.500
1793	LUC7L2;C7orf55;C7orf55-LUC7L2	3	LUC7L2;C7orf55	10.50991535	7.691039085	10.76136541	shared_split I:LUC7L2=0.000,C7orf55=1.000 IIa:LUC7L2=0.000,C7orf55=1.000 IIx:LUC7L2=0.000,C7orf55=1.000
1811	MAGOHB;MAGOH	2	MAGOHB;MAGOH	6.450636864	5.632044554	0	shared_split I:MAGOHB=0.500,MAGOH=0.500 IIa:MAGOHB=0.500,MAGOH=0.500 IIx:MAGOHB=0.500,MAGOH=0.500
1822	MAP1LC3B;MAP1LC3B2	2	MAP1LC3B;MAP1LC3B2	13.67269897	48.3212471	58.01355553	shared_split I:MAP1LC3B=0.500,MAP1LC3B2=0.500 IIa:MAP1LC3B=0.500,MAP1LC3B2=0.500 IIx:MAP1LC3B=0.500,MAP1LC3B2=0.500
1845	MAST2;MAST3	2	MAST2;MAST3	10.73970985	4.173381329	0	shared_split I:MAST2=0.500,MAST3=0.500 IIa:MAST2=0.500,MAST3=0.500 IIx:MAST2=0.500,MAST3=0.500
1853	MBNL1;MBNL2;MBLL	3	MBNL1;MBNL2;MBLL	9.276211739	10.8983345	16.92189121	shared_split I:MBNL1=0.333,MBNL2=0.333,MBLL=0.333 IIa:MBNL1=0.333,MBNL2=0.333,MBLL=0.333 IIx:MBNL1=0.333,MBNL2=0.333,MBLL=0.333
1899	MKNK1;DKFZp686E14208	2	MKNK1	0	31.91471291	15.04972363	shared_group:MKNK1
1914	MPC1;BRP44L	2	MPC1;BRP44L	328.534256	123.4328537	104.3178673	shared_split I:MPC1=0.500,BRP44L=0.500 IIa:MPC1=0.500,BRP44L=0.500 IIx:MPC1=0.500,BRP44L=0.500
1964	MRPS17;hCG_1984214	2	MRPS17	12.89757347	17.45886612	0	shared_group:MRPS17
2009	MTHFS;ST20-MTHFS	2	MTHFS	8.091668129	6.894766808	0	shared_group:MTHFS
2032	MUSTN1;TMEM110-MUSTN1	2	MUSTN1	91.38249207	359.5725555	91.60761642	shared_group:MUSTN1
2068	MYL12A;MYL12B	2	MYL12A;MYL12B	95.1255188	18.62800407	33.30679989	shared_split I:MYL12A=0.500,MYL12B=0.500 IIa:MYL12A=0.500,MYL12B=0.500 IIx:MYL12A=0.500,MYL12B=0.500
2169	NDUFC2;KCTD14;NDUFC2-KCTD14	3	NDUFC2;KCTD14;NDUFC2-KCTD14	434.8396912	346.3216858	263.2544861	shared_split I:NDUFC2=0.333,KCTD14=0.333,NDUFC2-KCTD14=0.333 IIa:NDUFC2=0.333,KCTD14=0.333,NDUFC2-KCTD14=0.333 IIx:NDUFC2=0.333,KCTD14=0.333,NDUFC2-KCTD14=0.333
2219	NME2;NME1-NME2;NME1	3	NME2;NME1	40.47605896	40.93383026	59.16074371	shared_split I:NME2=0.000,NME1=1.000 IIa:NME2=0.000,NME1=1.000 IIx:NME2=0.000,NME1=1.000
2232	NOMO2;NOMO3	2	NOMO2;NOMO3	2.087051868	3.084857941	2.881102085	shared_split I:NOMO2=0.500,NOMO3=0.500 IIa:NOMO2=0.500,NOMO3=0.500 IIx:NOMO2=0.500,NOMO3=0.500
2244	NPTN;DKFZp566H1924	2	NPTN	7.500038862	9.221199036	11.60049152	shared_group:NPTN
2331	PABPC1;PABPC3	2	PABPC1;PABPC3	4.586906433	14.19649315	10.65093231	shared_split I:PABPC1=0.500,PABPC3=0.500 IIa:PABPC1=0.500,PABPC3=0.500 IIx:PABPC1=0.500,PABPC3=0.500
2595	PPP1R2;PPP1R2P3	2	PPP1R2;PPP1R2P3	43.47251225	31.83446693	88.48271179	shared_split I:PPP1R2=0.500,PPP1R2P3=0.500 IIa:PPP1R2=0.500,PPP1R2P3=0.500 IIx:PPP1R2=0.500,PPP1R2P3=0.500
2606	PPP2R4;DKFZp781M17165	2	PPP2R4	3.610263586	5.331889153	8.044266701	shared_group:PPP2R4
2637	PRKACA;KIN27;PRKACB	3	PRKACB	44.56057739	65.51602936	75.72969437	shared_group:PRKACB
2666	PRPS1;PRPS2	2	PRPS1;PRPS2	22.68424606	39.43460846	122.5763168	shared_split I:PRPS1=0.500,PRPS2=0.500 IIa:PRPS1=0.500,PRPS2=0.500 IIx:PRPS1=0.500,PRPS2=0.500
2745	PUM1;PUM2	2	PUM1;PUM2	4.059235573	9.800028801	11.10004473	shared_split I:PUM1=0.500,PUM2=0.500 IIa:PUM1=0.500,PUM2=0.500 IIx:PUM1=0.500,PUM2=0.500
2760	QIL1;C19orf70	2	QIL1;C19orf70	399.3625031	730.7059021	326.6899109	shared_split I:QIL1=0.500,C19orf70=0.500 IIa:QIL1=0.500,C19orf70=0.500 IIx:QIL1=0.500,C19orf70=0.500
2765	RAB11B;RAB11A	2	RAB11B;RAB11A	28.79199314	45.14989471	44.82913589	shared_split I:RAB11B=0.500,RAB11A=0.500 IIa:RAB11B=0.500,RAB11A=0.500 IIx:RAB11B=0.500,RAB11A=0.500
2787	RAC1;RAC2;RAC3	3	RAC1;RAC2	59.8809967	65.41879272	80.61380005	shared_split I:RAC1=0.500,RAC2=0.500 IIa:RAC1=0.500,RAC2=0.500 IIx:RAC1=0.500,RAC2=0.500
2808	RASA4;RASA4B	2	RASA4;RASA4B	2.913704395	3.667518854	3.379104376	shared_split I:RASA4=0.500,RASA4B=0.500 IIa:RASA4=0.500,RASA4B=0.500 IIx:RASA4=0.500,RASA4B=0.500
2822	RBM38;RBM24	2	RBM38;RBM24	13.64417267	6.162788868	9.389541626	shared_split I:RBM38=0.500,RBM24=0.500 IIa:RBM38=0.500,RBM24=0.500 IIx:RBM38=0.500,RBM24=0.500
2824	RBM4;RBM4B	2	RBM4;RBM4B	6.718542099	7.897269726	14.20638704	shared_split I:RBM4=0.500,RBM4B=0.500 IIa:RBM4=0.500,RBM4B=0.500 IIx:RBM4=0.500,RBM4B=0.500
2833	RCOR1;RCOR3	2	RCOR1;RCOR3	355.7796631	4.007245064	20.14074516	shared_split I:RCOR1=0.500,RCOR3=0.500 IIa:RCOR1=0.500,RCOR3=0.500 IIx:RCOR1=0.500,RCOR3=0.500
2882	RPL13A;RPL13a	2	RPL13A	100.4168167	100.9085541	120.1335449	shared_group:RPL13A
2885	RPL17;RPL17-C18orf32	2	RPL17	152.7131577	163.116127	101.670517	shared_group:RPL17
2894	RPL26;RPL26L1	2	RPL26;RPL26L1	186.9335938	115.8423538	60.64990997	shared_split I:RPL26=0.500,RPL26L1=0.500 IIa:RPL26=0.500,RPL26L1=0.500 IIx:RPL26=0.500,RPL26L1=0.500
2918	RPLP0;RPLP0P6	2	RPLP0;RPLP0P6	140.3425446	133.1758728	198.8965149	shared_split I:RPLP0=0.500,RPLP0P6=0.500 IIa:RPLP0=0.500,RPLP0P6=0.500 IIx:RPLP0=0.500,RPLP0P6=0.500
2932	RPS16;ZNF90	2	RPS16;ZNF90	148.379364	114.5670586	106.9410172	shared_split I:RPS16=0.500,ZNF90=0.500 IIa:RPS16=0.500,ZNF90=0.500 IIx:RPS16=0.500,ZNF90=0.500
2933	RPS17;RPS17L	2	RPS17;RPS17L	37.4235878	34.38867378	24.51157951	shared_split I:RPS17=0.500,RPS17L=0.500 IIa:RPS17=0.500,RPS17L=0.500 IIx:RPS17=0.500,RPS17L=0.500
2942	RPS26;RPS26P11	2	RPS26;RPS26P11	80.95581818	134.9364166	193.1547852	shared_split I:RPS26=0.500,RPS26P11=0.500 IIa:RPS26=0.500,RPS26P11=0.500 IIx:RPS26=0.500,RPS26P11=0.500
2944	RPS27A;UBB;UBA52;UBC	4	RPS27A;UBB;UBA52;UBC	8021.5625	9945.772461	10795.05664	shared_split I:RPS27A=0.250,UBB=0.250,UBA52=0.250,UBC=0.250 IIa:RPS27A=0.250,UBB=0.250,UBA52=0.250,UBC=0.250 IIx:RPS27A=0.250,UBB=0.250,UBA52=0.250,UBC=0.250
2957	RPSA;RPSAP58	2	RPSAP58	145.9352417	128.1670341	180.6101532	shared_group:RPSAP58
2961	RRAGA;RRAGB	2	RRAGA;RRAGB	33.71196365	8.155994415	8.097539902	shared_split I:RRAGA=0.500,RRAGB=0.500 IIa:RRAGA=0.500,RRAGB=0.500 IIx:RRAGA=0.500,RRAGB=0.500
3012	SAR1B;DKFZp434B2017	2	SAR1B	115.03936	152.996933	480.3696594	shared_group:SAR1B
3019	SASH1;SAMSN1	2	SASH1;SAMSN1	6.987959385	3.553328872	0	shared_split I:SASH1=0.500,SAMSN1=0.500 IIa:SASH1=0.500,SAMSN1=0.500 IIx:SASH1=0.500,SAMSN1=0.500
3062	SEC61A1;SEC61A2	2	SEC61A1;SEC61A2	4.667800903	3.151046515	3.877847195	shared_split I:SEC61A1=0.500,SEC61A2=0.500 IIa:SEC61A1=0.500,SEC61A2=0.500 IIx:SEC61A1=0.500,SEC61A2=0.500
3106	SET;SETSIP	2	SET;SETSIP	51.83784485	26.69791412	49.08481979	shared_split I:SET=0.500,SETSIP=0.500 IIa:SET=0.500,SETSIP=0.500 IIx:SET=0.500,SETSIP=0.500
