# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-12T21:08:15Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 eab7879e14401408aa6c70f4047db865441ca64fa933e1e751b571bfa7cac220
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 9ecb8ae2215e5755640d0ff4a5dd19bf23d7518a8401d0d7a77c6ad74939cdd4
# rules       = B0-B5, D31 (within-tier), D47 (summed rows), D48 (shared rows)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
tier	term_id	term_name	n_entries_returned_by_term	n_entries_only_via_branch	sum_w_I_returned	sum_w_IIa_returned	sum_w_IIx_returned	sum_w_I_only_via_branch	sum_w_IIa_only_via_branch	sum_w_IIx_only_via_branch	entries_only_via_branch
1	GO:1990584	cardiac Troponin complex	3	0	0.02155645531	6.928034964e-05	6.94498227e-05	0	0	0	
1	GO:1990733	titin-telethonin complex	2	0	0.2810720101	0.2781222034	0.278231367	0	0	0	
2	GO:0016528	sarcoplasm	87	87	1	1	1	1	1	1	A1L4K1;A2IDD5;A6NNS2;O00165;O00631;O14958;O14983;O43852;O60662;O60936;O75052;O75298;O95479;P02144;P05413;P06396;P07996;P0DMT0;P0DN84;P12109;P14625;P14672;P16157;P16615;P21817;P23297;P23327;P26678;P27797;P28161;P29475;P30626;P31415;P35443;P35573;P41145;P47989;P52961;P54289;P55145;P57103;P62942;P68106;Q00765;Q06413;Q08629;Q09013;Q12797;Q12955;Q13023;Q13061;Q13554;Q13555;Q13557;Q13586;Q14315;Q14571;Q14573;Q14643;Q15149;Q15413;Q5JVS0;Q5VVH2;Q6UXF7;Q86TD4;Q8IVL5;Q8IWX8;Q8N3K9;Q8NEW0;Q8NF91;Q8WXH0;Q8WXH2;Q92629;Q92736;Q93084;Q96JJ6;Q96MG2;Q9BR39;Q9BVC6;Q9C0I1;Q9H6F2;Q9HDC5;Q9NVV0;Q9UL15;Q9Y272;Q9Y6A1;Q9Y6F6
2	GO:0016529	sarcoplasmic reticulum	77	0	0.6525998357	0.6596383083	0.8027270356	0	0	0	
2	GO:0030314	junctional membrane complex	9	0	0.06861157327	0.06440550895	0.0661928676	0	0	0	
2	GO:0014801	longitudinal sarcoplasmic reticulum	2	0	0.2399974731	0.09023817888	0.1141836146	0	0	0	
2	GO:0014802	terminal cisterna	4	0	0.1988979265	0.2134844046	0.2640373155	0	0	0	
2	GO:0033017	sarcoplasmic reticulum membrane	45	0	0.6166302799	0.6124567698	0.7502246592	0	0	0	
2	GO:0033018	sarcoplasmic reticulum lumen	10	0	0.2749861114	0.2742898529	0.3397547116	0	0	0	
2	GO:0014803	longitudinal sarcoplasmic reticulum lumen	0	0	0	0	0	0	0	0	
2	GO:0014804	terminal cisterna lumen	1	0	0.1633080003	0.1717327006	0.2141871633	0	0	0	
2	GO:0014701	junctional sarcoplasmic reticulum membrane	11	0	0.2739506331	0.2921841857	0.3633882547	0	0	0	
2	GO:0014702	free sarcoplasmic reticulum membrane	0	0	0	0	0	0	0	0	
2	GO:1990425	ryanodine receptor complex	3	0	0.02636426555	0.03454388946	0.03903456471	0	0	0	
2	GO:1990629	phospholamban complex	1	0	0.002309742006	0.0005430188737	0.0001602713205	0	0	0	
