accession	gene_primary	protein_name	length	reviewed	organism_id	subtree_terms_returning_entry	in_term_level_query
O75190	DNAJB6	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	326	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O75298	RTN2	Reticulon-2 (Neuroendocrine-specific protein-like 1) (NSP-like protein 1) (Neuroendocrine-specific protein-like I) (NSP-like protein I) (NSPLI)	545	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O75369	FLNB	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	2602	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O75628	REM1	GTP-binding protein REM 1 (GTPase-regulating endothelial cell sprouting) (Rad and Gem-like GTP-binding protein 1)	298	reviewed	9606	GO:0030016;GO:0030017;GO:0031674	true
O75880	SCO1	Cytochrome c oxidase assembly factor SCO1	301	reviewed	9606	GO:0030016	true
O76003	GLRX3	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	335	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O76041	NEBL	Nebulette (Actin-binding Z-disk protein)	1014	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O94875	SORBS2	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)	1100	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O95393	BMP10	Bone morphogenetic protein 10 (BMP-10)	424	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O95425	SVIL	Supervillin (Archvillin) (p205/p250)	2214	reviewed	9606	GO:0030016;GO:0043034	true
O95749	GGPS1	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)	300	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O95817	BAG3	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	575	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P02511	CRYAB	Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Heat shock protein family B member 5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	175	reviewed	9606	GO:0030016;GO:0097512;GO:0030017;GO:0031672;GO:0031674;GO:0031430;GO:0030018	true
P02585	TNNC2	Troponin C, skeletal muscle	160	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005861	true
P02730	SLC4A1	Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233)	911	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P04075	ALDOA	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	364	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0031430	true
P04792	HSPB1	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Heat shock protein family B member 1) (Stress-responsive protein 27) (SRP27)	205	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P05787	KRT8	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	483	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P05976	MYL1	Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)	194	reviewed	9606	GO:0030016;GO:0030017	true
P06733	ENO1	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	434	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031430	true
P06753	TPM3	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)	285	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005862	true
P07451	CA3	Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III)	260	reviewed	9606	GO:0030016;GO:0030017	true
P07951	TPM2	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	284	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005862	true
P08253	MMP2	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	660	reviewed	9606	GO:0030016;GO:0030017	true
P08590	MYL3	Myosin light chain 3 (Cardiac myosin light chain 1) (CMLC1) (Myosin light chain 1, slow-twitch muscle B/ventricular isoform) (MLC1SB) (Ventricular myosin alkali light chain) (Ventricular myosin light chain 1) (VLCl) (Ventricular/slow twitch myosin alkali light chain) (MLC-lV/sb)	195	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674	true
P08727	KRT19	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	400	reviewed	9606	GO:0030016;GO:0030017;GO:0043034;GO:0031674;GO:0030018	true
P09493	TPM1	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	284	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005862	true
P0CAP1	MYZAP	Myocardial zonula adherens protein (GRINL1A upstream protein) (Gup)	466	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P0CAP2	POLR2M	DNA-directed RNA polymerase II subunit GRINL1A (DNA-directed RNA polymerase II subunit M) (Glutamate receptor-like protein 1A)	368	reviewed	9606	GO:0030016;GO:0030017;GO:0031674	true
P0DP23	CALM1	Calmodulin-1	149	reviewed	9606	GO:0030016;GO:0030017	true
P0DP24	CALM2	Calmodulin-2	149	reviewed	9606	GO:0030016;GO:0030017	true
P0DP25	CALM3	Calmodulin-3	149	reviewed	9606	GO:0030016;GO:0030017	true
P10916	MYL2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v) (Cardiac myosin light chain 2) (Myosin light chain 2, slow skeletal/ventricular muscle isoform) (MLC-2s/v) (Ventricular myosin light chain 2)	166	reviewed	9606	GO:0030016;GO:0097512;GO:0030017;GO:0031672	true
P11055	MYH3	Myosin-3 (Muscle embryonic myosin heavy chain) (Myosin heavy chain 3) (Myosin heavy chain, fast skeletal muscle, embryonic) (SMHCE)	1940	reviewed	9606	GO:0030016;GO:0030017	true
P11166	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)	492	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P11532	DMD	Dystrophin	3685	reviewed	9606	GO:0030016;GO:0030017;GO:0043034;GO:0031674;GO:0030018	true
P12109	COL6A1	Collagen alpha-1(VI) chain	1028	reviewed	9606	GO:0030016	true
P12814	ACTN1	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	892	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P12829	MYL4	Myosin light chain 4 (Myosin light chain 1, embryonic muscle/atrial isoform) (Myosin light chain alkali GT-1 isoform)	197	reviewed	9606	GO:0030016;GO:0030017;GO:0031672	true
P12882	MYH1	Myosin-1 (Myosin heavy chain 1) (Myosin heavy chain 2x) (MyHC-2x) (Myosin heavy chain IIx/d) (MyHC-IIx/d) (Myosin heavy chain, skeletal muscle, adult 1)	1939	reviewed	9606	GO:0030016;GO:0030017;GO:0031672	true
P12883	MYH7	Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)	1935	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P13533	MYH6	Myosin-6 (Myosin heavy chain 6) (Myosin heavy chain, cardiac muscle alpha isoform) (MyHC-alpha)	1939	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P13535	MYH8	Myosin-8 (Myosin heavy chain 8) (Myosin heavy chain, skeletal muscle, perinatal) (MyHC-perinatal)	1937	reviewed	9606	GO:0030016;GO:0030017	true
P13805	TNNT1	Troponin T, slow skeletal muscle (TnTs) (Slow skeletal muscle troponin T) (sTnT)	278	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005861	true
P14923	JUP	Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3)	745	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P15172	MYOD1	Myoblast determination protein 1 (Class C basic helix-loop-helix protein 1) (bHLHc1) (Myogenic factor 3) (Myf-3)	320	reviewed	9606	GO:0030016	true
P15382	KCNE1	Potassium voltage-gated channel subfamily E member 1 (Delayed rectifier potassium channel subunit IsK) (IKs producing slow voltage-gated potassium channel subunit beta Mink) (Minimal potassium channel) (MinK)	129	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P16157	ANK1	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	1881	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0031430;GO:0030018	true
P16298	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta)	524	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P17661	DES	Desmin	470	reviewed	9606	GO:0030016;GO:0097512;GO:0030017;GO:0031674;GO:0030018	true
P18206	VCL	Vinculin (Metavinculin) (MV)	1134	reviewed	9606	GO:0030016;GO:0043034	true
P19237	TNNI1	Troponin I, slow skeletal muscle (Troponin I, slow-twitch isoform)	187	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005861	true
P19429	TNNI3	Troponin I, cardiac muscle (Cardiac troponin I)	210	reviewed	9606	GO:0030016;GO:0097512;GO:0030017;GO:0036379;GO:0005865;GO:0005861;GO:1990584	true
P20807	CAPN3	Calpain-3 (EC 3.4.22.54) (Calcium-activated neutral proteinase 3) (CANP 3) (Calpain L3) (Calpain p94) (Muscle-specific calcium-activated neutral protease 3) (New calpain 1) (nCL-1)	821	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P20929	NEB	Nebulin	8525	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P21291	CSRP1	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	193	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P21333	FLNA	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	2647	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P21817	RYR1	Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)	5038	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P22460	KCNA5	Potassium voltage-gated channel subfamily A member 5 (HPCN1) (Voltage-gated potassium channel HK2) (Voltage-gated potassium channel subunit Kv1.5)	613	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P23327	HRC	Sarcoplasmic reticulum histidine-rich calcium-binding protein	699	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P23634	ATP2B4	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)	1241	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P24844	MYL9	Myosin regulatory light polypeptide 9 (20 kDa myosin light chain) (LC20) (MLC-2C) (Myosin RLC) (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9) (Myosin regulatory light chain MRLC1)	172	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P28289	TMOD1	Tropomodulin-1 (Erythrocyte tropomodulin) (E-Tmod)	359	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865	true
P29475	NOS1	Nitric oxide synthase 1 (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Nitric oxide synthase, brain) (bNOS) (Peptidyl-cysteine S-nitrosylase NOS1)	1434	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P29536	LMOD1	Leiomodin-1 (64 kDa autoantigen 1D) (64 kDa autoantigen 1D3) (64 kDa autoantigen D1) (Leiomodin, muscle form) (Smooth muscle leiomodin) (SM-Lmod) (Thyroid-associated ophthalmopathy autoantigen)	600	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865	true
P30626	SRI	Sorcin (22 kDa protein) (CP-22) (CP22) (V19)	198	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P31415	CASQ1	Calsequestrin-1 (Calmitine) (Calsequestrin, skeletal muscle isoform)	396	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P31431	SDC4	Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein)	198	reviewed	9606	GO:0030016;GO:0043034	true
P32418	SLC8A1	Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1)	973	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P35222	CTNNB1	Catenin beta-1 (Beta-catenin)	781	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P35498	SCN1A	Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)	2009	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P35609	ACTN2	Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein)	894	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P45378	TNNT3	Troponin T, fast skeletal muscle (TnTf) (Beta-TnTF) (Fast skeletal muscle troponin T) (fTnT)	269	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005861	true
P45379	TNNT2	Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)	298	reviewed	9606	GO:0030016;GO:0097512;GO:0030017;GO:0036379;GO:0005865;GO:0005861;GO:1990584	true
P47756	CAPZB	F-actin-capping protein subunit beta (CapZ beta)	272	reviewed	9606	GO:0030016;GO:0030017	true
P48788	TNNI2	Troponin I, fast skeletal muscle (Troponin I, fast-twitch isoform)	182	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005861	true
P49257	LMAN1	Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)	510	reviewed	9606	GO:0030016;GO:0030017	true
P50461	CSRP3	Cysteine and glycine-rich protein 3 (Cardiac LIM protein) (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)	194	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P50479	PDLIM4	PDZ and LIM domain protein 4 (LIM protein RIL) (Reversion-induced LIM protein)	330	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P51114	FXR1	RNA-binding protein FXR1 (FMR1 autosomal homolog 1) (hFXR1p)	621	reviewed	9606	GO:0030016;GO:0043034	true
P52179	MYOM1	Myomesin-1 (190 kDa connectin-associated protein) (190 kDa titin-associated protein) (Myomesin family member 1)	1685	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005863;GO:0031672;GO:0031430	true
P54296	MYOM2	Myomesin-2 (165 kDa connectin-associated protein) (165 kDa titin-associated protein) (M-protein) (Myomesin family member 2)	1465	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031430	true
P56539	CAV3	Caveolin-3 (M-caveolin)	151	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P60900	PSMA6	Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain) (Proteasome subunit alpha-1) (alpha-1)	246	reviewed	9606	GO:0030016;GO:0030017	true
P61313	RPL15	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	204	reviewed	9606	GO:0030016;GO:0030017;GO:0031672	true
P62942	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	108	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P63261	ACTG1	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	375	reviewed	9606	GO:0030016	true
P63316	TNNC1	Troponin C, slow skeletal and cardiac muscles (TN-C)	161	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005861;GO:1990584	true
P67936	TPM4	Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)	248	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005862	true
P68032	ACTC1	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	377	reviewed	9606	GO:0030016;GO:0030017;GO:0031674	true
P68106	FKBP1B	Peptidyl-prolyl cis-trans isomerase FKBP1B (PPIase FKBP1B) (EC 5.2.1.8) (12.6 kDa FK506-binding protein) (12.6 kDa FKBP) (FKBP-12.6) (FK506-binding protein 1B) (FKBP-1B) (Immunophilin FKBP12.6) (Rotamase) (h-FKBP-12)	108	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
P68133	ACTA1	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	377	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865	true
P84077	ARF1	ADP-ribosylation factor 1 (EC 3.6.5.2)	181	reviewed	9606	GO:0030016;GO:0030017	true
Q00872	MYBPC1	Myosin-binding protein C, slow-type (Slow MyBP-C) (C-protein, skeletal muscle slow isoform)	1141	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031430	true
Q01082	SPTBN1	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	2364	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031430	true
Q01449	MYL7	Myosin regulatory light chain 2, atrial isoform (MLC-2a) (MLC2a) (Myosin light chain 2a) (Myosin regulatory light chain 7)	175	reviewed	9606	GO:0030016;GO:0030017;GO:0031672	true
Q01484	ANK2	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)	3957	reviewed	9606	GO:0030016;GO:0030017;GO:0043034;GO:0031672;GO:0031674;GO:0031430;GO:0030018	true
Q01668	CACNA1D	Voltage-dependent L-type calcium channel subunit alpha-1D (Calcium channel, L type, alpha-1 polypeptide, isoform 2) (Voltage-gated calcium channel subunit alpha Cav1.3)	2161	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
Q03001	DST	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	7570	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0031673;GO:0030018	true
Q05682	CALD1	Caldesmon (CDM)	793	reviewed	9606	GO:0030016	true
Q07343	PDE4B	3',5'-cyclic-AMP phosphodiesterase 4B (EC 3.1.4.53) (DPDE4) (PDE32) (cAMP-specific phosphodiesterase 4B)	736	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
Q08043	ACTN3	Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein)	901	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
Q08209	PPP3CA	Protein phosphatase 3 catalytic subunit alpha (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform)	521	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	5890	reviewed	9606	GO:0030016;GO:0043034	true
Q0VAK6	LMOD3	Leiomodin-3 (Leiomodin, fetal form)	560	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0031672;GO:0031430	true
Q0ZGT2	NEXN	Nexilin (F-actin-binding protein) (Nelin)	675	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
Q12792	TWF1	Twinfilin-1 (Protein A6) (Protein tyrosine kinase 9)	350	reviewed	9606	GO:0030016	true
Q12955	ANK3	Ankyrin-3 (ANK-3) (Ankyrin-G)	4377	reviewed	9606	GO:0030016;GO:0030017;GO:0043034;GO:0031674;GO:0030018	true
