accession	gene_primary	protein_name	length	reviewed	organism_id	subtree_terms_returning_entry	in_term_level_query
E9PQ53	NDUFC2-KCTD14	NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2 (NDUFC2-KCTD14 readthrough transcript protein)	114	reviewed	9606		
O00115	DNASE2	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	360	reviewed	9606		
O00116	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	658	reviewed	9606		
O00139	KIF2A	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	706	reviewed	9606		
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	380	reviewed	9606		
O00161	SNAP23	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	211	reviewed	9606		
O00165	HAX1	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	279	reviewed	9606		
O00168	FXYD1	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	92	reviewed	9606		
O00178	GTPBP1	GTP-binding protein 1 (G protein 1) (GP-1) (GP1) (EC 3.6.5.3)	669	reviewed	9606		
O00182	LGALS9	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	355	reviewed	9606		
O00186	STXBP3	Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C)	592	reviewed	9606		
O00192	ARVCF	Splicing regulator ARVCF (Armadillo repeat protein deleted in velo-cardio-facial syndrome)	962	reviewed	9606		
O00193	SMAP	Small acidic protein	183	reviewed	9606		
O00203	AP3B1	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	1094	reviewed	9606		
O00204	SULT2B1	Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)	365	reviewed	9606		
O00217	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	210	reviewed	9606		
O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	422	reviewed	9606		
O00232	PSMD12	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	456	reviewed	9606		
O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	223	reviewed	9606		
O00244	ATOX1	Copper transport protein ATOX1 (Metal transport protein ATX1)	68	reviewed	9606		
O00264	PGRMC1	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	195	reviewed	9606		
O00267	SUPT5H	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	1087	reviewed	9606		
O00291	HIP1	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	1037	reviewed	9606		
O00299	CLIC1	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	241	reviewed	9606		
O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	357	reviewed	9606		
O00330	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	501	reviewed	9606		
O00391	QSOX1	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	747	reviewed	9606		
O00399	DCTN6	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	190	reviewed	9606		
O00401	WASL	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)	505	reviewed	9606		
O00410	IPO5	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	1097	reviewed	9606		
O00418	EEF2K	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	725	reviewed	9606		
O00423	EML1	Echinoderm microtubule-associated protein-like 1 (EMAP-1) (HuEMAP-1)	815	reviewed	9606		
O00425	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	579	reviewed	9606		
O00429	DNM1L	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	736	reviewed	9606		
O00442	RTCA	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1)	366	reviewed	9606		
O00461	GOLIM4	Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)	696	reviewed	9606		
O00468	AGRN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit (N110); Agrin C-terminal 110 kDa subunit (C110); Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	2068	reviewed	9606		
O00469	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	737	reviewed	9606		
O00471	EXOC5	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	708	reviewed	9606		
O00478	BTN3A3	Butyrophilin subfamily 3 member A3	584	reviewed	9606		
O00479	HMGN4	High mobility group nucleosome-binding domain-containing protein 4 (Non-histone chromosomal protein HMG-17-like 3) (Non-histone chromosomal protein)	90	reviewed	9606		
O00481	BTN3A1	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	513	reviewed	9606		
O00483	COXFA4	Cytochrome c oxidase subunit FA4 (Complex I-MLRQ) (CI-MLRQ) (Cytochrome c oxidase subunit NDUFA4) (NADH-ubiquinone oxidoreductase MLRQ subunit)	81	reviewed	9606		
O00487	PSMD14	Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	310	reviewed	9606		
O00505	KPNA3	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	521	reviewed	9606		
O00541	PES1	Pescadillo homolog	588	reviewed	9606		
O00567	NOP56	Nucleolar protein 56 (Nucleolar protein 5A)	594	reviewed	9606		
O00571	DDX3X	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	662	reviewed	9606		
O00629	KPNA4	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	521	reviewed	9606		
O00754	MAN2B1	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	1011	reviewed	9606		
O00763	ACACB	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	2458	reviewed	9606		
O00764	PDXK	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	312	reviewed	9606		
O14497	ARID1A	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	2285	reviewed	9606		
O14521	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (CII-4) (Malate dehydrogenase [quinone] cytochrome b small subunit) (QPs3) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone oxidoreductase cytochrome b small subunit) (Succinate-ubiquinone reductase membrane anchor subunit)	159	reviewed	9606		
O14531	DPYSL4	Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4)	572	reviewed	9606		
O14545	TRAFD1	TRAF-type zinc finger domain-containing protein 1 (Protein FLN29)	582	reviewed	9606		
O14548	COX7A2L	Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)	114	reviewed	9606		
O14558	HSPB6	Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20) (Heat shock protein family B member 6)	160	reviewed	9606		
O14561	NDUFAB1	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	156	reviewed	9606		
O14562	UBFD1	Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog)	309	reviewed	9606		
O14579	COPE	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)	308	reviewed	9606		
O14602	EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal (eIF-1A Y isoform) (eIF1A Y isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)	144	reviewed	9606		
O14617	AP3D1	AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)	1153	reviewed	9606		
O14618	CCS	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	274	reviewed	9606		
O14639	ABLIM1	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)	778	reviewed	9606		
O14647	CHD2	ATP-dependent chromatin remodeler CHD2 (EC 3.6.4.-) (Chromo domain-containing protein 2) (CHD-2)	1828	reviewed	9606		
O14653	GOSR2	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	212	reviewed	9606		
O14657	TOR1B	Torsin-1B (Torsin ATPase-1B) (EC 3.6.4.-) (Torsin family 1 member B)	336	reviewed	9606		
O14672	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	748	reviewed	9606		
O14681	EI24	Etoposide-induced protein 2.4 homolog (p53-induced gene 8 protein)	340	reviewed	9606		
O14683	TP53I11	Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein)	189	reviewed	9606		
O14732	IMPA2	Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2)	288	reviewed	9606		
O14735	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	213	reviewed	9606		
O14737	PDCD5	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	125	reviewed	9606		
O14744	PRMT5	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	637	reviewed	9606		
O14745	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	358	reviewed	9606		
O14776	TCERG1	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)	1098	reviewed	9606		
O14791	APOL1	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	398	reviewed	9606		
O14818	PSMA7	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7) (Proteasome subunit alpha-4) (alpha-4)	248	reviewed	9606		
O14828	SCAMP3	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	347	reviewed	9606		
O14832	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)	338	reviewed	9606		
O14841	OPLAH	5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)	1288	reviewed	9606		
O14874	BCKDK	Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDH kinase) (BCKDHKIN) (BDK) (EC 2.7.11.1) ([3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial) (EC 2.7.11.4)	412	reviewed	9606		
O14879	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G)	490	reviewed	9606		
O14880	MGST3	Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)	152	reviewed	9606		
O14908	GIPC1	PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)	333	reviewed	9606		
O14925	TIMM23	Mitochondrial import inner membrane translocase subunit Tim23	209	reviewed	9606		
O14949	UQCRQ	Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)	82	reviewed	9606		
O14964	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	777	reviewed	9606		
O14967	CLGN	Calmegin	610	reviewed	9606		
O14972	VPS26C	Vacuolar protein sorting-associated protein 26C (Down syndrome critical region protein 3) (Down syndrome critical region protein A)	297	reviewed	9606		
O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	420	reviewed	9606		
O14980	XPO1	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	1071	reviewed	9606		
O14981	BTAF1	TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172)	1849	reviewed	9606		
O15027	SEC16A	Protein transport protein Sec16A (SEC16 homolog A) (p250)	2357	reviewed	9606		
O15031	PLXNB2	Plexin-B2 (MM1)	1838	reviewed	9606		
O15042	U2SURP	U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)	1029	reviewed	9606		
O15067	PFAS	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase)	1338	reviewed	9606		
O15075	DCLK1	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	740	reviewed	9606		
O15078	CEP290	Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2)	2479	reviewed	9606		
O15083	ERC2	ERC protein 2	957	reviewed	9606		
O15126	SCAMP1	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	338	reviewed	9606		
O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	372	reviewed	9606		
O15144	ARPC2	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	300	reviewed	9606		
O15145	ARPC3	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	178	reviewed	9606		
O15160	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	346	reviewed	9606		
O15173	PGRMC2	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	223	reviewed	9606		
O15198	SMAD9	SMAD family member 9 (SMAD 9) (Madh6) (Mothers against decapentaplegic homolog 9) (MAD homolog 9) (Mothers against DPP homolog 9)	467	reviewed	9606		
O15211	RGL2	Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like 2) (RalGDS-like factor) (Ras-associated protein RAB2L)	777	reviewed	9606		
O15212	PFDN6	Prefoldin subunit 6 (Protein Ke2)	129	reviewed	9606		
O15226	NKRF	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	690	reviewed	9606		
O15230	LAMA5	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	3695	reviewed	9606		
O15239	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	70	reviewed	9606		
O15254	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	700	reviewed	9606		
O15258	RER1	Protein RER1	196	reviewed	9606		
O15260	SURF4	Surfeit locus protein 4	269	reviewed	9606		
O15269	SPTLC1	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	473	reviewed	9606		
O15270	SPTLC2	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	562	reviewed	9606		
O15294	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	1046	reviewed	9606		
O15355	PPM1G	Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)	546	reviewed	9606		
O15357	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1) (INPPL-1) (Protein 51C) (SH2 domain-containing inositol 5'-phosphatase 2) (SH2 domain-containing inositol phosphatase 2) (SHIP-2)	1258	reviewed	9606		
O15371	EIF3D	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	548	reviewed	9606		
