# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-12T19:22:30Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession_a	gene_a	accession_b	gene_b	n_shared_peptides	frac_of_a	frac_of_b
Q01484	ANK2	Q12955	ANK3	13	0.0567686	0.0481481
Q14571	ITPR2	Q14573	ITPR3	13	0.0860927	0.0878378
Q9H2S1	KCNN2	Q9UGI6	KCNN3	13	0.448276	0.382353
P35498	SCN1A	Q9UQD0	SCN8A	12	0.151899	0.157895
P63261	ACTG1	P68032	ACTC1	12	0.521739	0.521739
Q13554	CAMK2B	Q13555	CAMK2G	12	0.363636	0.413793
Q14573	ITPR3	Q14643	ITPR1	12	0.0810811	0.075
A7E2Y1	MYH7B	P12883	MYH7	11	0.0859375	0.0887097
A7E2Y1	MYH7B	P13533	MYH6	11	0.0859375	0.088
O43707	ACTN4	P35609	ACTN2	11	0.183333	0.177419
O43707	ACTN4	Q08043	ACTN3	11	0.183333	0.177419
O75369	FLNB	P21333	FLNA	11	0.0700637	0.0728477
O75369	FLNB	Q14315	FLNC	11	0.0700637	0.0654762
P63261	ACTG1	P68133	ACTA1	11	0.478261	0.478261
A7E2Y1	MYH7B	P11055	MYH3	10	0.078125	0.0787402
A7E2Y1	MYH7B	P12882	MYH1	10	0.078125	0.0787402
A7E2Y1	MYH7B	P13535	MYH8	10	0.078125	0.0793651
A7E2Y1	MYH7B	Q9UKX2	MYH2	10	0.078125	0.0787402
P16298	PPP3CB	Q08209	PPP3CA	10	0.37037	0.37037
A7E2Y1	MYH7B	Q9UKX3	MYH13	9	0.0703125	0.072
A7E2Y1	MYH7B	Q9Y623	MYH4	9	0.0703125	0.0708661
P06753	TPM3	P67936	TPM4	9	0.375	0.428571
P07951	TPM2	P09493	TPM1	9	0.391304	0.391304
P07951	TPM2	P67936	TPM4	9	0.391304	0.428571
P0DP23	CALM1	P0DP24	CALM2	9	1	1
P0DP23	CALM1	P0DP25	CALM3	9	1	1
P0DP24	CALM2	P0DP25	CALM3	9	1	1
P16615	ATP2A2	Q93084	ATP2A3	9	0.173077	0.18
O14983	ATP2A1	Q93084	ATP2A3	8	0.153846	0.16
Q13555	CAMK2G	Q13557	CAMK2D	8	0.275862	0.275862
O14950	MYL12B	P24844	MYL9	7	0.636364	0.636364
P06753	TPM3	P07951	TPM2	7	0.291667	0.304348
P09493	TPM1	P67936	TPM4	7	0.304348	0.333333
Q01668	CACNA1D	Q13698	CACNA1S	7	0.0714286	0.0945946
Q13554	CAMK2B	Q13557	CAMK2D	7	0.212121	0.241379
Q13698	CACNA1S	Q13936	CACNA1C	7	0.0945946	0.0707071
Q8NF91	SYNE1	Q8WXH0	SYNE2	7	0.0123675	0.0152838
Q92952	KCNN1	Q9H2S1	KCNN2	7	0.21875	0.241379
Q92952	KCNN1	Q9UGI6	KCNN3	6	0.1875	0.176471
P14923	JUP	P35222	CTNNB1	5	0.106383	0.116279
P16157	ANK1	Q01484	ANK2	4	0.0421053	0.0174672
P16157	ANK1	Q12955	ANK3	4	0.0421053	0.0148148
P35498	SCN1A	Q14524	SCN5A	4	0.0506329	0.0555556
Q12792	TWF1	Q6IBS0	TWF2	4	0.181818	0.181818
Q14524	SCN5A	Q9UQD0	SCN8A	3	0.0416667	0.0394737
Q969Q1	TRIM63	Q9BYV2	TRIM54	3	0.111111	0.12
Q9HBI1	PARVB	Q9NVD7	PARVA	3	0.157895	0.142857
O14974	PPP1R12A	O60237	PPP1R12B	2	0.037037	0.0338983
P12883	MYH7	Q9Y2K3	MYH15	2	0.016129	0.0168067
P32418	SLC8A1	P57103	SLC8A3	2	0.0540541	0.0526316
Q8WXH2	JPH3	Q9BR39	JPH2	2	0.0454545	0.0645161
Q9H987	SYNPO2L	Q9UMS6	SYNPO2	2	0.0454545	0.0327869
Q9NYL9	TMOD3	Q9NZR1	TMOD2	2	0.0869565	0.0952381
A7E2Y1	MYH7B	Q09666	AHNAK	1	0.0078125	0.00369004
A7E2Y1	MYH7B	Q9Y2K3	MYH15	1	0.0078125	0.00840336
O14950	MYL12B	P10916	MYL2	1	0.0909091	0.0909091
O75112	LDB3	Q53GG5	PDLIM3	1	0.0285714	0.05
O76041	NEBL	P20929	NEB	1	0.0140845	0.00213675
P02585	TNNC2	P0DP23	CALM1	1	0.0909091	0.111111
P02585	TNNC2	P0DP24	CALM2	1	0.0909091	0.111111
P02585	TNNC2	P0DP25	CALM3	1	0.0909091	0.111111
P05787	KRT8	P17661	DES	1	0.03125	0.0277778
P05976	MYL1	P08590	MYL3	1	0.0833333	0.0769231
P05976	MYL1	P12829	MYL4	1	0.0833333	0.0769231
P07951	TPM2	P35609	ACTN2	1	0.0434783	0.016129
P08590	MYL3	P12829	MYL4	1	0.0769231	0.0769231
P10916	MYL2	P24844	MYL9	1	0.0909091	0.0909091
P11055	MYH3	Q09666	AHNAK	1	0.00787402	0.00369004
P11055	MYH3	Q9Y2K3	MYH15	1	0.00787402	0.00840336
P12882	MYH1	Q09666	AHNAK	1	0.00787402	0.00369004
P12882	MYH1	Q9Y2K3	MYH15	1	0.00787402	0.00840336
P12883	MYH7	Q09666	AHNAK	1	0.00806452	0.00369004
P13533	MYH6	Q09666	AHNAK	1	0.008	0.00369004
P13533	MYH6	Q9Y2K3	MYH15	1	0.008	0.00840336
P13535	MYH8	Q09666	AHNAK	1	0.00793651	0.00369004
P13535	MYH8	Q96Q27	ASB2	1	0.00793651	0.0285714
P13535	MYH8	Q9Y2K3	MYH15	1	0.00793651	0.00840336
P13805	TNNT1	P45378	TNNT3	1	0.0714286	0.0769231
P13805	TNNT1	P45379	TNNT2	1	0.0714286	0.0555556
P19237	TNNI1	P19429	TNNI3	1	0.0714286	0.0909091
P19237	TNNI1	P48788	TNNI2	1	0.0714286	0.0833333
P28289	TMOD1	Q9NYL9	TMOD3	1	0.047619	0.0434783
P28289	TMOD1	Q9NZQ9	TMOD4	1	0.047619	0.0555556
P50479	PDLIM4	Q53GG5	PDLIM3	1	0.0526316	0.05
Q00872	MYBPC1	Q14324	MYBPC2	1	0.0138889	0.0142857
Q09666	AHNAK	Q9UKX2	MYH2	1	0.00369004	0.00787402
Q09666	AHNAK	Q9UKX3	MYH13	1	0.00369004	0.008
Q09666	AHNAK	Q9Y623	MYH4	1	0.00369004	0.00787402
Q14324	MYBPC2	Q14896	MYBPC3	1	0.0142857	0.0131579
Q5VST9	OBSCN	Q86VF2	IGFN1	1	0.00235849	0.0142857
Q86TC9	MYPN	Q8WX93	PALLD	1	0.0149254	0.0142857
Q8NF91	SYNE1	Q8WZ42	TTN	1	0.00176678	0.000451671
Q8WXH2	JPH3	Q96JJ6	JPH4	1	0.0227273	0.0344828
Q96JJ6	JPH4	Q9BR39	JPH2	1	0.0344828	0.0322581
Q96JJ6	JPH4	Q9HDC5	JPH1	1	0.0344828	0.0263158
Q96Q27	ASB2	Q9UKX2	MYH2	1	0.0285714	0.00787402
Q9BR39	JPH2	Q9HDC5	JPH1	1	0.0322581	0.0263158
Q9UKX2	MYH2	Q9Y2K3	MYH15	1	0.00787402	0.00840336
Q9UKX3	MYH13	Q9Y2K3	MYH15	1	0.008	0.00840336
Q9Y2K3	MYH15	Q9Y623	MYH4	1	0.00840336	0.00787402
