# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-12T21:07:06Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff
P35498	SCN1A	1	2009	228969	79	0.345025	79	79	0
P35573	AGL	2	1532	174761	102	0.583653	102	98	0.0392157
P35609	ACTN2	1	894	103852	62	0.597003	62	62	0
P41145	OPRK1	2	380	42644.6	10	0.234496	10	10	0
P45378	TNNT3	1	269	31824.1	13	0.408496	13	13	0
P45379	TNNT2	1	298	35923	18	0.501072	18	18	0
P47756	CAPZB	1	272	30628.3	19	0.620341	19	19	0
P47989	XDH	2	1333	146423	67	0.45758	67	64	0.0447761
P48788	TNNI2	1	182	21338.3	12	0.56237	12	12	0
P49257	LMAN1	1	510	57548.1	24	0.417042	24	25	-0.0416667
P50461	CSRP3	1	194	20968.8	14	0.667658	14	13	0.0714286
P50479	PDLIM4	1	330	35397.5	19	0.536761	19	19	0
P51114	FXR1	1	621	69720	37	0.530694	37	37	0
P52179	MYOM1	1	1685	187624	114	0.607598	114	112	0.0175439
P52961	ART1	2	327	36334	15	0.412837	15	15	0
P54289	CACNA2D1	2	1103	124566	59	0.473643	59	55	0.0677966
P54296	MYOM2	1	1465	164867	96	0.582287	96	91	0.0520833
P55145	MANF	2	182	20699.9	11	0.531404	11	10	0.0909091
P56539	CAV3	1	151	17259.1	7	0.405583	7	7	0
P57103	SLC8A3	2	927	103008	38	0.368902	38	36	0.0526316
P60900	PSMA6	1	246	27399.2	17	0.620457	17	13	0.235294
P61313	RPL15	1	204	24145.7	14	0.579813	14	14	0
P62942	FKBP1A	1;2	108	11950.6	3	0.251034	3	3	0
P63261	ACTG1	1	375	41792.3	23	0.550341	23	23	0
P63316	TNNC1	1	161	18402.3	7	0.380387	7	7	0
P67936	TPM4	1	248	28521.4	21	0.736289	21	21	0
P68032	ACTC1	1	377	42018.4	23	0.547379	23	23	0
P68106	FKBP1B	1;2	108	11782.4	3	0.254617	3	3	0
P68133	ACTA1	1	377	42050.5	23	0.546962	23	23	0
P84077	ARF1	1	181	20696.5	11	0.531491	11	12	-0.0909091
Q00765	REEP5	2	189	21492.8	7	0.32569	7	8	-0.142857
Q00872	MYBPC1	1	1141	128293	72	0.561216	72	67	0.0694444
Q01082	SPTBN1	1	2364	274604	163	0.593581	163	161	0.0122699
Q01449	MYL7	1	175	19447.8	11	0.565617	11	11	0
Q01484	ANK2	1	3957	433708	229	0.528004	229	224	0.0218341
Q01668	CACNA1D	1	2161	245138	98	0.399775	98	94	0.0408163
Q03001	DST	1	7570	860648	483	0.561205	483	477	0.0124224
Q05682	CALD1	1	793	93229.9	43	0.461225	43	44	-0.0232558
Q06413	MEF2C	2	473	51220.5	20	0.390469	20	18	0.1
Q07343	PDE4B	1	736	83342.1	39	0.467951	39	37	0.0512821
Q08043	ACTN3	1	901	103240	62	0.600545	62	63	-0.016129
Q08209	PPP3CA	1	521	58687.1	27	0.460067	27	27	0
Q08629	SPOCK1	2	439	49123.7	26	0.529276	26	23	0.115385
Q09013	DMPK	2	629	69384.1	27	0.389138	27	28	-0.037037
Q09666	AHNAK	1	5890	629096	271	0.430777	271	273	-0.00738007
Q0VAK6	LMOD3	1	560	64913.4	34	0.523775	34	33	0.0294118
Q0ZGT2	NEXN	1	675	80657.3	39	0.483527	39	40	-0.025641
Q12792	TWF1	1	350	40282	22	0.546149	22	23	-0.0454545
Q12797	ASPH	2	758	85861.5	36	0.41928	36	36	0
Q12955	ANK3	1;2	4377	480403	270	0.562028	270	260	0.037037
Q13023	AKAP6	2	2319	256716	116	0.451861	116	115	0.00862069
Q13049	TRIM32	1	653	71987.7	40	0.555651	40	40	0
Q13061	TRDN	2	729	81594.3	32	0.392184	32	34	-0.0625
Q13153	PAK1	1	545	60646.1	28	0.461695	28	26	0.0714286
Q13203	MYBPH	1	477	52049.4	27	0.518738	27	22	0.185185
Q13418	ILK	1	452	51418.5	28	0.544551	28	27	0.0357143
Q13496	MTM1	1	603	69930.7	42	0.600595	42	41	0.0238095
Q13501	SQSTM1	1	440	47686.5	21	0.440376	21	16	0.238095
Q13554	CAMK2B	2	666	72676.7	33	0.454066	33	32	0.030303
Q13555	CAMK2G	2	558	62606.3	29	0.463212	29	28	0.0344828
Q13557	CAMK2D	2	499	56368.6	29	0.514471	29	28	0.0344828
Q13586	STIM1	2	685	77422	38	0.490816	38	38	0
Q13643	FHL3	1	280	31191.7	15	0.480896	15	15	0
Q13698	CACNA1S	1	1873	212347	74	0.348486	74	70	0.0540541
Q13813	SPTAN1	1	2472	284534	191	0.671273	191	190	0.0052356
Q13936	CACNA1C	1	2221	248973	99	0.397633	99	94	0.0505051
Q14118	DAG1	1	895	97440.1	46	0.472085	46	44	0.0434783
Q14192	FHL2	1	279	32192.7	22	0.683386	22	21	0.0454545
Q14315	FLNC	1;2	2725	291019	168	0.577281	168	160	0.047619
Q14324	MYBPC2	1	1141	128070	70	0.546574	70	68	0.0285714
Q14331	FRG1	1	258	29172	13	0.445632	13	13	0
Q14524	SCN5A	1	2016	226937	72	0.317269	72	70	0.0277778
Q14571	ITPR2	2	2701	308060	151	0.490165	151	149	0.013245
Q14573	ITPR3	2	2671	304102	148	0.486678	148	146	0.0135135
Q14596	NBR1	1	966	107412	41	0.381709	41	35	0.146341
Q14643	ITPR1	2	2758	313925	160	0.509676	160	156	0.025
Q14896	MYBPC3	1	1274	140761	76	0.539924	76	69	0.0921053
Q14BN4	SLMAP	1	828	95196.7	61	0.640779	61	60	0.0163934
Q15124	PGM5	1	567	62224.4	34	0.54641	34	33	0.0294118
Q15139	PRKD1	1	912	101703	39	0.38347	39	33	0.153846
Q15149	PLEC	1;2	4684	531781	335	0.629958	335	334	0.00298507
Q15172	PPP2R5A	1	486	56192.8	25	0.444897	25	25	0
Q15327	ANKRD1	1	319	36251.4	19	0.524118	19	19	0
Q15413	RYR3	1;2	4870	552034	270	0.4891	270	267	0.0111111
Q15842	KCNJ8	1	424	47967.2	18	0.375256	18	18	0
Q16527	CSRP2	1	193	20953.8	14	0.668137	14	13	0.0714286
Q16637	SMN1	1	294	31848.3	9	0.28259	9	11	-0.222222
Q2TBA0	KLHL40	1	621	69256.4	37	0.534247	37	37	0
Q2TBC4	PRICKLE4	1	344	37550.4	19	0.505986	19	19	0
Q2V2M9	FHOD3	1	1422	158611	77	0.485465	77	74	0.038961
Q53GG5	PDLIM3	1	364	39232	20	0.509788	20	20	0
Q5BKX8	CAVIN4	1	364	41898.6	20	0.477343	20	18	0.1
Q5BKY1	LRRC10	1	277	31641.4	18	0.568874	18	18	0
Q5JQC9	AKAP4	1	854	94475.9	58	0.613913	58	56	0.0344828
Q5JVS0	HABP4	1;2	413	45784.8	26	0.567874	26	25	0.0384615
Q5TD97	FHL5	1	284	32719.5	23	0.702945	23	22	0.0434783
Q5VST9	OBSCN	1	7968	868452	424	0.488225	424	391	0.0778302
Q5VTT5	MYOM3	1	1437	162187	86	0.530252	86	82	0.0465116
Q5VU43	PDE4DIP	1	2346	265098	151	0.5696	151	145	0.0397351
Q5VVH2	FKBP1C	2	108	12178.9	3	0.246328	3	3	0
Q5VZP5	STYXL2	1	1158	130174	61	0.468604	61	59	0.0327869
Q6H8Q1	ABLIM2	1	611	67811.4	42	0.619365	42	40	0.047619
Q6IBS0	TWF2	1	349	39547.4	22	0.556295	22	23	-0.0454545
Q6P050	FBXL22	1	231	26027.9	15	0.576305	15	15	0
Q6P5Q4	LMOD2	1	547	61674.5	35	0.567496	35	34	0.0285714
Q6UXF7	CLEC18B	2	455	50489.8	22	0.435732	22	22	0
Q711Q0	CEFIP	1	1435	156474	85	0.54322	85	80	0.0588235
Q86SG2	ANKRD23	1	305	34296.8	20	0.583144	20	19	0.05
Q86TC9	MYPN	1	1320	145255	67	0.461258	67	64	0.0447761
Q86TD4	SRL	2	473	54429.9	30	0.551168	30	25	0.166667
Q86VF2	IGFN1	1	1251	137761	70	0.508125	70	64	0.0857143
Q86VF7	NRAP	1	1730	197071	128	0.649513	128	129	-0.0078125
Q86VW2	ARHGEF25	1	580	63841.7	32	0.50124	32	32	0
Q86YM7	HOMER1	1	354	40276.1	24	0.595887	24	24	0
Q8IUG5	MYO18B	1	2567	285210	174	0.610076	174	175	-0.00574713
Q8IVL5	P3H2	2	708	80983.3	42	0.518625	42	43	-0.0238095
Q8IWX7	UNC45B	1	931	103732	68	0.655538	68	68	0
Q8IWX8	CHERP	2	916	103700	37	0.356798	37	35	0.0540541
Q8N0Z2	ABRA	1	381	43116.8	27	0.626205	27	24	0.111111
Q8N3K9	CMYA5	1;2	4069	449204	230	0.512016	230	221	0.0391304
Q8N3V7	SYNPO	1	929	99461.7	52	0.522814	52	46	0.115385
Q8NBH2	KY	1	661	75152.4	33	0.439108	33	32	0.030303
Q8NC69	KCTD6	1	237	27610	16	0.5795	16	14	0.125
Q8NDY3	ADPRHL1	1	354	40104.1	21	0.523637	21	19	0.0952381
Q8NDZ2	SIMC1	1	872	96836.6	49	0.506007	49	44	0.102041
Q8NEW0	SLC30A7	2	376	41625.2	16	0.384383	16	17	-0.0625
Q8NEZ5	FBXO22	1	403	44507.9	24	0.539231	24	22	0.0833333
Q8NF91	SYNE1	1;2	8797	1.01107e+06	566	0.559804	566	561	0.00883392
Q8TDC0	MYOZ3	1	251	27156.5	15	0.552354	15	14	0.0666667
Q8WU10	PYROXD1	1	500	55792.2	22	0.39432	22	22	0
Q8WX93	PALLD	1	1383	150561	70	0.464926	70	69	0.0142857
Q8WXH0	SYNE2	1;2	6885	796429	458	0.575067	458	449	0.0196507
Q8WXH2	JPH3	2	748	81467.7	44	0.540092	44	45	-0.0227273
Q8WZ42	TTN	1	34350	3.81599e+06	2214	0.580191	2214	2086	0.0578139
Q92629	SGCD	2	289	32071	19	0.592435	19	19	0
Q92736	RYR2	1;2	4967	564560	299	0.529616	299	296	0.0100334
Q92831	KAT2B	1	832	93011.9	45	0.483809	45	46	-0.0222222
Q92952	KCNN1	1	543	59986.5	32	0.533453	32	29	0.09375
Q93084	ATP2A3	2	999	109255	50	0.457646	50	48	0.04
Q969P5	FBXO32	1	355	41636.6	26	0.624451	26	26	0
Q969Q1	TRIM63	1	353	40247.1	27	0.670856	27	26	0.037037
Q96AC1	FERMT2	1	680	77859.4	39	0.500903	39	39	0
Q96DD0	LRRC39	1	335	38792.4	19	0.489787	19	19	0
Q96HC4	PDLIM5	1	596	63944.3	35	0.547351	35	31	0.114286
Q96JJ6	JPH4	2	628	65859.7	29	0.44033	29	30	-0.0344828
Q96JY6	PDLIM2	1	352	37458.2	24	0.640714	24	24	0
Q96MG2	JSRP1	2	331	36318.1	18	0.495621	18	19	-0.0555556
Q96Q27	ASB2	1	635	70211	35	0.498497	35	35	0
Q9BR39	JPH2	1;2	696	74220.5	31	0.417675	31	34	-0.0967742
Q9BVC6	TMEM109	2	243	26209.4	10	0.381542	10	10	0
Q9BYV2	TRIM54	1	358	40300.4	25	0.620342	25	22	0.12
Q9C0I1	MTMR12	1;2	747	86146.4	44	0.510758	44	42	0.0454545
Q9GZV1	ANKRD2	1	360	39858.6	23	0.57704	23	23	0
Q9H1R3	MYLK2	1	596	64684	35	0.541092	35	33	0.0571429
Q9H2S1	KCNN2	1	579	63758.7	29	0.45484	29	28	0.0344828
Q9H6F2	TMEM38A	2	299	33259.4	12	0.3608	12	12	0
Q9H7C4	SYNC	1	482	55298.5	29	0.524427	29	28	0.0344828
Q9H987	SYNPO2L	1	977	102479	44	0.429356	44	37	0.159091
Q9HBI1	PARVB	1	364	41713.7	19	0.455486	19	20	-0.0526316
Q9HDC5	JPH1	1;2	661	71685	38	0.530097	38	39	-0.0263158
Q9NNX1	TUFT1	1	390	44263.1	27	0.609989	27	25	0.0740741
Q9NP98	MYOZ1	1	299	31744.3	14	0.441024	14	14	0
Q9NPC6	MYOZ2	1	264	29897.5	16	0.535162	16	17	-0.0625
Q9NR12	PDLIM7	1	457	49844	30	0.601877	30	26	0.133333
Q9NVD7	PARVA	1	372	42243.1	21	0.497122	21	19	0.0952381
Q9NVV0	TMEM38B	2	291	32509.3	13	0.399885	13	12	0.0769231
Q9NY72	SCN3B	1	215	24702	10	0.404825	10	10	0
Q9NYL9	TMOD3	1	352	39594.3	23	0.580892	23	23	0
Q9NZQ9	TMOD4	1	345	39334.9	18	0.457609	18	18	0
Q9NZR1	TMOD2	1	351	39594.5	21	0.530376	21	22	-0.047619
Q9UBF9	MYOT	1	498	55394.2	33	0.59573	33	31	0.0606061
Q9UDY4	DNAJB4	1	337	37806.4	19	0.502561	19	19	0
Q9UGI6	KCNN3	1	731	81383.8	34	0.417774	34	34	0
Q9UHP9	SMPX	1	88	9558.92	6	0.627686	6	5	0.166667
Q9UJW0	DCTN4	1	460	52336.4	29	0.554108	29	24	0.172414
Q9UKP3	ITGB1BP2	1	347	38381.7	20	0.521082	20	19	0.05
Q9UKX2	MYH2	1	1941	223041	127	0.569402	127	125	0.015748
Q9UKX3	MYH13	1	1938	223601	125	0.559031	125	123	0.016
Q9UL15	BAG5	2	447	51198.9	27	0.527355	27	27	0
Q9ULV4	CORO1C	1	474	53248.3	24	0.450718	24	24	0
Q9UMS6	SYNPO2	1	1093	117512	61	0.519094	61	57	0.0655738
Q9UNE7	STUB1	1	303	34855.7	24	0.688554	24	24	0
Q9UQD0	SCN8A	1	1980	225277	76	0.337362	76	72	0.0526316
Q9Y272	RASD1	2	281	31642	19	0.600467	19	19	0
Q9Y281	CFL2	1	166	18736.4	13	0.693836	13	13	0
Q9Y2K3	MYH15	1	1926	222159	119	0.535653	119	118	0.00840336
Q9Y623	MYH4	1	1939	223068	127	0.569333	127	126	0.00787402
Q9Y6A1	POMT1	2	747	84879.2	35	0.412351	35	33	0.0571429
Q9Y6F6	IRAG1	2	904	97955.7	48	0.490018	48	48	0
