# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-13T04:25:20Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
rank	accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff	robust_z
23	Q15125	EBP	2	230	26352.4	6	0.227684	6	4	0.333333	-3.28621
24	Q9BVT8	TMUB1	2	246	26260.8	6	0.228477	6	5	0.166667	-3.2774
25	P63146	UBE2B	2	152	17312.1	4	0.231052	4	4	0	-3.24881
26	O75915	ARL6IP5	2	188	21614.5	5	0.231327	5	6	-0.2	-3.24576
27	P04280	PRB1	2	392	38561.3	9	0.233395	9	0	1	-3.2228
28	Q96M27	PRRC1	2	445	46700.6	11	0.235543	11	11	0	-3.19895
29	P0DP58	LYNX1	2	116	12640.9	3	0.237325	3	3	0	-3.17917
30	Q13445	TMED1	2	227	25205.5	6	0.238044	6	6	0	-3.17119
31	P37198	NUP62	2	522	53254.1	13	0.244113	13	13	0	-3.10381
32	P62942	FKBP1A	1	108	11950.6	3	0.251034	3	3	0	-3.02698
33	Q9H4A3	WNK1	2	2382	250790	63	0.251206	63	59	0.0634921	-3.02506
34	P68106	FKBP1B	1	108	11782.4	3	0.254617	3	3	0	-2.9872
35	Q15043	SLC39A14	2	492	54211.4	14	0.258248	14	13	0.0714286	-2.94689
36	P55087	AQP4	2	323	34829.3	9	0.258403	9	8	0.111111	-2.94516
37	O43826	SLC37A4	2	429	46359.4	12	0.258847	12	12	0	-2.94024
38	P20962	PTMS	2	102	11529.8	3	0.260195	3	3	0	-2.92527
39	Q14353	GAMT	2	236	26317.8	7	0.26598	7	8	-0.142857	-2.86105
40	O60669	SLC16A7	2	478	52199.6	14	0.268201	14	10	0.285714	-2.83639
41	Q96GZ6	SLC41A3	2	507	54765.8	15	0.273893	15	12	0.2	-2.77319
42	P11166	SLC2A1	1	492	54083.1	15	0.277351	15	15	0	-2.73481
43	Q53FT3	HIKESHI	2	197	21627.5	6	0.277425	6	5	0.166667	-2.73398
44	Q14157	UBAP2L	2	1087	114533	32	0.279396	32	32	0	-2.7121
45	Q06432	CACNG1	2	222	25028.1	7	0.279686	7	7	0	-2.70888
46	Q9GZZ8	LACRT	2	138	14245.9	4	0.280783	4	5	-0.25	-2.6967
47	O95070	YIF1A	2	293	32010.7	9	0.281156	9	9	0	-2.69256
48	P47914	RPL29	2	159	17751.8	5	0.281661	5	6	-0.2	-2.68696
49	Q5T6F2	UBAP2	2	1119	117114	33	0.281778	33	30	0.0909091	-2.68566
50	Q9Y6I3	EPN1	2	576	60292.3	17	0.28196	17	15	0.117647	-2.68364
51	Q16637	SMN1	1	294	31848.3	9	0.28259	9	11	-0.222222	-2.67665
52	Q6UW68	TMEM205	2	189	21197.5	6	0.283053	6	6	0	-2.67151
53	Q8N5M9	JAGN1	2	183	21124.6	6	0.284029	6	6	0	-2.66067
54	P19256	CD58	2	250	28147.1	8	0.284221	8	8	0	-2.65853
55	P18583	SON	2	2426	263826	75	0.284278	75	74	0.0133333	-2.65791
56	Q53TN4	CYBRD1	2	286	31640.8	9	0.284443	9	9	0	-2.65608
57	P23297	S100A1	2	94	10545.7	3	0.284476	3	3	0	-2.65571
58	Q9UNL2	SSR3	2	185	21080.2	6	0.284628	6	6	0	-2.65402
59	Q969T9	WBP2	2	261	28086.7	8	0.284832	8	8	0	-2.65175
60	Q6P1A2	LPCAT3	2	487	56034.2	16	0.28554	16	16	0	-2.64389
61	O00168	FXYD1	2	92	10441	3	0.287329	3	3	0	-2.62404
62	Q9H330	TMEM245	2	879	97355.6	28	0.287606	28	28	0	-2.62096
63	Q9BZW5	TM6SF1	2	370	41635.5	12	0.288216	12	12	0	-2.61419
64	P35499	SCN4A	2	1836	208058	60	0.288381	60	61	-0.0166667	-2.61236
65	O96008	TOMM40	2	361	37892.6	11	0.290294	11	11	0	-2.59112
66	Q5BJH7	YIF1B	2	314	34434.9	10	0.290403	10	10	0	-2.5899
67	P58511	SMIM11	2	58	6886.19	2	0.290437	2	2	0	-2.58953
68	O95487	SEC24B	2	1268	137415	40	0.291088	40	38	0.05	-2.5823
69	Q07507	DPT	2	201	24004.5	7	0.291611	7	7	0	-2.57649
70	Q9ULX7	CA14	2	337	37667	11	0.292033	11	10	0.0909091	-2.57181
71	P58107	EPPK1	2	5088	555649	163	0.293351	163	160	0.0184049	-2.55718
72	Q14444	CAPRIN1	2	709	78365	23	0.293498	23	23	0	-2.55554
73	P53985	SLC16A1	2	500	53943.6	16	0.296606	16	13	0.1875	-2.52104
74	Q53RT3	ASPRV1	2	343	36990.6	11	0.297373	11	11	0	-2.51253
75	P62837	UBE2D2	2	147	16735	5	0.298775	5	5	0	-2.49696
76	P61077	UBE2D3	2	147	16686.9	5	0.299636	5	5	0	-2.4874
77	Q96EP5	DAZAP1	2	407	43382.9	13	0.299657	13	13	0	-2.48717
78	Q9Y2X8	UBE2D4	2	147	16648.8	5	0.300322	5	5	0	-2.47979
79	Q15758	SLC1A5	2	541	56597.5	17	0.300367	17	17	0	-2.47929
80	P51668	UBE2D1	2	147	16601.8	5	0.301173	5	5	0	-2.47034
81	Q8N6M3	FITM2	2	262	29854.5	9	0.301462	9	9	0	-2.46714
82	O95969	SCGB1D2	2	90	9924.93	3	0.302269	3	3	0	-2.45817
83	Q99504	EYA3	2	573	62661.8	19	0.303215	19	15	0.210526	-2.44767
84	Q9Y5N5	HEMK2	2	214	22957.2	7	0.304916	7	7	0	-2.42879
85	O75907	DGAT1	2	488	55277.4	17	0.30754	17	17	0	-2.39966
86	P49356	FNTB	2	437	48772.9	15	0.307548	15	12	0.2	-2.39957
87	Q5BJD5	TMEM41B	2	291	32513	10	0.307569	10	10	0	-2.39933
88	P55209	NAP1L1	2	391	45373.6	14	0.30855	14	13	0.0714286	-2.38845
89	P15151	PVR	2	417	45302	14	0.309037	14	11	0.214286	-2.38303
90	Q15517	CDSN	2	529	51606.6	16	0.310038	16	11	0.3125	-2.37192
91	P0CG47	UBB	2	229	25761.3	8	0.310544	8	8	0	-2.36631
92	P01593	IGKV1D-33	2	117	12848.2	4	0.311327	4	4	0	-2.35762
93	P00403	MT-CO2	2	227	25564.6	8	0.312933	8	6	0.25	-2.33979
94	O00479	HMGN4	2	90	9538.81	3	0.314505	3	4	-0.333333	-2.32233
95	Q14524	SCN5A	1	2016	226937	72	0.317269	72	70	0.0277778	-2.29164
96	P35637	FUS	2	526	53425.5	17	0.3182	17	17	0	-2.28131
97	O95758	PTBP3	2	552	59688.6	19	0.318319	19	19	0	-2.27999
98	P14209	CD99	2	185	18847.7	6	0.318342	6	4	0.333333	-2.27973
99	P01859	IGHG2	2	395	43805.3	14	0.319596	14	14	0	-2.26581
100	O60259	KLK8	2	260	28047.5	9	0.320885	9	10	-0.111111	-2.25151
101	Q9HBU9	POPDC2	2	364	40446.9	13	0.321409	13	13	0	-2.24569
102	P02654	APOC1	2	83	9331.78	3	0.321482	3	3	0	-2.24487
103	Q13409	DYNC1I2	2	638	71455.6	23	0.321878	23	22	0.0434783	-2.24047
104	Q92544	TM9SF4	2	642	74517.7	24	0.322071	24	22	0.0833333	-2.23834
105	Q9H446	RWDD1	2	243	27939.1	9	0.322129	9	9	0	-2.23769
106	O43760	SYNGR2	2	224	24809.7	8	0.322454	8	8	0	-2.23408
107	Q5T1J5	CHCHD2P9	2	151	15489.3	5	0.322803	5	4	0.2	-2.23021
108	Q9BX46	RBM24	2	236	24775.4	8	0.3229	8	7	0.125	-2.22913
109	O76062	TM7SF2	2	418	46405.1	15	0.32324	15	14	0.0666667	-2.22535
110	Q9HD45	TM9SF3	2	589	67887.4	22	0.324066	22	21	0.0454545	-2.21619
111	Q00765	REEP5	2	189	21492.8	7	0.32569	7	8	-0.142857	-2.19816
112	P62877	RBX1	2	108	12273.8	4	0.325897	4	4	0	-2.19586
113	Q8TF66	LRRC15	2	581	64365.1	21	0.326264	21	21	0	-2.19179
114	Q96GE9	DMAC1	2	116	12257.2	4	0.326338	4	2	0.5	-2.19096
115	P46379	BAG6	2	1132	119407	39	0.326615	39	37	0.0512821	-2.18789
116	Q9BQA1	WDR77	2	342	36723.8	12	0.326764	12	12	0	-2.18624
117	P0DME0	SETSIP	2	292	33644.5	11	0.326948	11	11	0	-2.18419
118	P24311	COX7B	2	80	9160.38	3	0.327498	3	3	0	-2.17809
119	Q01105	SET	2	290	33488.4	11	0.328472	11	11	0	-2.16727
120	Q5VXT5	SYPL2	2	272	30155.8	10	0.331611	10	10	0	-2.13242
121	O14683	TP53I11	2	189	21053.6	7	0.332485	7	7	0	-2.12273
122	Q9NR56	MBNL1	2	388	41816.6	14	0.334795	14	15	-0.0714286	-2.09707
123	Q96K19	RNF170	2	258	29814.2	10	0.33541	10	10	0	-2.09025
124	P07305	H1-0	2	194	20862.7	7	0.335527	7	8	-0.142857	-2.08895
125	Q01844	EWSR1	2	656	68477.6	23	0.335876	23	23	0	-2.08507
126	A5D8V6	VPS37C	2	355	38658.3	13	0.336279	13	10	0.230769	-2.0806
127	O14964	HGS	2	777	86190.6	29	0.336464	29	29	0	-2.07855
128	Q8TB61	SLC35B2	2	432	47514.1	16	0.336742	16	16	0	-2.07546
129	Q9UQD0	SCN8A	1	1980	225277	76	0.337362	76	72	0.0526316	-2.06858
130	Q8IXL7	MSRB3	2	192	20702.1	7	0.338131	7	6	0.142857	-2.06004
131	Q9H8Y8	GORASP2	2	452	47144.7	16	0.339381	16	14	0.125	-2.04616
132	O14828	SCAMP3	2	347	38286.3	13	0.339547	13	13	0	-2.04432
133	B0YJ81	HACD1	2	288	32387.3	11	0.339639	11	9	0.181818	-2.0433
134	Q9GZQ8	MAP1LC3B	2	125	14687.8	5	0.340418	5	5	0	-2.03465
135	Q9NW15	ANO10	2	660	76328.3	26	0.340634	26	26	0	-2.03225
136	P32418	SLC8A1	1	973	108546	37	0.34087	37	35	0.0540541	-2.02963
137	Q08357	SLC20A2	2	652	70391.5	24	0.34095	24	24	0	-2.02874
138	Q9UPN7	PPP6R1	2	881	96722	33	0.341184	33	33	0	-2.02614
139	P43307	SSR1	2	286	32234.9	11	0.341245	11	10	0.0909091	-2.02547
140	Q8TEA8	DTD1	2	209	23423.2	8	0.341541	8	9	-0.125	-2.02218
141	A6NCE7	MAP1LC3B2	2	125	14627.8	5	0.341815	5	5	0	-2.01914
142	P01861	IGHG4	2	396	43831.2	15	0.342222	15	15	0	-2.01462
143	Q96B96	LDAF1	2	161	17521.6	6	0.342434	6	5	0.166667	-2.01226
144	Q8IZL8	PELP1	2	1130	119698	41	0.342529	41	37	0.097561	-2.01121
145	Q96KR6	MIMS2	2	192	20424	7	0.342735	7	8	-0.142857	-2.00893
146	P14866	HNRNPL	2	589	64132.1	22	0.343042	22	24	-0.0909091	-2.00552
147	P30049	ATP5F1D	2	168	17489.7	6	0.34306	6	5	0.166667	-2.00532
148	Q99805	TM9SF2	2	663	75774.6	26	0.343123	26	24	0.0769231	-2.00462
149	P42766	RPL35	2	123	14551.3	5	0.343612	5	6	-0.2	-1.99919
150	P55854	SUMO3	2	103	11636.9	4	0.343734	4	5	-0.25	-1.99783
151	Q53HC9	EIPR1	2	387	43602.5	15	0.344017	15	15	0	-1.9947
152	P61619	SEC61A1	2	476	52264	18	0.344405	18	17	0.0555556	-1.99038
153	Q9H9S3	SEC61A2	2	476	52247	18	0.344517	18	17	0.0555556	-1.98914
154	P61009	SPCS3	2	180	20313.2	7	0.344604	7	7	0	-1.98817
155	P35498	SCN1A	1	2009	228969	79	0.345025	79	79	0	-1.9835
156	Q92734	TFG	2	400	43447.1	15	0.345247	15	13	0.133333	-1.98104
157	O00629	KPNA4	2	521	57885.8	20	0.345508	20	19	0.05	-1.97814
158	Q5VZF2	MBNL2	2	373	40517.1	14	0.345533	14	14	0	-1.97786
159	P19075	TSPAN8	2	237	26043.5	9	0.345575	9	9	0	-1.97739
160	O00505	KPNA3	2	521	57810	20	0.345961	20	19	0.05	-1.97311
161	Q9H3N1	TMX1	2	280	31790.7	11	0.346013	11	11	0	-1.97254
162	P01860	IGHG3	2	446	49092.4	17	0.346286	17	17	0	-1.96951
163	P05386	RPLP1	2	114	11513.8	4	0.34741	4	4	0	-1.95703
164	P54727	RAD23B	2	409	43170.5	15	0.34746	15	15	0	-1.95647
165	P62861	FAU	2	133	14389.5	5	0.347474	5	5	0	-1.95631
166	Q9H6L5	RETREG1	2	497	54679.6	19	0.347479	19	18	0.0526316	-1.95626
167	P41236	PPP1R2	2	205	23014.8	8	0.347602	8	8	0	-1.95489
168	P62873	GNB1	2	340	37376.4	13	0.347813	13	13	0	-1.95255
169	P62879	GNB2	2	340	37330.5	13	0.348241	13	13	0	-1.9478
170	Q13698	CACNA1S	1	1873	212347	74	0.348486	74	70	0.0540541	-1.94508
171	Q14767	LTBP2	2	1821	195050	68	0.348629	68	58	0.147059	-1.94349
172	P60033	CD81	2	236	25809.1	9	0.348714	9	8	0.111111	-1.94255
173	Q9Y584	TIMM22	2	194	20030.7	7	0.349463	7	7	0	-1.93424
174	P49903	SEPHS1	2	392	42910.1	15	0.349568	15	15	0	-1.93307
175	P04217	A1BG	2	495	54252.7	19	0.350213	19	17	0.105263	-1.92591
176	Q15070	OXA1L	2	435	48519	17	0.350378	17	16	0.0588235	-1.92407
177	Q9NRG1	PRTFDC1	2	225	25673.2	9	0.35056	9	10	-0.111111	-1.92206
178	P68402	PAFAH1B2	2	229	25568.9	9	0.35199	9	10	-0.111111	-1.90618
179	Q5T8P6	RBM26	2	1007	113596	40	0.352126	40	42	-0.05	-1.90467
180	P26599	PTBP1	2	557	59632.1	21	0.352159	21	22	-0.047619	-1.9043
181	P53990	IST1	2	364	39750	14	0.352201	14	13	0.0714286	-1.90383
182	Q92575	UBXN4	2	508	56776.7	20	0.352257	20	16	0.2	-1.90321
183	Q8IZ83	ALDH16A1	2	802	85126.1	30	0.352419	30	29	0.0333333	-1.90142
184	P04196	HRG	2	525	59577.3	21	0.352483	21	22	-0.047619	-1.90071
185	P39059	COL15A1	2	1388	141719	50	0.352812	50	46	0.08	-1.89705
186	Q8N0U8	VKORC1L1	2	176	19835.4	7	0.352905	7	7	0	-1.89602
187	Q9H0Z9	RBM38	2	239	25497.5	9	0.352975	9	8	0.111111	-1.89524
188	O60784	TOM1	2	492	53817.6	19	0.353044	19	19	0	-1.89447
189	P62308	SNRPG	2	76	8495.99	3	0.353108	3	3	0	-1.89377
190	P14314	PRKCSH	2	528	59424.6	21	0.353389	21	19	0.0952381	-1.89065
191	Q9Y2Z9	COQ6	2	468	50869	18	0.35385	18	18	0	-1.88553
192	P31415	CASQ1	1	396	45159.5	16	0.3543	16	14	0.125	-1.88053
193	P02655	APOC2	2	101	11283.7	4	0.354494	4	4	0	-1.87838
194	Q92783	STAM	2	540	59178.6	21	0.354858	21	21	0	-1.87434
195	P26368	U2AF2	2	475	53500.3	19	0.355138	19	19	0	-1.87123
196	Q9BVG9	PTDSS2	2	487	56252.2	20	0.355542	20	18	0.1	-1.86675
197	Q14671	PUM1	2	1186	126471	45	0.355812	45	44	0.0222222	-1.86374
198	P62995	TRA2B	2	288	33665.2	12	0.356451	12	11	0.0833333	-1.85665
199	P43251	BTD	2	523	58912.5	21	0.356461	21	21	0	-1.85654
200	Q66K74	MAP1S	2	1059	112210	40	0.356475	40	41	-0.025	-1.85638
201	Q96G23	CERS2	2	380	44875.4	16	0.356543	16	16	0	-1.85563
202	Q09028	RBBP4	2	425	47654.9	17	0.356731	17	15	0.117647	-1.85354
203	Q8IWX8	CHERP	2	916	103700	37	0.356798	37	35	0.0540541	-1.85281
204	Q9NVM4	PRMT7	2	692	78458.1	28	0.356878	28	27	0.0357143	-1.85191
205	Q5HYJ1	TECRL	2	363	42008.6	15	0.35707	15	14	0.0666667	-1.84979
206	P13693	TPT1	2	172	19595.1	7	0.357231	7	8	-0.142857	-1.84799
207	P57737	CORO7	2	925	100603	36	0.357841	36	35	0.0277778	-1.84123
208	O75400	PRPF40A	2	957	108803	39	0.358444	39	39	0	-1.83452
209	P49756	RBM25	2	843	100184	36	0.359338	36	34	0.0555556	-1.8246
210	Q04941	PLP2	2	152	16690.5	6	0.359486	6	6	0	-1.82296
211	Q9H6F2	TMEM38A	2	299	33259.4	12	0.3608	12	12	0	-1.80837
212	Q8N2U9	SLC66A2	2	271	30477.1	11	0.360927	11	11	0	-1.80697
213	Q9HCJ2	LRRC4C	2	640	71948.6	26	0.361369	26	25	0.0384615	-1.80206
214	O15260	SURF4	2	269	30393.6	11	0.361919	11	9	0.181818	-1.79595
215	Q96P70	IPO9	2	1041	115961	42	0.362191	42	41	0.0238095	-1.79293
216	Q13627	DYRK1A	2	763	85582.5	31	0.362224	31	29	0.0645161	-1.79257
217	Q5SQH8	C6orf136	2	315	35793.7	13	0.363192	13	13	0	-1.78181
218	O15427	SLC16A3	2	465	49468.8	18	0.363865	18	15	0.166667	-1.77434
219	P22105	TNXB	2	4244	458384	167	0.364324	167	161	0.0359281	-1.76925
220	Q6PJW8	CNST	2	725	79595.7	29	0.364341	29	29	0	-1.76906
221	Q8N6S5	ARL6IP6	2	226	24675.9	9	0.364728	9	7	0.222222	-1.76476
222	Q92879	CELF1	2	486	52062.3	19	0.364947	19	19	0	-1.76233
223	P63173	RPL38	2	70	8217.81	3	0.365061	3	3	0	-1.76107
224	P55735	SEC13	2	322	35540	13	0.365785	13	13	0	-1.75303
225	O60888	CUTA	2	179	19116	7	0.366184	7	7	0	-1.7486
226	Q9H1E3	NUCKS1	2	243	27296.1	10	0.366353	10	12	-0.2	-1.74672
227	P56134	ATP5MF	2	94	10917.7	4	0.366376	4	4	0	-1.74647
228	Q13033	STRN3	2	797	87208	32	0.366939	32	31	0.03125	-1.74022
229	Q8NI37	PPTC7	2	304	32645.3	12	0.367588	12	12	0	-1.73302
230	Q8TB72	PUM2	2	1066	114214	42	0.367731	42	40	0.047619	-1.73142
231	P61956	SUMO2	2	95	10871.1	4	0.367948	4	5	-0.25	-1.72901
232	P55036	PSMD4	2	377	40736.1	15	0.368224	15	15	0	-1.72596
233	P08621	SNRNP70	2	437	51556	19	0.368531	19	19	0	-1.72254
234	P62263	RPS14	2	151	16272.5	6	0.36872	6	6	0	-1.72045
235	Q9Y5A9	YTHDF2	2	579	62333.2	23	0.368985	23	19	0.173913	-1.71751
236	Q7Z2K6	ERMP1	2	904	100230	37	0.369152	37	35	0.0540541	-1.71565
237	Q9UM00	TMCO1	2	239	27078.7	10	0.369294	10	10	0	-1.71408
238	P09496	CLTA	2	248	27076.3	10	0.369327	10	10	0	-1.71371
239	Q96DH6	MSI2	2	328	35196.4	13	0.369356	13	12	0.0769231	-1.71338
240	Q5T9L3	WLS	2	541	62252.4	23	0.369464	23	22	0.0434783	-1.71219
241	Q9NTZ6	RBM12	2	932	97394.5	36	0.369631	36	34	0.0555556	-1.71034
242	Q9UPN6	SCAF8	2	1271	140517	52	0.370061	52	51	0.0192308	-1.70556
243	P62304	SNRPE	2	92	10803.5	4	0.370252	4	4	0	-1.70344
244	Q9Y3S1	WNK2	2	2297	242672	90	0.370871	90	89	0.0111111	-1.69657
245	Q96BP2	CHCHD1	2	118	13474.6	5	0.371068	5	6	-0.2	-1.69437
246	P09619	PDGFRB	2	1106	123966	46	0.371069	46	45	0.0217391	-1.69437
247	Q9HA65	TBC1D17	2	648	72669.1	27	0.371547	27	26	0.037037	-1.68906
248	Q32P28	P3H1	2	736	83392.7	31	0.371735	31	31	0	-1.68697
249	O14497	ARID1A	2	2285	242041	90	0.371838	90	77	0.144444	-1.68583
250	O75179	ANKRD17	2	2603	274254	102	0.371918	102	89	0.127451	-1.68494
251	Q96GQ5	RUSF1	2	468	51017	19	0.372425	19	20	-0.0526316	-1.67931
252	Q99829	CPNE1	2	537	59057.9	22	0.372516	22	20	0.0909091	-1.67831
253	Q9HAV0	GNB4	2	340	37566.6	14	0.372671	14	14	0	-1.67658
254	P84157	MXRA7	2	204	21465.4	8	0.372692	8	7	0.125	-1.67635
255	Q16586	SGCA	2	387	42874.4	16	0.373183	16	16	0	-1.6709
256	P23327	HRC	1	699	80242.4	30	0.373867	30	29	0.0333333	-1.6633
257	Q96PK6	RBM14	2	669	69490.4	26	0.374153	26	25	0.0384615	-1.66013
258	P16989	YBX3	2	372	40089.4	15	0.374163	15	18	-0.2	-1.66001
259	Q8IVF2	AHNAK2	2	5795	616621	231	0.374622	231	228	0.012987	-1.65492
260	Q15651	HMGN3	2	99	10665.8	4	0.375032	4	5	-0.25	-1.65038
261	Q15842	KCNJ8	1	424	47967.2	18	0.375256	18	18	0	-1.64788
262	P04844	RPN2	2	631	69282.9	26	0.375273	26	25	0.0384615	-1.64769
263	P03928	MT-ATP8	2	68	7991.53	3	0.375397	3	4	-0.333333	-1.64632
264	Q6UN15	FIP1L1	2	594	66525.5	25	0.375796	25	22	0.12	-1.64189
265	Q7L4I2	RSRC2	2	434	50558.9	19	0.375799	19	19	0	-1.64185
266	P56537	EIF6	2	245	26598.8	10	0.375957	10	10	0	-1.6401
267	A0A0A0MRZ7	IGKV2D-26	2	120	13296.9	5	0.376027	5	5	0	-1.63933
268	Q16576	RBBP7	2	425	47819.3	18	0.376417	18	16	0.111111	-1.635
269	P53384	NUBP1	2	320	34534.1	13	0.37644	13	13	0	-1.63474
270	P08185	SERPINA6	2	405	45140.2	17	0.376605	17	17	0	-1.63291
271	P28070	PSMB4	2	264	29203.8	11	0.376663	11	11	0	-1.63227
272	Q9Y3T9	NOC2L	2	749	84918.1	32	0.376834	32	33	-0.03125	-1.63037
273	P16671	CD36	2	472	53052.8	20	0.376983	20	20	0	-1.62871
274	O15027	SEC16A	2	2357	251889	95	0.37715	95	83	0.126316	-1.62686
275	Q8NBF2	NHLRC2	2	726	79442.5	30	0.377632	30	30	0	-1.62151
276	P01877	IGHA2	2	391	42333.3	16	0.377953	16	14	0.125	-1.61795
277	P54725	RAD23A	2	363	39608.6	15	0.378706	15	15	0	-1.60959
278	O00115	DNASE2	2	360	39580.2	15	0.378977	15	15	0	-1.60657
279	P35613	BSG	2	385	42199.7	16	0.379149	16	16	0	-1.60466
280	Q9NPY3	CD93	2	652	68559.4	26	0.379233	26	24	0.0769231	-1.60373
281	Q9H3P7	ACBD3	2	528	60592.6	23	0.379585	23	21	0.0869565	-1.59983
282	O95208	EPN2	2	641	68480.5	26	0.37967	26	20	0.230769	-1.59888
283	P61353	RPL27	2	136	15797.6	6	0.379805	6	6	0	-1.59738
284	Q8N139	ABCA6	2	1617	184283	70	0.37985	70	68	0.0285714	-1.59689
285	Q13148	TARDBP	2	414	44739.4	17	0.379979	17	17	0	-1.59545
286	P50897	PPT1	2	306	34193	13	0.380195	13	13	0	-1.59306
287	P16070	CD44	2	742	81536.4	31	0.380199	31	31	0	-1.59301
288	P63316	TNNC1	1	161	18402.3	7	0.380387	7	7	0	-1.59093
289	O94855	SEC24D	2	1032	113008	43	0.380504	43	39	0.0930233	-1.58963
290	Q13485	SMAD4	2	552	60438.1	23	0.380554	23	23	0	-1.58906
291	P46976	GYG1	2	350	39383.2	15	0.380873	15	15	0	-1.58552
292	O94911	ABCA8	2	1621	183674	70	0.38111	70	67	0.0428571	-1.58289
293	Q9BVC6	TMEM109	2	243	26209.4	10	0.381542	10	10	0	-1.5781
294	Q13492	PICALM	2	652	70753.5	27	0.381607	27	24	0.111111	-1.57738
295	O43765	SGTA	2	313	34062.5	13	0.381651	13	13	0	-1.57689
296	Q14596	NBR1	1	966	107412	41	0.381709	41	35	0.146341	-1.57624
297	P52294	KPNA1	2	538	60220.9	23	0.381927	23	22	0.0434783	-1.57382
298	Q92688	ANP32B	2	251	28787.4	11	0.382112	11	11	0	-1.57177
299	O14735	CDIPT	2	213	23538.4	9	0.382354	9	8	0.111111	-1.56909
300	Q15796	SMAD2	2	467	52305.4	20	0.382369	20	20	0	-1.56891
301	P62857	RPS28	2	69	7840.94	3	0.382607	3	3	0	-1.56627
302	Q9UKA9	PTBP2	2	531	57489.9	22	0.382676	22	22	0	-1.56551
303	Q15392	DHCR24	2	516	60100.4	23	0.382693	23	22	0.0434783	-1.56532
304	O75844	ZMPSTE24	2	475	54812.1	21	0.383127	21	21	0	-1.5605
305	P02730	SLC4A1	1	911	101791	39	0.383139	39	33	0.153846	-1.56037
306	Q6UVK1	CSPG4	2	2322	250533	96	0.383184	96	91	0.0520833	-1.55987
307	Q9H299	SH3BGRL3	2	93	10437.6	4	0.383231	4	4	0	-1.55934
308	P55822	SH3BGR	2	239	26085.3	10	0.383358	10	10	0	-1.55794
309	O94979	SEC31A	2	1220	133012	51	0.383423	51	49	0.0392157	-1.55722
310	Q15139	PRKD1	1	912	101703	39	0.38347	39	33	0.153846	-1.55669
311	P84098	RPL19	2	196	23465.7	9	0.383539	9	9	0	-1.55593
312	Q9NP79	VTA1	2	307	33878.7	13	0.383722	13	13	0	-1.55389
313	Q5BJF2	TMEM97	2	176	20847.6	8	0.383738	8	8	0	-1.55372
