accession	gene	tier	n_chain_features	chain_features	master_ranges_union	length
P02652	APOA2	plasma	3	PRO_0000425351 'Proapolipoprotein A-II' 19-100 | PRO_0000002003 'Apolipoprotein A-II' 24-100 | PRO_0000002004 'Truncated apolipoprotein A-II' 24-99	19-100	100
P02654	APOC1	plasma	2	PRO_0000002014 'Apolipoprotein C-I' 27-83 | PRO_0000391843 'Truncated apolipoprotein C-I' 29-83	27-83	83
P02655	APOC2	plasma	2	PRO_0000002024 'Proapolipoprotein C-II' 23-101 | PRO_0000430839 'Apolipoprotein C-II' 29-101	23-101	101
P02741	CRP	plasma	2	PRO_0000023526 'C-reactive protein' 19-224 | PRO_0000023527 'C-reactive protein(1-205)' 19-223	19-224	224
P02743	APCS	plasma	2	PRO_0000023540 'Serum amyloid P-component' 20-223 | PRO_0000023541 'Serum amyloid P-component(1-203)' 20-222	20-223	223
P02748	C9	plasma	3	PRO_0000023602 'Complement component C9' 22-559 | PRO_0000023603 'Complement component C9a' 22-265 | PRO_0000023604 'Complement component C9b' 266-559	22-559	559
P02753	RBP4	plasma	5	PRO_0000017961 'Retinol-binding protein 4' 19-201 | PRO_0000017962 'Plasma retinol-binding protein(1-182)' 19-200 | PRO_0000017963 'Plasma retinol-binding protein(1-181)' 19-199 | PRO_0000017964 'Plasma retinol-binding protein(1-179)' 19-197 | PRO_0000017965 'Plasma retinol-binding protein(1-176)' 19-194	19-201	201
P02760	AMBP	erythrocytes;plasma	3	PRO_0000017886 'Alpha-1-microglobulin' 20-203 | PRO_0000017887 'Inter-alpha-trypsin inhibitor light chain' 206-352 | PRO_0000318926 'Trypstatin' 284-344	20-203,206-352	352
P02765	AHSG	erythrocytes;plasma	2	PRO_0000008887 'Alpha-2-HS-glycoprotein chain A' 19-300 | PRO_0000008889 'Alpha-2-HS-glycoprotein chain B' 341-367	19-300,341-367	367
P02775	PPBP	plasma	11	PRO_0000005088 'Platelet basic protein' 35-128 | PRO_0000005089 'Connective tissue-activating peptide III' 44-128 | PRO_0000005090 'TC-2' 44-126 | PRO_0000041949 'Connective tissue-activating peptide III(1-81)' 44-124 | PRO_0000005091 'Beta-thromboglobulin' 48-128 | PRO_0000005092 'Neutrophil-activating peptide 2(74)' 55-128 | PRO_0000005093 'Neutrophil-activating peptide 2(73)' 56-128 | PRO_0000005094 'Neutrophil-activating peptide 2' 59-128 | PRO_0000005095 'TC-1' 59-126 | PRO_0000005096 'Neutrophil-activating peptide 2(1-66)' 59-124 | PRO_0000041950 'Neutrophil-activating peptide 2(1-63)' 59-121	35-128	128
P02786	TFRC	erythrocytes;plasma	2	PRO_0000174132 'Transferrin receptor protein 1' 1-760 | PRO_0000292265 'Transferrin receptor protein 1, serum form' 101-760	1-760	760
P02794	FTH1	erythrocytes	2	PRO_0000201048 'Ferritin heavy chain' 1-183 | PRO_0000424472 'Ferritin heavy chain, N-terminally processed' 2-183	1-183	183
P03951	F11	plasma	2	PRO_0000027825 'Coagulation factor XIa heavy chain' 19-387 | PRO_0000027826 'Coagulation factor XIa light chain' 388-625	19-625	625
P03952	KLKB1	plasma	2	PRO_0000028021 'Plasma kallikrein heavy chain' 20-390 | PRO_0000028022 'Plasma kallikrein light chain' 391-638	20-638	638
P04004	VTN	erythrocytes;plasma	3	PRO_0000036394 'Vitronectin' 20-478 | PRO_0000036395 'Vitronectin V65 subunit' 20-398 | PRO_0000036397 'Vitronectin V10 subunit' 399-478	20-478	478
P04070	PROC	plasma	3	PRO_0000028108 'Vitamin K-dependent protein C' 43-461 | PRO_0000028109 'Vitamin K-dependent protein C light chain' 43-197 | PRO_0000028110 'Vitamin K-dependent protein C heavy chain' 200-461	43-461	461
P04114	APOB	erythrocytes;plasma	2	PRO_0000020750 'Apolipoprotein B-100' 28-4563 | PRO_0000020751 'Apolipoprotein B-48' 28-2179	28-4563	4563
P04181	OAT	erythrocytes	2	PRO_0000001262 'Ornithine aminotransferase, hepatic form' 26-439 | PRO_0000001263 'Ornithine aminotransferase, renal form' 36-439	26-439	439
P04275	VWF	plasma	2	PRO_0000022682 'von Willebrand antigen 2' 23-763 | PRO_0000022683 'von Willebrand factor' 764-2813	23-2813	2813
P05141	SLC25A5	erythrocytes	2	PRO_0000423220 'ADP/ATP translocase 2' 1-298 | PRO_0000090579 'ADP/ATP translocase 2, N-terminally processed' 2-298	1-298	298
P05156	CFI	plasma	3	PRO_0000027568 'Complement factor I' 19-583 | PRO_0000027569 'Complement factor I heavy chain' 19-335 | PRO_0000027570 'Complement factor I light chain' 340-583	19-583	583
P06213	INSR	erythrocytes	2	PRO_0000016687 'Insulin receptor subunit alpha' 28-758 | PRO_0000016689 'Insulin receptor subunit beta' 763-1382	28-758,763-1382	1382
P06454	PTMA	erythrocytes	2	PRO_0000423255 'Prothymosin alpha' 1-111 | PRO_0000299250 'Prothymosin alpha, N-terminally processed' 2-111	1-111	111
P06681	C2	plasma	3	PRO_0000027610 'Complement C2' 21-752 | PRO_0000027611 'Complement C2a' 21-243 | PRO_0000027612 'Serine protease complement C2b' 244-752	21-752	752
P07359	GP1BA	plasma	2	PRO_0000021343 'Platelet glycoprotein Ib alpha chain' 17-652 | PRO_0000021344 'Glycocalicin' 17-506	17-652	652
P07477	PRSS1	erythrocytes	3	PRO_0000028198 'Serine protease 1' 24-247 | PRO_0000313570 'Alpha-trypsin chain 1' 24-122 | PRO_0000313571 'Alpha-trypsin chain 2' 123-247	24-247	247
P07602	PSAP	erythrocytes	6	PRO_0000424774 'Prosaposin' 17-524 | PRO_0000031617 'Saposin-A' 60-142 | PRO_0000031619 'Saposin-B-Val' 195-274 | PRO_0000031620 'Saposin-B' 195-273 | PRO_0000031622 'Saposin-C' 311-390 | PRO_0000031624 'Saposin-D' 405-486	17-524	524
P07858	CTSB	erythrocytes	3	PRO_0000026144 'Cathepsin B' 80-333 | PRO_0000026145 'Cathepsin B light chain' 80-126 | PRO_0000026146 'Cathepsin B heavy chain' 129-333	80-333	339
P08571	CD14	plasma	2	PRO_0000020884 'Monocyte differentiation antigen CD14, urinary form' 20-367 | PRO_0000020885 'Monocyte differentiation antigen CD14, membrane-bound form' 20-345	20-367	375
P08709	F7	plasma	2	PRO_0000027730 'Factor VII light chain' 61-212 | PRO_0000027731 'Factor VII heavy chain' 213-466	61-466	466
P09172	DBH	plasma	2	PRO_0000006356 'Dopamine beta-hydroxylase' 1-617 | PRO_0000308209 'Soluble dopamine beta-hydroxylase' 40-617	1-617	617
P09651	HNRNPA1	erythrocytes	2	PRO_0000424509 'Heterogeneous nuclear ribonucleoprotein A1' 1-372 | PRO_0000081828 'Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed' 2-372	1-372	372
P09871	C1S	plasma	3	PRO_0000027586 'Complement C1s subcomponent' 16-688 | PRO_0000027587 'Complement C1s subcomponent heavy chain' 16-437 | PRO_0000027588 'Complement C1s subcomponent light chain' 438-688	16-688	688
P0C0L4	C4A	erythrocytes;plasma	6	PRO_0000005966 'Complement C4 beta chain' 20-675 | PRO_0000005968 'Complement C4-A alpha chain' 680-1446 | PRO_0000005969 'C4a anaphylatoxin' 680-756 | PRO_0000005970 'Complement C4b-A' 757-1446 | PRO_0000042698 'Complement C4d-A' 957-1336 | PRO_0000005972 'Complement C4 gamma chain' 1454-1744	20-675,680-1446,1454-1744	1744
P0C0L5	C4B	erythrocytes;plasma	6	PRO_0000042699 'Complement C4 beta chain' 20-675 | PRO_0000042701 'Complement C4-B alpha chain' 680-1446 | PRO_0000042702 'C4a anaphylatoxin' 680-756 | PRO_0000042703 'Complement C4b-B' 757-1446 | PRO_0000042704 'C4d-B' 957-1336 | PRO_0000042706 'Complement C4 gamma chain' 1454-1744	20-675,680-1446,1454-1744	1744
P0DJI8	SAA1	plasma	7	PRO_0000031575 'Serum amyloid A-1 protein' 19-122 | PRO_0000031576 'Amyloid protein A' 19-94 | PRO_0000031577 'Serum amyloid protein A(2-104)' 20-122 | PRO_0000031578 'Serum amyloid protein A(2-103)' 20-121 | PRO_0000031579 'Serum amyloid protein A(2-102)' 20-120 | PRO_0000031580 'Serum amyloid protein A(3-104)' 21-122 | PRO_0000031581 'Serum amyloid protein A(4-101)' 22-119	19-122	122
P0DJI9	SAA2	plasma	2	PRO_0000418061 'Serum amyloid A-2 protein' 19-122 | PRO_0000450359 'Amyloid A2 protein' 19-94	19-122	122
P10720	PF4V1	plasma	4	PRO_0000005071 'Platelet factor 4 variant' 31-104 | PRO_0000005072 'Platelet factor 4 variant(4-74)' 34-104 | PRO_0000005073 'Platelet factor 4 variant(5-74)' 35-104 | PRO_0000005074 'Platelet factor 4 variant(6-74)' 36-104	31-104	104
P10909	CLU	erythrocytes;plasma	3	PRO_0000005529 'Clusterin' 23-449 | PRO_0000005530 'Clusterin beta chain' 23-227 | PRO_0000005531 'Clusterin alpha chain' 228-449	23-449	449
P11586	MTHFD1	erythrocytes	2	PRO_0000423280 'C-1-tetrahydrofolate synthase, cytoplasmic' 1-935 | PRO_0000199321 'C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed' 2-935	1-935	935
P12236	SLC25A6	erythrocytes	2	PRO_0000425781 'ADP/ATP translocase 3' 1-298 | PRO_0000090584 'ADP/ATP translocase 3, N-terminally processed' 2-298	1-298	298
P12259	F5	plasma	3	PRO_0000002978 'Coagulation factor V' 29-2224 | PRO_0000002979 'Coagulation factor V heavy chain' 29-737 | PRO_0000002981 'Coagulation factor V light chain' 1574-2224	29-2224	2224
P14091	CTSE	erythrocytes	2	PRO_0000025975 'Cathepsin E form I' 54-396 | PRO_0000354668 'Cathepsin E form II' 57-396	54-396	396
P23381	WARS1	erythrocytes	3	PRO_0000136738 'Tryptophan--tRNA ligase, cytoplasmic' 2-471 | PRO_0000386461 'T1-TrpRS' 71-471 | PRO_0000386462 'T2-TrpRS' 94-471	2-471	471
P26927	MST1	plasma	3	PRO_0000028085 'Hepatocyte growth factor-like protein' 19-711 | PRO_0000028086 'Hepatocyte growth factor-like protein alpha chain' 19-483 | PRO_0000028087 'Hepatocyte growth factor-like protein beta chain' 484-711	19-711	711
P31939	ATIC	erythrocytes	2	PRO_0000192156 'Bifunctional purine biosynthesis protein ATIC' 1-592 | PRO_0000434376 'Bifunctional purine biosynthesis protein ATIC, N-terminally processed' 2-592	1-592	592
P31943	HNRNPH1	erythrocytes	2	PRO_0000367119 'Heterogeneous nuclear ribonucleoprotein H' 1-449 | PRO_0000081857 'Heterogeneous nuclear ribonucleoprotein H, N-terminally processed' 2-449	1-449	449
P31944	CASP14	erythrocytes;plasma	4	PRO_0000432793 'Caspase-14 subunit p20, intermediate form' 1-178 | PRO_0000432794 'Caspase-14 subunit p17, mature form' 6-146 | PRO_0000004654 'Caspase-14 subunit p10, mature form' 153-242 | PRO_0000432796 'Caspase-14 subunit p8, intermediate form' 179-242	1-242	242
P31946	YWHAB	erythrocytes	2	PRO_0000367900 '14-3-3 protein beta/alpha' 1-246 | PRO_0000000003 '14-3-3 protein beta/alpha, N-terminally processed' 2-246	1-246	246
P31949	S100A11	erythrocytes	2	PRO_0000424465 'Protein S100-A11' 1-105 | PRO_0000144009 'Protein S100-A11, N-terminally processed' 2-105	1-105	105
P38159	RBMX	erythrocytes	2	PRO_0000081854 'RNA-binding motif protein, X chromosome' 1-391 | PRO_0000304582 'RNA-binding motif protein, X chromosome, N-terminally processed' 2-391	1-391	391
P38919	EIF4A3	erythrocytes	2	PRO_0000423267 'Eukaryotic initiation factor 4A-III' 1-411 | PRO_0000054942 'Eukaryotic initiation factor 4A-III, N-terminally processed' 2-411	1-411	411
P42574	CASP3	erythrocytes	2	PRO_0000004571 'Caspase-3 subunit p17' 29-175 | PRO_0000004572 'Caspase-3 subunit p12' 176-277	29-277	277
P42858	HTT	erythrocytes	2	PRO_0000083942 'Huntingtin' 1-3142 | PRO_0000447477 'Huntingtin, myristoylated N-terminal fragment' 551-584	1-3142	3142
P46782	RPS5	erythrocytes	2	PRO_0000370369 'Small ribosomal subunit protein uS7' 1-204 | PRO_0000124526 'Small ribosomal subunit protein uS7, N-terminally processed' 2-204	1-204	204
P48740	MASP1	plasma	3	PRO_0000027592 'Mannan-binding lectin serine protease 1' 20-699 | PRO_0000027593 'Mannan-binding lectin serine protease 1 heavy chain' 20-448 | PRO_0000027594 'Mannan-binding lectin serine protease 1 light chain' 449-699	20-699	699
P49189	ALDH9A1	erythrocytes	2	PRO_0000434351 '4-trimethylaminobutyraldehyde dehydrogenase' 1-494 | PRO_0000056485 '4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed' 2-494	1-494	494
P49768	PSEN1	erythrocytes	3	PRO_0000025591 'Presenilin-1 NTF subunit' 1-298 | PRO_0000025592 'Presenilin-1 CTF subunit' 299-467 | PRO_0000236055 'Presenilin-1 CTF12' 346-467	1-467	467
P51610	HCFC1	erythrocytes	12	PRO_0000016611 'HCF N-terminal chain 6' 2-1423 | PRO_0000016612 'HCF N-terminal chain 5' 2-1323 | PRO_0000016613 'HCF N-terminal chain 4' 2-1295 | PRO_0000016614 'HCF N-terminal chain 3' 2-1110 | PRO_0000016615 'HCF N-terminal chain 2' 2-1081 | PRO_0000016616 'HCF N-terminal chain 1' 2-1019 | PRO_0000016617 'HCF C-terminal chain 1' 1020-2035 | PRO_0000016618 'HCF C-terminal chain 2' 1082-2035 | PRO_0000016619 'HCF C-terminal chain 3' 1111-2035 | PRO_0000016620 'HCF C-terminal chain 4' 1296-2035 | PRO_0000016621 'HCF C-terminal chain 5' 1324-2035 | PRO_0000016622 'HCF C-terminal chain 6' 1424-2035	2-2035	2035
P52294	KPNA1	erythrocytes	2	PRO_0000120719 'Importin subunit alpha-5' 1-538 | PRO_0000424491 'Importin subunit alpha-5, N-terminally processed' 2-538	1-538	538
P52597	HNRNPF	erythrocytes	2	PRO_0000367114 'Heterogeneous nuclear ribonucleoprotein F' 1-415 | PRO_0000081852 'Heterogeneous nuclear ribonucleoprotein F, N-terminally processed' 2-415	1-415	415
P52815	MRPL12	erythrocytes	2	PRO_0000461649 'Large ribosomal subunit protein bL12m, long mature form' 37-198 | PRO_0000030458 'Large ribosomal subunit protein bL12m, short mature form' 45-198	37-198	198
P54577	YARS1	erythrocytes	2	PRO_0000423285 'Tyrosine--tRNA ligase, cytoplasmic' 1-528 | PRO_0000055673 'Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed' 2-528	1-528	528
P55212	CASP6	erythrocytes	2	PRO_0000004609 'Caspase-6 subunit p18' 24-179 | PRO_0000004611 'Caspase-6 subunit p11' 194-293	24-179,194-293	293
P55957	BID	erythrocytes	4	PRO_0000143101 'BH3-interacting domain death agonist' 1-195 | PRO_0000223233 'BH3-interacting domain death agonist p15' 61-195 | PRO_0000223232 'BH3-interacting domain death agonist p13' 76-195 | PRO_0000223231 'BH3-interacting domain death agonist p11' 100-195	1-195	195
P57764	GSDMD	erythrocytes	5	PRO_0000148175 'Gasdermin-D' 1-484 | PRO_0000459018 'Gasdermin-D, p40' 1-290 | PRO_0000437526 'Gasdermin-D, N-terminal' 1-275 | PRO_0000459017 'Gasdermin-D, p13' 1-87 | PRO_0000437527 'Gasdermin-D, C-terminal' 276-484	1-484	484
P60709	ACTB	erythrocytes;plasma	2	PRO_0000367073 'Actin, cytoplasmic 1' 1-375 | PRO_0000000771 'Actin, cytoplasmic 1, N-terminally processed' 2-375	1-375	375
P61769	B2M	erythrocytes;plasma	2	PRO_0000018779 'Beta-2-microglobulin' 21-119 | PRO_0000018780 'Beta-2-microglobulin form pI 5.3' 22-119	21-119	119
P61981	YWHAG	erythrocytes	2	PRO_0000367907 '14-3-3 protein gamma' 1-247 | PRO_0000058606 '14-3-3 protein gamma, N-terminally processed' 2-247	1-247	247
P62861	FAU	erythrocytes	3	PRO_0000173999 'Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein' 1-133 | PRO_0000455003 'Ubiquitin-like protein FUBI' 1-74 | PRO_0000455004 'Small ribosomal subunit protein eS30' 75-133	1-133	133
P62877	RBX1	erythrocytes	2	PRO_0000423264 'E3 ubiquitin-protein ligase RBX1' 1-108 | PRO_0000056013 'E3 ubiquitin-protein ligase RBX1, N-terminally processed' 2-108	1-108	108
P62937	PPIA	erythrocytes	2	PRO_0000423240 'Peptidyl-prolyl cis-trans isomerase A' 1-165 | PRO_0000064115 'Peptidyl-prolyl cis-trans isomerase A, N-terminally processed' 2-165	1-165	165
P62979	RPS27A	erythrocytes	2	PRO_0000396477 'Ubiquitin' 1-76 | PRO_0000396478 'Small ribosomal subunit protein eS31' 77-156	1-156	156
P63261	ACTG1	erythrocytes	2	PRO_0000367100 'Actin, cytoplasmic 2' 1-375 | PRO_0000000831 'Actin, cytoplasmic 2, N-terminally processed' 2-375	1-375	375
P63267	ACTG2	plasma	2	PRO_0000442949 'Actin, gamma-enteric smooth muscle, intermediate form' 2-376 | PRO_0000442950 'Actin, gamma-enteric smooth muscle' 3-376	2-376	376
P68032	ACTC1	erythrocytes	2	PRO_0000442998 'Actin, alpha cardiac muscle 1, intermediate form' 2-377 | PRO_0000000813 'Actin, alpha cardiac muscle 1' 3-377	2-377	377
P68363	TUBA1B	erythrocytes	2	PRO_0000048108 'Tubulin alpha-1B chain' 1-451 | PRO_0000437384 'Detyrosinated tubulin alpha-1B chain' 1-450	1-451	451
P80303	NUCB2	erythrocytes	2	PRO_0000004165 'Nucleobindin-2' 25-420 | PRO_0000419819 'Nesfatin-1' 25-106	25-420	420
P98160	HSPG2	erythrocytes	3	PRO_0000026696 'Basement membrane-specific heparan sulfate proteoglycan core protein' 22-4391 | PRO_0000391621 'Endorepellin' 3687-4391 | PRO_0000391622 'LG3 peptide' 4197-4391	22-4391	4391
P98172	EFNB1	erythrocytes	3	PRO_0000008387 'Ephrin-B1' 28-346 | PRO_0000445791 'Ephrin-B1 C-terminal fragment' 218-346 | PRO_0000445792 'Ephrin-B1 intracellular domain' 260-346	28-346	346
Q02790	FKBP4	erythrocytes	2	PRO_0000391468 'Peptidyl-prolyl cis-trans isomerase FKBP4' 1-459 | PRO_0000075318 'Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed' 2-459	1-459	459
Q04756	HGFAC	plasma	2	PRO_0000027912 'Hepatocyte growth factor activator short chain' 373-407 | PRO_0000027913 'Hepatocyte growth factor activator long chain' 408-655	373-655	655
Q08188	TGM3	erythrocytes	2	PRO_0000033652 'Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain' 2-467 | PRO_0000033653 'Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain' 468-693	2-693	693
Q0VGL1	LAMTOR4	erythrocytes	2	PRO_0000325841 'Ragulator complex protein LAMTOR4' 1-99 | PRO_0000424498 'Ragulator complex protein LAMTOR4, N-terminally processed' 2-99	1-99	99
Q10471	GALNT2	erythrocytes	2	PRO_0000223391 'Polypeptide N-acetylgalactosaminyltransferase 2' 1-571 | PRO_0000012265 'Polypeptide N-acetylgalactosaminyltransferase 2 soluble form' 52-571	1-571	571
Q13177	PAK2	erythrocytes	3	PRO_0000086465 'Serine/threonine-protein kinase PAK 2' 2-524 | PRO_0000304922 'PAK-2p27' 2-212 | PRO_0000304923 'PAK-2p34' 213-524	2-524	524
Q14520	HABP2	plasma	4	PRO_0000027899 'Factor VII-activating protease 50 kDa N-terminal heavy chain' 24-313 | PRO_0000027900 'Factor VII-activating protease 50 kDa N-terminal heavy chain alternate form' 28-313 | PRO_0000027901 'Factor VII-activating protease 27 kDa C-terminal light chain' 314-560 | PRO_0000027902 'Factor VII-activating protease 27 kDa C-terminal light chain alternate form' 320-560	24-560	560
Q14624	ITIH4	plasma	2	PRO_0000016541 '70 kDa inter-alpha-trypsin inhibitor heavy chain H4' 29-661 | PRO_0000016543 '35 kDa inter-alpha-trypsin inhibitor heavy chain H4' 689-930	29-661,689-930	930
Q16543	CDC37	erythrocytes	2	PRO_0000195057 'Hsp90 co-chaperone Cdc37' 1-378 | PRO_0000423197 'Hsp90 co-chaperone Cdc37, N-terminally processed' 2-378	1-378	378
Q66K74	MAP1S	erythrocytes	3	PRO_0000311379 'Microtubule-associated protein 1S' 1-1059 | PRO_0000311380 'MAP1S heavy chain' 1-829 | PRO_0000311381 'MAP1S light chain' 830-1059	1-1059	1059
Q8WXG9	ADGRV1	erythrocytes	3	PRO_0000232735 'Adhesion G protein-coupled receptor V1' 30-6306 | PRO_0000445731 'ADGRV1 subunit alpha' 30-5890 | PRO_0000445732 'ADGRV1 subunit beta' 5891-6306	30-6306	6306
Q92954	PRG4	plasma	2	PRO_0000043232 'Proteoglycan 4' 25-1404 | PRO_0000043233 'Proteoglycan 4 C-terminal part' 1307-1404	25-1404	1404
Q96AG4	LRRC59	erythrocytes	2	PRO_0000235159 'Leucine-rich repeat-containing protein 59' 1-307 | PRO_0000441739 'Leucine-rich repeat-containing protein 59, N-terminally processed' 2-307	1-307	307
Q96RD7	PANX1	erythrocytes	2	PRO_0000208484 'Pannexin-1' 1-426 | PRO_0000460041 'Caspase-activated pannexin-1' 1-379	1-426	426
Q99832	CCT7	erythrocytes	2	PRO_0000128365 'T-complex protein 1 subunit eta' 1-543 | PRO_0000434391 'T-complex protein 1 subunit eta, N-terminally processed' 2-543	1-543	543
Q9BV86	NTMT1	erythrocytes	2	PRO_0000423228 'N-terminal Xaa-Pro-Lys N-methyltransferase 1' 1-223 | PRO_0000119288 'N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed' 2-223	1-223	223
Q9BZ23	PANK2	erythrocytes	2	PRO_0000023201 'Pantothenate kinase 2, mitochondrial intermediate form' 32-570 | PRO_0000452676 'Pantothenate kinase 2, mitochondrial mature form' 141-570	32-570	570
Q9GZS3	SKIC8	erythrocytes	2	PRO_0000425748 'Superkiller complex protein 8' 1-305 | PRO_0000245851 'Superkiller complex protein 8, N-terminally processed' 2-305	1-305	305
Q9UG56	PISD	erythrocytes	3	PRO_0000435571 'Phosphatidylserine decarboxylase proenzyme, mitochondrial' 53-409 | PRO_0000029835 'Phosphatidylserine decarboxylase beta chain' 53-377 | PRO_0000029836 'Phosphatidylserine decarboxylase alpha chain' 378-409	53-409	409
Q9UIQ6	LNPEP	erythrocytes	2	PRO_0000095114 'Leucyl-cystinyl aminopeptidase' 1-1025 | PRO_0000292264 'Leucyl-cystinyl aminopeptidase, pregnancy serum form' 155-1025	1-1025	1025
Q9UK76	JPT1	erythrocytes	2	PRO_0000424487 'Jupiter microtubule associated homolog 1' 1-154 | PRO_0000054918 'Jupiter microtubule associated homolog 1, N-terminally processed' 2-154	1-154	154
Q9UM47	NOTCH3	erythrocytes	3	PRO_0000007692 'Neurogenic locus notch homolog protein 3' 40-2321 | PRO_0000007693 'Notch 3 extracellular truncation' 1629-2321 | PRO_0000007694 'Notch 3 intracellular domain' 1662-2321	40-2321	2321
