# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:22:20Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# rows of the deep dataset (Table S5) none of whose accessions appear in a Table S2 protein group, with their share of the deep dataset's summed signal; reported, not used
row_index	identity_cell	gene	value	share_of_deep_signal
597	P12268;H0Y4R1;P20839;E7ETK5;C9K0R9;F5H247;C9J381;E7EQS0;P20839-2;P20839-4;P20839-3;C9JV30	IMPDH2;IMPDH1	837309464	6.661416189e-05
566	P01622		833909650.9	6.634368161e-05
491	Q6FI13;P0C0S8;Q9BTM1;Q16777;Q99878;Q93077;Q7L7L0;P04908;Q96KK5;P20671;P16104;Q96QV6;H0YFX9;C9JE22;Q9BTM1-2	HIST2H2AA3;HIST1H2AG;H2AFJ;HIST2H2AC;HIST1H2AJ;HIST1H2AC;HIST3H2A;HIST1H2AB;HIST1H2AH;HIST1H2AD;H2AFX;HIST1H2AA	766911058.3	6.101344795e-05
192	Q9NP80;C9JN30;C9JZI4;Q9NP80-2	PNPLA8	752979235.4	5.990506837e-05
42	P10809	HSPD1	721200468.2	5.737683236e-05
548	P01605		648579175.1	5.159927127e-05
788	P0CG47;P62979;P62987;F5H6Q2;F5GYU3;F5H2Z3;F5H265;F5H7Y5;B4DV12;F5H388;F5H747;F5GXK7;Q96C32;F5H7K6;F5H041;P0CG48;F5H4D8	UBB;RPS27A;UBA52;UBC	604740423.9	4.811157431e-05
246	P00451	F8	565919944.7	4.502311802e-05
786	P01833	PIGR	558790481.9	4.445591651e-05
800	O75340;H0Y9X3;Q2YDC2	PDCD6	525879207.8	4.183758119e-05
755	Q92835;C9JLW2;C9JF09;F5GXI6;Q92835-2	INPP5D	525620142.9	4.181697067e-05
460	P04792;B4DL87	HSPB1	523819908.1	4.167374867e-05
726	P06748;P06748-2;P06748-3	NPM1	507740726.4	4.039453082e-05
461	P07900;P07900-2;Q86U12	HSP90AA1	490059711.5	3.898787529e-05
355	P14625;E9PEX3	HSP90B1	462470462.5	3.679294644e-05
647	P00338;P00338-3;P00338-4;F5H308;E9PH51;P00338-2;P00338-5	LDHA	429560164.5	3.417468878e-05
605	P56199	ITGA1	425470055.6	3.384929036e-05
35	P62753;A2A3R7;A2A3R5	RPS6	386569868.9	3.075449274e-05
687	E7EN39;Q9H8L6	MMRN2	385180240.5	3.064393752e-05
859	P14618;E9PF79;P14618-3;H3BQ34	PKM	358310058.6	2.850621578e-05
415	P04075;H3BQN4;H3BUH7;H3BR04;H3BPS8	ALDOA	354350459.3	2.819120036e-05
33	P61247;D6RG13;H0Y9Y4;D6RAT0;D6R9B6;D6RB09;F5H4F9;H0Y8L7;E9PFI5	RPS3A	351020111.6	2.792624656e-05
789	Q96AQ6;F5H6Z1;B4E1J0;F5H2F6;Q96AQ6-3;Q96AQ6-2	PBXIP1	346430403.8	2.756110136e-05
615	P05362	ICAM1	345189836.3	2.746240503e-05
416	P05062;C9J4K3;Q5T7D5	ALDOB	322010475.4	2.56183154e-05
451	P62826;B5MDF5;F5H018;H0YFC6;B4DV51	RAN	321129349.8	2.554821534e-05
938	P53597	SUCLG1	319620038.9	2.54281385e-05
40	P08195;P08195-3;B4E2Z3;F5GZS6;P08195-2;P08195-4	SLC3A2	313059581.3	2.490620556e-05
947	Q9UPU7;Q9UPU7-2;Q9UPU7-3	TBC1D2B	305729960.4	2.432308e-05
349	P13639;B4DPU3;F5H370	EEF2	298409743.9	2.374070263e-05
457	P08107;H0YG33;F8VZJ4;F5H1D3;F5GZ62;E7EP94;Q5SP16	HSPA1A	290480511.1	2.31098735e-05
650	P33121;B7Z3Z9;E7EPM6;P33121-2;B7Z452;D6RER0	ACSL1	283199837.6	2.253064206e-05
480	P61978;P61978-2;Q5T6W5;P61978-3;Q5T6W2;B4DFF1;Q5T6W1	HNRNPK	274729945.5	2.185679949e-05
704	Q92859;Q92859-3;Q92859-2;B7ZKN0;E7EUX3;Q59FP8	NEO1	270140065	2.149164054e-05
956	P24821;P24821-4;E9PC84;P24821-3;F5H7V9;P24821-5;P24821-2;P24821-6	TNC	266499869.1	2.120203603e-05
960	P10599;B1ALW1	TXN	261359926.9	2.079311561e-05
490	P16403;P10412;P16402	HIST1H1C;HIST1H1E;HIST1H1D	259430480.5	2.063961387e-05
127	P07355;H0YN42;P07355-2;A6NMY6;H0YKS4;H0YMD0;H0YMU9;H0YMM1;H0YM50;H0YKZ7;H0YLV6;H0YMT9;H0YKX9	ANXA2;ANXA2P2	256839608.9	2.043349087e-05
10	P63104;E7EX29;B0AZS6;E7EX24;B7Z2E6;H0YB80	YWHAZ	249859576.8	1.987817768e-05
21	P62841	RPS15	249100156.3	1.981776016e-05
945	Q7Z7G0;Q7Z7G0-4;D3YTD6;B4DSV9;H0Y897;D3YTG3;Q7Z7G0-3;Q7Z7G0-2	ABI3BP	243159924.6	1.934517079e-05
148	P08519	LPA	240650074.2	1.914549362e-05
739	P04746;P19961;P04745;B3KTI1;Q5T085	AMY2A;AMY2B;AMY1A;AMY1B	237529743.6	1.889724824e-05
66	P36578;E7EWF1;H3BU31;B4DP82;H3BTP7;H3BM89	RPL4	234899990.9	1.868803196e-05
725	P19338;E7EX81;H7BY16;Q9BQ02	NCL	234710219.7	1.867293426e-05
216	P04040	CAT	232789828.3	1.852015291e-05
2	P61604;B8ZZL8	HSPE1	230580193.9	1.834436015e-05
348	P26641;B4DTG2;B4DUP0	EEF1G	226959831.3	1.805633353e-05
746	B1ALD9;Q15063-3;Q15063-4	POSTN	225779756.3	1.796244983e-05
896	Q13103	SPP2	222739889.6	1.772060595e-05
782	P15151;P15151-3;P15151-2;P15151-4	PVR	219780420.5	1.748515829e-05
426	O95479	H6PD	219030200.1	1.74254727e-05
485	P22626;P22626-2	HNRNPA2B1	213320208.7	1.697120065e-05
792	P02545;P02545-3;P02545-2;Q6UYC3;Q5TCJ4;Q3BDU5;D6RAQ3;E7EUI9;Q5TCI8	LMNA	199649855.4	1.588362292e-05
155	P06576;F8VPV9;H0YH81;F8W079	ATP5B	196829867.4	1.565927201e-05
1036	G3V3A0	SERPINA3	192260027.5	1.529570744e-05
799	P07737	PFN1	178290006.2	1.41842889e-05
929	P05023;B7Z3U6;F5H3A1;P05023-2;H7BXX5	ATP1A1	171509823.5	1.364487521e-05
374	P63241;I3L397;I3L504;P63241-2;Q9GZV4;F8WCJ1;C9J7B5;C9J4W5;Q6IS14	EIF5A;EIF5A2;EIF5AL1	170269946.7	1.354623384e-05
487	P09429;Q5T7C4;Q5T7C6;B2RPK0	HMGB1;HMGB1P1	167060201.2	1.329087484e-05
231	P43121;P43121-2	MCAM	165810107.2	1.319142062e-05
823	P07237;E7EPA8;I3L2P8;F5H8J2;B4DUA5;H7BZ94;H0Y3Z3	P4HB	163240155.6	1.298696195e-05
289	Q9BXR6	CFHR5	160460078.4	1.276578625e-05
656	Q9H3R0;F5GYH2;C9J879;E7EV17;F5H347;F5H7P0;Q9H3R0-2	KDM4C	157979960.2	1.25684745e-05
758	P00558;B7Z7A9;B4E1H9;B4DHM5;E7ERH5	PGK1	157330165.7	1.251677854e-05
1013	P18206;P18206-2;F5H7T3;G8JLL3;Q5JQ13	VCL	156129870.7	1.242128619e-05
392	Q86UX7;Q86UX7-2;F5H1C6	FERMT3	152099925	1.21006742e-05
253	P23528;G3V1A4;E9PP50;E9PK25;E9PQB7;E9PLJ3;E9PS23	CFL1	150770022.6	1.199487063e-05
318	P30038;P30038-2;D2D4A3	ALDH4A1	149489951.2	1.189303148e-05
225	Q6YHK3;Q6YHK3-4;Q6YHK3-2;Q6YHK3-3	CD109	147660046.2	1.1747449e-05
880	P00352;H0Y4S2	ALDH1A1	145320204.4	1.156129727e-05
321	Q08554-2;Q08554	DSC1	144840161.4	1.15231063e-05
445	Q9H4G4;Q5VZR0	GLIPR2	144299890	1.148012371e-05
992	P07437;Q5JP53;F8VYX6;F8VW92;Q5ST81;F8VUJ7;Q9BVA1;Q13885;E7EWR1;Q13509;F5H894;F5H8C9;A8K854	TUBB;TUBB2B;TUBB2A;TUBB3	142329852.7	1.132339267e-05
683	P26038	MSN	140539692.8	1.118097221e-05
261	P12111;E9PCV6;E7ENL6;P12111-2;E9PFQ6;E9PGQ9;P12111-3	COL6A3	139540090.4	1.110144645e-05
112	O43707;E7EV83;D6PXK4	ACTN4	139419974.8	1.109189036e-05
849	Q9NPG4	PCDH12	136850062.5	1.088743483e-05
682	P20774;Q5TBF5	OGN	132069945.9	1.050714119e-05
964	P35443;E7ES19	THBS4	131929829.1	1.049599386e-05
737	Q86UD1;E9PJ29	OAF	131440136.1	1.045703516e-05
965	P63313	TMSB10	131239933	1.044110752e-05
768	P05120;H7C004;H7BYS2	SERPINB2;SERPINB10	130349989.3	1.037030592e-05
62	P62899;P62899-3;P62899-2;B8ZZK4;H7C2W9;C9JU56;B7Z4E3;B7Z4C8	RPL31	128510022.6	1.022392296e-05
936	P38646;B7Z4V2;F5H3L8	HSPA9	128259930.4	1.020402627e-05
92	P05141	SLC25A5	128030075	1.018573957e-05
729	P22392-2;Q32Q12;P22392;E7ERL0;O60361	NME2;NME1-NME2;NME1;NME2P1	127830062.1	1.016982707e-05
752	P30041	PRDX6	127199967.4	1.011969837e-05
186	P12830;F5GYI6;H7BXH4;Q9UII8;H3BNC6	CDH1	123580230.2	9.831721502e-06
806	Q07954	LRP1	116539996.3	9.271618815e-06
538	P01778		116139780.3	9.239778672e-06
333	P27487	DPP4	115550013.4	9.192858352e-06
131	P58335;P58335-4;P58335-2;P58335-3	ANTXR2	114299939.4	9.093405718e-06
330	Q9UI17	DMGDH	114169999.7	9.083068054e-06
966	P62328;Q5T4B6;CON__P21752	TMSB4X;TMSB4XP4	113000144.8	8.989997442e-06
508	Q9Y4L1;E9PL22;F5H4Z5;F5H4X7	HYOU1	112840239.7	8.977275809e-06
351	P17813;P17813-2;F5GX88	ENG	109740011.2	8.730629697e-06
210	Q9Y646;E5RJA8	CPQ	109619798.6	8.721065896e-06
44	P05387;H0YDD8	RPLP2	108729902.9	8.65026811e-06
259	P39060;F8WDA7;F5GZA2;P39060-2;P39060-1;H7BXV5;H7C457	COL18A1	106519961.3	8.474450907e-06
824	P30101;B3KQT9;G5EA52;F5H119	PDIA3	105109991.3	8.362277364e-06
437	P00390;P00390-2;P00390-3;P00390-5;P00390-4	GSR	105040069.4	8.356714559e-06
68	Q02878;F8W181;F8VZ45	RPL6	104729975	8.332044256e-06
708	P32004;P32004-2;F5H1H0;F5H025;G3XAF4	L1CAM	104380170	8.30421468e-06
219	P07339;F8WD96;C9JH19;F8W787	CTSD	102639847.9	8.165759183e-06
854	Q58FF8	HSP90AB2P	102129921.9	8.125190798e-06
962	P26639;E7ERI3;G3XAN9;B4DEG8;A2RTX5;B7ZLP8;A2RTX5-2	TARS;TARSL2	99077034.7	7.882311037e-06
801	P35232;C9JW96;D6RBK0;C9JZ20;E7ESE2;E9PCW0;B4DY47	PHB	99011126.11	7.877067521e-06
677	P01033;Q5H9A7;Q5H9B4;Q5H9B5	TIMP1	98929997.93	7.870613174e-06
783	Q15365	PCBP1	98654068.43	7.848660941e-06
544	P01601		94825905.83	7.544102287e-06
20	P62263;H0YB22;E5RH77	RPS14	93827036.61	7.464634852e-06
475	P09651;F8VXY0;F8VRQ1;F8W6I7;P09651-3;P09651-2;F8VSB5;F8W1S7;Q32P51;F8VTQ5;F8VZ49	HNRNPA1;HNRNPA1L2	92882094.45	7.389457713e-06
780	Q6UX71;F5H554;B7WP84;Q6UX71-2	PLXDC2	89147054.86	7.092307683e-06
410	P21333;Q5HY54;P21333-2;A6NDY9	FLNA	86154903.44	6.854259903e-06
940	P00441;H7BYH4	SOD1	85487969.13	6.801200345e-06
663	Q9UEW3;C9JKT8;B8ZZ64;B4DW79	MARCO	84538006.02	6.725623752e-06
174	P06865;H3BS10;H3BP20;H3BU85;H3BTD4	HEXA	83346045.73	6.630794494e-06
438	P46439;Q5T8Q9;Q5T8R1;P28161;P21266;P09488;P09488-2;E9PLF1;E9PHN7;E9PHN6;F6XZQ7;E7EWW9;E9PEM9	GSTM5;GSTM2;GSTM3;GSTM1	82368090.87	6.55299095e-06
61	P39023;H7C422;G5E9G0;B5MCW2;H7C3M2	RPL3	81556954.5	6.488459052e-06
121	Q9Y5C1	ANGPTL3	80701944.67	6.420436695e-06
198	P27824;B4E2T8;H0Y9Q7;D6RFL1;H0Y9H1;F5H856;D6RGY2;E7ETH2	CANX	79925065.34	6.358630197e-06
38	P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	RPS9	79831998.23	6.35122602e-06
100	P30837;B4DLJ0	ALDH1B1	79216016.6	6.302220124e-06
840	Q01105;Q01105-2;B2REB8;A6NGV1;Q5VXV2	SET	78951975.28	6.281213684e-06
963	P07996;CON__Q28194	THBS1	78434114.89	6.240014059e-06
642	P09960;F8VV40;P09960-2;P09960-3	LTA4H	78289947.17	6.228544451e-06
63	P62910;D3YTB1;F8W727	RPL32	77845945.88	6.193220863e-06
555	P01614		77645984.34	6.177312444e-06
858	P11498	PC	77416939.77	6.159090254e-06
429	P11413;P11413-3;P11413-2;E7EM57;E7EUI8	G6PD	76471921.01	6.083907021e-06
295	Q8IWV2;Q8IWV2-3;G3XAD4;B2RAX3	CNTN4	76399057.34	6.078110177e-06
123	P12821;P12821-2;P12821-4;P12821-3	ACE	75989922.22	6.045560451e-06
688	Q7Z7M0;Q7Z7M0-2	MEGF8	75929055.92	6.040718087e-06
895	Q86VB7;Q86VB7-3;F5GZZ9;C9JHR8;Q86VB7-4;Q86VB7-2	CD163	75240903.16	5.985970444e-06
836	P06703	S100A6	75231894.77	5.98525376e-06
697	Q9UJJ9;H0YEA7	GNPTG	74355996.79	5.915569596e-06
681	Q15691	MAPRE1	73643937.37	5.858920002e-06
953	P50990;G5E9B2;B4DEM7;B4DQH4	CCT8	72992964.13	5.807130265e-06
115	P49641;P49641-1;H0YNG5;H0YLB9;P49641-2	MAN2A2	72935002.13	5.802518959e-06
24	P39019	RPS19	72890008.35	5.798939371e-06
1021	P21796	VDAC1	71738947.38	5.707363956e-06
608	P05556;P05556-2;P05556-5;P05556-4;P05556-3	ITGB1	71230009.13	5.666874153e-06
886	P34096	RNASE4	71092043.84	5.655897994e-06
798	Q15113	PCOLCE	70798001.74	5.63250477e-06
41	P32754;H0YF74;B3KQ63	HPD	70582981.59	5.615398326e-06
988	P67936;P67936-2	TPM4	70107906.7	5.577602604e-06
182	P80723;P80723-2	BASP1	69243019.82	5.508794455e-06
45	P27635;H7C123;H7C2C5;F8W7C6;Q96L21	RPL10;RPL10L	68532093.7	5.452235023e-06
430	P06744;P06744-2	GPI	68166971.54	5.423186854e-06
37	P62241;Q5JR95	RPS8	68015986.28	5.41117486e-06
183	Q9HCU9;E9PJF5;H0YCF7;G5E9I4	BRMS1	66913076.79	5.323430251e-06
955	O14746;O14746-3;O14746-2;Q8NG38	TERT	66366971.49	5.279983535e-06
484	Q00839;Q00839-2;B3KX72	HNRNPU	65547932.83	5.21482295e-06
598	P18065;C9JMY1;C9JW52	IGFBP2	65383023.54	5.201703196e-06
49	P26373;F5H1S2	RPL13	64657066.99	5.143947982e-06
937	P31948;F5H0T1;G3XAD8	STIP1	64005014.46	5.09207238e-06
985	P60174;P60174-1	TPI1	63780952.4	5.074246586e-06
814	P25789;H0YMZ1;H0YN18;H0YL69;H0YLS6;H0YLC2;H0YKT8;H0YMI6;H0YMA1;P25789-2	PSMA4	63418943.09	5.045446067e-06
162	Q08211	DHX9	62606006.22	4.980770925e-06
83	Q5T8D3;Q5T8D3-3;B7Z2A7;H7BYB2;Q5T8D3-4;Q5T8D3-2	ACBD5	62010038.36	4.933357273e-06
126	P04083;Q5T3N1	ANXA1	61577067.14	4.89891121e-06
413	Q12841;B4DTZ8;B4DTT5	FSTL1	60839971.23	4.840269778e-06
412	P30043	BLVRB	59900024.5	4.765490062e-06
1037	D6RE86	CP	59591044.81	4.740908442e-06
602	P24592;F8VYK9	IGFBP6	59228945.42	4.712100757e-06
691	Q99972;F5GY01;Q8N854	MYOC	59090001.36	4.701046729e-06
199	P27797	CALR	59060075.8	4.698665929e-06
595	P55103;F8VVQ8	INHBC	58822976.98	4.679802964e-06
596	Q15181;Q5SQT6	PPA1	58817965.73	4.679404282e-06
954	P40227;B4DPJ8;A6NCD2	CCT6A	57647967.51	4.586322269e-06
657	P11279;B4DWL3	LAMP1	57283032.37	4.557288979e-06
257	Q99715;D6RGG3;Q99715-4	COL12A1	57062001.39	4.539704329e-06
868	Q00765;E2QRG8	REEP5	56828998.17	4.521167199e-06
136	Q6Q788;C9JZZ0	APOA5	56037015.89	4.45815915e-06
114	Q16706	MAN2A1	55515083.84	4.416635595e-06
86	Q9NZK5;B4E3Q4;Q9NZK5-2	CECR1	55415084.52	4.408679909e-06
998	P22314;B4DDE4;Q5JRR6	UBA1	55374013.21	4.405412383e-06
30	P62854;Q5JNZ5;F8VZW7	RPS26;RPS26P11	54843984.57	4.363244683e-06
87	P55263;P55263-3;P55263-2;B7Z800	ADK	54250032.16	4.315991375e-06
161	P53396;E7ENH9;P53396-2;B4E3P0	ACLY	54216065.84	4.313289103e-06
878	Q15293;B7Z1M1;E9PNT6;E9PJD5	RCN1	54113048.38	4.305093302e-06
732	Q8WWZ8	OIT3	53876949.74	4.286309909e-06
828	Q9ULI3;Q9ULI3-2	HEG1	53771976.48	4.277958509e-06
529	P80419		53358056.18	4.245028088e-06
1004	P07911-4;P07911;E9PEA4;P07911-2;P07911-3	UMOD	52653955.25	4.18901165e-06
153	P00505;E7ERW2	GOT2	52522936.62	4.178588149e-06
212	O75339	CILP	52420963.62	4.170475442e-06
128	P20073;B4DT77;B4DHY4;P20073-2	ANXA7	52353051.45	4.165072527e-06
871	P10586;P10586-2;H0Y6Z7;H0Y7Z9;F2Z3B8	PTPRF	51996965.58	4.136743262e-06
722	P67809;H0Y449;E7ETA0	YBX1	51769026.7	4.118609038e-06
304	Q16281;E9PF93;Q16281-2	CNGA3	51120018.23	4.066975613e-06
891	Q8WZ75;Q8WZ75-2;F8W857;Q8WZ75-3;B4DYV8	ROBO4	51080013.1	4.063792909e-06
1026	P16989;P16989-3;P16989-2	YBX3	50782023.25	4.040085612e-06
151	P00966;Q5T6L5;Q5T6L6	ASS1	50746021.6	4.037221414e-06
48	P30050;P30050-2	RPL12	50457996.23	4.014306865e-06
129	D6RBL5;P08758;D6RBE9;E7ENQ5	ANXA5	50285989.46	4.000622454e-06
254	Q5T0U0;B7ZMJ0;Q5T0U0-2	CCDC122	50259018.14	3.998476686e-06
222	P25774;P25774-2	CTSS	50163057.57	3.990842313e-06
224	P11717	IGF2R	49668952.39	3.951532591e-06
23	P62269	RPS18	49416046.84	3.931412083e-06
590	O14498;H0YN67;H0YL90	ISLR	48628962.05	3.868793666e-06
439	P78417;Q5TA02;D3DRA3;Q5TA01;F5H7H0	GSTO1	48056927.4	3.823284078e-06
751	P30044;P30044-2;A6NC19;A6NG06	PRDX5	48009037.59	3.819474089e-06
833	P31949	S100A11	47013003.75	3.740232229e-06
36	P62081;B5MCP9	RPS7	46939018.04	3.734346118e-06
981	Q14956;F5GY20;Q14956-2;Q96F58	GPNMB	46881985.91	3.729808791e-06
927	Q04837;C9K0U8;E7EUY5	SSBP1	46765006.6	3.720502221e-06
53	Q07020;F8VYV2;E7EW92;G3V203;F8VUA6;H0YHA7;F8VWC5	RPL18	46520031.49	3.701012639e-06
8	P31947;P31947-2	SFN	45962008.64	3.656617793e-06
347	P29692;P29692-2;E9PK01;E9PRY8;P29692-3;E9PMW7;E9PPR1;E9PL12;E9PQ49;E9PI39;F8W934;E9PN91;E9PIZ1;E9PL71;H0YCK7;E9PQZ1;E9PBQ9	EEF1D	45693034.42	3.635218904e-06
710	Q09666;Q8N274	AHNAK	45435048.92	3.614694249e-06
55	P84098	RPL19	45168014.48	3.593449684e-06
978	P55072	VCP	44842002.65	3.567513031e-06
619	P40189;P40189-3;F5H374;D6RH03;P40189-2	IL6ST	44015029.78	3.501721222e-06
767	Q8NC51;Q8NC51-3;Q8NC51-4;Q8NC51-2	SERBP1	43906012.83	3.493048117e-06
522	P01825		43868016.69	3.490025243e-06
71	P62917;E9PKZ0;E9PIZ3;E9PP36;G3V1A1;E9PKU4	RPL8	43406023.38	3.453270258e-06
479	P31943;P55795;E9PCY7;G8JLB6;E5RGH4;E5RGV0;D6RIU0;D6RBM0;H0YB39;B4DFK9	HNRNPH1;HNRNPH2	42770960.18	3.402746282e-06
73	P08253;B4DWH3;E9PE45;H3BR66;H3BS34	MMP2	42603963.11	3.38946043e-06
905	O75494;O75494-3;O75494-4;Q5JRI1;O75494-5;Q5JRI3;O75494-2	SRSF10	42514003.11	3.382303447e-06
478	P52597;B4DKS8	HNRNPF	42341964.14	3.368616474e-06
796	Q8IZF2;E9PBS6;Q8IZF2-3;Q8IZF2-2;H0YFX7;F5GWK9	GPR116	42181983.75	3.35588885e-06
180	P13497;P13497-4;P13497-5;P13497-2;P13497-6	BMP1	42109006.98	3.350083008e-06
631	P07942;G3XAI2	LAMB1	41726984.45	3.31969029e-06
400	P11362;P11362-11;P11362-10;P11362-9;P11362-8;P11362-4;P11362-3;P11362-20;P11362-2;P11362-16;P11362-13;P11362-12;P11362-6;P11362-5;E9PNM3;E9PN14;E9PKV7	FGFR1	41155984.97	3.274263058e-06
727	Q13232	NME3	41034013.78	3.264559347e-06
239	Q12873;Q12873-2;E9PG89;Q14839;Q8TDI0;F5H2K7;F5GXP9;B1AK51;F2Z2R5;F5H2G1;F5GWX5;Q14839-2	CHD3;CHD4;CHD5	40856014.6	3.250398196e-06
652	O75015;H0Y4U3	FCGR3B	40812951.21	3.246972184e-06
39	P08865;C9J9K3;A6NE09	RPSA;RPSAP58	39973023.6	3.18014973e-06
446	Q86SQ4;Q86SQ4-3;Q86SQ4-2;Q86SQ4-4	GPR126	39550957.33	3.146571236e-06
1032	C9IZP8	C1S	39357001.2	3.131140591e-06
969	Q8WZ42;E7ENC6;Q8WZ42-3;Q8WZ42-10;Q8WZ42-9;Q8WZ42-5;Q8WZ42-2;Q8WZ42-8;Q8WZ42-11;Q8WZ42-4;Q8WZ42-7	TTN	39336978.64	3.129547648e-06
601	P24593;C9JXX4	IGFBP5	39334986.01	3.129389119e-06
649	P28330	ACADL	38965028.66	3.099956275e-06
5	P62258;P62258-2	YWHAE	38669984.68	3.076483344e-06
609	Q8WWA0;Q8WWU7	ITLN1;ITLN2	38336017.97	3.049913822e-06
58	P61254;Q9UNX3;E5RIT6	RPL26;RPL26L1	38243972.74	3.042590943e-06
713	O60462;O60462-5;F5H2X3;F5H1G4;O60462-4;O60462-2;O60462-3;E9PF66	NRP2	38062998.69	3.028193118e-06
735	Q99983	OMD	38005985.65	3.023657309e-06
