# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T18:34:53Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# Hortin 2008 (clinchem.2008.108175-2.xls sha256 b754184b6b3255c9f92924f92fe3b03261846788e02d71f0144241c07fb8a505), value = mg/L; share_hortin over the joined set; share_geyer_joined = the pool's v renormalised over the joined set; reported, not used
accession	gene	hortin_value	share_hortin	w_pool	share_geyer_joined	ratio_geyer_over_hortin
P06727	APOA4	190	0.00255331215	0.006940759549	0.008097365957	3.171318461
P19827	ITIH1	180	0.0024189273	0.003574431669	0.004170074054	1.723935256
Q14624	ITIH4	180	0.0024189273	0.005537165642	0.006459877518	2.670554638
Q06033	ITIH3	150	0.00201577275	0.0006417235824	0.0007486602371	0.3714011102
P05090	APOD	140	0.0018813879	0.0003396502974	0.0003962495367	0.2106155444
P02656	APOC3	120	0.0016126182	0.002593325314	0.003025476385	1.876126901
P04004	VTN	115	0.001545425775	0.00194403464	0.002267988079	1.467549018
P10909	CLU	115	0.001545425775	0.00379041707	0.004422051208	2.861380521
P04196	HRG	100	0.0013438485	0.0006059098313	0.0007068784916	0.5260105523
P00734	F2	100	0.0013438485	0.001270044679	0.001481684602	1.102568185
P00736	C1R	100	0.0013438485	0.0006931991145	0.0008087136388	0.6017892931
P01031	C5	96	0.00129009456	0.001601256845	0.001868089879	1.448025546
P05546	SERPIND1	90	0.00120946365	0.0008622912899	0.001005983291	0.8317598395
P10643	C7	89.5	0.001202744407	0.0003641220669	0.0004247992756	0.3531916449
P43652	AFM	85	0.001142271225	0.0004750879325	0.0005542564649	0.4852231701
P09871	C1S	80	0.0010750788	0.0008296788117	0.0009679362782	0.9003398432
P08185	SERPINA6	70	0.0009406939499	0.0008487171914	0.0009901472087	1.052571039
P13671	C6	62	0.0008331860699	0.0007111922236	0.000829705115	0.9958221158
P02654	APOC1	60	0.0008063090999	0.00142903873	0.001667173381	2.067660381
P02745	C1QA	60	0.0008063090999	3.67869684e-05	4.291713947e-05	0.05322665895
P08697	SERPINF2	60	0.0008063090999	0.001140861696	0.0013309746	1.650700209
P01019	AGT	60	0.0008063090999	0.0008843801765	0.001031753064	1.279599926
P0C0L5	C4B	57.5	0.0007727128874	0.01023757271	0.01194355923	15.45665851
P02746	C1QB	55	0.0007391166749	0.0003084032878	0.0003597955333	0.4867912544
P80108	GPLD1	55	0.0007391166749	0.0001465149696	0.0001709301869	0.2312627934
P02748	C9	53	0.0007122397049	0.001059131779	0.00123562523	1.734844634
P35542	SAA4	50	0.0006719242499	0.0007388903578	0.0008620188594	1.282910774
P02747	C1QC	50	0.0006719242499	0.0002344590491	0.0002735292455	0.4070834555
P20851	C4BPB	50	0.0006719242499	2.859663942e-05	3.336197614e-05	0.0496513947
P03952	KLKB1	50	0.0006719242499	0.0004814176397	0.0005616409529	0.8358694494
P05156	CFI	50	0.0006719242499	0.0002961174489	0.0003454623854	0.5141388861
P02649	APOE	47.5	0.0006383280375	0.002031617753	0.00237016602	3.713084622
P07358	C8B	47	0.000631608795	0.0002717696776	0.0003170573077	0.5019836808
P07357	C8A	47	0.000631608795	0.0002181378354	0.0002544882689	0.4029207175
P02753	RBP4	45	0.000604731825	5.718577343e-05	6.671519619e-05	0.1103219534
P25311	AZGP1	45	0.000604731825	0.0003860370598	0.0004503661774	0.7447370203
P00739	HPR	40.5	0.0005442586425	0.0004158943297	0.0004851988552	0.8914858072
P02655	APOC2	40	0.0005375394	0.0008441487841	0.0009848175231	1.832084352
P02743	APCS	40	0.0005375394	0.0004254994463	0.0004964045659	0.9234756856
P23142	FBLN1	40	0.0005375394	0.0001097841021	0.000128078497	0.2382681102
P01591	JCHAIN	35	0.000470346975	0.0007528648121	0.0008783220131	1.867391649
P27918	CFP	25	0.000335962125	5.637427884e-06	6.576847434e-06	0.01957615739
P07225	PROS1	25	0.000335962125	0.0002828140618	0.0003299421252	0.9820813143
P06681	C2	20.5	0.0002754889425	5.48875694e-05	6.403402003e-05	0.232437714
P02750	LRG1	20	0.0002687697	0.001504412729	0.001755107684	6.530154566
P05543	SERPINA7	19	0.000255331215	0.0002565558957	0.000299308305	1.172235463
P07360	C8G	16.5	0.0002217350025	7.915329515e-05	9.234338015e-05	0.4164582908
O75636	FCN3	15	0.000201577275	7.755503519e-05	9.047878656e-05	0.4488541011
P00488	F13A1	15	0.000201577275	0.0001046424741	0.0001220800694	0.6056241677
P05160	F13B	15	0.000201577275	6.598177572e-05	7.697696207e-05	0.381873215
P04275	VWF	15	0.000201577275	8.428824266e-05	9.833401401e-05	0.4878229156
P29622	SERPINA4	14	0.00018813879	0.0002307464346	0.0002691979619	1.430847737
P05452	CLEC3B	12.5	0.0001679810625	6.051165056e-05	7.059529664e-05	0.4202574719
Q15848	ADIPOQ	10	0.00013438485	5.267372102e-05	6.145125651e-05	0.4572781569
P00742	F10	10	0.00013438485	4.525285659e-05	5.279378111e-05	0.3928551553
Q14520	HABP2	10	0.00013438485	7.349689623e-05	8.574440035e-05	0.6380510925
Q96IY4	CPB2	9.5	0.0001276656075	9.301971386e-05	0.0001085204954	0.850037042
P12259	F5	9	0.000120946365	8.40823806e-05	9.809384715e-05	0.8110524624
P61626	LYZ	8.1	0.0001088517285	1.296776105e-05	1.512870545e-05	0.138984522
O14791	APOL1	8	0.00010750788	0.0003871542216	0.0004516695027	4.201268807
Q15485	FCN2	7	9.406939499e-05	1.35152785e-05	1.576746107e-05	0.1676152066
P04278	SHBG	6.5	8.735015249e-05	9.040365708e-05	0.0001054684995	1.207422042
P17936	IGFBP3	5	6.719242499e-05	2.876292172e-05	3.355596768e-05	0.4994010513
P18428	LBP	5	6.719242499e-05	0.0001135549314	0.0001324776963	1.971616538
P05154	SERPINA5	5	6.719242499e-05	6.696949118e-05	7.812927018e-05	1.16276902
P36955	SERPINF1	5	6.719242499e-05	0.0005409585624	0.0006311037598	9.392483748
P03951	F11	5	6.719242499e-05	2.544210258e-05	2.968176809e-05	0.4417427722
P06276	BCHE	5	6.719242499e-05	9.481171432e-05	0.0001106111143	1.646184288
P00740	F9	4.5	6.04731825e-05	5.369613161e-05	6.264404134e-05	1.035897877
P04070	PROC	4.5	6.04731825e-05	1.132324748e-05	1.321015056e-05	0.2184464256
P02741	CRP	4.1	5.50977885e-05	0.0002039435615	0.0002379286648	4.318297908
P02786	TFRC	3.2	4.3003152e-05	4.606934093e-06	5.37463242e-06	0.1249822901
P00746	CFD	3	4.0315455e-05	1.855158409e-05	2.164301535e-05	0.5368416493
O95445	APOM	3	4.0315455e-05	0.0002270335287	0.0002648663382	6.569846186
P22891	PROZ	3	4.0315455e-05	2.352187833e-05	2.744155816e-05	0.680670928
P55056	APOC4	2.5	3.35962125e-05	1.472146393e-05	1.717464494e-05	0.5112077721
P11226	MBL2	2.5	3.35962125e-05	5.623037751e-05	6.560059334e-05	1.952618717
P61769	B2M	1.3	1.74700305e-05	4.080026645e-05	4.759921248e-05	2.724621029
P06702	S100A9	1.3	1.74700305e-05	1.614882764e-06	1.883986418e-06	0.1078410491
P05109	S100A8	1	1.3438485e-05	1.078268701e-06	1.257951124e-06	0.09360810568
P01034	CST3	0.75	1.007886375e-05	8.824213338e-06	1.029467801e-05	1.021412558
