# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T07:18:36Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# removed_by_rule = D98 contaminants (removed on purpose); completeness_gap = rows no entry answers to and entries build_protein_set excluded (R5), A7
pool	row_index	identity_cell	gene_cell	entry	outcome	kind	share_of_listing
erythrocytes	1216	Q14525;CON__Q14525;A0A087X2I6	KRT33B	Q14525	keratin	removed_by_rule	9e-08
erythrocytes	1219	O76013;CON__O76013;O76013-2	KRT36	O76013	keratin	removed_by_rule	1e-08
erythrocytes	26	H0Y897;D3YTG3;H0YCP4;H0YF18;Q5JPC9	ABI3BP;DKFZp667H216		no_reviewed_human_entry	completeness_gap	0
erythrocytes	340	Q5T699	C6orf183		no_reviewed_human_entry	completeness_gap	0
erythrocytes	1212	Q9C075;CON__Q9C075;J3QR55;Q9C075-2	KRT23	Q9C075	keratin	removed_by_rule	0
erythrocytes	1214	Q14532;CON__Q14532	KRT32	Q14532	keratin	removed_by_rule	0
erythrocytes	1217	O76011;CON__Q8IUT8;CON__O76011	KRT34	O76011	keratin	removed_by_rule	0
erythrocytes	1228	Q7Z794;CON__Q7Z794	KRT77	Q7Z794	keratin	removed_by_rule	0
erythrocytes	1234	K7EQQ3	KRT9	P35527	keratin	removed_by_rule	0
erythrocytes	1236	P60411;A0A087WT19	KRTAP10-9	P60411	keratin	removed_by_rule	0
erythrocytes	1237	Q8IUC1	KRTAP11-1	Q8IUC1	keratin	removed_by_rule	0
erythrocytes	1238	F5H1T9;CON__Q9BYR9;F5H6S0;Q9BYT5;Q9BYU5;Q9BYR9;P0C7H8	KRTAP2-1;KRTAP2-2;KRTAP2-4;KRTAP2-3	Q9BYT5	keratin	removed_by_rule	0
erythrocytes		O60613		O60613	not_in_accessions_ini (R5 or open flag)	completeness_gap	1.35e-06
erythrocytes		P07203		P07203	not_in_accessions_ini (R5 or open flag)	completeness_gap	0.00047335
erythrocytes		P36969		P36969	not_in_accessions_ini (R5 or open flag)	completeness_gap	2.415e-05
erythrocytes		P62341		P62341	not_in_accessions_ini (R5 or open flag)	completeness_gap	0
erythrocytes		Q16881		Q16881	not_in_accessions_ini (R5 or open flag)	completeness_gap	0.00012234
erythrocytes		Q9BVL4		Q9BVL4	not_in_accessions_ini (R5 or open flag)	completeness_gap	8.76e-06
erythrocytes		Q9C0D9		Q9C0D9	not_in_accessions_ini (R5 or open flag)	completeness_gap	0
