# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T18:34:53Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# D113: per immunoglobulin entry of the pool; bound = w x L_V / L_C for a constant-region entry
pool	accession	gene	chain	segment_class	w	L_C_master_residues	L_V_mean_residues	variable_mass_bound	how
plasma	P0DOY3	IGLC3	IGL	constant	0.007287473753	106	97.72727273	0.006718725801	w x L_V/L_C (L_V = mean of 11 V entries)
plasma	P15814	IGLL1	IGL	constant	3.712444752e-05	176	97.72727273	2.061403981e-05	w x L_V/L_C (L_V = mean of 11 V entries)
plasma	P23083	IGHV1-2	IGH	variable_segment	2.916251662e-05	98	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P80748	IGLV3-21	IGL	variable_segment	0.001144927281	100	97.72727273	0	measured variable-region entry (recovered under D111); no bound
erythrocytes	A0A087WW87	IGKV2-40	IGK	variable_segment	0	102	97.66666667	0	measured variable-region entry (recovered under D111); no bound
erythrocytes	P01602	IGKV1-5	IGK	variable_segment	0	95	97.66666667	0	measured variable-region entry (recovered under D111); no bound
erythrocytes	P01619	IGKV3-20	IGK	variable_segment	0	96	97.66666667	0	measured variable-region entry (recovered under D111); no bound
erythrocytes	P01766	IGHV3-13	IGH	variable_segment	0	97	97	0	measured variable-region entry (recovered under D111); no bound
erythrocytes	P01834	IGKC	IGK	constant	3.529537517e-06	107	97.66666667	3.221665086e-06	w x L_V/L_C (L_V = mean of 3 V entries)
erythrocytes	P01857	IGHG1	IGH	constant	1.187135318e-05	399	97	2.886018192e-06	w x L_V/L_C (L_V = mean of 1 V entries)
erythrocytes	P01859	IGHG2	IGH	constant	4.152461885e-06	395	97	1.019718488e-06	w x L_V/L_C (L_V = mean of 1 V entries)
erythrocytes	P01871	IGHM	IGH	constant	0	474	97	0	w x L_V/L_C (L_V = mean of 1 V entries)
erythrocytes	P01876	IGHA1	IGH	constant	3.290771535e-07	398	97	8.020222084e-08	w x L_V/L_C (L_V = mean of 1 V entries)
