accession	gene	tier	n_sites_total	n_sites_in_master	n_sites_with_mass	n_sites_count_only	n_modified_residue	n_lipidation	n_glycosylation	n_cross_link	n_disulfide_bond	sum_mass_delta_g_per_mol	mw_master	ptm_mass_delta_fraction_of_mw
B0YJ81	HACD1	2	2	2	1	1	1	0	1	0	0	79.98	32387.3150	0.002469485353
B1AJZ9	FHAD1	2	0	0	0	0	0	0	0	0	0	0	161901.4150	0
B2RPK0	HMGB1P1	2	17	17	17	0	17	0	0	0	0	714.68	24237.7900	0.02948618665
B5ME19	EIF3CL	2	15	15	15	0	15	0	0	0	0	1123.82	105471.4150	0.01065520928
B9A064	IGLL5	2	1	1	1	0	0	0	0	0	1	-2.016	19278.4600	-0.0001045726681
C9J798	RASA4B	2	0	0	0	0	0	0	0	0	0	0	90405.1200	0
E7EW31	PROB1	2	0	0	0	0	0	0	0	0	0	0	106915.3400	0
E9PQ53	NDUFC2-KCTD14	2	0	0	0	0	0	0	0	0	0	0	13407.3850	0
O00115	DNASE2	2	7	7	3	4	0	0	4	0	3	-6.048	37817.9750	-0.0001599239515
O00116	AGPS	2	4	4	4	0	4	0	0	0	0	244.04	67063.5650	0.003638935687
O00139	KIF2A	2	9	9	9	0	9	0	0	0	0	681.88	79953.4550	0.008528461966
O00151	PDLIM1	1	6	6	6	0	6	0	0	0	0	441.94	35940.0950	0.01229657295
O00154	ACOT7	2	3	3	3	0	3	0	0	0	0	126.12	41795.5950	0.003017542877
O00161	SNAP23	2	14	14	14	0	8	6	0	0	0	2032.36	23353.7500	0.08702499599
O00165	HAX1	2	3	3	3	0	3	0	0	0	0	202	31488.8250	0.006414974201
O00168	FXYD1	2	8	8	8	0	6	2	0	0	0	1182.02	8383.4250	0.1409948798
O00178	GTPBP1	2	9	9	9	0	9	0	0	0	0	719.82	72452.9400	0.009935000567
O00182	LGALS9	2	0	0	0	0	0	0	0	0	0	0	39517.6400	0
O00186	STXBP3	2	0	0	0	0	0	0	0	0	0	0	67763.4050	0
O00192	ARVCF	2	14	14	14	0	14	0	0	0	0	1053.77	104640.3850	0.01007039491
O00193	SMAP	2	11	11	11	0	8	0	0	3	0	509.9	20332.2300	0.02507840999
O00203	AP3B1	2	4	4	4	0	4	0	0	0	0	319.92	121318.4050	0.002637027745
O00204	SULT2B1	2	1	1	1	0	1	0	0	0	0	79.98	41307.0600	0.001936230756
O00217	NDUFS8	2	0	0	0	0	0	0	0	0	0	0	20289.7950	0
O00231	PSMD11	2	4	4	4	0	3	0	0	1	0	183.98	47331.7200	0.003887033896
O00232	PSMD12	2	5	5	5	0	3	0	0	2	0	90.08	52772.4800	0.001706950289
O00233	PSMD9	2	1	1	1	0	1	0	0	0	0	79.98	24681.4500	0.003240490328
O00244	ATOX1	2	2	2	2	0	2	0	0	0	0	122.02	7401.5850	0.01648565814
O00264	PGRMC1	2	4	4	4	0	4	0	0	0	0	319.92	21670.8300	0.01476270175
O00267	SUPT5H	2	23	23	23	0	21	0	0	2	0	1200.03	120998.0800	0.009917760679
O00291	HIP1	2	1	1	1	0	1	0	0	0	0	79.98	116219.2400	0.0006881820945
O00299	CLIC1	2	10	10	10	0	9	0	0	0	1	791.364	26791.2150	0.02953819004
O00303	EIF3F	2	4	4	4	0	4	0	0	0	0	244.04	37432.1050	0.006519537173
O00330	PDHX	2	4	4	4	0	4	0	0	0	0	410.39	48023.4950	0.008545608769
O00391	QSOX1	2	9	9	6	3	1	0	3	0	5	69.9	79576.8350	0.0008783963323
O00399	DCTN6	2	1	1	1	0	1	0	0	0	0	79.98	20746.8350	0.003855045842
O00401	WASL	2	6	6	6	0	6	0	0	0	0	375.99	54695.0450	0.006874297297
O00410	IPO5	2	2	2	2	0	2	0	0	0	0	122.02	123496.8250	0.0009880415954
O00418	EEF2K	2	24	24	24	0	24	0	0	0	0	1881.58	82011.6650	0.0229428338
O00423	EML1	2	1	1	1	0	1	0	0	0	0	79.98	89859.7500	0.000890053667
O00425	IGF2BP3	2	4	4	4	0	2	0	0	2	0	123.92	63704.0900	0.001945244018
O00429	DNM1L	2	18	18	18	0	8	0	2	8	0	775.2	81875.9650	0.009467980011
O00442	RTCA	2	0	0	0	0	0	0	0	0	0	0	39336.3050	0
O00461	GOLIM4	2	7	7	6	1	5	1	1	0	0	610.26	81747.7000	0.007465164158
O00468	AGRN	2	57	57	52	5	2	0	5	0	50	59.16	214515.0000	0.0002757849101
O00469	PLOD2	2	10	10	3	7	3	0	7	0	0	260.03	82028.3350	0.003170002171
O00471	EXOC5	2	5	5	5	0	5	0	0	0	0	361.96	81720.4900	0.004429244122
O00478	BTN3A3	2	3	3	2	1	0	0	1	0	2	-4.032	61823.1300	-6.521830907e-05
O00479	HMGN4	2	3	3	3	0	3	0	0	0	0	663.32	9538.8050	0.06953910893
O00481	BTN3A1	2	3	3	2	1	0	0	1	0	2	-4.032	54359.1950	-7.417328384e-05
O00483	COXFA4	2	2	2	2	0	2	0	0	0	0	122.02	9369.7300	0.01302278721
O00487	PSMD14	2	3	3	3	0	3	0	0	0	0	239.94	34576.6350	0.00693936816
O00499	BIN1	1	7	7	7	0	7	0	0	0	0	521.92	64567.2250	0.008083358081
O00505	KPNA3	2	4	4	4	0	4	0	0	0	0	281.98	57678.8250	0.004888795845
O00541	PES1	2	3	3	3	0	1	0	0	2	0	6	68001.7350	8.823304288e-05
O00567	NOP56	2	20	20	20	0	15	0	0	5	0	1005.71	66048.9950	0.01522672677
O00571	DDX3X	2	31	31	31	0	30	0	0	1	0	1937.81	73111.2400	0.02650495327
O00629	KPNA4	2	2	2	2	0	2	0	0	0	0	122.02	57754.6050	0.002112731963
O00754	MAN2B1	2	17	17	2	15	0	0	11	0	6	-4.032	108711.3250	-3.708905213e-05
O00757	FBP2	1	2	2	2	0	2	0	0	0	0	159.96	36742.7400	0.004353513102
O00763	ACACB	2	19	19	19	0	19	0	0	0	0	1665.93	276536.9050	0.006024259221
O00764	PDXK	2	5	5	5	0	5	0	0	0	0	361.96	35101.8450	0.01031170869
O14497	ARID1A	2	27	27	27	0	27	0	0	0	0	1927.76	241909.6250	0.007968926412
O14521	SDHD	2	0	0	0	0	0	0	0	0	0	0	10888.5300	0
O14531	DPYSL4	2	2	2	2	0	2	0	0	0	0	159.96	61876.8250	0.002585135873
O14545	TRAFD1	2	10	10	10	0	10	0	0	0	0	761.86	64708.9700	0.01177363818
O14548	COX7A2L	2	1	1	1	0	1	0	0	0	0	42.04	6635.8500	0.006335284854
O14558	HSPB6	2	2	2	2	0	2	0	0	0	0	80.96	17135.2850	0.00472475363
O14561	NDUFAB1	2	2	2	2	0	2	0	0	0	0	382.37	10169.4950	0.03759970382
O14562	UBFD1	2	0	0	0	0	0	0	0	0	0	0	33381.5100	0
O14579	COPE	2	3	3	3	0	3	0	0	0	0	239.94	34350.2100	0.006985110135
O14602	EIF1AY	2	1	1	1	0	0	0	0	1	0	-18.02	16442.1750	-0.001095962061
O14617	AP3D1	2	15	15	15	0	15	0	0	0	0	1161.76	130024.8450	0.008934907786
O14618	CCS	2	6	6	6	0	1	0	0	4	1	5.884	29040.2250	0.00020261551
O14639	ABLIM1	2	20	20	20	0	19	0	0	1	0	1501.6	87686.4750	0.01712464779
O14647	CHD2	2	9	9	9	0	9	0	0	0	0	719.82	211340.3550	0.003405975163
O14653	GOSR2	2	1	1	1	0	1	0	0	0	0	42.04	24774.9750	0.001696873559
O14657	TOR1B	2	2	2	0	2	0	0	2	0	0	0	35561.4150	0
O14672	ADAM10	2	22	22	18	4	1	0	4	0	17	45.708	59400.7800	0.0007694848451
O14681	EI24	2	7	7	7	0	7	0	0	0	0	521.92	38832.7900	0.01344018805
O14683	TP53I11	2	1	1	1	0	1	0	0	0	0	79.98	21053.6100	0.003798873447
O14732	IMPA2	2	0	0	0	0	0	0	0	0	0	0	31320.3950	0
O14735	CDIPT	2	0	0	0	0	0	0	0	0	0	0	23538.4200	0
O14737	PDCD5	2	4	4	4	0	4	0	0	0	0	244.04	14153.6450	0.01724220157
O14744	PRMT5	2	1	1	1	0	1	0	0	0	0	42.04	72682.7900	0.0005784037734
O14745	NHERF1	2	12	12	12	0	12	0	0	0	0	921.82	38736.6700	0.02379708942
O14776	TCERG1	2	12	12	12	0	9	0	0	3	0	392.09	123899.1250	0.003164590549
O14791	APOL1	2	3	3	2	1	2	0	1	0	0	159.96	41128.0400	0.003889317361
O14818	PSMA7	2	3	3	3	0	2	0	1	0	0	325.21	27886.5050	0.01166191317
O14828	SCAMP3	2	9	9	9	0	8	0	0	1	0	621.82	38286.3500	0.01624129749
O14832	PHYH	2	5	5	5	0	5	0	0	0	0	480.26	35435.2050	0.01355318814
O14841	OPLAH	2	2	2	2	0	2	0	0	0	0	159.96	137455.3550	0.001163723305
O14874	BCKDK	2	6	6	6	0	6	0	0	0	0	404	43354.0050	0.009318631577
O14879	IFIT3	2	3	3	3	0	3	0	0	0	0	239.94	55983.9850	0.004285868539
O14880	MGST3	2	2	2	2	0	0	2	0	0	0	476.82	16516.1150	0.02886998547
O14908	GIPC1	2	6	6	6	0	6	0	0	0	0	479.88	36048.8000	0.01331195491
O14925	TIMM23	2	0	0	0	0	0	0	0	0	0	0	21942.9300	0
O14949	UQCRQ	2	3	3	3	0	3	0	0	0	0	222.09	9775.0700	0.0227200419
O14950	MYL12B	1	2	2	2	0	2	0	0	0	0	159.96	19778.9150	0.008087400143
O14958	CASQ2	1	4	4	3	1	3	0	1	0	0	239.94	44210.4050	0.005427229178
O14964	HGS	2	6	6	6	0	6	0	0	0	0	462.03	86190.5800	0.005360562604
O14967	CLGN	2	10	10	10	0	8	0	0	0	2	597.868	67830.9700	0.008814085955
O14972	VPS26C	2	0	0	0	0	0	0	0	0	0	0	33010.0600	0
O14974	PPP1R12A	1	27	27	27	0	27	0	0	0	0	1967.52	115279.0150	0.0170674602
O14979	HNRNPDL	2	7	7	7	0	6	0	0	1	0	174.14	46436.9250	0.003750032975
O14980	XPO1	2	7	7	7	0	7	0	0	0	0	483.98	123384.0700	0.003922548511
O14981	BTAF1	2	2	2	2	0	2	0	0	0	0	159.96	206884.2000	0.0007731861592
O14983	ATP2A1	1	4	4	4	0	3	0	0	0	1	237.924	110251.1500	0.002158018306
O15027	SEC16A	2	35	35	35	0	35	0	0	0	0	2799.3	251889.4300	0.01111320947
O15031	PLXNB2	2	26	26	13	13	3	0	13	0	10	219.78	203243.2500	0.001081364326
O15042	U2SURP	2	23	23	23	0	13	0	0	10	0	783.66	118159.0650	0.006632246117
O15061	SYNM	1	13	13	13	0	13	0	0	0	0	973.79	172865.1500	0.005633234923
O15067	PFAS	2	4	4	4	0	4	0	0	0	0	319.92	144732.3450	0.002210425044
O15075	DCLK1	2	19	19	19	0	19	0	0	0	0	1519.62	82222.9150	0.01848170914
O15078	CEP290	2	0	0	0	0	0	0	0	0	0	0	290381.3900	0
O15083	ERC2	2	2	2	2	0	2	0	0	0	0	159.96	110555.6500	0.001446873136
O15126	SCAMP1	2	3	3	3	0	3	0	0	0	0	202	37788.6900	0.005345514756
O15143	ARPC1B	2	0	0	0	0	0	0	0	0	0	0	40818.0300	0
O15144	ARPC2	2	2	2	2	0	2	0	0	0	0	84.08	34332.5950	0.002448984704
O15145	ARPC3	2	4	4	4	0	3	0	0	1	0	146.04	20415.2200	0.007153486467
O15160	POLR1C	2	2	2	2	0	2	0	0	0	0	122.02	39117.9700	0.003119282519
O15173	PGRMC2	2	6	6	5	1	5	0	1	0	0	399.9	23818.1400	0.01678972413
O15198	SMAD9	2	0	0	0	0	0	0	0	0	0	0	52492.6600	0
O15211	RGL2	2	2	2	2	0	2	0	0	0	0	159.96	83547.6800	0.001914595354
O15212	PFDN6	2	5	5	5	0	3	0	0	2	0	90.08	14451.2150	0.006233385913
O15226	NKRF	2	5	5	5	0	1	0	0	4	0	7.9	77671.9250	0.000101709852
O15230	LAMA5	2	111	111	86	25	0	0	23	0	88	-173.376	396305.9550	-0.0004374801787
O15239	NDUFA1	2	0	0	0	0	0	0	0	0	0	0	8072.2850	0
O15254	ACOX3	2	2	2	2	0	2	0	0	0	0	122.02	77496.6400	0.001574519876
O15258	RER1	2	5	5	5	0	5	0	0	0	0	361.96	22826.4700	0.01585702914
O15260	SURF4	2	0	0	0	0	0	0	0	0	0	0	30262.3650	0
O15269	SPTLC1	2	1	1	1	0	1	0	0	0	0	79.98	52743.1900	0.001516404298
O15270	SPTLC2	2	1	1	1	0	1	0	0	0	0	229.13	62923.5750	0.003641401494
O15273	TCAP	1	1	1	1	0	1	0	0	0	0	79.98	19051.3500	0.004198127692
O15294	OGT	2	15	15	15	0	6	0	9	0	0	2270.65	116791.5900	0.01944189646
O15355	PPM1G	2	6	6	6	0	5	1	0	0	0	506.37	59139.7800	0.00856225708
O15357	INPPL1	2	12	12	12	0	12	0	0	0	0	959.76	138596.6950	0.006924840452
O15371	EIF3D	2	4	4	4	0	4	0	0	0	0	281.98	63971.9250	0.004407871109
O15372	EIF3H	2	3	3	3	0	2	0	0	1	0	141.94	39929.7250	0.003554745243
O15382	BCAT2	2	2	2	2	0	2	0	0	0	0	271.17	41263.4800	0.00657167064
O15400	STX7	2	9	9	9	0	9	0	0	0	0	681.88	29683.7750	0.02297147179
O15427	SLC16A3	2	3	3	3	0	3	0	0	0	0	239.94	49337.6450	0.004863223609
O15439	ABCC4	2	4	4	4	0	4	0	0	0	0	319.92	149524.4000	0.002139583907
O15460	P4HA2	2	3	3	1	2	1	0	2	0	0	100.07	58565.1850	0.001708694338
O15498	YKT6	2	5	5	5	0	2	3	0	0	0	809.26	22101.8400	0.03661505105
O15511	ARPC5	2	1	1	1	0	1	0	0	0	0	42.04	16189.0250	0.002596820994
O15514	POLR2D	2	0	0	0	0	0	0	0	0	0	0	16311.0050	0
O15523	DDX3Y	2	17	17	17	0	16	0	0	1	0	856.03	73021.5000	0.0117229857
O43143	DHX15	2	3	3	3	0	2	0	0	1	0	104	90931.4900	0.001143718199
O43148	RNMT	2	4	4	4	0	4	0	0	0	0	319.92	54843.5250	0.005833323077
O43149	ZZEF1	2	13	13	13	0	12	1	0	0	0	1132.18	330938.9550	0.003421114326
O43169	CYB5B	2	5	5	5	0	5	0	0	0	0	296.01	15353.9400	0.01927909058
O43175	PHGDH	2	7	7	7	0	5	0	0	2	0	250.04	56518.5550	0.004424033842
O43181	NDUFS4	2	1	1	1	0	1	0	0	0	0	79.98	15385.1400	0.00519852273
O43237	DYNC1LI2	2	7	7	7	0	7	0	0	0	0	493.91	54098.5750	0.009129815342
O43240	KLK10	2	7	6	5	1	0	0	1	0	6	-10.08	26978.5450	-0.000373630231
O43242	PSMD3	2	4	4	4	0	2	0	0	2	0	123.92	60976.5450	0.002032256829
O43264	ZW10	2	4	4	4	0	4	0	0	0	0	244.04	88696.9050	0.002751392509
O43290	SART1	2	40	40	40	0	17	0	0	23	0	945.2	90253.6150	0.01047271071
O43293	DAPK3	2	11	11	11	0	11	0	0	0	0	879.78	52534.9050	0.0167465802
O43294	TGFB1I1	2	16	16	16	0	16	0	0	0	0	1241.74	49813.5800	0.02492774059
O43324	EEF1E1	2	2	2	2	0	2	0	0	0	0	84.08	19679.0500	0.00427256397
O43374	RASA4	2	0	0	0	0	0	0	0	0	0	0	90456.2300	0
O43390	HNRNPR	2	5	5	5	0	2	0	0	3	0	30.02	70811.1250	0.0004239446838
O43395	PRPF3	2	6	6	6	0	3	0	0	3	0	185.88	77527.8800	0.0023975891
O43396	TXNL1	2	2	2	2	0	1	0	0	0	1	77.964	32119.7750	0.00242728973
O43399	TPD52L2	2	13	13	13	0	13	0	0	0	0	1001.8	22237.4250	0.04505018005
O43402	EMC8	2	0	0	0	0	0	0	0	0	0	0	23772.6850	0
O43414	ERI3	2	0	0	0	0	0	0	0	0	0	0	37237.6600	0
O43447	PPIH	2	1	1	1	0	1	0	0	0	0	42.04	19076.8050	0.002203723317
O43464	HTRA2	2	0	0	0	0	0	0	0	0	0	0	34980.4200	0
O43488	AKR7A2	2	4	4	4	0	4	0	0	0	0	302.07	35599.6900	0.008485186247
O43491	EPB41L2	2	25	25	25	0	23	0	0	2	0	1765.56	112455.3750	0.01570009437
O43504	LAMTOR5	2	1	1	1	0	1	0	0	0	0	42.04	9613.7900	0.004372885199
O43548	TGM5	2	1	1	1	0	1	0	0	0	0	42.04	80645.3700	0.0005212946509
O43583	DENR	2	5	5	5	0	5	0	0	0	0	361.96	21960.5800	0.01648226049
O43598	DNPH1	2	7	7	7	0	7	0	0	0	0	521.92	18976.9600	0.02750282448
O43615	TIMM44	2	3	3	3	0	3	0	0	0	0	260.03	51355.0350	0.005063378888
O43617	TRAPPC3	2	1	1	1	0	0	1	0	0	0	238.41	20273.8650	0.01175947457
O43633	CHMP2A	2	6	6	6	0	6	0	0	0	0	441.94	25103.5650	0.01760467089
O43660	PLRG1	2	4	4	4	0	4	0	0	0	0	281.98	57192.9950	0.004930324072
O43665	RGS10	2	4	4	4	0	3	1	0	0	0	478.35	21209.5700	0.02255349826
O43674	NDUFB5	2	0	0	0	0	0	0	0	0	0	0	17001.3200	0
O43676	NDUFB3	2	8	8	8	0	8	0	0	0	0	368.35	11270.6100	0.03268234816
O43677	NDUFC1	2	0	0	0	0	0	0	0	0	0	0	5937.8100	0
O43678	NDUFA2	2	4	4	4	0	3	0	0	0	1	182.134	10790.2050	0.01687956809
O43681	GET3	2	1	1	1	0	1	0	0	0	0	42.04	38661.1000	0.001087397927
O43707	ACTN4	1	10	10	10	0	10	0	0	0	0	572.16	104852.2300	0.005456822425
O43708	GSTZ1	2	5	5	5	0	5	0	0	0	0	364.2	24211.8450	0.01504222417
O43715	TRIAP1	2	3	3	3	0	1	0	0	0	2	38.008	8785.8350	0.004326054382
O43716	GATC	2	0	0	0	0	0	0	0	0	0	0	8885.7500	0
O43719	HTATSF1	2	33	33	33	0	31	0	0	2	0	2367.46	85720.5650	0.02761834339
O43741	PRKAB2	2	10	10	10	0	10	0	0	0	0	799.8	30301.7650	0.0263945021
O43747	AP1G1	2	0	0	0	0	0	0	0	0	0	0	91350.1250	0
O43760	SYNGR2	2	2	2	2	0	2	0	0	0	0	122.02	24809.7050	0.004918236634
O43765	SGTA	2	7	7	7	0	7	0	0	0	0	521.92	34062.5300	0.01532240852
O43768	ENSA	2	6	6	6	0	6	0	0	0	0	441.94	13257.6550	0.03333470361
O43772	SLC25A20	2	5	5	5	0	5	0	0	0	0	268.23	32812.1650	0.008174712031
O43776	NARS1	2	4	4	4	0	4	0	0	0	0	244.04	62942.2050	0.00387720767
O43795	MYO1B	2	3	3	3	0	1	0	0	2	0	43.94	131983.2150	0.0003329211218
O43809	NUDT21	2	6	6	6	0	6	0	0	0	0	262.17	26095.7250	0.01004647313
O43813	LANCL1	2	2	2	2	0	2	0	0	0	0	84.08	45151.2850	0.001862183989
O43815	STRN	2	6	6	6	0	6	0	0	0	0	479.88	86130.7550	0.005571529008
O43819	SCO2	1	1	1	1	0	0	0	0	0	1	-2.016	25137.9400	-8.019750226e-05
O43824	GTPBP6	2	0	0	0	0	0	0	0	0	0	0	56896.6350	0
O43826	SLC37A4	2	0	0	0	0	0	0	0	0	0	0	46359.4200	0
O43837	IDH3B	2	1	1	1	0	1	0	0	0	0	42.04	38793.3600	0.001083690611
O43847	NRDC	2	3	3	3	0	3	0	0	0	0	239.94	129469.1700	0.001853259737
O43852	CALU	2	9	9	8	1	8	0	1	0	0	601.9	34960.6550	0.01721649666
O43896	KIF1C	2	9	9	9	0	9	0	0	0	0	653.87	122944.7600	0.005318404786
O43920	NDUFS5	2	2	2	2	0	0	0	0	0	2	-4.032	12517.3450	-0.000322113036
O60220	TIMM8A	2	6	6	6	0	4	0	0	0	2	315.888	10998.2200	0.02872173861
O60237	PPP1R12B	1	6	6	6	0	6	0	0	0	0	479.88	110402.1150	0.004346655859
O60240	PLIN1	2	15	15	15	0	15	0	0	0	0	1199.7	55989.4650	0.02142724529
O60256	PRPSAP2	2	5	5	5	0	5	0	0	0	0	361.96	40925.1800	0.008844432694
O60259	KLK8	2	7	7	6	1	0	0	1	0	6	-12.096	24456.3150	-0.000494596181
O60264	SMARCA5	2	16	16	16	0	9	0	0	7	0	517.8	121772.5000	0.004252191587
O60271	SPAG9	2	30	30	30	0	30	0	0	0	0	2361.46	146203.3600	0.01615188598
O60306	AQR	2	1	1	1	0	1	0	0	0	0	42.04	171292.7900	0.0002454277264
O60307	MAST3	2	17	17	17	0	17	0	0	0	0	1359.66	143134.9700	0.009499146156
O60313	OPA1	2	2	2	2	0	1	0	0	0	1	40.024	101496.1900	0.0003943399255
O60341	KDM1A	2	16	16	16	0	13	0	0	3	0	871.86	92901.3250	0.00938479618
O60343	TBC1D4	2	25	25	25	0	25	0	0	0	0	1857.67	146561.0150	0.01267506233
O60437	PPL	2	6	6	6	0	6	0	0	0	0	479.88	204743.2850	0.002343813132
O60488	ACSL4	2	3	3	3	0	3	0	0	0	0	239.94	79187.1900	0.00303003554
O60493	SNX3	2	4	4	4	0	3	0	0	1	0	118.03	18630.9000	0.006335174361
O60504	SORBS3	2	10	10	10	0	10	0	0	0	0	761.86	75339.7900	0.01011231913
O60506	SYNCRIP	2	20	20	20	0	18	0	0	2	0	582.5	69470.6550	0.008384835295
O60524	NEMF	2	6	6	6	0	6	0	0	0	0	479.88	122952.7150	0.003902963835
O60563	CCNT1	2	23	23	23	0	20	0	0	3	0	7043.44	80683.2550	0.08729742002
O60610	DIAPH1	2	10	10	10	0	10	0	0	0	0	685.98	141345.3650	0.004853218922
O60645	EXOC3	2	1	1	1	0	1	0	0	0	0	42.04	85566.1400	0.0004913158406
O60662	KLHL41	1	1	1	1	0	1	0	0	0	0	79.98	68036.2950	0.001175549021
O60664	PLIN3	2	14	14	14	0	13	0	0	1	0	945.84	46942.9600	0.02014870813
O60669	SLC16A7	2	0	0	0	0	0	0	0	0	0	0	52199.5950	0
O60684	KPNA6	2	3	3	3	0	3	0	0	0	0	202	60028.5950	0.003365062934
O60701	UGDH	2	2	2	2	0	2	0	0	0	0	122.02	55023.3850	0.00221760257
O60706	ABCC9	1	5	5	0	5	0	0	5	0	0	0	174220.8200	0
O60716	CTNND1	2	61	61	61	0	58	0	0	3	0	4546.84	108168.4850	0.04203479415
O60739	EIF1B	2	2	2	2	0	2	0	0	0	0	122.02	12692.2750	0.009613721732
O60749	SNX2	2	8	8	8	0	8	0	0	0	0	601.9	58470.1800	0.01029413626
O60763	USO1	2	4	4	4	0	4	0	0	0	0	281.98	107893.5450	0.00261350204
O60783	MRPS14	2	0	0	0	0	0	0	0	0	0	0	15138.4550	0
O60784	TOM1	2	11	11	11	0	10	0	0	1	0	743.84	53817.5950	0.01382150206
O60814	H2BC12	2	96	96	83	13	91	0	1	4	0	7015.22	13758.7800	0.5098722416
O60825	PFKFB2	2	8	8	8	0	8	0	0	0	0	601.9	58344.9050	0.01031623927
O60826	CCDC22	2	1	1	1	0	1	0	0	0	0	79.98	70754.2400	0.00113039162
O60832	DKC1	2	20	20	20	0	10	0	0	10	0	581.66	57542.1900	0.01010840915
O60841	EIF5B	2	25	25	25	0	25	0	0	0	0	1999.5	138825.2050	0.01440300412
O60869	EDF1	2	3	3	3	0	3	0	0	0	0	136.05	16237.2400	0.008378887052
O60879	DIAPH2	2	1	1	1	0	1	0	0	0	0	42.04	125567.3800	0.0003348003279
O60884	DNAJA2	2	10	10	10	0	8	1	0	1	0	684.35	45408.8600	0.01507084741
O60888	CUTA	2	0	0	0	0	0	0	0	0	0	0	15952.2300	0
O60925	PFDN1	2	1	1	1	0	1	0	0	0	0	42.04	14079.0500	0.002985996925
O60936	NOL3	2	2	2	2	0	1	1	0	0	0	290.34	22497.9100	0.01290519875
O75027	ABCB7	2	5	5	5	0	5	0	0	0	0	324.02	80113.1450	0.004044529771
O75052	NOS1AP	1	8	8	8	0	8	0	0	0	0	639.84	56148.8250	0.01139542991
