# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T07:18:36Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# v = the entry's published mass share (mass_share, D105), summed over its rows (D47) plus its split of shared rows (D48); as a fraction of the listing (not renormalised).
# sd / n: share_columns -> sd over the replicates of v (the replicate sums, D53a), n = replicates; replicate_columns (log10 runs) -> sd of 10^run in linear space, n = runs present.
# w_<pool> = v / sum over the pool's entries (D31 within pool: the listing renormalised after the contaminant rule removed its rows); _low/_high = (v -/+ sd) over the same denominator, _high plus the whole of every shared row (B5, D48).
# v_<pool>_rep<k> = the entry's share in replicate k (the per-donor sensitivity's input); cv_percent_published = the dataset's own CV column, carried for the first row of the entry.
# match_rule: single | summed:n | shared_split | none (no dataset row, or every row zero-weighted; w = 0).
accession	gene	tier	mw_master	match_rule_erythrocytes	n_rows_erythrocytes	rows_erythrocytes	v_erythrocytes	sd_erythrocytes	n_erythrocytes	published_share_erythrocytes	shared_row_value_erythrocytes	w_erythrocytes	w_erythrocytes_low	w_erythrocytes_high	v_erythrocytes_rep1	v_erythrocytes_rep2	v_erythrocytes_rep3	v_erythrocytes_rep4	match_rule_plasma	n_rows_plasma	rows_plasma	v_plasma	sd_plasma	n_plasma	published_share_plasma	shared_row_value_plasma	w_plasma	w_plasma_low	w_plasma_high	cv_percent_published_plasma
A5D8V6	VPS37C	erythrocytes	38658.3500	single	1	2545	4.8320375e-06	8.591744932e-07	4	4.8320375e-06	0	4.873774013e-06	4.007178437e-06	5.740369588e-06	4.744939599e-06	3.81242218e-06	4.858642787e-06	5.912145431e-06												
A5LHX3	PSMB11	erythrocytes	27232.0000	single	1	1765	6.461248361e-07	8.582486915e-07	4	6.461248361e-07	0	6.517057112e-07	0	1.517367488e-06	4.07821709e-07	0	2.6846067e-07	1.908216965e-06												
A5PL33	KRABD3	erythrocytes	107495.8250	single	1	1201	0	0	4	0	0	0	0	0	0	0	0	0												
A5YM69	ARHGEF35	erythrocytes	53285.9050	single	1	195	0	0	4	0	0	0	0	0	0	0	0	0												
A6BM72	MEGF11	erythrocytes	108864.8100	single	1	2636	0	0	4	0	0	0	0	0	0	0	0	0												
A6NCL7	ANKRD33B	erythrocytes	53974.3050	single	1	138	0	0	4	0	0	0	0	0	0	0	0	0												
A6ND91	ASPDH	erythrocytes	29945.7400	single	1	221	2.1057065e-06	1.598960538e-06	4	2.1057065e-06	0	2.123894448e-06	5.111229582e-07	3.736665938e-06	0	3.095468188e-06	3.567484728e-06	1.759873083e-06												
A6NDG6	PGP	erythrocytes	34005.6300	single	1	1603	2.783493045e-05	1.160196103e-05	4	2.783493045e-05	0	2.807535345e-05	1.637318099e-05	3.977752591e-05	1.928112665e-05	4.296895869e-05	3.086781009e-05	1.822182637e-05												
A6NEM1	GOLGA6L9	erythrocytes	49191.9350	single	1	943	2.122527013e-06	1.660652496e-06	4	2.122527013e-06	0	2.140860248e-06	4.658639383e-07	3.815856557e-06	0	3.764310405e-06	3.05469695e-06	1.671100698e-06												
A6NFX1	MFSD2B	erythrocytes	53742.2450	single	1	1351	1.358207933e-05	2.15474158e-05	4	1.358207933e-05	0	1.369939395e-05	0	3.543292461e-05	0	4.526086923e-05	0	9.067448091e-06												
A6NKB5	PCNX2	erythrocytes	237273.0800	single	1	2637	0	0	4	0	0	0	0	0	0	0	0	0												
A6NLC8	TAF11L2	erythrocytes	21961.8650	single	1	2638	3.837961304e-06	2.195529707e-06	4	3.837961304e-06	0	3.871111527e-06	1.656618028e-06	6.085605026e-06	9.378814995e-07	3.696518521e-06	6.19692106e-06	4.520524134e-06												
A6NNT2	C16orf96	erythrocytes	125039.2500	single	1	324	0	0	4	0	0	0	0	0	0	0	0	0												
A8MVS5	HIDE1	erythrocytes	22814.4500	single	1	1028	0	0	4	0	0	0	0	0	0	0	0	0												
B2RUZ4	SMIM1	erythrocytes	8749.0150	single	1	2173	0.0001408577499	5.710257541e-05	4	0.0001408577499	0	0.0001420744026	8.447860618e-05	0.000199670199	0.0001195030034	0.0002113598444	0.0001559565533	7.661159857e-05												
B5MCY1	TDRD15	erythrocytes	221718.9250	single	1	2302	1.725525991e-07	3.451051983e-07	4	1.725525991e-07	0	1.740430147e-07	0	5.221290441e-07	0	0	0	6.902103966e-07												
B7ZAQ6	GPHRA	erythrocytes	52916.1700	single	1	955	0	0	4	0	0	0	0	0	0	0	0	0												
B9A064	IGLL5	plasma	19278.4600																single	1	210	3.94212145e+10	2275657463	15	0.009749132221	0	0.009784012508	0.009219213545	0.01034881147	5.8
C9J7I0	UMAD1	erythrocytes	15199.5700	single	1	2483	0	0	4	0	0	0	0	0	0	0	0	0												
E9PAV3	NACA	erythrocytes	205418.4350	single	1	1423	1.260140869e-05	4.196487646e-06	4	1.260140869e-05	0	1.271025281e-05	8.477518186e-06	1.694298744e-05	1.64430632e-05	8.184862718e-06	9.855532166e-06	1.592217669e-05												
F5H284	PPIAL4D	erythrocytes	18166.5650	single	1	1674	0	0	4	0	0	0	0	0	0	0	0	0												
O00148	DDX39A	erythrocytes	48997.6850	summed:2	2	606;607	1.428717671e-05	1.077909108e-05	4	1.428717671e-05	0	1.441058157e-05	3.538386561e-06	2.528277659e-05	2.631283511e-05	1.680424174e-07	1.42364904e-05	1.64313389e-05												
O00154	ACOT7	erythrocytes	41795.5950	single	1	35	2.537183467e-05	2.085927065e-05	4	2.537183467e-05	0	2.559098278e-05	4.551541089e-06	4.663042447e-05	1.816124869e-06	4.349004876e-05	4.23629893e-05	1.381817574e-05												
O00159	MYO1C	erythrocytes	121679.8600	single	1	1417	1.788111584e-06	2.618240538e-07	4	1.788111584e-06	0	1.80355632e-06	1.539470773e-06	2.067641868e-06	2.058419304e-06	1.582812321e-06	1.545454549e-06	1.965760163e-06												
O00161	SNAP23	erythrocytes	23353.7500	summed:2	2	2180;2181	2.319578737e-05	1.712290111e-05	4	2.319578737e-05	0	2.339613998e-05	6.125340552e-06	4.06669394e-05	6.714465243e-06	1.926612871e-05	4.726130956e-05	1.954124598e-05												
O00178	GTPBP1	erythrocytes	72452.9400	single	1	979	2.217125785e-06	1.800894035e-06	4	2.217125785e-06	0	2.236276112e-06	4.198269334e-07	4.052725291e-06	4.89737616e-06	1.504463808e-06	1.459524815e-06	1.007138356e-06												
O00182	LGALS9	erythrocytes	39517.6400	single	1	1268	9.281599401e-06	9.917093923e-06	4	9.281599401e-06	0	9.361768812e-06	0	1.93645212e-05	2.328575398e-05	5.231206906e-06	8.365847564e-06	2.435891524e-07												
O00186	STXBP3	erythrocytes	67763.4050	single	1	2256	6.809451551e-06	5.695373034e-06	4	6.809451551e-06	0	6.868267892e-06	1.123701322e-06	1.261283446e-05	1.473930831e-05	1.987437477e-06	7.037106885e-06	3.473953531e-06												
O00187	MASP2	plasma	74159.5000																single	1	242	19714011.25	6650967.786	15	4.875407942e-06	0	4.892851098e-06	3.242137064e-06	6.543565132e-06	32.4
O00203	AP3B1	erythrocytes	121318.4050	single	1	165	0	0	4	0	0	0	0	0	0	0	0	0												
O00214	LGALS8	erythrocytes	35807.6400	single	1	1267	1.097340486e-06	1.18838512e-06	4	1.097340486e-06	0	1.106818717e-06	0	2.305468462e-06	2.724032154e-06	0	4.816739279e-07	1.183655864e-06												
O00231	PSMD11	erythrocytes	47331.7200	single	1	1782	0.0001667584587	4.266286002e-05	4	0.0001667584587	0	0.0001681988277	0.000125167469	0.0002112301863	0.0001300178155	0.0002228347474	0.0001373548783	0.0001768263938												
O00232	PSMD12	erythrocytes	52772.4800	single	1	1783	0.0001193466135	2.22333178e-05	4	0.0001193466135	0	0.0001203774647	9.795210754e-05	0.0001428028218	8.804244779e-05	0.0001308017731	0.0001199223661	0.0001386198669												
O00233	PSMD9	erythrocytes	24681.4500	single	1	1795	0.0003243702581	1.819800448e-05	4	0.0003243702581	0	0.000327171992	0.0003088168031	0.000345527181	0.0003179304325	0.0003027355851	0.0003451113473	0.0003317036674												
O00264	PGRMC1	erythrocytes	21670.8300	single	1	1604	1.070422913e-06	1.265481188e-06	4	1.070422913e-06	0	1.079668645e-06	0	2.356080371e-06	2.473341735e-06	1.808349918e-06	0	0												
O00299	CLIC1	erythrocytes	26791.2150	single	1	465	0.0001595527229	4.264020192e-05	4	0.0001595527229	0	0.0001609308526	0.0001179223478	0.0002039393574	0.0001282653118	0.000130819978	0.0001591582109	0.0002199673908												
O00303	EIF3F	erythrocytes	37432.1050	single	1	722	7.006687847e-06	1.124288572e-05	4	7.006687847e-06	0	7.067207808e-06	0	1.840720347e-05	2.385851372e-05	1.980489217e-06	1.231715459e-06	9.560329906e-07												
O00370		erythrocytes	149009.3700	single	1	2640	0	0	4	0	0	0	0	0	0	0	0	0												
O00391	QSOX1	plasma	79576.8350																single	1	302	53484999.98	12249948.23	15	1.322720122e-05	0	1.327452529e-05	1.02341916e-05	1.631485898e-05	22.3
O00399	DCTN6	erythrocytes	20746.8350	single	1	595	2.045844204e-06	8.760199634e-07	4	2.045844204e-06	0	2.063515094e-06	1.179928546e-06	2.947101641e-06	1.389442871e-06	2.022743034e-06	3.291126992e-06	1.480063918e-06												
O00410	IPO5	erythrocytes	123496.8250	summed:2	2	1126;1127	0.0001430641802	2.851448696e-05	4	0.0001430641802	0	0.0001442998908	0.0001155391112	0.0001730606704	0.0001185043577	0.0001608797149	0.0001190875851	0.0001737850629												
O00421	CCRL2	erythrocytes	39512.8350	single	1	398	3.706074912e-07	2.552013068e-07	4	3.706074912e-07	0	3.738085972e-07	1.164030002e-07	6.312141942e-07	0	5.827622494e-07	4.345052443e-07	4.651624711e-07												
O00442	RTCA	erythrocytes	39336.3050	single	1	2026	3.426849042e-05	1.326034242e-05	4	3.426849042e-05	0	3.456448301e-05	2.118960496e-05	4.793936106e-05	2.205959051e-05	5.121851953e-05	3.821892915e-05	2.557692248e-05												
O00487	PSMD14	erythrocytes	34576.6350	single	1	1785	0.0001042626111	1.934820328e-05	4	0.0001042626111	0	0.0001051631749	8.564785232e-05	0.0001246784974	7.566113115e-05	0.0001153951949	0.0001167718881	0.0001092222303												
O00505	KPNA3	erythrocytes	57678.8250	single	1	1193	8.709266052e-07	1.2323701e-06	4	8.709266052e-07	0	8.784491958e-07	0	2.121463839e-06	0	0	2.614250936e-06	8.694554843e-07												
O00507	USP9Y	erythrocytes	291072.3700	single	1	2512	2.321505329e-06	4.643010658e-06	4	2.321505329e-06	0	2.34155723e-06	0	7.02467169e-06	9.286021315e-06	0	0	0												
O00533	CHL1	plasma	132321.2450																single	1	252	7024606.48	1719140.968	12	1.73723256e-06	0	1.743448002e-06	1.316771733e-06	2.170124272e-06	22.6
O00559	EBAG9	erythrocytes	24377.1200	single	1	685	3.861364621e-07	2.746851261e-07	4	3.861364621e-07	0	3.894716989e-07	1.124139921e-07	6.665294058e-07	3.376525485e-07	7.125725366e-07	4.456746794e-07	4.864608369e-08												
O00560	SDCBP	erythrocytes	32312.7100	single	1	2060	0	0	4	0	0	0	0	0	0	0	0	0												
O00571	DDX3X	erythrocytes	73111.2400	single	1	609	8.775453668e-07	8.769422838e-07	4	8.775453668e-07	0	8.851251267e-07	6.082921144e-10	1.769641961e-06	1.783445985e-06	2.650620097e-07	0	1.461673473e-06												
O00629	KPNA4	erythrocytes	57754.6050	single	1	1194	1.912563686e-05	4.741099855e-06	4	1.912563686e-05	0	1.929083372e-05	1.450878282e-05	2.407288461e-05	2.230244538e-05	1.348155966e-05	2.370909629e-05	1.700944611e-05												
O00743	PPP6C	erythrocytes	35143.8400	single	1	1702	4.715538572e-05	2.572491591e-05	4	4.715538572e-05	0	4.756268831e-05	2.161557456e-05	7.350980206e-05	6.037220564e-05	2.884806862e-05	2.26588599e-05	7.674240872e-05												
O00762	UBE2C	erythrocytes	19520.8150	single	1	2450	0	0	4	0	0	0	0	0	0	0	0	0												
O00763	ACACB	erythrocytes	276536.9050	single	1	28	2.85257137e-07	5.386640999e-07	4	2.85257137e-07	0	2.87721033e-07	0	8.310378207e-07	1.093064834e-06	2.062142529e-08	0	2.734228895e-08												
O00764	PDXK	erythrocytes	35101.8450	single	1	1577	1.126829775e-05	8.833237635e-06	4	1.126829775e-05	0	1.136562718e-05	2.456092837e-06	2.027516152e-05	7.810813063e-06	2.43712466e-05	7.845441192e-06	5.045690135e-06												
O14523	C2CD2L	erythrocytes	76180.0150	single	1	332	3.262842139e-05	5.028083493e-05	4	3.262842139e-05	0	3.291024796e-05	0	8.36253814e-05	0.0001078532142	1.20233208e-05	7.497115221e-06	3.140035345e-06												
O14556	GAPDHS	erythrocytes	44500.6550	single	1	888	0	0	4	0	0	0	0	0	0	0	0	0												
O14562	UBFD1	erythrocytes	33381.5100	single	1	2467	8.017684985e-08	1.603536997e-07	4	8.017684985e-08	0	8.086937389e-08	0	2.426081217e-07	0	0	0	3.207073994e-07												
O14569	CYB561D2	erythrocytes	23842.0100	single	1	566	2.256509358e-06	4.513018717e-06	4	2.256509358e-06	0	2.27599986e-06	0	6.827999579e-06	9.026037433e-06	0	0	0												
O14618	CCS	erythrocytes	29040.2250	single	1	399	0.0002135633527	3.530483401e-05	4	0.0002135633527	0	0.0002154079969	0.0001797982189	0.0002510177749	0.0002466263218	0.00018508142	0.0001810700155	0.0002414756536												
O14653	GOSR2	erythrocytes	24774.9750	single	1	948	2.030833343e-07	4.061666686e-07	4	2.030833343e-07	0	2.048374577e-07	0	6.145123732e-07	0	0	8.123333372e-07	0												
O14656	TOR1A	erythrocytes	35776.6350	single	1	2378	1.722349426e-06	1.454845606e-06	4	1.722349426e-06	0	1.737226144e-06	2.698143733e-07	3.204637915e-06	2.616289642e-06	0	3.195085949e-06	1.078022113e-06												
O14662	STX16	erythrocytes	37030.5600	single	1	2247	7.10675147e-07	9.755237028e-07	4	7.10675147e-07	0	7.168135726e-07	0	1.700763319e-06	0	2.067377703e-06	0	7.75322885e-07												
O14735	CDIPT	erythrocytes	23538.4200	single	1	434	2.009194807e-07	4.018389614e-07	4	2.009194807e-07	0	2.026549139e-07	0	6.079647418e-07	0	0	0	8.036779227e-07												
O14737	PDCD5	erythrocytes	14153.6450	single	1	1568	1.069948122e-05	3.433868664e-06	4	1.069948122e-05	0	1.079189752e-05	7.328368967e-06	1.425542608e-05	9.207949245e-06	1.584364565e-05	8.782597921e-06	8.963732063e-06												
O14744	PRMT5	erythrocytes	72682.7900	single	1	1730	0.0001646551014	1.399037525e-05	4	0.0001646551014	0	0.0001660773026	0.0001519660861	0.0001801885192	0.0001770196079	0.0001719637243	0.0001644978651	0.0001451392082												
O14745	NHERF1	erythrocytes	38736.6700	single	1	2163	7.920841085e-07	5.44198397e-07	4	7.920841085e-07	0	7.989257004e-07	2.500268135e-07	1.347824587e-06	0	1.055574386e-06	8.95251254e-07	1.217510794e-06												
O14787	TNPO2	erythrocytes	101386.5400	single	1	2373	1.9058368e-07	2.489761755e-07	4	1.9058368e-07	0	1.922298383e-07	0	4.433565346e-07	2.385510016e-07	0	5.237837186e-07	0												
O14791	APOL1	plasma	41128.0400																single	1	32	1559900869	103456753.3	15	0.0003857740056	0	0.0003871542216	0.0003614771292	0.000412831314	6.6
O14818	PSMA7	erythrocytes	27886.5050	summed:2	2	1761;1762	0.0003794719673	7.567568357e-05	4	0.0003794719673	0	0.0003827496399	0.0003064203109	0.0004590789689	0.000292714483	0.0004774007526	0.0003746347136	0.0003731379202												
O14828	SCAMP3	erythrocytes	38286.3500	single	1	2050	0	0	4	0	0	0	0	0	0	0	0	0												
O14880	MGST3	erythrocytes	16516.1150	single	1	1354	0	0	4	0	0	0	0	0	0	0	0	0												
O14950	MYL12B	erythrocytes	19778.9150	single	1	1412	1.359060652e-05	7.449245708e-06	4	1.359060652e-05	0	1.370799479e-05	6.19440655e-06	2.122158304e-05	1.972695306e-05	3.951963059e-06	1.148283374e-05	1.920067623e-05												
O14960	LECT2	erythrocytes	14586.5800	single	1	1262	0	0	4	0	0	0	0	0	0	0	0	0												
O14964	HGS	erythrocytes	86190.5800	single	1	1027	3.974767098e-05	1.03247155e-05	4	3.974767098e-05	0	4.009098976e-05	2.967709498e-05	5.050488454e-05	2.973668395e-05	4.326858983e-05	5.263951873e-05	3.334589143e-05												
O14975	SLC27A2	erythrocytes	70311.4250	single	1	2136	2.737906232e-06	2.081370172e-06	4	2.737906232e-06	0	2.761554778e-06	6.622068616e-07	4.860902694e-06	1.314702531e-06	5.79990346e-06	2.273578097e-06	1.563440838e-06												
O14976	GAK	erythrocytes	143057.1850	single	1	877	3.62315721e-06	1.190345164e-06	4	3.62315721e-06	0	3.654452072e-06	2.453825354e-06	4.85507879e-06	5.005386217e-06	4.19867224e-06	2.859470451e-06	2.429099931e-06												
O14980	XPO1	erythrocytes	123384.0700	single	1	2585	0.0001626451559	2.968753606e-05	4	0.0001626451559	0	0.0001640499963	0.0001341060355	0.0001939939572	0.0001245008131	0.0001965932893	0.0001684700998	0.0001610164214												
O14983	ATP2A1	erythrocytes	110251.1500	single	1	244	1.366774685e-05	1.59040809e-05	4	1.366774685e-05	0	1.378580142e-05	0	2.982725312e-05	0	2.492819728e-05	0	2.974279012e-05												
O15020	SPTBN2	erythrocytes	271188.6800	single	1	2211	1.021221448e-06	2.042442895e-06	4	1.021221448e-06	0	1.030042203e-06	0	3.09012661e-06	4.08488579e-06	0	0	0												
O15067	PFAS	erythrocytes	144732.3450	single	1	1586	0.0002912626189	9.858606574e-05	4	0.0002912626189	0	0.000293778387	0.0001943407884	0.0003932159856	0.0004224748297	0.0002112799379	0.0002196504019	0.000311645306												
O15084	ANKRD28	erythrocytes	112964.0900	single	1	137	3.453920332e-05	5.139009165e-05	4	3.453920332e-05	0	3.483753418e-05	0	8.667150551e-05	0.0001112911541	8.107616714e-06	3.579697576e-06	1.517834486e-05												
O15127	SCAMP2	erythrocytes	36648.2900	single	1	2049	4.316816367e-07	5.204774221e-07	4	4.316816367e-07	0	4.354102681e-07	0	9.603832912e-07	1.046794594e-06	0	0	6.799319529e-07												
O15131	KPNA5	erythrocytes	60665.4200	single	1	1195	2.583036037e-08	3.064415078e-08	4	2.583036037e-08	0	2.605346898e-08	0	5.696230728e-08	0	0	6.027355603e-08	4.304788544e-08												
O15143	ARPC1B	erythrocytes	40818.0300	single	1	208	0	0	4	0	0	0	0	0	0	0	0	0												
O15144	ARPC2	erythrocytes	34332.5950	single	1	209	1.418718056e-06	7.827745065e-07	4	1.418718056e-06	0	1.430972172e-06	6.414364846e-07	2.220507859e-06	2.450101101e-06	5.978314365e-07	1.511519818e-06	1.11541987e-06												
O15145	ARPC3	erythrocytes	20415.2200	single	1	210	5.888658298e-06	6.223521297e-06	4	5.888658298e-06	0	5.939521327e-06	0	1.221679802e-05	6.550700188e-06	1.430813979e-05	2.695793216e-06	0												
O15155	BET1	erythrocytes	13289.2850	single	1	292	0	0	4	0	0	0	0	0	0	0	0	0												
O15162	PLSCR1	erythrocytes	35048.7050	single	1	1651	2.050624857e-05	5.575725633e-06	4	2.050624857e-05	0	2.06833704e-05	1.505948468e-05	2.630725612e-05	2.340898195e-05	2.517564181e-05	1.257479602e-05	2.08655745e-05												
O15165	LDLRAD4	erythrocytes	33899.6450	single	1	1261	7.781504224e-07	9.06300431e-07	4	7.781504224e-07	0	7.848716627e-07	0	1.699000224e-06	1.411267928e-06	1.701333762e-06	0	0												
O15173	PGRMC2	erythrocytes	23818.1400	single	1	1605	4.014042121e-06	7.595548098e-07	4	4.014042121e-06	0	4.048713235e-06	3.282597804e-06	4.814828667e-06	3.972974668e-06	4.679422322e-06	4.44062453e-06	2.963146966e-06												
O15195	VILL	erythrocytes	95905.9250	single	1	2532	0	0	4	0	0	0	0	0	0	0	0	0												
O15212	PFDN6	erythrocytes	14451.2150	single	1	1591	1.055724901e-05	1.019663504e-05	4	1.055724901e-05	0	1.064843679e-05	3.637287612e-07	2.093314481e-05	3.94675678e-06	2.575604154e-05	6.670986729e-06	5.855210983e-06												
O15226	NKRF	erythrocytes	77671.9250	single	1	1471	0	0	4	0	0	0	0	0	0	0	0	0												
O15243	LEPROT	erythrocytes	14253.5700	single	1	1264	3.209927783e-07	6.419855565e-07	4	3.209927783e-07	0	3.237653394e-07	0	9.712960182e-07	0	0	0	1.283971113e-06												
O15247	CLIC2	erythrocytes	28356.0400	single	1	466	7.503778959e-07	3.568539928e-07	4	7.503778959e-07	0	7.568592522e-07	3.969229486e-07	1.116795556e-06	3.425783045e-07	5.710862513e-07	1.118924368e-06	9.689226593e-07												
O15258	RER1	erythrocytes	22826.4700	single	1	1910	3.696690541e-06	5.798996617e-06	4	3.696690541e-06	0	3.728620544e-06	0	9.577705741e-06	1.237163316e-05	2.862975869e-07	1.330812119e-06	7.980192954e-07												
O15260	SURF4	erythrocytes	30262.3650	single	1	2262	4.11301353e-06	3.642211374e-06	4	4.11301353e-06	0	4.148539505e-06	4.748686894e-07	7.822210321e-06	8.343619094e-06	2.476989978e-06	5.631445049e-06	0												
O15269	SPTLC1	erythrocytes	52743.1900	single	1	2213	2.119917728e-07	2.022569155e-07	4	2.119917728e-07	0	2.138228425e-07	9.818941622e-09	4.178267433e-07	4.845909832e-07	0	2.102896945e-07	1.530864134e-07												
