# GENERATED by aggregate_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:23:42Z
# category    = blood
# weights     = config/blood/mass_fractions_per_entry.tsv sha256 d5d00d8c5fe238e919e7aba60d9baa73dba2ef04b437eba62d30d1461b57bcf2
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# mix         = config/blood/compartment_mix.ini sha256 2c6265a329b59fc9420a0089c784da983ee83aee1260b77b910a111eeee9e785 (reference male)
# profile[a] = 100 x sum_i w_i x mass fraction of a in entry i (D105 weights are mass shares); standard = f_plasma x plasma + (1 - f_plasma) x erythrocytes (D100)
# free convention; histidine: the thirty entries contributing most, with their weight in the profile, their own histidine content and their share of the profile's histidine
profile	accession	gene	weight_in_profile	histidine_g_per_100g_of_entry	contribution_g_per_100g	share_of_histidine	cumulative_share
standard	P01023	A2M	0.009240027878	3.236966767	0.02990966317	0.005527427451	0.8603304172
standard	P02647	APOA1	0.01060617233	2.784724549	0.02953526847	0.005458237788	0.8657886549
standard	P69892	HBG2	0.004724884972	5.836719119	0.02757782645	0.005096494538	0.8708851495
standard	P01857	IGHG1	0.006790422837	2.733579777	0.01856216255	0.003430363165	0.8743155126
standard	P02787	TF	0.005354969011	3.372482279	0.01805953809	0.003337476121	0.8776529888
standard	P60709	ACTB	0.005985899539	2.880628892	0.01724315516	0.003186605233	0.880839594
standard	Q13228	SELENBP1	0.004712700565	3.321387897	0.01565270662	0.002892683872	0.8837322779
standard	P04406	GAPDH	0.004179078179	3.701041707	0.01546694264	0.002858353932	0.8865906318
standard	P00441	SOD1	0.002301342271	6.693742925	0.01540459355	0.002846831566	0.8894374634
standard	P07738	BPGM	0.00405901109	3.59732664	0.01460158873	0.002698433008	0.8921358964
standard	P00738	HP	0.003634305226	4.008218542	0.01456708959	0.002692057428	0.8948279538
standard	P02671	FGA	0.004726252712	2.772875719	0.01310531139	0.002421914868	0.8972498687
standard	P02679	FGG	0.004011775188	3.039082027	0.01219211387	0.002253152251	0.8995030209
standard	P01024	C3	0.004483149457	2.025328778	0.009079851611	0.001677993522	0.9011810144
standard	P16452	EPB42	0.003835208289	2.25889809	0.008663344679	0.001601021346	0.9027820358
standard	P30041	PRDX6	0.005323144603	1.610398166	0.008572382305	0.00158421113	0.9043662469
