# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-18T05:09:41Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# per pool entry: intensity in the slow and fast sheets (joined by accession), slow/fast, the primary dataset's I/IIa, and their quotient; fast pools ~80/20 IIa/IIx per config
accession	gene	tier	intensity_slow	intensity_fast	slow_over_fast	primary_I_over_IIa	primary_over_source
O00151	PDLIM1	1	2349960000	5815780	404.0661786	28.97362085	0.07170513739
O00165	HAX1	2	284853800	733692600	0.3882467944	0.07282561825	0.1875755816
O00168	FXYD1	2	25348000	24782200	1.022830903	0.9948834528	0.9726763731
O00186	STXBP3	2	37438200	43270400	0.86521502	0.3894497765	0.4501190659
O00193	SMAP	2	127301800	85229800	1.493630162	1.35580857	0.9077270961
O00203	AP3B1	2	840040	630246	1.332876369	0	0
O00217	NDUFS8	2	2859120000	1973600000	1.44868261	1.130142538	0.7801174183
O00231	PSMD11	2	248980000	298326000	0.8345903475	0.6112499614	0.7323951963
O00232	PSMD12	2	208602000	169698000	1.229254322	0.5395196761	0.4388999626
O00233	PSMD9	2	57019200	59265200	0.9621025492	1.047438967	1.08869784
O00244	ATOX1	2	4109040	2076000	1.979306358	2.069072091	1.045352117
O00267	SUPT5H	2	21006220	10227040	2.053988251	nan	nan
O00291	HIP1	2	0	523322200	0	1.572558747	nan
O00299	CLIC1	2	99237400	85001200	1.167482341	64.00190157	54.82044507
O00303	EIF3F	2	137040000	170324000	0.8045842042	0.6940428187	0.8626105448
O00330	PDHX	2	1774640000	1418040000	1.251473865	1.121543161	0.8961778528
O00391	QSOX1	2	10370320	6452060	1.607288215	0.2034362565	0.1265711119
O00401	WASL	2	66216600	0	nan	1.172941432	nan
O00410	IPO5	2	430238000	633068000	0.6796078778	0.5978120469	0.8796426093
O00418	EEF2K	2	17262800	53852200	0.320558863	0.02338928322	0.07296408217
O00423	EML1	2	190458000	285728000	0.6665710046	0.5457225258	0.8187012668
O00429	DNM1L	2	445299000	341390400	1.30436884	1.273686894	0.9764775534
O00442	RTCA	2	95507200	77394200	1.234035625	0.2290622688	0.1856204667
O00461	GOLIM4	2	4914180	14308540	0.3434438454	7.275452222	21.1838189
O00468	AGRN	2	24831400	21617680	1.148661651	1.232015698	1.072566231
O00479	HMGN4	2	48586800	38267400	1.269665564	0.7251830337	0.5711606697
O00483	COXFA4	2	573064000	591354000	0.9690709795	1.702776669	1.757122755
O00487	PSMD14	2	116760000	228024000	0.512051363	0.6662630546	1.301164498
O00499	BIN1	1	1.15634e+10	1.6427e+10	0.7039264625	0.4885416094	0.6940236451
O00505	KPNA3	2	225996000	220664000	1.024163434	0.5218567273	0.5095443852
O00567	NOP56	2	7596640	8738640	0.8693160492	0.7549823846	0.8684785991
O00571	DDX3X	2	439466000	327286000	1.342758321	0.6584668186	0.4903837184
O00629	KPNA4	2	549326000	587932000	0.9343359436	0.6369413073	0.6817048104
O00754	MAN2B1	2	17607840	35447600	0.4967286925	0	0
O00757	FBP2	1	4917240000	1.212904e+10	0.4054104859	0.05346735283	0.1318844842
O00763	ACACB	2	110399400	75135320	1.469340917	0.9927866543	0.6756680105
O00764	PDXK	2	336966000	361696000	0.9316276652	3.597574739	3.861601446
O14521	SDHD	2	161810000	133780800	1.209515865	1.919485221	1.586986394
O14545	TRAFD1	2	2711400	5865600	0.4622545008	0.6163349646	1.33332388
O14558	HSPB6	2	2.66776e+10	1.043092e+10	2.557550053	1.425629887	0.5574201317
O14561	NDUFAB1	2	1340140000	1141282000	1.174240898	1.760273619	1.499073676
O14562	UBFD1	2	20968720	35504600	0.5905916416	0.04202751347	0.07116171396
O14579	COPE	2	81823200	103756000	0.7886117429	4.508697084	5.717258366
O14602	EIF1AY	2	57523900	79272000	0.7256521849	1.056269388	1.455613873
O14617	AP3D1	2	0	2694840	0	0.4785825314	nan
O14618	CCS	2	3612720	20859400	0.1731938598	0.1480650684	0.8549094553
O14639	ABLIM1	2	87191400	30553600	2.853719365	1.13548331	0.3978959261
O14732	IMPA2	2	283280000	428878000	0.6605141789	0.3037551215	0.4598767616
O14735	CDIPT	2	21892840	37997000	0.5761728558	0.5317886128	0.92296714
O14737	PDCD5	2	225906000	304952000	0.7407919935	0.6853134401	0.9251091348
O14744	PRMT5	2	225088000	294507000	0.7642874363	0.882427468	1.154575394
O14745	NHERF1	2	12295080	2833600	4.339031621	2.073585317	0.4778912667
O14818	PSMA7	2	1089046000	1114516000	0.9771470306	0.3817359627	0.3906637903
O14832	PHYH	2	31258800	10899440	2.86792716	1.398140614	0.4875091089
O14841	OPLAH	2	510946000	343254000	1.488536186	0.6635072176	0.4457447685
O14874	BCKDK	2	34525000	45692800	0.7555895021	2.248257952	2.975501837
O14880	MGST3	2	774630000	608262000	1.273513716	0.9958648405	0.7819820296
O14908	GIPC1	2	17475060	8833880	1.978186256	1.180005288	0.5965086882
O14925	TIMM23	2	4647670	3238280	1.435227961	0.5011264778	0.3491615908
O14949	UQCRQ	2	961098000	758774000	1.266645931	1.365904289	1.078363144
O14950	MYL12B	1	1176446000	881224000	1.335013572	5.106586751	3.825119727
O14958	CASQ2	1	1.174124e+10	1223978000	9.592688757	8.198527333	0.8546641656
O14964	HGS	2	2439720	6947120	0.3511843757	35.12538573	100.0197849
O14974	PPP1R12A	1	57885800	11645400	4.970700878	0.3926344991	0.07898976598
O14979	HNRNPDL	2	386204000	238210000	1.621275345	1.231889775	0.7598276127
O14980	XPO1	2	37426000	46941400	0.7972919427	1.733598751	2.174358799
O14983	ATP2A1	1	4800340000	6.27432e+10	0.07650773311	0.016291473	0.2129389061
O15027	SEC16A	2	38878780	8671680	4.483419591	0.5264139269	0.1174134868
O15031	PLXNB2	2	6622200	14874200	0.4452138602	1.37513554	3.088707838
O15042	U2SURP	2	1665364000	9288957000	0.1792842835	1.530295398	8.535580298
O15061	SYNM	1	1.19382602e+10	1.26300486e+10	0.9452267824	1.05018717	1.111042545
O15067	PFAS	2	31185400	25094720	1.242707629	0.9674156816	0.7784740825
O15075	DCLK1	2	3155780	697140	4.526752159	0.4665505878	0.1030651936
O15083	ERC2	2	143567400	49817000	2.881895738	0.1558339091	0.05407340281
O15143	ARPC1B	2	6646700	5278760	1.259140404	1.565536245	1.243337312
O15144	ARPC2	2	164950000	124044000	1.329770082	1.898970186	1.428043999
O15145	ARPC3	2	24433500	14784460	1.652647442	0.7533172974	0.4558245626
O15160	POLR1C	2	769540	2685980	0.2865025056	0	0
O15173	PGRMC2	2	70832200	216794200	0.3267255305	0.6727348875	2.059021487
O15198	SMAD9	2	5479190	6980290	0.7849516281	3.549201846	4.521554856
O15211	RGL2	2	45545600	10348600	4.401136386	0.2958630823	0.06722424765
O15212	PFDN6	2	117034800	62554600	1.870922362	0.7895368876	0.4220040893
O15230	LAMA5	2	332312000	230183000	1.443686111	0.4282170615	0.2966136879
O15239	NDUFA1	2	6812520	9531280	0.714753947	1.154432523	1.615146761
O15258	RER1	2	359320	8919820	0.0402833241	1.559316135	38.70872549
O15260	SURF4	2	29279180	71723600	0.4082223982	0.8109628807	1.986571252
O15269	SPTLC1	2	5474000	0	nan	0.2237868614	nan
O15270	SPTLC2	2	117246400	39007800	3.005716805	63.86027868	21.24627263
O15273	TCAP	1	3928240000	4038500000	0.9726977838	0.9768906348	1.004310538
O15294	OGT	2	52932260	1802460	29.36667665	0.5725244272	0.01949571734
O15357	INPPL1	2	8016600	3707800	2.162090728	8.585282872	3.970824518
O15371	EIF3D	2	123776600	117175200	1.05633786	1.370403397	1.297315423
O15372	EIF3H	2	106972600	109096800	0.9805292181	0.6164636162	0.628704994
O15382	BCAT2	2	320912000	243504200	1.317891026	1.36485009	1.035631978
O15400	STX7	2	2240960	6314000	0.3549192271	0.8177022602	2.303910855
O15427	SLC16A3	2	50958400	218735600	0.2329680217	0.3021261743	1.296856848
O15460	P4HA2	2	2789380	6364340	0.4382826813	0.4827560243	1.101471824
O15498	YKT6	2	50902800	126352000	0.402865012	0	0
O15511	ARPC5	2	5596900	15798200	0.3542745376	2.037192784	5.750322328
O15523	DDX3Y	2	4719400	5362400	0.880091004	0.415874112	0.4725353516
O43143	DHX15	2	35371800	6747560	5.242161611	0.7017338263	0.1338634476
O43169	CYB5B	2	587402000	547984000	1.071932757	1.425982509	1.330291009
O43175	PHGDH	2	15385880	3798460	4.050557331	0.6173361926	0.1524077163
O43181	NDUFS4	2	1598940000	1148308000	1.392431299	0.9821306955	0.7053351187
O43237	DYNC1LI2	2	843722000	25185800	33.49990868	0.1061999849	0.003170157444
O43240	KLK10	2	22130260	4052546	5.460828822	0.1275383885	0.02335513392
O43242	PSMD3	2	200150000	253288000	0.790207195	0.4149937159	0.5251707635
O43293	DAPK3	2	0	9993140	0	11.31605681	nan
O43294	TGFB1I1	2	17826380	8648820	2.061134351	0.2788987443	0.1353132289
O43324	EEF1E1	2	2174460	0	nan	0.6220154558	nan
O43374	RASA4	2	6710390	13109840	0.5118590311	0.7944620086	1.552110953
O43390	HNRNPR	2	69784000	68321000	1.021413621	0.7858263917	0.7693517842
O43396	TXNL1	2	151140000	202672000	0.7457369543	1.299274445	1.742269091
O43399	TPD52L2	2	141158000	126170000	1.118792106	0.5042881509	0.4507433939
O43402	EMC8	2	28820000	32763200	0.8796454559	0.8012629614	0.9108930832
O43414	ERI3	2	69067000	110767200	0.6235329592	1.079668825	1.73153449
O43447	PPIH	2	11546140	12369940	0.9334030723	1.322373825	1.416723241
O43464	HTRA2	2	154400000	303680000	0.5084299262	1.349773013	2.654786713
O43488	AKR7A2	2	453884000	360342000	1.259592276	0.7889733496	0.626372013
O43491	EPB41L2	2	51652600	44747600	1.154309952	1.596139272	1.382764889
O43548	TGM5	2	10002280	6646240	1.504953177	0.8560276327	0.5688068214
O43583	DENR	2	83348200	111953600	0.7444887882	1.040246584	1.397262928
O43598	DNPH1	2	541022000	1128154000	0.4795639602	0	0
O43615	TIMM44	2	143316000	83469200	1.716992615	1.558362001	0.9076113593
O43617	TRAPPC3	2	27870400	26968000	1.033461881	0	0
O43633	CHMP2A	2	10764800	2878060	3.740297284	1.250219717	0.3342567776
O43665	RGS10	2	100907600	57755800	1.747142278	0.9138927723	0.5230786202
O43674	NDUFB5	2	548770000	544888000	1.0071244	1.38683774	1.377027247
O43676	NDUFB3	2	468610000	299018000	1.567163181	1.229797152	0.7847282062
O43677	NDUFC1	2	23025800	10924400	2.107740471	1.228261748	0.5827386081
O43678	NDUFA2	2	1156682000	965496000	1.198018428	1.271890698	1.061662048
O43681	GET3	2	115637800	127100600	0.9098131716	0.6661667156	0.7322016612
O43707	ACTN4	1	7641300000	7770640000	0.9833552963	0.5527238636	0.5620795105
O43708	GSTZ1	2	155510000	74072600	2.099426779	0.9866947605	0.4699829356
O43716	GATC	2	12835600	0	nan	1.525159395	nan
O43719	HTATSF1	2	32250680	114330600	0.282082662	0.2312249017	0.8197061811
O43741	PRKAB2	2	152173800	113803800	1.337159216	0.7179799645	0.536944259
O43747	AP1G1	2	5260258	9840400	0.5345573351	2.362563475	4.419663373
O43760	SYNGR2	2	25363200	25963800	0.9768677929	1.265451906	1.295417779
O43765	SGTA	2	41852200	29646400	1.411712721	1.150532233	0.8149903419
O43768	ENSA	2	150792000	127285400	1.184676326	2.151776366	1.816341155
O43772	SLC25A20	2	225848000	122242200	1.847545283	2.101040258	1.137206367
O43776	NARS1	2	245778000	242778000	1.012356968	1.032737293	1.02013156
O43795	MYO1B	2	47465000	69625800	0.6817156859	4.125761944	6.052027304
O43809	NUDT21	2	6738940	1929840	3.491968246	1.106116895	0.3167602958
O43813	LANCL1	2	246822000	375842000	0.6567174504	0.5384576553	0.8199228678
O43815	STRN	2	6054420	33753200	0.179373215	12.00853866	66.94722319
O43819	SCO2	1	4533360	6862940	0.6605565545	1.36730319	2.069926005
O43826	SLC37A4	2	171295800	405370000	0.4225665441	0.4396979494	1.04054132
O43837	IDH3B	2	1015918000	937724000	1.083387009	1.221444937	1.127431774
O43847	NRDC	2	2101400	197154400	0.01065865129	2.686056303	252.007147
O43852	CALU	2	1053587800	825422620	1.276422253	0.9279313554	0.7269783596
O43920	NDUFS5	2	677222000	344276000	1.967090358	1.629288641	0.8282734113
O60220	TIMM8A	2	63953200	36254800	1.76399263	2.739823271	1.553194284
O60237	PPP1R12B	1	290302000	192118000	1.51106091	2.601285779	1.721496308
O60256	PRPSAP2	2	8031760	12170140	0.6599562536	0.5976541275	0.905596582
O60271	SPAG9	2	134225200	26998800	4.97152466	1.379190728	0.2774180603
O60307	MAST3	2	74401500	131621000	0.5652707395	2.573383309	4.552479245
O60313	OPA1	2	777428000	471350000	1.649364591	1.098444315	0.6659802939
O60343	TBC1D4	2	212528600	778193000	0.273105258	0.4314368728	1.579745758
O60437	PPL	2	9637492000	13198000	730.2236703	3.335776757	0.004568157528
O60488	ACSL4	2	0	44390200	0	0.7391638921	nan
O60493	SNX3	2	130416000	76895800	1.696009405	1.187610451	0.7002381283
O60504	SORBS3	2	27481200	34064000	0.8067519962	0	0
O60506	SYNCRIP	2	387186000	387394000	0.9994630789	0.8584896812	0.85895087
O60524	NEMF	2	101988800	100111000	1.01875718	1.420115686	1.393968764
O60610	DIAPH1	2	31775600	26723400	1.189055285	0.7274261282	0.6117681301
O60662	KLHL41	1	3.12898e+10	2.86162e+10	1.093429596	1.146938855	1.048937087
O60664	PLIN3	2	1006942000	724056000	1.3906963	0.9871537259	0.7098269594
O60684	KPNA6	2	6412880	928980	6.903141079	0.5919135219	0.08574553455
O60701	UGDH	2	38773200	31963080	1.21306207	2.166115477	1.785659226
O60716	CTNND1	2	44947000	146508400	0.3067878702	0.8234788103	2.684196118
O60749	SNX2	2	39444000	54473600	0.724093873	5.156109899	7.120775483
O60763	USO1	2	272270000	260344000	1.045808622	0.3974785563	0.3800681576
O60783	MRPS14	2	144300600	71357600	2.022217675	1.035548665	0.5120856561
O60784	TOM1	2	1147434000	771934000	1.486440551	1.558298977	1.048342617
O60814	H2BC12	2	688737142.9	487685714.3	1.412256137	0.9292136116	0.6579639397
O60825	PFKFB2	2	75448860	3632000	20.77336454	0.7506478109	0.03613510992
O60826	CCDC22	2	10779940	4281960	2.517524685	0.7713632851	0.3063975061
O60841	EIF5B	2	141510200	692016000	0.2044897806	0.626146486	3.061994023
O60869	EDF1	2	198618000	272552000	0.7287343333	0.4325892171	0.5936171762
O60879	DIAPH2	2	4675280	9502900	0.4919845521	2.031700348	4.129601915
O60884	DNAJA2	2	910672000	882362000	1.032084337	0.6024882768	0.5837587637
O60888	CUTA	2	385572000	636374000	0.6058889898	0.5014452092	0.8276189494
O60925	PFDN1	2	9649300	31338220	0.3079083624	0.44045079	1.43046063
O60936	NOL3	2	774206000	543276000	1.425069394	0.138042163	0.09686697614
O75027	ABCB7	2	12465200	4192600	2.973143157	0.9252057431	0.3111877546
O75083	WDR1	2	3473360000	3080320000	1.127597133	1.106908245	0.9816522346
O75112	LDB3	1	4.434516418e+10	4.8064425e+10	0.922619259	1.053284424	1.141624146
O75116	ROCK2	2	46445600	6040000	7.689668874	0.14388098	0.01871094612
O75122	CLASP2	2	26720180	21439720	1.246293328	0.8379580734	0.6723602335
O75128	COBL	2	17506460	76368000	0.2292381626	0.6173238008	2.692936437
O75131	CPNE3	2	342084000	271150000	1.261604278	1.017777487	0.8067327487
O75147	OBSL1	1	22061100	13471200	1.637649207	9.003707618	5.497946433
O75153	CLUH	2	24515800	46790600	0.5239471176	0.384940642	0.7346936916
O75155	CAND2	2	5326320000	1282608000	4.15272632	0.453556507	0.1092189738
O75165	DNAJC13	2	26355800	100610600	0.2619584815	2.041626328	7.79370195
O75170	PPP6R2	2	23517800	28783600	0.8170555455	2.014622083	2.465710066
O75190	DNAJB6	1	60883400	42067800	1.447268457	0.8288483866	0.5726984392
O75208	COQ9	2	7544880000	5794160000	1.302152512	0.875476094	0.6723299197
O75223	GGCT	2	477904000	216560000	2.206797192	1.233803007	0.5590921591
O75251	NDUFS7	2	171631800	315664000	0.5437167368	1.628208039	2.994588779
O75298	RTN2	1	4349100000	7216380000	0.6026705911	0.9903828751	1.643323716
O75306	NDUFS2	2	3140060000	2992760000	1.049218781	1.514201199	1.443170124
O75312	ZPR1	2	3978900	16444400	0.2419607891	0	0
O75323	NIPSNAP2	2	7617780000	5097400000	1.494444226	1.204766659	0.8061636813
O75339	CILP	2	188541200	136074000	1.385578435	0.9786896106	0.7063401
O75340	PDCD6	2	5413560	17301840	0.312889265	0.2862353002	0.9148134252
O75342	ALOX12B	2	37447600	110736400	0.3381688406	1.184307583	3.50211918
O75347	TBCA	2	144130000	186076000	0.7745759797	0.5905527169	0.7624206436
O75348	ATP6V1G1	2	52892400	27279320	1.938919299	0.4918071502	0.2536501393
O75367	MACROH2A1	2	48897600	49878800	0.9803283158	0.6932570465	0.7071682367
O75368	SH3BGRL	2	40796000	33992400	1.200150622	1.237140294	1.030820858
O75369	FLNB	1	237434000	130278200	1.822515202	1.094035346	0.6002887353
O75380	NDUFS6	2	887798000	736300000	1.205755806	1.192099294	0.9886738991
O75390	CS	2	9728900000	7414920000	1.312070798	1.371451313	1.045257097
O75391	SPAG7	2	40798780	4341340	9.397738947	2.578392557	0.2743630751
O75394	MRPL33	2	3497480	0	nan	1.107441606	nan
O75396	SEC22B	2	23958600	14402800	1.663468215	1.224276636	0.7359783763
O75410	TACC1	2	9295020	20844000	0.4459326425	0.9367912616	2.100746105
O75431	MTX2	2	691196000	616168000	1.121765493	1.362010736	1.214167084
O75436	VPS26A	2	75828000	126368800	0.6000531777	1.332721849	2.221006235
O75438	NDUFB1	2	178746800	123487200	1.447492534	0.9460697562	0.6535921493
O75439	PMPCB	2	76643600	101474200	0.7553013475	1.238885545	1.640253323
O75475	PSIP1	2	9564300	5077500	1.88366322	2.199259862	1.167544091
O75489	NDUFS3	2	6556200000	4794240000	1.367516019	1.06799154	0.7809718681
O75521	ECI2	2	974158000	359318000	2.711130531	1.874664648	0.6914697121
O75531	BANF1	2	686362000	1086240000	0.6318695684	0.3941136787	0.623726317
O75533	SF3B1	2	2026132	681620	2.97252428	1.882911031	0.6334384024
O75534	CSDE1	2	111135800	137450000	0.8085543834	0.6763725808	0.8365208261
O75556	SCGB2A1	2	487272000	99928200	4.876221127	0.05324772305	0.01091987456
O75569	PRKRA	2	64376200	45141800	1.426088459	1.380967075	0.9683600383
O75608	LYPLA1	2	352594000	314686000	1.120462938	0.6481966458	0.5785078863
O75635	SERPINB7	2	11337780	137315800	0.08256719183	2.311728915	27.99815355
O75643	SNRNP200	2	153044800	552638000	0.2769349918	0.2484974938	0.8973134531
O75663	TIPRL	2	100954600	103911800	0.9715412494	0.6264646375	0.6448152745
O75688	PPM1B	2	121897000	30613000	3.981870447	0.4572907231	0.1148431947
O75694	NUP155	2	4395140	5776400	0.760878748	0.6834147103	0.8981913506
O75718	CRTAP	2	12467400	114311800	0.1090648559	1.76316034	16.16616392
O75746	SLC25A12	2	3964040000	5965300000	0.6645164535	0.8371270713	1.259753715
O75781	PALM	2	52393840	8295220	6.316148336	0.6428003713	0.1017709428
O75821	EIF3G	2	130558600	99461400	1.312655965	0.8353259522	0.6363632014
O75822	EIF3J	2	303526000	259828000	1.168180489	0.3915166048	0.3351507825
O75828	CBR3	2	0	13219800	0	0	nan
O75832	PSMD10	2	133998000	218730000	0.6126182965	0.4993073318	0.8150382295
O75844	ZMPSTE24	2	2123760	856600	2.479290217	0.8959707093	0.3613819403
O75874	IDH1	2	505124000	370762000	1.362394204	0.2207606397	0.1620387396
O75880	SCO1	1	10863320	0	nan	1.606358314	nan
O75891	ALDH1L1	2	555678000	1370120000	0.4055688553	0.1616400661	0.3985514766
O75907	DGAT1	2	0	2746820	0	0.4222909454	nan
O75915	ARL6IP5	2	236466000	446774000	0.5292743087	0.8325861425	1.573071144
O75923	DYSF	2	1952460000	3341200000	0.584358913	0.7052647947	1.206903461
O75935	DCTN3	2	109814600	50361600	2.180522462	1.538168413	0.7054127806
O75947	ATP5PD	2	8370440000	6523600000	1.283101355	1.211028856	0.9438294578
O75953	DNAJB5	2	8461020	8873880	0.953474692	1.172306132	1.229509438
O75962	TRIO	2	0	65314920	0	1.115475468	nan
O75964	ATP5MG	2	748868000	546838000	1.369451282	1.263872685	0.9229044523
O76003	GLRX3	1	161534800	108744400	1.485453964	0.9359801669	0.6300970544
O76031	CLPX	2	6738380	0	nan	0.2292668804	nan
O76094	SRP72	2	54914000	51921600	1.057633047	5.572198188	5.268555295
O94760	DDAH1	2	383256000	851710000	0.4499841495	0.1780395912	0.3956574723
O94788	ALDH1A2	2	109601200	103102000	1.063036605	1.425952222	1.341395222
O94811	TPPP	2	16091600	41144800	0.3910968093	1.321355856	3.378590223
O94826	TOMM70	2	96872200	114394200	0.8468278986	2.269771846	2.680322472
O94855	SEC24D	2	7443900	3098600	2.402342994	0	0
O94874	UFL1	2	15406740	16873880	0.9130525996	0.5476859419	0.5998405153
O94901	SUN1	2	67358800	65043000	1.035604139	0.5463239326	0.5275412796
O94903	PLPBP	2	182216000	175026000	1.041079611	1.620110926	1.556183512
O94905	ERLIN2	2	523316000	392870000	1.332033497	0.7732429277	0.5804981102
O94919	ENDOD1	2	232762000	199614000	1.166060497	0.9191738566	0.7882728719
O94925	GLS	2	12151140	12400200	0.9799148401	0	0
O94929	ABLIM3	2	6331400	343520	18.43095016	0.3262195971	0.01769955397
O94973	AP2A2	2	495832000	688704000	0.7199493541	0.5133979715	0.7131028989
O94979	SEC31A	2	1488120000	1105526000	1.346074176	0.4399356848	0.3268287086
O94986	CEP152	2	331390000	256870000	1.290107837	0.967676756	0.7500743182
O95070	YIF1A	2	1749100	7667840	0.2281085677	0.6311690584	2.766967785
O95139	NDUFB6	2	323874000	219456000	1.475803806	1.44558188	0.9795217183
O95140	MFN2	2	53491000	67091600	0.7972831174	1.195418404	1.499365004
O95163	ELP1	2	0	22713400	0	0.4102607901	nan
O95167	NDUFA3	2	737906000	550152000	1.341276593	1.404797452	1.047358509
O95168	NDUFB4	2	264092000	293182800	0.9007758982	1.592431	1.767843703
O95169	NDUFB8	2	1081794000	855482000	1.264543263	1.443663726	1.141648347
O95178	NDUFB2	2	539200000	388768000	1.386945428	0.4023955172	0.2901307501
O95182	NDUFA7	2	1512842000	1133614000	1.334530096	1.558338079	1.16770546
O95183	VAMP5	2	31739000	31019000	1.02321158	0.6903527858	0.6746921158
O95197	RTN3	2	26789400	31704400	0.8449741992	2.36624215	2.800372074
O95202	LETM1	2	112295200	55052000	2.039802369	2.534811036	1.242674818
O95210	STBD1	2	965738000	1285584000	0.7512056777	0.8633673557	1.149308879
O95219	SNX4	2	10616600	4683800	2.26666382	0.8982198527	0.3962739621
O95292	VAPB	2	1028598000	1004784000	1.023700616	1.170026106	1.142937776
O95298	NDUFC2	2	543629000	428397000	1.268984143	1.255594752	0.9894487324
O95299	NDUFA10	2	1941320000	1500128000	1.294102903	1.58370696	1.223787502
O95336	PGLS	2	206250000	199598000	1.033326987	3.226803133	3.122731888
O95352	ATG7	2	89580600	42102400	2.127683933	1.398847576	0.6574508342
O95359	TACC2	2	75319200	60579000	1.243321943	0.3224991911	0.2593851036
O95372	LYPLA2	2	164900000	73323200	2.248947127	2.442282334	1.085966986
O95373	IPO7	2	65154400	131428600	0.4957398922	0.4378946734	0.8833153842
O95425	SVIL	1	876624000	642658000	1.364059889	0.8954146631	0.6564335412
