# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T05:33:10Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# source file 41467_2025_56896_MOESM12_ESM.xlsx sha256 6f98b206504ebd8a3846dfbab7e0a208cf74bcf17ce5010af308ac5e69d288ec
# per pool entry: mean and SD over participants of log2(slow) - log2(fast); slow_over_fast = 2^mean; quotients against the primary dataset's I/IIa and I/IIx
accession	gene	tier	primary_v_I	primary_v_IIa	primary_v_IIx	primary_I_over_IIa	primary_I_over_IIx	n_participants	log2_slow_minus_fast_mean	log2_slow_minus_fast_sd	slow_over_fast	primary_I_over_IIa_over_source	primary_I_over_IIx_over_source
Q03154	ACY1	2	2.665253401	14.37755251	10.8300271	0.1853760158	0.2460984978	5	-0.332801332	0.1108406192	0.7939932612	0.2334730341	0.3099503608
P14621	ACYP2	2	160.9778137	162.046936	363.6289673	0.9934023911	0.4426979922	5	-0.117047654	0.09736891799	0.9220726602	1.077358037	0.4801118299
P00813	ADA	2	10.12007523	11.34294605	9.92397213	0.8921910744	1.019760545	5	-0.1860509	0.1635929327	0.8790085479	1.01499704	1.160125857
P35611	ADD1	2	5.417325497	3.319410563	5.368942261	1.632014297	1.009011689	5	-0.028181968	0.3002844794	0.9806553055	1.66420789	1.028915749
Q9UEY8	ADD3	2	4.608875751	3.26849246	3.48136586	1.410092208	1.32386998	2	-0.798709351	0.2466968125	0.5748632258	2.452917747	2.302930368
P00325	ADH1B	2	21.7590065	12.52055931	42.42462921	1.73786218	0.5128861915	5	0.067883508	0.04919866756	1.048177836	1.657984095	0.4893121891
P00326	ADH1C	2	0	6.447361946	0	0	nan	5	0.1216352722	0.337439186	1.087967358	0	nan
P11766	ADH5	2	39.48571777	15.85489655	10.70860529	2.490443104	3.68728856	5	-0.173157276	0.08433008265	0.8868996142	2.808032685	4.157503849
Q8IWW8	ADHFE1	2	145.8374786	73.45492172	14.15295458	1.985401049	10.30438399	5	0.410897192	0.1573325492	1.329512362	1.493330265	7.75049882
Q15847	ADIRF	2	68.87653351	1018.454407	1572.221333	0.06762848985	0.04380842066	5	-0.135882604	0.1413084215	0.9101128794	0.07430780443	0.04813515076
P55263	ADK	2	2.068945825	4.392512083	43.89857531	0.4710165359	0.04713013602	5	0.04753559	0.05671902834	1.033497995	0.4557498303	0.04560254228
Q8NDY3	ADPRHL1	1	66.91449165	140.6713028	295.7315979	0.4756797607	0.2262676431	5	-0.410800384	0.08140592481	0.7522059462	0.6323796869	0.3008054433
P30566	ADSL	2	6.479984283	106.352478	95.89929962	0.0609293211	0.06757071542	5	-0.589136638	0.1356062577	0.6647405934	0.09165879398	0.1016497504
Q9Y4W6	AFG3L2	2	113.8510437	117.4788513	98.23261261	0.9691194834	1.158994357	5	0.158633426	0.06446299208	1.116229304	0.8682082439	1.038312069
P43652	AFM	2	2.412028313	1.277894676	0	1.887501653	nan	5	0.034609244	0.1901855648	1.024279358	1.842760608	nan
Q53H12	AGK	2	3.509903073	12.45710754	5.657280684	0.281759073	0.6204222964	5	0.094926546	0.1633810775	1.068011029	0.2638166322	0.580913754
P35573	AGL	2	482.4428101	1055.257324	1247.408691	0.4571802526	0.3867560114	5	-0.639052914	0.1455602001	0.6421343524	0.7119697785	0.6022976499
Q9BSE5	AGMAT	2	21.59171486	50.26823425	454.1499939	0.429530004	0.04754313586	5	-0.188686626	0.4741963003	0.8774041128	0.4895463763	0.05418613289
Q9UKV8	AGO2	2	3.326527953	2.197159886	4.435760975	1.514012691	0.749933996	5	-0.017872636	0.1105798164	0.9876880527	1.532885497	0.7592822389
Q9NRZ7	AGPAT3	2	10.23768997	7.444507599	6.366058826	1.375200419	1.608167667	5	0.279122092	0.1587816724	1.213456248	1.133292133	1.325278657
O00116	AGPS	2	1.560892463	2.194048166	1.320310771	0.711421238	1.182215957	5	0.21322655	0.1356562713	1.159277982	0.6136761408	1.019786432
O00468	AGRN	2	3.549154997	2.880770922	5.844491482	1.232015698	0.607264979	5	0.1918519314	0.1498268096	1.14222901	1.078606555	0.5316490595
P23526	AHCY	2	11.91660833	45.75720215	59.90439796	0.2604313152	0.1989271028	5	0.155773898	0.01377013875	1.114019046	0.2337763579	0.1785670573
Q96HN2	AHCYL2	2	4.34057498	6.668061256	20.78286552	0.6509500757	0.2088535373	5	0.050557034	0.07798886477	1.035664724	0.6285335987	0.2016613413
Q09666	AHNAK	1	17.67440033	23.21390343	25.88326454	0.7613713215	0.6828505076	5	0.04020466	0.04985263064	1.028259685	0.7404465359	0.6640837113
O95433	AHSA1	2	168.7857083	48.43383974	0	3.484871512	nan	5	-0.3598731	0.07400518547	0.7792331183	4.472180956	nan
P02765	AHSG	2	9.281373978	9.343265533	0	0.9933758111	nan	5	0.079435754	0.1856969405	1.056604716	0.9401584114	nan
Q9NZD4	AHSP	2	74.69217491	134.9505615	92.52693939	0.5534780594	0.8072478718	5	0.148231232	0.1512802546	1.108209955	0.4994342966	0.7284250318
O95831	AIFM1	2	689.3453979	699.4983521	480.6968689	0.9854853781	1.434054271	5	-0.014917144	0.120423062	0.9897134954	0.9957279381	1.448958994
Q12904	AIMP1	2	11.57441807	43.64760208	9.799865246	0.2651787845	1.181079309	5	0.038555122	0.04142694276	1.027084673	0.2581859039	1.14993373
Q13155	AIMP2	2	8.414493799	5.425092697	7.731472492	1.551032262	1.088342978	5	-0.066664096	0.1014853572	0.9548433053	1.624384078	1.139813174
P00568	AK1	2	121.1071548	996.1948853	1240.132202	0.1215697417	0.09765664873	5	-1.304881276	0.1718656948	0.4047544154	0.300354331	0.2412738318
P54819	AK2	2	498.3239746	527.8253174	298.1322937	0.9441077535	1.671486066	5	-0.022445036	0.1501358519	0.9845626826	0.9589107632	1.697693905
P27144	AK4	2	2.148410559	0.9911119938	3.108743668	2.167676884	0.6910864286	5	-0.346412284	0.0710608351	0.7865376416	2.755973484	0.878643808
Q92667	AKAP1	2	13.28183079	12.42265511	5.349430561	1.069162001	2.482849461	5	0.274672916	0.2124091472	1.209719794	0.883809628	2.052416993
Q02952	AKAP12	2	0.9965283573	1.65205574	8.755828381	0.603205045	0.1138131441	5	-0.661303498	0.3093449115	0.6323067396	0.9539753529	0.1799967278
Q12802	AKAP13	2	32.96454144	10.48190594	7.90860796	3.144899566	4.168185046	5	2.519679478	1.22797815	5.734546812	0.5484129207	0.7268551784
P14550	AKR1A1	2	5.341173649	30.26721382	13.2255764	0.1764673049	0.4038518615	5	-0.210572758	0.1065470856	0.8641940733	0.2041986983	0.4673161666
P15121	AKR1B1	2	28.34819031	96.1340332	31.33659172	0.294881941	0.9046354039	5	-0.256845776	0.1028022602	0.8369157041	0.3523436584	1.080915795
P52895	AKR1C2	2	14.90307665	15.44290733	9.164382935	0.965043455	1.626195321	5	0.570008586	0.2640402646	1.484532406	0.6500656041	1.09542595
O43488	AKR7A2	2	16.27693939	20.63053131	23.46735287	0.7889733496	0.6935992945	5	0.356447436	0.1054809187	1.280269414	0.6162557202	0.5417604194
Q96B36	AKT1S1	2	0	117.627739	241.2787399	0	0	5	0.316037952	0.7980686418	1.244906984	0	0
P31751	AKT2	2	15.25211143	21.7123642	6.995833397	0.7024620302	2.180170763	4	-0.3879731503	0.278633034	0.7642024827	0.9192093014	2.852870558
P13716	ALAD	2	2.604906797	11.67295456	8.908470154	0.2231574521	0.2924078717	5	-0.174268064	0.08157792337	0.8862170179	0.251809035	0.3299506394
P00352	ALDH1A1	2	22.07994843	36.14148521	32.40501881	0.610930854	0.6813743438	5	0.616410054	0.2356531373	1.533055635	0.3985053379	0.4444550662
O94788	ALDH1A2	2	10.83386421	7.597634792	22.36886215	1.425952222	0.4843279081	5	0.170053188	0.1563638328	1.125099963	1.26740047	0.4304754457
P30837	ALDH1B1	2	158.2578583	151.3358612	73.97685242	1.045739305	2.139288887	5	-0.25926712	0.2082970293	0.8355122466	1.251614574	2.560451861
O75891	ALDH1L1	2	3.276667118	20.27137947	24.97822666	0.1616400661	0.1311809346	5	-0.932998868	0.1909396519	0.5237684745	0.3086097655	0.2504559571
P05091	ALDH2	2	493.1157532	261.690155	175.5547028	1.884349654	2.808900846	5	0.667524638	0.2200772774	1.588345361	1.186360159	1.768444644
P51648	ALDH3A2	2	68.70245361	96.06302643	83.67279816	0.715181024	0.8210846909	5	-0.006502938	0.08797616243	0.9955026504	0.7184119739	0.8247940783
P30038	ALDH4A1	2	558.1800537	292.8092957	285.7511597	1.906292123	1.953378087	5	0.43713184	0.07883127624	1.35391	1.407990282	1.442768048
P51649	ALDH5A1	2	328.9889526	215.7519226	291.4756775	1.524848301	1.128701219	5	0.784909592	0.1787559156	1.722984343	0.8850041539	0.6550850121
Q02252	ALDH6A1	2	73.37859344	45.49250412	14.45475006	1.61298207	5.076434607	5	0.26272781	0.1016346716	1.199745008	1.344437409	4.231261288
P49419	ALDH7A1	2	32.48260784	7.366250038	10.15538883	4.409653171	3.198558753	5	0.374161386	0.1047479566	1.296085943	3.402284544	2.467860076
P49189	ALDH9A1	2	67.10738373	89.86595154	117.3688469	0.7467498266	0.5717648721	5	0.166545806	0.1317749191	1.122368019	0.6653341988	0.5094272667
P04075	ALDOA	1	1483.846802	21545.88672	23892.01758	0.06886914524	0.06210638331	5	-0.786460662	0.1525321058	0.579764675	0.1187881018	0.1071234347
P09972	ALDOC	2	3.352620721	8.027739525	30.46165752	0.4176294847	0.1100603511	5	-0.870104878	0.1058601967	0.5471070767	0.763341405	0.201167844
Q96L96	ALPK3	2	3.65380919	1.875469804	2.301946878	1.948210087	1.587269117	5	-0.398529888	0.20220444	0.7586309375	2.568060424	2.092281027
Q86V81	ALYREF	2	25.74797249	12.98059177	59.91794777	1.983574627	0.4297205336	5	0.17941541	0.1353757527	1.132424926	1.75161689	0.379469335
P02760	AMBP	2	3.711907864	21.03108025	0	0.1764963007	nan	5	0.114114764	0.1322002641	1.082310737	0.1630735931	nan
P23109	AMPD1	2	225.2329102	688.1543579	673.7327881	0.3272999837	0.3343059951	5	-0.125397468	0.1695428955	0.9167514399	0.3570215104	0.3646637252
Q01432	AMPD3	2	7.056994915	6.575586796	15.56688976	1.073211431	0.4533336474	5	0.578791902	0.306924493	1.493598001	0.7185410199	0.3035178455
P16157	ANK1	1	116.5371938	75.08413935	165.0350246	1.552088028	0.706136131	5	0.028562382	0.1859546526	1.019995213	1.52166207	0.6922935732
Q01484	ANK2	1	233.5598564	183.3609433	334.4765899	1.273771023	0.6982846138	5	-0.361377716	0.1062866998	0.7784208638	1.636352624	0.8970527978
Q12955	ANK3	1	1.150157332	1.416536212	1.866865814	0.8119505331	0.6160899857	5	0.149921796	0.284695497	1.109509327	0.7318104616	0.5552814839
Q15327	ANKRD1	1	11.56465077	11.46268845	3.173329353	1.00889515	3.644327294	5	1.30640861	1.38059173	2.473250914	0.4079226834	1.473496795
Q9GZV1	ANKRD2	1	201.6832733	259.0091858	33.50317383	0.7786722803	6.019825893	5	0.76737824	0.2019457615	1.70217367	0.4574575992	3.536552116
Q8N283	ANKRD35	2	8.347878456	219.4378052	198.2030182	0.03804211608	0.04211781704	5	-0.109579574	0.2472380858	0.9268581248	0.04104416313	0.04544149305
P39687	ANP32A	2	33.51646423	19.70197296	117.0364418	1.701172989	0.2863763091	5	0.34096549	0.2048669496	1.266603956	1.343097802	0.2260977536
P04083	ANXA1	2	24.56702423	28.74648285	21.46100235	0.8546097399	1.144728649	5	0.17396078	0.08437973899	1.128151468	0.7575310268	1.01469411
P50995	ANXA11	2	35.22636604	37.74084854	42.68840027	0.9333750407	0.8251976139	5	-0.162319326	0.08955113819	0.8935873539	1.044525794	0.9234660834
P07355	ANXA2	2	61.2343483	54.82198334	83.91196442	1.116967037	0.7297451409	5	0.209856722	0.1199722229	1.156573316	0.9657554968	0.6309545024
P12429	ANXA3	2	16.39111519	14.0978899	20.66674924	1.162664435	0.793115308	5	0.344722208	0.1038847659	1.269906438	0.9155512565	0.6245462536
P09525	ANXA4	2	3.405877471	6.405587196	24.2110405	0.5317041774	0.1406745601	5	-0.09191633	0.1592683331	0.9382756108	0.566682296	0.1499288252
P08758	ANXA5	2	8.34461236	35.49689102	72.17166328	0.2350800907	0.1156217271	5	-0.21747327	0.07432019076	0.8600704419	0.2733265547	0.1344328575
P08133	ANXA6	2	46.93735504	195.7379761	224.980835	0.2397968753	0.2086282374	5	-0.066533454	0.09581107239	0.9549297742	0.2511146702	0.2184749528
P20073	ANXA7	2	7.193622112	51.68185043	35.17114258	0.1391904905	0.2045319425	5	0.036256188	0.1517593533	1.025449317	0.1357360995	0.1994559255
Q16853	AOC3	2	2.937758923	7.947556019	7.855763912	0.3696430595	0.3739622213	5	0.645129866	0.1256853257	1.563880055	0.2363627942	0.2391246184
Q10567	AP1B1	2	3.871101141	2.319924355	2.619176269	1.668632485	1.4779842	5	-0.109647004	0.08280814414	0.9268148055	1.800394723	1.594692047
Q9BXS5	AP1M1	2	5.639930964	5.774384499	4.762828588	0.9767155209	1.184155772	5	0.00222909	0.0834213253	1.001546282	0.9752075753	1.18232756
O95782	AP2A1	2	4.731337547	3.463124275	4.615856647	1.366204956	1.025018303	5	0.227144014	0.1137976588	1.17051548	1.167182305	0.8756982035
O94973	AP2A2	2	1.36964345	2.667800665	8.273039818	0.5133979715	0.1655550414	5	0.032670236	0.1361297858	1.022903633	0.5019025791	0.1618481313
P63010	AP2B1	2	3.251297951	2.99445343	2.236510038	1.085773423	1.453737249	5	0.101656994	0.04208727958	1.073005145	1.011899549	1.354827846
Q96CW1	AP2M1	2	24.55494118	17.01341629	14.38302422	1.443269286	1.707216842	4	-0.1042531397	0.5769809085	0.9302864124	1.551424665	1.835151862
P02743	APCS	2	11.24340534	14.3179965	0	0.7852638699	nan	5	-0.138125574	0.09942787107	0.9086990187	0.8641627797	nan
P13798	APEH	2	8.399300575	25.8538456	23.40829659	0.3248762566	0.3588172486	5	-0.078726122	0.06230792202	0.9468933703	0.3430969809	0.3789415576
P27695	APEX1	2	22.36294937	12.82958794	11.21349669	1.743076199	1.994288668	5	-0.00751699	0.1303424076	0.9948031701	1.752181991	2.004706789
Q9BZZ5	API5	2	5.870269775	3.592118382	9.211233139	1.634208328	0.6372946691	5	-0.0748319796	0.2512459063	0.9494526905	1.721210908	0.6712231957
Q96GX9	APIP	2	0	6.992762089	20.53666687	0	0	5	-0.1657730334	0.2754441812	0.891450729	0	0
Q9HDC9	APMAP	2	8.624130249	4.423177242	3.874371529	1.949759138	2.225943017	5	-0.031753876	0.1516758875	0.9782303455	1.99314931	2.275479418
P02647	APOA1	2	377.7207336	300.5007019	256.8979187	1.256971219	1.470314495	5	0.09252174	0.2068681411	1.066232261	1.178890627	1.378981436
P02652	APOA2	2	71.91569519	31.89702129	760.9675903	2.254621036	0.09450559538	5	0.110245614	0.1758677603	1.079411987	2.088749303	0.08755284961
P06727	APOA4	2	9.911382198	7.106420755	5.624007702	1.394708045	1.762334393	5	-0.08806768	0.140865305	0.9407819723	1.482498694	1.87326548
P04114	APOB	2	1.168022871	1.159044385	2.377981305	1.007746456	0.4911825289	5	-0.045256178	0.1353584275	0.9691177163	1.039859698	0.5068347432
P02654	APOC1	2	92.9793396	101.2209854	85.72253418	0.9185776963	1.084654583	5	-0.087140904	0.4152573285	0.9413865175	0.9757710348	1.152188355
P02655	APOC2	2	22.2531147	15.62257004	444.4149017	1.424420863	0.05007283647	5	0.1457665646	0.283582322	1.106318331	1.287532552	0.04526078533
P02656	APOC3	2	67.53130341	39.1744709	43.81411362	1.72386	1.541313924	5	0.008432404	0.272623539	1.005862012	1.713813604	1.53233138
P05090	APOD	2	24.58271599	24.9185276	160.5693645	0.9865236173	0.1530971743	5	-0.037867156	0.0922501658	0.9740939594	1.012760225	0.1571687955
P02649	APOE	2	5.983035564	2.281241894	6.062038422	2.622709841	0.9869676086	5	0.013448034	0.1048966712	1.009365047	2.598375928	0.9778103685
P02749	APOH	2	38.89455223	21.92764664	27.17981339	1.773767741	1.431008803	5	0.00125285	0.2455222588	1.000868787	1.772228053	1.429766641
Q9BQE5	APOL2	2	7.154516697	7.563466549	13.27177811	0.945930897	0.53907748	5	-0.262416446	0.1363632304	0.8336903574	1.134630968	0.6466159471
Q9BUR5	APOO	2	271.8581848	178.5009918	92.46574783	1.523006579	2.940096102	5	0.189260432	0.1126970701	1.140179077	1.335760855	2.578626606
Q6UXV4	APOOL	2	321.5028992	205.0118408	135.7075195	1.568216245	2.369086844	5	0.251200606	0.07126168932	1.190197181	1.317610451	1.990499458
Q9UKG1	APPL1	2	8.062580585	5.264709473	3.686050057	1.531438843	2.187322597	5	-0.162950142	0.1044718651	0.8931967197	1.714559413	2.44886994
P07741	APRT	2	24.25766563	8.974615097	30.77888107	2.702919888	0.788126949	5	-0.054915754	0.0913840124	0.9626506553	2.807788966	0.818705046
P48444	ARCN1	2	35.13485527	8.768569946	12.20914316	4.006908251	2.877749471	5	-0.44602365	0.1880564441	0.7340632845	5.45853244	3.920301603
P84077	ARF1	1	8.076133728	16.561409	26.6812973	0.4876477436	0.3026889449	5	-0.080288656	0.02434729003	0.9458683774	0.515555605	0.3200116973
P84085	ARF5	2	116.8008575	35.26429176	16.56195259	3.312156624	7.052360336	5	-0.034550474	0.2572173156	0.9763359276	3.392435462	7.223292861
P05089	ARG1	2	122.3006516	97.9540863	115.5133438	1.248550787	1.058757781	5	0.048428318	0.2386010513	1.034137713	1.207335127	1.02380734
