# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T01:17:13Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# tier 1: 242 entries, ordered by type-I weight; rank_<type> and cumulative_share_<type> follow that fiber type's own order
rank_I	accession	gene	tier	match_rule	w_I	rank_I	cumulative_share_I_in_I_order	w_I_low	w_I_high	valid_I	w_IIa	rank_IIa	cumulative_share_IIa_in_IIa_order	w_IIa_low	w_IIa_high	valid_IIa	w_IIx	rank_IIx	cumulative_share_IIx_in_IIx_order	w_IIx_low	w_IIx_high	valid_IIx
27	O60662	KLHL41	1	single	0.004398849657	27	0.9523466709	0.002921970369	0.005875728944	19	0.003378041067	35	0.9637309026	0.002118550824	0.00463753131	29	0.002897095212	35	0.9604313791	0.001416432117	0.004377758307	13
28	O75112	LDB3	1	summed:3	0.004358982368	28	0.9567056533	0.00280545479	0.005912509945	19	0.003645067056	33	0.9569011436	0.002291735401	0.004998398711	29	0.003076195972	33	0.9546261016	0.002470403391	0.003681988553	13
29	P05976	MYL1	1	summed:2	0.003214952624	29	0.9599206059	0.001004606953	0.005425298295	19	0.01184213735	19	0.8597397751	0	0.027134922	29	0.01135400046	23	0.8977822783	0.0006442760909	0.02206372482	13
30	Q9NP98	MYOZ1	1	single	0.002753814729	30	0.9626744207	0.001638927929	0.003868701529	19	0.002987901246	36	0.9667188038	0.001559254368	0.004416548125	29	0.002908182251	34	0.9575342839	0.002008823375	0.003807541128	13
31	O14958	CASQ2	1	single	0.002620718055	31	0.9652951387	0	0.005823031461	19	0.0002815467533	67	0.9933292514	7.516502717e-05	0.0004879284794	28	8.558150721e-05	101	0.9984283016	0	0.0002699396597	13
32	P21817	RYR1	1	summed:2	0.002375893727	32	0.9676710324	0.001301515659	0.003450271795	19	0.003451717894	34	0.9603528615	0.001992204841	0.004911230946	29	0.004532100437	30	0.9449837888	0.003165269984	0.00589893089	13
33	O15061	SYNM	1	summed:2	0.002215536094	33	0.9698865685	0.001116059741	0.003315012448	19	0.001858138976	39	0.9729926517	0.001185308495	0.002530969457	29	0.001636378899	41	0.9737466657	0.0008385610927	0.002434196706	13
34	Q9UBF9	MYOT	1	single	0.001991959886	34	0.9718785284	0.001361975546	0.002621944225	19	0.001118610653	45	0.9807317809	0.0005901920446	0.001647029262	29	0.0007360372474	52	0.9858443066	0.0002741961364	0.001197878358	13
35	Q01484	ANK2	1	summed:2	0.001916368585	35	0.973794897	0.0002428756488	0.003589861521	15	0.001325115547	42	0.977189605	0.000826779789	0.001823451306	22	0.002406130234	37	0.9653301566	0.001593383272	0.003218877196	12
36	P02511	CRYAB	1	single	0.001444833333	36	0.9752397303	0	0.003308328182	19	0.002470308254	37	0.9691891121	0.0004747032912	0.004465913217	29	0.0022670835	39	0.9698901282	0.0001796440397	0.00435452296	13
37	P06733	ENO1	1	single	0.001419016666	37	0.976658747	0.001015833424	0.001822199908	19	0.001469160904	40	0.9744618126	0.0003657144319	0.002572607376	29	0.002220158597	40	0.9721102868	0	0.0103255639	13
38	Q9H987	SYNPO2L	1	summed:2	0.001344300401	38	0.9780030474	0.0007852084921	0.001903392311	19	0.001123566703	44	0.9796131703	0.0007046109372	0.001542522469	28	0.001416036294	43	0.9767984213	0.001044100303	0.001787972285	13
39	P11532	DMD	1	single	0.001263804457	39	0.9792668519	0.0006601617729	0.001867447142	19	0.001402676889	41	0.9758644895	0	0.04202682677	29	0.001635719286	42	0.975382385	0.0003221191567	0.002949319414	13
40	P04075	ALDOA	1	single	0.001102896936	40	0.9803697488	0	0.00516928431	19	0.01410510454	16	0.8217386204	0	0.03031038563	29	0.01556937758	14	0.7711501997	0	0.04108843721	13
41	Q9UMS6	SYNPO2	1	summed:2	0.001057703847	41	0.9814274526	0.0006131687476	0.001502238946	19	0.001040522782	46	0.9817723037	0.0003373747371	0.001743670827	29	0.0009781864357	47	0.9816031269	0.0004962101009	0.001460162771	13
42	Q9NZQ9	TMOD4	1	single	0.001050936467	42	0.9824783891	0.0004775808689	0.001624292065	19	0.0009002242226	49	0.9846110261	0.0003260801986	0.001474368247	29	0.0009617569332	48	0.9825648839	0.0002650916111	0.001658422255	13
43	Q9NPC6	MYOZ2	1	single	0.0009004870068	43	0.9833788761	0	0.002107315682	19	1.814984658e-05	126	0.9995434849	0	5.758152205e-05	25	1.353658004e-05	136	0.9996766998	0	3.752847273e-05	10
44	Q13643	FHL3	1	single	0.000889919816	44	0.9842687959	0.0005767217842	0.001203117848	19	0.0006162764292	56	0.9894282148	0.00038738577	0.0008451670885	29	0.0008779512515	50	0.9843384112	0.0005263457114	0.001229556792	13
45	O75298	RTN2	1	single	0.0008715176592	45	0.9851403136	0.0004898122943	0.001253223024	19	0.0007750668119	51	0.9861871544	0.0003605148908	0.001189618733	28	0.001359731501	44	0.9781581528	2.102875582e-05	0.002698434246	13
46	Q53GG5	PDLIM3	1	summed:3	0.0007605107197	46	0.9859008243	0.0003641120241	0.001156909415	19	0.001015609884	47	0.9827879136	0.0003655666657	0.001665653102	29	0.001299163983	45	0.9794573167	0.0005876096729	0.002010718293	13
47	Q86VF7	NRAP	1	single	0.000724591817	47	0.9866254161	0.0004133159017	0.001035867732	19	0.0006550541718	53	0.9875382362	0.0001988917444	0.001111216599	29	0.0004873095389	56	0.9879713144	0	0.001005246973	13
48	O75147	OBSL1	1	single	0.0006462939738	48	0.9872717101	0	0.001556293417	8	6.32229556e-05	102	0.9986175101	0	0.000666124176	16	0.000341390449	64	0.9912816315	0	0.001033877152	6
49	P09493	TPM1	1	summed:4	0.0005135180731	49	0.9877852282	0	0.002787681287	19	0.0189933536	10	0.7242241705	0	0.05360304878	29	0.01395469694	20	0.8592416077	0	0.03336143853	13
50	Q2TBA0	KLHL40	1	single	0.0004649540897	50	0.9882501823	0.0002889223843	0.000640985795	19	0.0002671011983	69	0.9938751008	0.0001142596639	0.0004199427327	29	0.0001723152675	84	0.9963691505	8.786783071e-05	0.0002567627043	13
51	P47756	CAPZB	1	single	0.0004600589696	51	0.9887102412	0	0.0009664029396	19	0.0004731816441	57	0.9899013964	0.0002632708632	0.0006830924249	29	0.0004765831537	57	0.9884478975	0.0002209927598	0.0007321735477	13
52	P16157	ANK1	1	summed:2	0.0004547429136	52	0.9891649842	0	0.001017924066	17	0.000258057011	71	0.9943933923	9.570888422e-05	0.0004204051379	28	0.000564611951	54	0.9869935854	0.0002573090691	0.000871914833	11
53	P23327	HRC	1	single	0.0004359563396	53	0.9896009405	0.0001838779555	0.0006880347238	19	0.0003443088174	62	0.9918170015	0	0.001246318786	29	0.0003075212199	69	0.9928980855	0	0.0009530291143	13
54	Q8N3V7	SYNPO	1	summed:2	0.0004248916707	54	0.9900258322	0.0002718002376	0.0005779831038	19	0.0002124913059	75	0.9952856003	5.898351169e-05	0.0003659991001	28	0.0003183747475	68	0.9925905643	0.0002035642838	0.0004331852112	13
55	Q8TDC0	MYOZ3	1	single	0.000397472179	55	0.9904233043	0.0001115650769	0.0006833792811	19	0.000631261715	55	0.9888119383	0.0001796623592	0.001082861071	28	0.0007698581577	51	0.9851082694	0.0004166581434	0.001123058172	13
56	O00499	BIN1	1	single	0.0003563431176	56	0.9907796475	0	0.0009153959806	19	0.0006424404656	54	0.9881806766	8.724805653e-05	0.001197632875	29	0.001167623768	46	0.9806249405	0	0.003415773171	13
57	Q8N3K9	CMYA5	1	single	0.0003561188539	57	0.9911357663	0	0.0008994656436	19	0.0003717087244	60	0.9911079666	0.000203392576	0.0005400248727	29	0.0003911706088	61	0.9902167401	0.0002245112871	0.0005578299305	13
58	O15273	TCAP	1	single	0.0003304553627	58	0.9914662217	0.0001714330978	0.0004894776277	19	0.0002979428239	64	0.9924546926	0.0001191383581	0.0004767472897	28	0.0003073457182	70	0.9932054312	0.0001370180118	0.0004776734245	12
59	P02585	TNNC2	1	single	0.0003244083908	59	0.9917906301	0	0.002417521718	19	0.02443182033	6	0.6426420373	0	0.07054248683	29	0.02675527592	8	0.6507032857	0	0.0911104872	13
60	O14983	ATP2A1	1	single	0.0003094461318	60	0.9921000762	0	0.001728777273	19	0.01672980107	13	0.7769720712	0.01127497818	0.02218462397	29	0.02516331767	10	0.7020743939	0.01500995856	0.03531667679	13
61	Q9NR12	PDLIM7	1	summed:2	0.0003037768811	61	0.9924038531	0.0001594700588	0.0004480837035	19	0.0009228882812	48	0.9837108019	0.0004703011791	0.001375475383	29	0.002492647331	36	0.9629240264	0.001642010374	0.003343284288	13
62	P20807	CAPN3	1	single	0.0002653971038	62	0.9926692502	0.0001324689996	0.000398325208	19	0.0002976395266	65	0.9927523321	0.0001167166786	0.0004785623746	28	0.0003699682161	62	0.9905867084	0.0002274422058	0.0005124942265	13
63	O00151	PDLIM1	1	single	0.0002637632018	63	0.9929330134	9.787568256e-05	0.0004296507211	19	8.018211455e-06	150	0.999829715	0	6.596102919e-05	19	1.319501969e-05	137	0.9996898948	0	9.156311507e-05	7
64	P14923	JUP	1	single	0.0002512783552	64	0.9931842917	0	0.0006988394781	19	5.591784816e-05	105	0.9987955541	0	0.0006974864148	28	0.0001696495893	86	0.9967101659	0	0.003435330578	13
65	P04792	HSPB1	1	single	0.0002464218384	65	0.9934307136	0	0.0008507429192	19	0.0008010615013	50	0.9854120876	0	0.001756945376	29	0.0005846668255	53	0.9864289735	0	0.001893862352	13
66	Q01082	SPTBN1	1	single	0.000245862355	66	0.9936765759	0.0001385012915	0.0003532234184	19	0.0001795921499	80	0.9962519556	8.855827835e-05	0.0002706260213	29	0.0001447083799	88	0.9970119105	0	0.0003074839005	13
67	Q86TC9	MYPN	1	single	0.0002447344826	67	0.9939213104	0.0001323483175	0.0003571206477	19	0.0002150730089	74	0.995073109	4.855346953e-05	0.0003815925483	28	0.0002349956116	76	0.9947661978	0.000135975713	0.0003340155103	13
68	Q9HDC5	JPH1	1	single	0.0002323497854	68	0.9941536602	0	0.001348199616	19	0.0003987538518	59	0.9907362579	0	0.0008608437182	29	0.0004904194148	55	0.9874840048	0.0002925178777	0.0006883209519	13
69	Q13698	CACNA1S	1	single	0.000216348467	69	0.9943700087	3.373091479e-05	0.0003989660191	19	0.0003647261054	61	0.9914726927	0.0001476683484	0.0005817838623	29	0.0003409141649	65	0.9916225457	0.0001299269122	0.0005519014177	13
70	Q9BR39	JPH2	1	single	0.0002153601116	70	0.9945853688	0.0001345791003	0.0002961411229	19	0.0003397482597	63	0.9921567498	0.00011645942	0.0005630370995	29	0.000353532697	63	0.9909402411	0.0002252766385	0.0004817887555	13
71	P07451	CA3	1	single	0.0002120194854	71	0.9947973883	0	0.001641375792	19	0.0006960275857	52	0.986883182	0	0.003737935034	29	0.0008955761108	49	0.98346046	0	0.004458296051	13
72	Q09666	AHNAK	1	single	0.0002103510537	72	0.9950077393	0	0.0005738194932	19	0.0002433404177	72	0.9946367327	0	0.001503809644	29	0.0002700794966	73	0.994030517	0	0.0007412681282	13
73	P18206	VCL	1	single	0.0002061425194	73	0.9952138818	0	0.0004153594814	19	0.0002787481813	68	0.9936079996	0	0.001337936754	29	0.0002832574095	71	0.9934886886	0	0.002398376407	13
74	P12814	ACTN1	1	summed:2	0.0001954719401	74	0.9954093538	0	0.0006105584413	18	0.0002213033029	73	0.994858036	0	0.0006434942762	27	7.16760189e-05	104	0.9986577998	0	0.0002192126558	11
75	Q5BKX8	CAVIN4	1	single+via_mapping:MURC	0.0001912779768	75	0.9956006318	0	0.0004765284384	19	0.0001125936879	89	0.9975101415	1.675976112e-05	0.0002084276146	29	0.0001875811828	83	0.9961968353	0	0.0008929983121	13
76	P63261	ACTG1	1	summed:3	0.0001892522311	76	0.995789884	0	0.0005124688516	16	0.0001419880176	86	0.9971565155	0	0.0008353625181	27	9.13341249e-05	99	0.9982556495	0	0.0004858248516	12
77	O95817	BAG3	1	single	0.0001880351358	77	0.9959779191	8.712675129e-05	0.0002889435203	19	0.0002105863022	76	0.9954961866	4.36632699e-05	0.0003775093345	29	0.000171365739	85	0.9965405163	1.23359981e-05	0.0003303954799	13
78	Q0ZGT2	NEXN	1	single	0.0001871384351	78	0.9961650576	0.0001253284468	0.0002489484234	19	0.0001883848389	78	0.9958866074	0.0001154061552	0.0002613635227	29	0.0002184828104	77	0.9949846806	0	0.0004417284318	13
79	Q9Y281	CFL2	1	single	0.000175233235	79	0.9963402908	0	0.0003875402754	19	0.000295372588	66	0.9930477047	0.0001113741339	0.000479371042	29	0.0002108915933	79	0.9954139677	0	0.0006464277343	13
80	Q0VAK6	LMOD3	1	single	0.0001644061601	80	0.996504697	0	0.0006497124727	19	0.0001058852478	92	0.9978399216	0	0.0008630415362	29	0.0001346363495	90	0.9972826849	0	0.0003706508531	13
81	Q9GZV1	ANKRD2	1	single	0.0001520809535	81	0.9966567779	0	0.0003966422887	19	0.0001720228679	81	0.9964239784	1.799790611e-05	0.0003260478298	29	2.2149476e-05	124	0.9994647546	0	8.032572561e-05	13
82	O95425	SVIL	1	single	0.0001498846042	82	0.9968066625	2.86376237e-05	0.0002711315846	19	0.0001474344232	84	0.9968698173	2.159047929e-05	0.0002732783671	29	9.566553353e-05	98	0.9981643153	1.485443337e-05	0.0001764766337	13
83	P50461	CSRP3	1	single	0.0001488647917	83	0.9969555273	0	0.0004577809313	19	0.0002602344278	70	0.9941353353	1.655501798e-05	0.0005039138377	29	3.590960094e-05	116	0.9992375795	0	0.0003812968038	13
84	P12882	MYH1	1	single	0.0001462177418	84	0.997101745	0	0.002611086883	19	0.009860614135	22	0.8922319279	0.004473544285	0.01524768399	29	0.04722245394	6	0.5968288372	0.02991631719	0.06452859068	13
85	Q08043	ACTN3	1	single	0.0001450917222	85	0.9972468368	0	0.001203898394	19	0.004134046124	31	0.9492329506	0	0.008325756859	29	0.0144890645	18	0.830847574	0.007269649331	0.02170847967	13
86	P60900	PSMA6	1	single	0.0001365524467	86	0.9973833892	0	0.0003050965872	19	2.60792205e-05	120	0.9994209391	6.942494923e-06	4.521594609e-05	29	5.041474715e-05	109	0.9989295175	0	0.0001028063937	13
87	P45378	TNNT3	1	single	0.0001282569101	87	0.9975116461	0	0.001874217736	19	0.01803730975	11	0.7422614802	0.00942838153	0.02664623797	29	0.01761067046	12	0.7398206377	0.006112936773	0.02910840415	13
88	Q14BN4	SLMAP	1	single	0.0001262549638	88	0.9976379011	7.108569727e-05	0.0001814242304	19	8.037182582e-05	96	0.9981935159	2.862346678e-05	0.0001321201849	27	7.515578913e-05	103	0.9985861237	5.287412213e-05	9.743745613e-05	13
89	P51114	FXR1	1	single	0.000122528743	89	0.9977604298	0	0.0003731187368	19	6.320425391e-05	103	0.9986807144	0	0.0003839647047	29	8.266634513e-05	102	0.998510968	0	0.0002822463272	13
90	Q14118	DAG1	1	single	0.0001213111947	90	0.997881741	0	0.000684447081	19	9.854094775e-05	93	0.9979384625	0	0.0002666612718	29	0.0003282964321	66	0.9919508421	1.976716181e-05	0.0006368257024	13
91	Q96AC1	FERMT2	1	single	0.0001058934601	91	0.9979876345	0	0.0005431324976	16	4.42014532e-05	112	0.9991395548	0	0.0001509101461	21	8.707065366e-05	100	0.9983427201	0	0.0007922130947	12
92	P13533	MYH6	1	single	8.634242063e-05	92	0.9980739769	1.122102848e-05	0.0001614638128	18	9.71134823e-06	146	0.999795316	0	5.949401641e-05	20	8.209492738e-06	155	0.9998673512	0	2.645071543e-05	10
93	Q15124	PGM5	1	single	7.870028352e-05	93	0.9981526772	3.411848268e-05	0.0001232820844	18	1.201649162e-05	138	0.9997108584	2.405354001e-06	2.162762923e-05	29	5.709035931e-06	167	0.9999428377	0	2.611663871e-05	10
94	P62942	FKBP1A	1	single	7.791522845e-05	94	0.9982305924	2.508079186e-05	0.000130749665	19	0.0001447101472	85	0.9970145274	4.362292683e-05	0.0002457973676	27	0.0002077975838	80	0.9956217653	4.108292658e-05	0.0003745122411	13
95	Q9UHP9	SMPX	1	single	6.640742571e-05	95	0.9982969998	0	0.0002914131912	19	0.0001120365847	90	0.9976221781	0	0.0003115165881	29	0.0001105577647	93	0.9976589569	0	0.0003201087464	13
96	Q13813	SPTAN1	1	summed:2	6.300934104e-05	96	0.9983600092	0	0.000686935191	19	0.0004361075844	58	0.990337504	0	0.002730902168	28	0.0001361380142	89	0.9971480486	0	0.0004248309773	13
97	Q14324	MYBPC2	1	single	5.955101983e-05	97	0.9984195602	0	0.0007340881656	19	0.00914281042	23	0.9013747384	0.004857450209	0.01342817063	29	0.02711917259	7	0.6239480098	0.01950785055	0.03473049463	13
98	Q8NF91	SYNE1	1	single	5.852688762e-05	98	0.9984780871	0	0.0001319259887	18	4.317117551e-05	113	0.9991827259	0	0.0004241743307	27	6.562367582e-05	105	0.9987234234	0	0.000207156543	10
99	Q03001	DST	1	summed:2	5.810587691e-05	99	0.998536193	0	0.0001246219833	15	0.0001247408983	87	0.9972812564	0	0.0002894555298	21	2.17206255e-05	125	0.9994864753	0	0.000105843797	8
100	P12109	COL6A1	1	single	5.367205984e-05	100	0.998589865	0	0.0001508981399	17	0.0001118582293	91	0.9977340363	2.142992385e-05	0.0002022865348	20	2.641002938e-05	122	0.9994175074	7.890939664e-06	4.49291191e-05	12
101	O60237	PPP1R12B	1	summed:2	5.342773872e-05	101	0.9986432928	0	0.0002559173388	18	1.809025957e-05	127	0.9995615751	0	3.671521806e-05	28	8.710431701e-06	152	0.9998425079	0	0.0001403363643	11
102	Q8NDY3	ADPRHL1	1	single	5.076819871e-05	102	0.998694061	0	0.0001453488722	18	9.40033115e-05	94	0.9980324658	0	0.0001975399127	28	0.000196716986	81	0.9958184823	0	0.000398117114	12
103	O43707	ACTN4	1	single	5.062892908e-05	103	0.9987446899	0	0.0001456034482	18	8.067827379e-05	95	0.9981131441	0	0.0001699286777	29	9.615139884e-05	97	0.9980686498	2.536112605e-05	0.0001669416716	10
104	P48788	TNNI2	1	single	4.79978346e-05	104	0.9987926877	0	0.001201714618	16	0.01237245172	18	0.8478976378	0.006863355226	0.01788154821	29	0.01443933676	19	0.8452869108	0.009844713879	0.01903395964	13
105	P0DP23	CALM1	1	shared_split	4.51148117e-05	105	0.9988378025	4.51148117e-05	9.022962339e-05	0	7.861386045e-05	97	0.9982721298	7.861386045e-05	0.0001572277209	0	0.0001015949881	95	0.9978709034	0.0001015949881	0.0002031899763	0
106	P0DP24	CALM2	1	shared_split	4.51148117e-05	106	0.9988829174	4.51148117e-05	9.022962339e-05	0	7.861386045e-05	98	0.9983507437	7.861386045e-05	0.0001572277209	0	0.0001015949881	96	0.9979724984	0.0001015949881	0.0002031899763	0
107	Q9NVD7	PARVA	1	single	4.368597834e-05	107	0.9989266033	0	0.0001274534429	3	9.198392185e-06	147	0.9998045144	0	1.846776331e-05	9	4.947127732e-06	172	0.9999695043	0	1.004832626e-05	6
108	Q9UDY4	DNAJB4	1	single	4.351551734e-05	108	0.9989701189	1.774021751e-05	6.929081717e-05	19	6.556402682e-05	100	0.9984910442	0	0.0001536051826	28	5.313921992e-05	106	0.9987765627	0	0.0001212593077	10
109	P61313	RPL15	1	single	3.982931012e-05	109	0.9990099482	1.787974774e-05	6.177887251e-05	18	4.792506158e-05	111	0.9990953533	0	0.0001690053771	25	3.29966326e-05	117	0.9992705762	1.669227732e-05	4.930098789e-05	13
110	Q6P5Q4	LMOD2	1	single	3.969437584e-05	110	0.9990496425	1.863383675e-05	6.075491494e-05	19	9.950173067e-06	145	0.9997856046	3.821718512e-06	1.607862762e-05	27	9.21977311e-06	150	0.9998246963	3.994925996e-06	1.444462022e-05	9
111	Q96DD0	LRRC39	1	single	3.596065092e-05	111	0.9990856032	1.323124721e-05	5.869005463e-05	18	1.031606966e-05	143	0.9997654426	0	2.166261877e-05	24	2.555699515e-06	177	0.9999871417	3.875895491e-07	4.723809481e-06	9
112	P56539	CAV3	1	single	3.564939786e-05	112	0.9991212526	0	8.673588684e-05	16	5.059845134e-05	107	0.9988992017	3.021390517e-05	7.098299751e-05	20	3.267614943e-05	118	0.9993032523	0	0.0003582601827	9
