accession	gene_primary	protein_name	length	reviewed	organism_id	dataset_rows	identity_cell
O00214	LGALS8	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	317	reviewed	9606	1267	O00214;O00214-2;E9PN19;F6V2D4;H7BXD8;Q5T3P9;B1ANM0;E9PJ77;E9PRN3
O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	422	reviewed	9606	1782	O00231;O00231-2;J3QRY4;J3QS13;J3KSW3
O00232	PSMD12	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	456	reviewed	9606	1783	O00232;O00232-2;J3KTJ5;J3KSK1
O00233	PSMD9	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	223	reviewed	9606	1795	O00233;J3KN29;O00233-2;F5H5V4;F5GX23;O00233-3;F5H7X1;F5H169
O00264	PGRMC1	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	195	reviewed	9606	1604	O00264;O00264-2
O00299	CLIC1	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	241	reviewed	9606	465	O00299;Q9NZA1;Q96NY7;Q9NZA1-3;Q9NZA1-2;Q96NY7-2
O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	357	reviewed	9606	722	O00303;H0YDT6;E9PQV8;A0A0D9SEZ9
O00370		LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]	1275	reviewed	9606	2640	O00370
O00399	DCTN6	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	190	reviewed	9606	595	O00399;E5RK00;E5RIK5;E5RGW9;E5RFU3
O00410	IPO5	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	1097	reviewed	9606	1127	O00410;O00410-3;H0Y8C6;O00410-2;E7ETV3;E7EQT5;E7EV12;C9JMV5;E7EX05;E7EWK4;C9JZD8;O60518;C9JZ53;C9JQT6;E7ESA1;E7ESZ1;E7ETV8;C9J875;C9JXE0;C9J583;F8WF30
O00421	CCRL2	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	344	reviewed	9606	398	O00421;O00421-2;C9JP23
O00442	RTCA	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1)	366	reviewed	9606	2026	O00442;O00442-2;A6NIC1
O00487	PSMD14	Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	310	reviewed	9606	1785	O00487;C9JW37
O00505	KPNA3	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	521	reviewed	9606	1193	O00505;H0Y4S9
O00507	USP9Y	Ubiquitin carboxyl-terminal hydrolase 9Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	2555	reviewed	9606	2512	O00507;O00507-2;H7C2M9
O00559	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein)	213	reviewed	9606	685	O00559;E9PN10;O00559-2;E9PND3;E9PJ40;E9PJ38
O00560	SDCBP	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	298	reviewed	9606	2060	G5EA09;O00560-2;O00560;B4DHN5;E9PBU7
O00571	DDX3X	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	662	reviewed	9606	609	O00571;A0A0D9SFB3;A0A0D9SG12;A0A0D9SF53;O00571-2;A0A087WVZ1
O00629	KPNA4	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	521	reviewed	9606	1194	O00629;H7C4F6;A9QM74
O00743	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	305	reviewed	9606	1702	O00743;O00743-3;O00743-2;Q5T1S7
O00763	ACACB	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	2458	reviewed	9606	28	O00763;O00763-3;O00763-2;Q13085;Q13085-4;S4R3S7;Q13085-3;Q13085-2
O00764	PDXK	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	312	reviewed	9606	1577	O00764;F2Z2Y4;O00764-3;O00764-2;A8MV33
O14523	C2CD2L	Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like) (C2CD2-like) (Transmembrane protein 24)	706	reviewed	9606	332	O14523;O14523-2;E9PK05
O14556	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) (GAPDH-2) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)	408	reviewed	9606	888	O14556
O14562	UBFD1	Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog)	309	reviewed	9606	2467	O14562;H3BRL3
O14569	CYB561D2	Transmembrane reductase CYB561D2 (EC 7.2.1.3) (Cytochrome b561 domain-containing protein 2) (Putative tumor suppressor protein 101F6)	222	reviewed	9606	566	O14569;U3KQU4
O14618	CCS	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	274	reviewed	9606	399	O14618;J3KNF4;E9PP76;E9PK03
O14653	GOSR2	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	212	reviewed	9606	948	O14653;I3L1K7;I3L4Z6;E7EQ34;O14653-3;O14653-2;I3L3V4;I3L0K1
O14656	TOR1A	Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A) (EC 3.6.4.-) (Torsin family 1 member A)	332	reviewed	9606	2378	O14656;O14656-2
O14662	STX16	Syntaxin-16 (Syn16)	325	reviewed	9606	2247	O14662-2;O14662;O14662-5;H3BU86;O14662-4;O14662-6;F8W9Z6;C9K0W8;Q96NX8;B7ZBM4;B7ZBM5;B7ZBM8;O14662-3;E9PND6;H0YEW0
O14735	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	213	reviewed	9606	434	O14735;B3KY94;O14735-3;H3BUR9;O14735-2
O14737	PDCD5	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	125	reviewed	9606	1568	O14737;O14737-2;K7EQA1;K7ESJ4;Q3HM38;X6R2P6
O14744	PRMT5	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	637	reviewed	9606	1730	O14744;O14744-2;O14744-5;O14744-3;O14744-4;H0YJX6;H0YJD3;G3V580;G3V2L6;H7BZ44;G3V2X6;C9JSX3;G3V5L5;H0YJ77;G3V5T6;G3V507;G3V2F5;H0YJY6
O14745	NHERF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	358	reviewed	9606	2163	O14745;J3QRP6
O14787	TNPO2	Transportin-2 (Karyopherin beta-2b)	897	reviewed	9606	2373	O14787-2;O14787;A0A075B780
O14818	PSMA7	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7) (Proteasome subunit alpha-4) (alpha-4)	248	reviewed	9606	1761;1762	O14818;O14818-4;Q8TAA3;Q8TAA3-5;Q8TAA3-2;A0A087WYS6;F5GY34
O14828	SCAMP3	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	347	reviewed	9606	2050	O14828;O14828-2
O14880	MGST3	Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)	152	reviewed	9606	1354	O14880;Q5VV89;Q5VV87
O14950	MYL12B	Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)	172	reviewed	9606	1412	O14950
O14964	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	777	reviewed	9606	1027	O14964;O14964-2;I3L1P5;I3L1E3;I3L165;I3L2H4
O14975	SLC27A2	Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)	620	reviewed	9606	2136	O14975;O14975-2;G3V1R7
O14976	GAK	Cyclin-G-associated kinase (EC 2.7.11.1) (Auxilin 2) (DnaJ homolog subfamily C member 26)	1311	reviewed	9606	877	O14976;O14976-2;A0A087X1U9;D6RAW3;H0Y8H5;D6RF16;D6RC24;D6RAQ7;D6RE78
O14980	XPO1	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	1071	reviewed	9606	2585	O14980;C9JKM9;C9J673;C9IZS4;C9JQ02;C9JV99;H7BZC5;F8WF71;C9IYM2;C9JF49
O14983	ATP2A1	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	1001	reviewed	9606	244	O14983;O14983-2;O14983-3;H3BUT9
O15020	SPTBN2	Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)	2390	reviewed	9606	2211	O15020;O15020-2
O15067	PFAS	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase)	1338	reviewed	9606	1586	O15067;H0YGH1;J3QSG0;J3QSH6;J3KT98;J3KTQ5;J3KTL4;J3QL39
O15084	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK)	1053	reviewed	9606	137	O15084;O15084-1;O15084-4;O15084-2;B4DIW9;Q8N8A2;Q8N8A2-5;Q8N8A2-3;Q8N8A2-4;Q8N8A2-2;H7C4A0;H7C209;C9JY51
O15127	SCAMP2	Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2)	329	reviewed	9606	2049	O15127;H3BV04;H3BN93;H3BUB6;H3BPL9
O15131	KPNA5	Importin subunit alpha-6 (Karyopherin subunit alpha-5)	539	reviewed	9606	1195	O15131;H0Y3K0;Q5TD90
O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	372	reviewed	9606	208	O15143
O15144	ARPC2	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	300	reviewed	9606	209	O15144;H7C3F9;C9JTV5;G5E9J0;G5E9S7
O15145	ARPC3	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	178	reviewed	9606	210	O15145;F8VR50;C9JZD1
O15155	BET1	BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18)	118	reviewed	9606	292	O15155;H7C1N3;C9JTT8;Q68DU7;O15155-2
O15162	PLSCR1	Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (MmTRA1b)	318	reviewed	9606	1651	O15162;C9J7K9;O15162-2;C9J9P4;C9JE06;C9J0H3;H7C5I5;Q9NRY7;C9J636;Q9NRY7-1;Q9NRY7-3;F2Z3F2
O15165	LDLRAD4	Low-density lipoprotein receptor class A domain-containing protein 4	306	reviewed	9606	1261	O15165;O15165-6;O15165-8;O15165-5;O15165-3
O15173	PGRMC2	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	223	reviewed	9606	1605	O15173;O15173-2;U3KQM0;D3DNX8
O15195	VILL	Villin-like protein	856	reviewed	9606	2532	O15195
O15212	PFDN6	Prefoldin subunit 6 (Protein Ke2)	129	reviewed	9606	1591	O15212;A2AB88
O15226	NKRF	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	690	reviewed	9606	1471	O15226;O15226-2
O15243	LEPROT	Leptin receptor gene-related protein (Endospanin-1) (Leptin receptor overlapping transcript protein) (OB-R gene-related protein) (OB-RGRP)	131	reviewed	9606	1264	A0A087X0N2;O15243
O15247	CLIC2	Chloride intracellular channel protein 2 (Glutaredoxin-like oxidoreductase CLIC2) (EC 1.8.-.-) (Glutaredoxin-like peroxidase CLIC2) (EC 1.11.1.-) (XAP121)	247	reviewed	9606	466	O15247
O15258	RER1	Protein RER1	196	reviewed	9606	1910	O15258;Q9P0H9;Q5T092;A0A0A0MR06;Q5T091;Q5T093
O15260	SURF4	Surfeit locus protein 4	269	reviewed	9606	2262	O15260;Q5T8U5;O15260-2;B7Z1G8;O15260-3
O15269	SPTLC1	Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1)	473	reviewed	9606	2213	O15269;O15269-2
O15270	SPTLC2	Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2)	562	reviewed	9606	2214	O15270;H0YJV2
O15371	EIF3D	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	548	reviewed	9606	720	O15371;O15371-2;O15371-3
O15400	STX7	Syntaxin-7	261	reviewed	9606	2253	O15400;O15400-2
O15431	SLC31A1	High affinity copper uptake protein 1 (Copper transporter 1) (hCTR1) (Solute carrier family 31 member 1) [Cleaved into: Truncated CTR1 form]	190	reviewed	9606	2145	O15431
O15439	ABCC4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	1325	reviewed	9606	16	O15439;O15439-2;O15439-3;O15439-4
O15440	ABCC5	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP) (pABC11)	1437	reviewed	9606	17	O15440;O15440-5;F8WCY8;A5PKY6;O15440-4;O15440-3;O15440-2;C9JZL5;Q96J66;F8WDH3;E9PET4;Q96J65;Q96J66-2
O15484	CAPN5	Calpain-5 (EC 3.4.22.-) (Calpain htra-3) (New calpain 3) (nCL-3)	640	reviewed	9606	368	O15484;E7EV01;A0A087X0C8;E9PS73;K7EP62
O15498	YKT6	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	198	reviewed	9606	2601	O15498;O15498-2;H7C3K7
O15511	ARPC5	Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)	151	reviewed	9606	212	O15511;B1ALC0;O15511-2
O15523	DDX3Y	ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)	660	reviewed	9606	610	O15523;O15523-2;C9J081;O15523-3;C9J8G5
O15554	KCNN4	Intermediate conductance calcium-activated potassium channel protein 4 (SKCa 4) (SKCa4) (hSK4) (Gardos channel) (IKCa1) (hIK1) (KCa3.1) (Putative Gardos channel) (hKCa4)	427	reviewed	9606	1165	O15554;D1MQ08;M0R1J0;M0QZ70;M0R2E8;M0R2F1
O43143	DHX15	ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43)	795	reviewed	9606	625	O43143
O43149	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	2961	reviewed	9606	2635	O43149;O43149-3;I3L141;O43149-2;I3L1Q8;I3L3Q3
O43169	CYB5B	Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)	150	reviewed	9606	568	J3KNF8;H3BUX2;O43169;D6RFH4
O43187	IRAK2	Interleukin-1 receptor-associated kinase-like 2 (IRAK-2)	625	reviewed	9606	1136	O43187
O43196	MSH5	MutS protein homolog 5 (hMSH5)	834	reviewed	9606	1385	O43196;A0A0G2JI09;Q5SSR2;H7C2J4;A0A0G2JK42;A0A0G2JK88;A0A024RCV8;O43196-4;O43196-2;O43196-3
O43236	SEPTIN4	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	996	reviewed	9606	2087	O43236;J3QRU3;J3QLR2;J3QLA8;J3QRT6;J3KSZ7;O43236-6;O43236-5;O43236-2;O43236-3;O43236-4
O43242	PSMD3	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	534	reviewed	9606	1788	O43242;O43242-2;H0YGV8;F5H8K4
O43264	ZW10	Centromere/kinetochore protein zw10 homolog	779	reviewed	9606	2634	O43264;O43264-2;F5H3C1
