accession	gene_primary	protein_name	length	reviewed	organism_id	dataset_rows	identity_cell
P00751	CFB	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba (Ba); Complement factor B Bb (Bb)]	764	reviewed	9606	87	B4E1Z4;E7EVA3;E7ETN3;P00751
P01008	SERPINC1	Antithrombin-III (ATIII) (Serpin C1)	464	reviewed	9606	20	P01008
P01009	SERPINA1	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]	418	reviewed	9606	12	P01009;P01009-2;P01009-3
P01011	SERPINA3	Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]	423	reviewed	9606	11	P01011;G3V5I3;G3V595
P01019	AGT	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	476	reviewed	9606	19	P01019;E7EUC5
P01023	A2M	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	1474	reviewed	9606	16	P01023;H0YGH4
P01024	C3	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b (Complement C3b-alpha' chain); Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	1663	reviewed	9606	77	P01024;B4E216
P01031	C5	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5b (Complement C5 alpha' chain)]	1676	reviewed	9606	80	P01031;H0Y4U2
P01034	CST3	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	146	reviewed	9606	97	P01034
P01040	CSTA	Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]	98	reviewed	9606	96	P01040;C9J0E4
P01042	KNG1	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	644	reviewed	9606	229;230	B4DPP8;P01042-2;C9JEX1
P01591	JCHAIN	Immunoglobulin J chain (Joining chain of multimeric IgA and IgM)	159	reviewed	9606	208	P01591;C9JA05;D6RHJ6;D6RD17
P01594	IGKV1-33	Immunoglobulin kappa variable 1-33 (Ig kappa chain V-I region AU) (Ig kappa chain V-I region Ka)	117	reviewed	9606	162	P01594
P01597	IGKV1-39	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker)	117	reviewed	9606	164	P01597
P01602	IGKV1-5	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)	117	reviewed	9606	166	P01602
P01611	IGKV1D-12	Immunoglobulin kappa variable 1D-12 (Ig kappa chain V-I region Wes)	117	reviewed	9606	174	P01611
P01619	IGKV3-20	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)	116	reviewed	9606	177	P01619
P01624	IGKV3-15	Immunoglobulin kappa variable 3-15 (Ig kappa chain V-III region CLL) (Ig kappa chain V-III region POM)	115	reviewed	9606	183	P01624
P01699	IGLV1-44	Immunoglobulin lambda variable 1-44 (Ig lambda chain V-I region MEM) (Ig lambda chain V-I region VOR)	117	reviewed	9606	194	P01699
P01700	IGLV1-47	Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH)	117	reviewed	9606	195	P04208;P01700
P01701	IGLV1-51	Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64)	117	reviewed	9606	191	P01701
P01703	IGLV1-40	Immunoglobulin lambda variable 1-40 (Ig lambda chain V-I region NEWM)	118	reviewed	9606	192	P01703
P01714	IGLV3-19	Immunoglobulin lambda variable 3-19 (Ig lambda chain V-III region SH)	112	reviewed	9606	199	P01714
P01717	IGLV3-25	Immunoglobulin lambda variable 3-25 (Ig lambda chain V-IV region Hil)	112	reviewed	9606	200	P01717
P01742	IGHV1-69	Immunoglobulin heavy variable 1-69 (Ig heavy chain V-I region EU) (Ig heavy chain V-I region SIE) (Ig heavy chain V-I region WOL)	117	reviewed	9606	145	P01742;P01761;P06326
P01743	IGHV1-46	Immunoglobulin heavy variable 1-46 (Ig heavy chain V-I region DOT) (Ig heavy chain V-I region HG3) (Ig heavy chain V-I region Mot)	117	reviewed	9606	146	P01743
P01763	IGHV3-48	Immunoglobulin heavy variable 3-48 (Ig heavy chain V-III region WEA)	117	reviewed	9606	160	P01763
P01764	IGHV3-23	Immunoglobulin heavy variable 3-23 (Ig heavy chain V-III region LAY) (Ig heavy chain V-III region POM) (Ig heavy chain V-III region TEI) (Ig heavy chain V-III region TIL) (Ig heavy chain V-III region TUR) (Ig heavy chain V-III region VH26) (Ig heavy chain V-III region WAS) (Ig heavy chain V-III region ZAP)	117	reviewed	9606	158	P01764
P01766	IGHV3-13	Immunoglobulin heavy variable 3-13 (Ig heavy chain V-III region BRO)	116	reviewed	9606	151	P01766
P01767	IGHV3-53	Immunoglobulin heavy variable 3-53 (Ig heavy chain V-III region BUT)	116	reviewed	9606	152	P01767
P01772	IGHV3-33	Immunoglobulin heavy variable 3-33 (Ig heavy chain V-III region HIL) (Ig heavy chain V-III region KOL)	117	reviewed	9606	155	P01772
P01780	IGHV3-7	Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON)	117	reviewed	9606	154	P01780
P01782	IGHV3-9	Immunoglobulin heavy variable 3-9 (Ig heavy chain V-III region DOB)	118	reviewed	9606	153	P01781;P01782
P01814	IGHV2-70	Immunoglobulin heavy variable 2-70 (Ig heavy chain V-II region COR) (Ig heavy chain V-II region DAW) (Ig heavy chain V-II region OU) (Ig heavy chain V-II region SESS)	119	reviewed	9606	149	P04438;P01814
P01824	IGHV4-39	Immunoglobulin heavy variable 4-39 (Ig heavy chain V-II region WAH)	125	reviewed	9606	150	P01824
P01834	IGKC	Immunoglobulin kappa constant (Ig kappa chain C region) (Ig kappa chain C region AG) (Ig kappa chain C region CUM) (Ig kappa chain C region EU) (Ig kappa chain C region OU) (Ig kappa chain C region ROY) (Ig kappa chain C region TI)	107	reviewed	9606	161	P01834
P01857	IGHG1	Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE)	399	reviewed	9606	141	P01857
P01859	IGHG2	Immunoglobulin heavy constant gamma 2 (Ig gamma-2 chain C region) (Ig gamma-2 chain C region DOT) (Ig gamma-2 chain C region TIL) (Ig gamma-2 chain C region ZIE)	395	reviewed	9606	142	P01859
P01860	IGHG3	Immunoglobulin heavy constant gamma 3 (HDC) (Heavy chain disease protein) (Ig gamma-3 chain C region)	446	reviewed	9606	143	P01860
P01861	IGHG4	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)	396	reviewed	9606	144	P01861
P01871	IGHM	Immunoglobulin heavy constant mu (Ig mu chain C region) (Ig mu chain C region BOT) (Ig mu chain C region GAL) (Ig mu chain C region OU)	474	reviewed	9606	206	P01871;P01871-2;P04220
P01876	IGHA1	Immunoglobulin heavy constant alpha 1 (Ig alpha-1 chain C region) (Ig alpha-1 chain C region BUR) (Ig alpha-1 chain C region TRO)	398	reviewed	9606	138	P01876
P01877	IGHA2	Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN)	391	reviewed	9606	139	P01877
P01880	IGHD	Immunoglobulin heavy constant delta (Ig delta chain C region) (Ig delta chain C region NIG-65) (Ig delta chain C region WAH)	430	reviewed	9606	140	P01880;P01880-2
P02647	APOA1	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	267	reviewed	9606	21	P02647;F8W696
P02649	APOE	Apolipoprotein E (Apo-E)	317	reviewed	9606	30	P02649;H0Y7L5;E9PEV4;E7ERP7
P02652	APOA2	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]	100	reviewed	9606	22	P02652
P02654	APOC1	Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]	83	reviewed	9606	25	P02654
P02655	APOC2	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]	101	reviewed	9606	26	P02655
P02656	APOC3	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	99	reviewed	9606	27	P02656
P02671	FGA	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	866	reviewed	9606	111	P02671;P02671-2
P02675	FGB	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	491	reviewed	9606	112	P02675;B4E1D3;D6REL8
P02679	FGG	Fibrinogen gamma chain	453	reviewed	9606	113	P02679;P02679-2;C9JEU5;C9JC84
P02741	CRP	C-reactive protein [Cleaved into: C-reactive protein(1-205)]	224	reviewed	9606	95	P02741;Q5VVP7;P02741-2
P02743	APCS	Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)]	223	reviewed	9606	296	P02743
P02745	C1QA	Complement C1q subcomponent subunit A	245	reviewed	9606	70	P02745
P02746	C1QB	Complement C1q subcomponent subunit B	253	reviewed	9606	71	P02746;D6RA08;D6R934;D6RGJ1
P02747	C1QC	Complement C1q subcomponent subunit C	245	reviewed	9606	72	P02747
P02748	C9	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	559	reviewed	9606	86	P02748
P02749	APOH	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	345	reviewed	9606	35	P02749
P02750	LRG1	Leucine-rich alpha-2-glycoprotein (LRG)	347	reviewed	9606	231	P02750;B4E1I8
P02751	FN1	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	2477	reviewed	9606	115	P02751;P02751-10;P02751-9;P02751-14;P02751-8;E9PE77;P02751-3;P02751-5;F8W7G7;P02751-6;P02751-13;P02751-7;P02751-15;P02751-4;E7ERA1;P02751-11;P02751-12;H0Y7Z1
P02753	RBP4	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]	201	reviewed	9606	289	P02753;Q5VY30;A6NCP9
P02760	AMBP	Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]	352	reviewed	9606	279	P02760;B7Z8R6
P02763	ORM1	Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1)	201	reviewed	9606	9	P02763
P02765	AHSG	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	367	reviewed	9606	15	P02765;F5H0Q5;C9JV77
P02766	TTR	Transthyretin (ATTR) (Prealbumin) (TBPA)	147	reviewed	9606	309	P02766;E7EW61;F5H868
P02768	ALB	Albumin	609	reviewed	9606	292	P02768;CON__P02768-1;E7ESU5;H0YA55;B7WNR0;D6RHD5;Q8IUK7;C9JKR2;P02768-2
P02774	GC	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)	474	reviewed	9606	313	P02774;P02774-2
P02775	PPBP	Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))]	128	reviewed	9606	270	P02775
P02786	TFRC	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (Transferrin receptor 1) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	760	reviewed	9606	307	P02786;G3V0E5;F5H6B1
P02787	TF	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	698	reviewed	9606	291	P02787
P02790	HPX	Hemopexin (Beta-1B-glycoprotein)	462	reviewed	9606	131	P02790;Q9BS19
P03950	ANG	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	147	reviewed	9606	18	P03950
P03951	F11	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	625	reviewed	9606	64	P03951;E9PGP2;P03951-2
P03952	KLKB1	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	638	reviewed	9606	265	P03952;H0YAC1;E7EQA8;E9PBC5
P04003	C4BPA	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	597	reviewed	9606	39	P04003
P04004	VTN	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	478	reviewed	9606	318	P04004
P04070	PROC	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]	461	reviewed	9606	315	P04070;F5H880;E7END6;B4DPQ7;H7BYX9
P04114	APOB	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	4563	reviewed	9606	24	P04114;F5H109
P04180	LCAT	Phosphatidylcholine-sterol acyltransferase (EC 2.3.1.43) (1-alkyl-2-acetylglycerophosphocholine esterase) (EC 3.1.1.47) (Lecithin-cholesterol acyltransferase) (Phospholipid-cholesterol acyltransferase) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)	440	reviewed	9606	259	P04180
P04196	HRG	Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG)	525	reviewed	9606	135	P04196
P04211	IGLV7-43	Immunoglobulin lambda variable 7-43 (Ig lambda chain V region 4A)	117	reviewed	9606	189	P04211
P04217	A1BG	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	495	reviewed	9606	13	P04217
P04275	VWF	von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]	2813	reviewed	9606	319	P04275
P04278	SHBG	Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin)	402	reviewed	9606	299	P04278;I3L145;B4DYU0;P04278-2;F5H5Z8;I3L1N7;I3L1J1;B0FWH4;E9PGW1;I3L2X4;I3L2F1;B0FWH5;E9PH59
P04430	IGKV1-16	Immunoglobulin kappa variable 1-16 (Ig kappa chain V-I region BAN)	117	reviewed	9606	163	P04430
P04433	IGKV3-11	Immunoglobulin kappa variable 3-11 (Ig kappa chain V-III region VG)	115	reviewed	9606	185	P04433
P04439	HLA-A	HLA class I histocompatibility antigen, A alpha chain (Human leukocyte antigen A) (HLA-A)	365	reviewed	9606	136	P30455;P04439;P05534;Q5SUL6;Q5SRN7;E7ERM2;B0S7Z4;Q5SUL4;Q5SRN5;B0S7Z5;B0S7Z6;Q29960-2;Q29940;P30685;P30498;P30495;P30493;P30492;P30491;P30490;P30484;P30464;P18465;P18464;P10319;P30447;P30443;P16188;P13746;Q29960;P30510;P30508;P30504;P13746-2;P01892;P18462;P16189;P13747;Q9TNN7;P01889;P30460;P30501;P17693;P30466;A2BF26;F5GXQ3;E9PLQ4;F8VYX9;B4DVX9;F5H017;H0Y805;E9PLC1;H0Y7W0;H0Y7Q7;H0Y5Q6;H0Y5J2;H0Y4C2;H0Y7D1;H0Y671;H0Y5W5;H0Y5E5;H0Y4I7;F8VVT3;B4DUK6;Q31611;F6V8D7;F8VTQ8;B7Z760;F8VZP0;F8VPX3;F8VPA0;H3BM09;B0UXQ1;A9R9N8;A2BDY9;A2ARK8;F6RUR5;F6R3U9;B4DT81;E9PNV0;D0EV57;Q6ZUW0;F8W0J9;B0V0C2;Q6DU44;F8VU18;H3BM16;B0UXQ0;B0V0B9;B0UY12;A2BF24;Q5SPM3;A9R9N7;B0V0C1;B0UY14;A2BF25;B0UY15;F8VPA9;E7EWC3;E7EQP4;E7EQX5;E7ENZ6;E7EN49;Q5SPT7;Q95365;Q29836;Q29718;Q04826;P30488;P30487;P30485;P30483;P30481;P30480;P30479;P30475;P30462;P30461;P18463;P03989;P01893;P30512;P30459;P30457;P30456;P30453;P30450;P16190;P10316;P10314;P01891;Q29963;Q29865;Q07000;P30505;P04222;Q95604
P05090	APOD	Apolipoprotein D (Apo-D) (ApoD)	189	reviewed	9606	29	C9JF17;P05090;C9JX71
P05109	S100A8	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	93	reviewed	9606	280	P05109
P05154	SERPINA5	Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5)	406	reviewed	9606	267	P05154;F5H6K7;E9PHH2;G3V5Q9
P05155	SERPING1	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	500	reviewed	9606	266	P05155;B4E1F0;B4E1H2;H9KV48;E9PGN7
P05156	CFI	Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain]	583	reviewed	9606	92	P05156;G3XAM2;E7ETH0
P05160	F13B	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	661	reviewed	9606	67	P05160
P05452	CLEC3B	Tetranectin (TN) (C-type lectin domain family 3 member B) (Plasminogen kringle 4-binding protein)	202	reviewed	9606	304	E9PHK0;P05452
P05543	SERPINA7	Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)	415	reviewed	9606	305	P05543
P05546	SERPIND1	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)	499	reviewed	9606	132	P05546
P06276	BCHE	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	602	reviewed	9606	58	P06276;F8WF14;F8WEX7
P06310	IGKV2-30	Immunoglobulin kappa variable 2-30 (Ig kappa chain V-II region RPMI 6410)	120	reviewed	9606	176	P06310
P06312	IGKV4-1	Immunoglobulin kappa variable 4-1 (Ig kappa chain V-IV region B17) (Ig kappa chain V-IV region JI) (Ig kappa chain V-IV region Len) (Ig kappa chain V-IV region STH)	121	reviewed	9606	188	P06312;P06313;P83593
P06331	IGHV4-34	Immunoglobulin heavy variable 4-34 (Ig heavy chain V-II region ARH-77)	123	reviewed	9606	148	P06331
P06396	GSN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	782	reviewed	9606	122	P06396
P06681	C2	Complement C2 (C3/C5 convertase) [Cleaved into: Complement C2a; Serine protease complement C2b (EC 3.4.21.43)]	752	reviewed	9606	76	P06681;E9PFN7;B4DQI1;P06681-2;Q5ST57;H0Y3H6;E9PDZ0;B3KTX9;A2ABK0
P06702	S100A9	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	114	reviewed	9606	281	P06702
P06727	APOA4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	396	reviewed	9606	23	P06727
P07195	LDHB	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	334	reviewed	9606	233	P07195;C9J7H8;A8MW50
P07225	PROS1	Vitamin K-dependent protein S	676	reviewed	9606	316	P07225;G5E9F8
