# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-19T05:52:13Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession_a	gene_a	accession_b	gene_b	n_shared_peptides	frac_of_a	frac_of_b
P49753	ACOT2	Q86TX2	ACOT1	24	0.75	0.923077
P68104	EEF1A1	Q5VTE0	EEF1A1P5	24	0.96	0.96
P11940	PABPC1	Q9H361	PABPC3	23	0.534884	0.5
P35579	MYH9	P35580	MYH10	23	0.178295	0.181102
Q15413	RYR3	Q92736	RYR2	23	0.0851852	0.0769231
Q9Y490	TLN1	Q9Y4G6	TLN2	23	0.151316	0.152318
O43707	ACTN4	P12814	ACTN1	21	0.35	0.362069
P00367	GLUD1	P49448	GLUD2	21	0.567568	0.583333
P04746	AMY2A	P0DUB6	AMY1A	21	0.75	0.724138
P20020	ATP2B1	P23634	ATP2B4	21	0.323077	0.323077
P68363	TUBA1B	Q71U36	TUBA1A	21	0.913043	0.913043
Q13885	TUBB2A	Q9BVA1	TUBB2B	21	0.954545	0.954545
O94973	AP2A2	O95782	AP2A1	20	0.344828	0.333333
P21817	RYR1	Q92736	RYR2	20	0.0729927	0.0668896
P63010	AP2B1	Q10567	AP1B1	20	0.416667	0.416667
P68032	ACTC1	P68133	ACTA1	20	0.869565	0.869565
O14983	ATP2A1	P16615	ATP2A2	19	0.365385	0.365385
P68363	TUBA1B	Q9BQE3	TUBA1C	19	0.826087	0.826087
Q71U36	TUBA1A	Q9BQE3	TUBA1C	19	0.826087	0.826087
A6NMY6	ANXA2P2	P07355	ANXA2	18	0.782609	0.72
O60264	SMARCA5	P28370	SMARCA1	18	0.28125	0.28125
P21817	RYR1	Q15413	RYR3	18	0.0656934	0.0666667
P68363	TUBA1B	P68366	TUBA4A	18	0.782609	0.782609
Q01668	CACNA1D	Q13936	CACNA1C	18	0.183673	0.181818
O15083	ERC2	Q8IUD2	ERC1	17	0.253731	0.220779
P11216	PYGB	P11217	PYGM	17	0.309091	0.303571
P68400	CSNK2A1	Q8NEV1	CSNK2A3	17	0.85	0.772727
P07437	TUBB	P68371	TUBB4B	16	0.727273	0.727273
P07437	TUBB	Q13885	TUBB2A	16	0.727273	0.727273
P07437	TUBB	Q9BVA1	TUBB2B	16	0.727273	0.727273
P23258	TUBG1	Q9NRH3	TUBG2	16	0.727273	0.761905
P26232	CTNNA2	P35221	CTNNA1	16	0.280702	0.290909
P52895	AKR1C2	Q04828	AKR1C1	16	0.727273	0.695652
P62714	PPP2CB	P67775	PPP2CA	16	0.888889	0.888889
P68366	TUBA4A	Q71U36	TUBA1A	16	0.695652	0.695652
Q9BQ04	RBM4B	Q9BWF3	RBM4	16	0.695652	0.727273
P05023	ATP1A1	P50993	ATP1A2	15	0.294118	0.267857
P35609	ACTN2	Q08043	ACTN3	15	0.241935	0.241935
P68366	TUBA4A	Q9BQE3	TUBA1C	15	0.652174	0.652174
P68371	TUBB4B	Q13885	TUBB2A	15	0.681818	0.681818
P68371	TUBB4B	Q9BVA1	TUBB2B	15	0.681818	0.681818
Q13619	CUL4A	Q13620	CUL4B	15	0.258621	0.238095
Q14151	SAFB2	Q15424	SAFB	15	0.294118	0.306122
O75122	CLASP2	Q7Z460	CLASP1	14	0.162791	0.130841
P12814	ACTN1	P35609	ACTN2	14	0.241379	0.225806
P20231	TPSB2	Q15661	TPSAB1	14	0.933333	1
P21333	FLNA	Q14315	FLNC	14	0.0927152	0.0833333
Q3B8N2	LGALS9B	Q6DKI2	LGALS9C	14	0.875	0.875
P05388	RPLP0	Q8NHW5	RPLP0P6	13	0.722222	0.722222
P06737	PYGL	P11217	PYGM	13	0.236364	0.232143
P06753	TPM3	P09493	TPM1	13	0.541667	0.565217
P07900	HSP90AA1	P08238	HSP90AB1	13	0.342105	0.342105
P09651	HNRNPA1	Q32P51	HNRNPA1L2	13	0.684211	0.722222
P12814	ACTN1	Q08043	ACTN3	13	0.224138	0.209677
P48730	CSNK1D	P49674	CSNK1E	13	0.565217	0.590909
P61326	MAGOH	Q96A72	MAGOHB	13	0.928571	0.928571
P68104	EEF1A1	Q05639	EEF1A2	13	0.52	0.52
Q01484	ANK2	Q12955	ANK3	13	0.0567686	0.0481481
Q9H2S1	KCNN2	Q9UGI6	KCNN3	13	0.448276	0.382353
Q9H9G7	AGO3	Q9UKV8	AGO2	13	0.232143	0.220339
O75116	ROCK2	Q13464	ROCK1	12	0.123711	0.121212
O75145	PPFIA3	Q13136	PPFIA1	12	0.153846	0.155844
P00325	ADH1B	P00326	ADH1C	12	0.6	0.545455
P11142	HSPA8	P54652	HSPA2	12	0.324324	0.3
P11940	PABPC1	Q13310	PABPC4	12	0.27907	0.307692
P29508	SERPINB3	P48594	SERPINB4	12	0.521739	0.521739
P35498	SCN1A	Q9UQD0	SCN8A	12	0.151899	0.157895
P35579	MYH9	Q7Z406	MYH14	12	0.0930233	0.0944882
P35580	MYH10	Q7Z406	MYH14	12	0.0944882	0.0944882
P50502	ST13	Q8NFI4	ST13P5	12	0.75	0.666667
P62491	RAB11A	Q15907	RAB11B	12	0.8	0.75
P63261	ACTG1	P68032	ACTC1	12	0.521739	0.521739
Q05639	EEF1A2	Q5VTE0	EEF1A1P5	12	0.48	0.48
Q13554	CAMK2B	Q13555	CAMK2G	12	0.363636	0.413793
Q5VZM2	RRAGB	Q7L523	RRAGA	12	0.571429	0.705882
Q6P2I3	FAHD2B	Q96GK7	FAHD2A	12	0.8	0.75
A7E2Y1	MYH7B	P12883	MYH7	11	0.0859375	0.0887097
A7E2Y1	MYH7B	P13533	MYH6	11	0.0859375	0.088
O43707	ACTN4	P35609	ACTN2	11	0.183333	0.177419
O43707	ACTN4	Q08043	ACTN3	11	0.183333	0.177419
O60271	SPAG9	Q9UPT6	MAPK8IP3	11	0.141026	0.157143
O75369	FLNB	P21333	FLNA	11	0.0700637	0.0728477
O75369	FLNB	Q14315	FLNC	11	0.0700637	0.0654762
P05141	SLC25A5	P12235	SLC25A4	11	0.55	0.52381
P05141	SLC25A5	P12236	SLC25A6	11	0.55	0.5
P06737	PYGL	P11216	PYGB	11	0.2	0.2
P06899	H2BC11	Q16778	H2BC21	11	1	1
P0C7P4	UQCRFS1P1	P47985	UQCRFS1	11	0.733333	0.733333
P12235	SLC25A4	P12236	SLC25A6	11	0.52381	0.5
P42025	ACTR1B	P61163	ACTR1A	11	0.478261	0.458333
P60842	EIF4A1	Q14240	EIF4A2	11	0.458333	0.458333
P63261	ACTG1	P68133	ACTA1	11	0.478261	0.478261
P68363	TUBA1B	Q9NY65	TUBA8	11	0.478261	0.478261
P68366	TUBA4A	Q9NY65	TUBA8	11	0.478261	0.478261
P84022	SMAD3	Q15796	SMAD2	11	0.52381	0.55
Q5QNW6	H2BC18	Q93079	H2BC9	11	1	1
Q71U36	TUBA1A	Q9NY65	TUBA8	11	0.478261	0.478261
Q9BQE3	TUBA1C	Q9NY65	TUBA8	11	0.478261	0.478261
A7E2Y1	MYH7B	P11055	MYH3	10	0.078125	0.0787402
A7E2Y1	MYH7B	P12882	MYH1	10	0.078125	0.0787402
A7E2Y1	MYH7B	P13535	MYH8	10	0.078125	0.0793651
A7E2Y1	MYH7B	Q9UKX2	MYH2	10	0.078125	0.0787402
O00478	BTN3A3	O00481	BTN3A1	10	0.357143	0.333333
O00478	BTN3A3	P78410	BTN3A2	10	0.357143	0.5
O14950	MYL12B	P19105	MYL12A	10	0.909091	0.909091
O43390	HNRNPR	O60506	SYNCRIP	10	0.243902	0.25641
O60814	H2BC12	P06899	H2BC11	10	0.909091	0.909091
O60814	H2BC12	P57053	H2BC12L	10	0.909091	0.909091
O60814	H2BC12	P58876	H2BC5	10	0.909091	0.909091
O60814	H2BC12	Q16778	H2BC21	10	0.909091	0.909091
O60814	H2BC12	Q5QNW6	H2BC18	10	0.909091	0.909091
O60814	H2BC12	Q93079	H2BC9	10	0.909091	0.909091
O60814	H2BC12	Q99877	H2BC15	10	0.909091	0.909091
P06899	H2BC11	P23527	H2BC17	10	0.909091	0.909091
P06899	H2BC11	P33778	H2BC3	10	0.909091	0.909091
P11277	SPTB	Q01082	SPTBN1	10	0.0689655	0.0613497
P11908	PRPS2	P60891	PRPS1	10	0.526316	0.526316
P16298	PPP3CB	Q08209	PPP3CA	10	0.37037	0.37037
P23527	H2BC17	P33778	H2BC3	10	0.909091	0.909091
P23527	H2BC17	Q16778	H2BC21	10	0.909091	0.909091
P23527	H2BC17	Q5QNW6	H2BC18	10	0.909091	0.909091
P23527	H2BC17	Q93079	H2BC9	10	0.909091	0.909091
P26038	MSN	P35241	RDX	10	0.25641	0.27027
P33778	H2BC3	Q16778	H2BC21	10	0.909091	0.909091
P33778	H2BC3	Q99877	H2BC15	10	0.909091	0.909091
P36873	PPP1CC	P62140	PPP1CB	10	0.555556	0.526316
P50502	ST13	Q8IZP2	ST13P4	10	0.625	0.714286
P58876	H2BC5	Q5QNW6	H2BC18	10	0.909091	0.909091
P58876	H2BC5	Q93079	H2BC9	10	0.909091	0.909091
P58876	H2BC5	Q99877	H2BC15	10	0.909091	0.909091
P62820	RAB1A	Q9H0U4	RAB1B	10	0.555556	0.555556
Q5QNW6	H2BC18	Q99877	H2BC15	10	0.909091	0.909091
Q5VT25	CDC42BPA	Q9Y5S2	CDC42BPB	10	0.107527	0.107527
Q6S8J3	POTEE	Q9BYX7	POTEKP	10	0.15873	0.434783
Q93079	H2BC9	Q99877	H2BC15	10	0.909091	0.909091
A7E2Y1	MYH7B	Q9UKX3	MYH13	9	0.0703125	0.072
A7E2Y1	MYH7B	Q9Y623	MYH4	9	0.0703125	0.0708661
O14602	EIF1AY	P47813	EIF1AX	9	0.9	0.9
O60307	MAST3	Q6P0Q8	MAST2	9	0.125	0.09
O60814	H2BC12	P23527	H2BC17	9	0.818182	0.818182
O60814	H2BC12	P33778	H2BC3	9	0.818182	0.818182
O60814	H2BC12	Q99879	H2BC14	9	0.818182	0.818182
P01857	IGHG1	P01860	IGHG3	9	0.529412	0.529412
P01876	IGHA1	P01877	IGHA2	9	0.529412	0.5625
P06753	TPM3	P67936	TPM4	9	0.375	0.428571
P06899	H2BC11	P57053	H2BC12L	9	0.818182	0.818182
P06899	H2BC11	P58876	H2BC5	9	0.818182	0.818182
P06899	H2BC11	Q5QNW6	H2BC18	9	0.818182	0.818182
P06899	H2BC11	Q93079	H2BC9	9	0.818182	0.818182
P06899	H2BC11	Q99877	H2BC15	9	0.818182	0.818182
P07951	TPM2	P09493	TPM1	9	0.391304	0.391304
P07951	TPM2	P67936	TPM4	9	0.391304	0.428571
P09488	GSTM1	Q03013	GSTM4	9	0.529412	0.529412
P0DP23	CALM1	P0DP24	CALM2	9	1	1
P0DP23	CALM1	P0DP25	CALM3	9	1	1
P0DP24	CALM2	P0DP25	CALM3	9	1	1
P14678	SNRPB	P63162	SNRPN	9	0.529412	0.529412
P16615	ATP2A2	Q93084	ATP2A3	9	0.173077	0.18
P23527	H2BC17	P58876	H2BC5	9	0.818182	0.818182
P23527	H2BC17	Q99877	H2BC15	9	0.818182	0.818182
P31150	GDI1	P50395	GDI2	9	0.333333	0.3
P31749	AKT1	P31751	AKT2	9	0.25	0.25
P33778	H2BC3	P58876	H2BC5	9	0.818182	0.818182
P33778	H2BC3	Q5QNW6	H2BC18	9	0.818182	0.818182
P33778	H2BC3	Q93079	H2BC9	9	0.818182	0.818182
P37235	HPCAL1	P84074	HPCA	9	0.6	0.6
P54646	PRKAA2	Q13131	PRKAA1	9	0.310345	0.257143
P57053	H2BC12L	P58876	H2BC5	9	0.818182	0.818182
P57053	H2BC12L	Q16778	H2BC21	9	0.818182	0.818182
P57053	H2BC12L	Q5QNW6	H2BC18	9	0.818182	0.818182
P57053	H2BC12L	Q93079	H2BC9	9	0.818182	0.818182
P57053	H2BC12L	Q99877	H2BC15	9	0.818182	0.818182
P58876	H2BC5	Q16778	H2BC21	9	0.818182	0.818182
P58876	H2BC5	Q99879	H2BC14	9	0.818182	0.818182
P61204	ARF3	P84077	ARF1	9	0.818182	0.818182
P61619	SEC61A1	Q9H9S3	SEC61A2	9	0.5	0.5
Q00536	CDK16	Q00537	CDK17	9	0.257143	0.257143
Q13627	DYRK1A	Q9Y463	DYRK1B	9	0.290323	0.28125
Q14671	PUM1	Q8TB72	PUM2	9	0.2	0.214286
Q16778	H2BC21	Q5QNW6	H2BC18	9	0.818182	0.818182
Q16778	H2BC21	Q93079	H2BC9	9	0.818182	0.818182
Q16778	H2BC21	Q99877	H2BC15	9	0.818182	0.818182
Q5QNW6	H2BC18	Q99879	H2BC14	9	0.818182	0.818182
Q93079	H2BC9	Q99879	H2BC14	9	0.818182	0.818182
Q99877	H2BC15	Q99879	H2BC14	9	0.818182	0.818182
E9PQ53	NDUFC2-KCTD14	O95298	NDUFC2	8	0.888889	0.8
O00481	BTN3A1	P78410	BTN3A2	8	0.266667	0.4
O00505	KPNA3	O00629	KPNA4	8	0.4	0.4
O14983	ATP2A1	Q93084	ATP2A3	8	0.153846	0.16
O75746	SLC25A12	Q9UJS0	SLC25A13	8	0.2	0.205128
O75891	ALDH1L1	Q3SY69	ALDH1L2	8	0.125	0.123077
P04899	GNAI2	P08754	GNAI3	8	0.4	0.470588
P06899	H2BC11	Q99879	H2BC14	8	0.727273	0.727273
P09104	ENO2	P13929	ENO3	8	0.296296	0.285714
P0CG47	UBB	P0CG48	UBC	8	1	1
P0DMV8	HSPA1A	P17066	HSPA6	8	0.222222	0.205128
P0DMV9	HSPA1B	P17066	HSPA6	8	0.222222	0.205128
P15311	EZR	P35241	RDX	8	0.216216	0.216216
P17844	DDX5	Q92841	DDX17	8	0.222222	0.195122
P23527	H2BC17	P57053	H2BC12L	8	0.727273	0.727273
P23527	H2BC17	Q99879	H2BC14	8	0.727273	0.727273
P33778	H2BC3	P57053	H2BC12L	8	0.727273	0.727273
P33778	H2BC3	Q99879	H2BC14	8	0.727273	0.727273
P40227	CCT6A	Q92526	CCT6B	8	0.285714	0.266667
P46734	MAP2K3	P52564	MAP2K6	8	0.307692	0.333333
P57053	H2BC12L	Q99879	H2BC14	8	0.727273	0.727273
P58107	EPPK1	Q15149	PLEC	8	0.0490798	0.0238806
P63261	ACTG1	Q6S8J3	POTEE	8	0.347826	0.126984
Q13555	CAMK2G	Q13557	CAMK2D	8	0.275862	0.275862
Q15365	PCBP1	Q15366	PCBP2	8	0.380952	0.4
Q16778	H2BC21	Q99879	H2BC14	8	0.727273	0.727273
B9A064	IGLL5	P0CG04	IGLC1	7	0.538462	1
O00182	LGALS9	Q3B8N2	LGALS9B	7	0.4375	0.4375
O14950	MYL12B	P24844	MYL9	7	0.636364	0.636364
O43491	EPB41L2	Q9Y2J2	EPB41L3	7	0.112903	0.111111
O60684	KPNA6	P52294	KPNA1	7	0.28	0.304348
O94851	MICAL2	Q7RTP6	MICAL3	7	0.0578512	0.0578512
P02452	COL1A1	P02458	COL2A1	7	0.0804598	0.0786517
P04279	SEMG1	Q02383	SEMG2	7	0.212121	0.175
P06753	TPM3	P07951	TPM2	7	0.291667	0.304348
P08134	RHOC	P61586	RHOA	7	0.636364	0.583333
P08238	HSP90AB1	Q58FF8	HSP90AB2P	7	0.184211	0.304348
P09493	TPM1	P67936	TPM4	7	0.304348	0.333333
P0CG47	UBB	P62979	RPS27A	7	0.875	0.636364
P0CG47	UBB	P62987	UBA52	7	0.875	0.777778
P0CG48	UBC	P62979	RPS27A	7	0.875	0.636364
P0CG48	UBC	P62987	UBA52	7	0.875	0.777778
P0DME0	SETSIP	Q01105	SET	7	0.636364	0.636364
P0DOY2	IGLC2	P0DOY3	IGLC3	7	1	1
P10412	H1-4	P16402	H1-3	7	0.583333	0.583333
P10412	H1-4	P16403	H1-2	7	0.583333	0.583333
P15311	EZR	P26038	MSN	7	0.189189	0.179487
P19105	MYL12A	P24844	MYL9	7	0.636364	0.636364
P20591	MX1	P20592	MX2	7	0.166667	0.152174
P20671	H2AC7	Q7L7L0	H2AC25	7	1	1
P27361	MAPK3	P28482	MAPK1	7	0.304348	0.291667
P31946	YWHAB	P63104	YWHAZ	7	0.411765	0.368421
P35498	SCN1A	P35499	SCN4A	7	0.0886076	0.116667
P35499	SCN4A	Q9UQD0	SCN8A	7	0.116667	0.0921053
P61224	RAP1B	P62834	RAP1A	7	0.583333	0.7
P61254	RPL26	Q9UNX3	RPL26L1	7	0.777778	0.777778
P62979	RPS27A	P62987	UBA52	7	0.636364	0.777778
P63261	ACTG1	Q562R1	ACTBL2	7	0.304348	0.291667
Q01668	CACNA1D	Q13698	CACNA1S	7	0.0714286	0.0945946
Q09028	RBBP4	Q16576	RBBP7	7	0.411765	0.388889
Q13554	CAMK2B	Q13557	CAMK2D	7	0.212121	0.241379
Q13557	CAMK2D	Q9UQM7	CAMK2A	7	0.241379	0.259259
Q13698	CACNA1S	Q13936	CACNA1C	7	0.0945946	0.0707071
Q13885	TUBB2A	Q9BUF5	TUBB6	7	0.318182	0.304348
Q7L7X3	TAOK1	Q9H2K8	TAOK3	7	0.12069	0.152174
Q8NF91	SYNE1	Q8WXH0	SYNE2	7	0.0123675	0.0152838
Q92952	KCNN1	Q9H2S1	KCNN2	7	0.21875	0.241379
Q93077	H2AC6	Q96KK5	H2AC12	7	1	1
Q93077	H2AC6	Q99878	H2AC14	7	1	1
Q96KK5	H2AC12	Q99878	H2AC14	7	1	1
Q9BUF5	TUBB6	Q9BVA1	TUBB2B	7	0.304348	0.318182
Q9H4A3	WNK1	Q9Y3S1	WNK2	7	0.111111	0.0777778
A6NHG4	DDTL	P30046	DDT	6	0.666667	0.75
B2RPK0	HMGB1P1	P09429	HMGB1	6	0.6	0.6
O00182	LGALS9	Q6DKI2	LGALS9C	6	0.375	0.375
O75923	DYSF	Q9NZM1	MYOF	6	0.0508475	0.0444444
O95319	CELF2	Q92879	CELF1	6	0.285714	0.315789
O95747	OXSR1	Q9UEW8	STK39	6	0.214286	0.24
P01859	IGHG2	P01861	IGHG4	6	0.428571	0.4
P01889	HLA-B	P04439	HLA-A	6	0.3	0.272727
P04075	ALDOA	P09972	ALDOC	6	0.25	0.25
P06733	ENO1	P13929	ENO3	6	0.206897	0.214286
P07437	TUBB	Q9BUF5	TUBB6	6	0.272727	0.26087
P09488	GSTM1	P28161	GSTM2	6	0.352941	0.333333
P0C0S5	H2AZ1	Q71UI9	H2AZ2	6	1	1
P15259	PGAM2	P18669	PGAM1	6	0.375	0.4
P16402	H1-3	P16403	H1-2	6	0.5	0.5
P17858	PFKL	Q01813	PFKP	6	0.146341	0.162162
P20671	H2AC7	Q93077	H2AC6	6	0.857143	0.857143
P20671	H2AC7	Q96KK5	H2AC12	6	0.857143	0.857143
P20671	H2AC7	Q99878	H2AC14	6	0.857143	0.857143
P31946	YWHAB	P61981	YWHAG	6	0.352941	0.333333
P35499	SCN4A	Q14524	SCN5A	6	0.1	0.0833333
P46019	PHKA2	P46020	PHKA1	6	0.0909091	0.0895522
P48059	LIMS1	Q7Z4I7	LIMS2	6	0.315789	0.3
P62873	GNB1	P62879	GNB2	6	0.461538	0.461538
P62879	GNB2	Q9HAV0	GNB4	6	0.461538	0.428571
P63241	EIF5A	Q6IS14	EIF5AL1	6	0.75	0.75
P68032	ACTC1	Q562R1	ACTBL2	6	0.26087	0.25
P68032	ACTC1	Q6S8J3	POTEE	6	0.26087	0.0952381
P68133	ACTA1	Q6S8J3	POTEE	6	0.26087	0.0952381
P68371	TUBB4B	Q9BUF5	TUBB6	6	0.272727	0.26087
Q13554	CAMK2B	Q9UQM7	CAMK2A	6	0.181818	0.222222
Q14161	GIT2	Q9Y2X7	GIT1	6	0.15	0.125
Q14194	CRMP1	Q14195	DPYSL3	6	0.166667	0.181818
Q5VZF2	MBNL2	Q9NR56	MBNL1	6	0.428571	0.428571
Q7L7L0	H2AC25	Q93077	H2AC6	6	0.857143	0.857143
Q7L7L0	H2AC25	Q96KK5	H2AC12	6	0.857143	0.857143
Q7L7L0	H2AC25	Q99878	H2AC14	6	0.857143	0.857143
Q8IZP2	ST13P4	Q8NFI4	ST13P5	6	0.428571	0.333333
Q92945	KHSRP	Q96AE4	FUBP1	6	0.15	0.171429
Q92952	KCNN1	Q9UGI6	KCNN3	6	0.1875	0.176471
Q93077	H2AC6	Q9BTM1	H2AJ	6	0.857143	1
Q96KK5	H2AC12	Q9BTM1	H2AJ	6	0.857143	1
Q99878	H2AC14	Q9BTM1	H2AJ	6	0.857143	1
A0A096LP55	UQCRHL	P07919	UQCRH	5	0.714286	0.714286
A2RTX5	TARS3	P26639	TARS1	5	0.104167	0.102041
O14925	TIMM23	Q5SRD1	TIMM23B	5	0.5	0.625
O75477	ERLIN1	O94905	ERLIN2	5	0.2	0.208333
O95758	PTBP3	P26599	PTBP1	5	0.263158	0.238095
P01768	IGHV3-30	P01772	IGHV3-33	5	0.714286	0.714286
P01857	IGHG1	P01859	IGHG2	5	0.294118	0.357143
P01857	IGHG1	P01861	IGHG4	5	0.294118	0.333333
P01859	IGHG2	P01860	IGHG3	5	0.357143	0.294118
P01860	IGHG3	P01861	IGHG4	5	0.294118	0.333333
P02042	HBD	P68871	HBB	5	0.454545	0.454545
P04626	ERBB2	Q15303	ERBB4	5	0.0877193	0.0735294
P06733	ENO1	P09104	ENO2	5	0.172414	0.185185
P08670	VIM	P17661	DES	5	0.142857	0.138889
P0DMV8	HSPA1A	P11142	HSPA8	5	0.138889	0.135135
P0DMV9	HSPA1B	P11142	HSPA8	5	0.138889	0.135135
P11171	EPB41	Q9Y2J2	EPB41L3	5	0.0925926	0.0793651
P11532	DMD	P46939	UTRN	5	0.021645	0.0235849
P14923	JUP	P35222	CTNNB1	5	0.106383	0.116279
P15531	NME1	P22392	NME2	5	0.416667	0.357143
P19367	HK1	P52789	HK2	5	0.0980392	0.0961538
P20339	RAB5A	P61020	RAB5B	5	0.357143	0.357143
P20671	H2AC7	Q9BTM1	H2AJ	5	0.714286	0.833333
P27348	YWHAQ	P31946	YWHAB	5	0.277778	0.294118
P28161	GSTM2	Q03013	GSTM4	5	0.277778	0.294118
P31946	YWHAB	Q04917	YWHAH	5	0.294118	0.277778
P36507	MAP2K2	Q02750	MAP2K1	5	0.217391	0.238095
P41236	PPP1R2	Q6NXS1	PPP1R2B	5	0.625	0.5
P51114	FXR1	P51116	FXR2	5	0.135135	0.119048
P61088	UBE2N	Q5JXB2	UBE2NL	5	0.454545	0.416667
P61204	ARF3	P84085	ARF5	5	0.454545	0.416667
P61981	YWHAG	Q04917	YWHAH	5	0.277778	0.277778
P68133	ACTA1	Q562R1	ACTBL2	5	0.217391	0.208333
P84077	ARF1	P84085	ARF5	5	0.454545	0.416667
P84243	H3-3A	Q16695	H3-4	5	0.833333	0.833333
Q07343	PDE4B	Q08499	PDE4D	5	0.128205	0.121951
Q13153	PAK1	Q13177	PAK2	5	0.178571	0.178571
Q13310	PABPC4	Q9H361	PABPC3	5	0.128205	0.108696
Q13404	UBE2V1	Q15819	UBE2V2	5	0.416667	0.416667
Q13555	CAMK2G	Q9UQM7	CAMK2A	5	0.172414	0.185185
Q14195	DPYSL3	Q16555	DPYSL2	5	0.151515	0.147059
Q16777	H2AC20	Q93077	H2AC6	5	0.833333	0.714286
Q16777	H2AC20	Q96KK5	H2AC12	5	0.833333	0.714286
Q16777	H2AC20	Q99878	H2AC14	5	0.833333	0.714286
Q16777	H2AC20	Q9BTM1	H2AJ	5	0.833333	0.833333
Q7L7L0	H2AC25	Q9BTM1	H2AJ	5	0.714286	0.833333
Q7Z5L9	IRF2BP2	Q9H1B7	IRF2BPL	5	0.151515	0.128205
Q92556	ELMO1	Q96JJ3	ELMO2	5	0.111111	0.119048
Q96AE4	FUBP1	Q96I24	FUBP3	5	0.142857	0.131579
Q9BYV2	TRIM54	Q9BYV6	TRIM55	5	0.2	0.166667
Q9P2K3	RCOR3	Q9UKL0	RCOR1	5	0.15625	0.172414
A6NCE7	MAP1LC3B2	Q9GZQ8	MAP1LC3B	4	0.8	0.8
B9A064	IGLL5	P0DOY2	IGLC2	4	0.307692	0.571429
B9A064	IGLL5	P0DOY3	IGLC3	4	0.307692	0.571429
O00425	IGF2BP3	Q9NZI8	IGF2BP1	4	0.114286	0.114286
O15198	SMAD9	P84022	SMAD3	4	0.153846	0.190476
