# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-19T18:28:04Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff
O14981	BTAF1	2	1849	206884	100	0.483362	100	95	0.05
O14983	ATP2A1	1	1001	110251	52	0.47165	52	51	0.0192308
O15027	SEC16A	2	2357	251889	95	0.37715	95	83	0.126316
O15031	PLXNB2	2	1838	205125	105	0.511884	105	100	0.047619
O15042	U2SURP	2	1029	118290	48	0.405782	48	45	0.0625
O15061	SYNM	1	1565	172865	93	0.537992	93	95	-0.0215054
O15067	PFAS	2	1338	144732	66	0.456014	66	62	0.0606061
O15075	DCLK1	2	740	82222.9	39	0.47432	39	40	-0.025641
O15078	CEP290	2	2479	290381	186	0.640537	186	185	0.00537634
O15083	ERC2	2	957	110556	67	0.60603	67	66	0.0149254
O15126	SCAMP1	2	338	37919.9	19	0.501056	19	16	0.157895
O15143	ARPC1B	2	372	40949.2	19	0.463989	19	19	0
O15144	ARPC2	2	300	34332.6	23	0.669917	23	22	0.0434783
O15145	ARPC3	2	178	20546.4	12	0.584043	12	12	0
O15160	POLR1C	2	346	39249.2	19	0.484087	19	16	0.157895
O15173	PGRMC2	2	223	23818.1	12	0.503818	12	12	0
O15198	SMAD9	2	467	52492.7	26	0.495307	26	23	0.115385
O15211	RGL2	2	777	83547.7	38	0.45483	38	34	0.105263
O15212	PFDN6	2	129	14582.4	12	0.822909	12	12	0
O15226	NKRF	2	690	77671.9	47	0.605109	47	46	0.0212766
O15230	LAMA5	2	3695	399732	201	0.502837	201	178	0.114428
O15239	NDUFA1	2	70	8072.28	5	0.619403	5	5	0
O15254	ACOX3	2	700	77627.8	46	0.592571	46	43	0.0652174
O15258	RER1	2	196	22957.7	10	0.435584	10	9	0.1
O15260	SURF4	2	269	30393.6	11	0.361919	11	9	0.181818
O15269	SPTLC1	2	473	52743.2	26	0.492955	26	26	0
O15270	SPTLC2	2	562	62923.6	36	0.572123	36	35	0.0277778
O15273	TCAP	1	167	19051.3	13	0.682366	13	12	0.0769231
O15294	OGT	2	1046	116923	53	0.453291	53	49	0.0754717
O15355	PPM1G	2	546	59271	27	0.455535	27	25	0.0740741
O15357	INPPL1	2	1258	138597	81	0.58443	81	75	0.0740741
O15371	EIF3D	2	548	63971.9	27	0.42206	27	27	0
O15372	EIF3H	2	352	39929.7	24	0.601056	24	24	0
O15382	BCAT2	2	392	44287.1	22	0.496758	22	20	0.0909091
O15400	STX7	2	261	29815	13	0.436023	13	13	0
O15427	SLC16A3	2	465	49468.8	18	0.363865	18	15	0.166667
O15439	ABCC4	2	1325	149524	76	0.508278	76	74	0.0263158
O15460	P4HA2	2	535	60901.1	35	0.574703	35	34	0.0285714
O15498	YKT6	2	198	22417.3	14	0.624519	14	14	0
O15511	ARPC5	2	151	16320.2	12	0.735284	12	12	0
O15514	POLR2D	2	142	16311	10	0.613083	10	10	0
O15523	DDX3Y	2	660	73152.7	43	0.587812	43	43	0
O43143	DHX15	2	795	90931.5	46	0.505875	46	43	0.0652174
O43148	RNMT	2	476	54843.5	30	0.547011	30	30	0
O43149	ZZEF1	2	2961	331070	151	0.456097	151	147	0.0264901
O43169	CYB5B	2	150	16694.3	9	0.539105	9	8	0.111111
O43175	PHGDH	2	533	56649.8	27	0.476613	27	24	0.111111
O43181	NDUFS4	2	175	20107.7	11	0.547054	11	11	0
O43237	DYNC1LI2	2	492	54098.6	29	0.536058	29	26	0.103448
O43240	KLK10	2	276	30169.4	13	0.430901	13	13	0
O43242	PSMD3	2	534	60976.5	39	0.63959	39	39	0
O43264	ZW10	2	779	88828.1	49	0.551627	49	49	0
O43290	SART1	2	800	90253.6	42	0.465355	42	43	-0.0238095
O43293	DAPK3	2	454	52534.9	25	0.475874	25	24	0.04
O43294	TGFB1I1	2	461	49813.6	26	0.521946	26	24	0.0769231
O43324	EEF1E1	2	174	19810.2	15	0.757184	15	15	0
O43374	RASA4	2	803	90456.2	55	0.608029	55	53	0.0363636
O43390	HNRNPR	2	633	70942.3	41	0.577934	41	41	0
O43395	PRPF3	2	683	77527.9	40	0.515943	40	37	0.075
O43396	TXNL1	2	289	32251	15	0.465102	15	15	0
O43399	TPD52L2	2	206	22237.4	15	0.674539	15	14	0.0666667
O43402	EMC8	2	210	23772.7	12	0.504781	12	12	0
O43414	ERI3	2	337	37237.7	17	0.456527	17	16	0.0588235
O43447	PPIH	2	177	19208	14	0.728863	14	14	0
O43464	HTRA2	2	458	48840.1	26	0.532349	26	25	0.0384615
O43488	AKR7A2	2	359	39588.4	17	0.429419	17	18	-0.0588235
O43491	EPB41L2	2	1005	112587	62	0.550687	62	61	0.016129
O43504	LAMTOR5	2	91	9613.79	5	0.520086	5	5	0
O43548	TGM5	2	720	80776.6	33	0.408534	33	30	0.0909091
O43583	DENR	2	198	22091.8	9	0.407391	9	9	0
O43598	DNPH1	2	174	19108.2	11	0.57567	11	11	0
O43615	TIMM44	2	452	51355	31	0.603641	31	31	0
O43617	TRAPPC3	2	180	20273.9	9	0.443921	9	9	0
O43633	CHMP2A	2	222	25103.6	12	0.47802	12	12	0
O43660	PLRG1	2	514	57193	31	0.542024	31	28	0.0967742
O43665	RGS10	2	181	21209.6	11	0.518634	11	11	0
O43674	NDUFB5	2	189	21749.9	9	0.413794	9	10	-0.111111
O43676	NDUFB3	2	98	11401.8	6	0.526232	6	6	0
O43677	NDUFC1	2	76	8734.11	6	0.686961	6	6	0
O43678	NDUFA2	2	99	10921.4	7	0.640943	7	7	0
O43681	GET3	2	348	38792.3	15	0.386675	15	15	0
O43707	ACTN4	1	911	104852	60	0.572234	60	61	-0.0166667
O43708	GSTZ1	2	216	24211.8	13	0.536927	13	13	0
O43715	TRIAP1	2	76	8785.83	5	0.569098	5	6	-0.2
O43716	GATC	2	136	15085.8	11	0.729162	11	11	0
O43719	HTATSF1	2	755	85851.8	55	0.640639	55	56	-0.0181818
O43741	PRKAB2	2	272	30301.8	16	0.528022	16	15	0.0625
O43747	AP1G1	2	822	91350.1	45	0.49261	45	44	0.0222222
O43760	SYNGR2	2	224	24809.7	8	0.322454	8	8	0
O43765	SGTA	2	313	34062.5	13	0.381651	13	13	0
O43768	ENSA	2	121	13388.9	10	0.74689	10	9	0.1
O43772	SLC25A20	2	301	32943.4	20	0.607103	20	19	0.05
O43776	NARS1	2	548	62942.2	29	0.46074	29	29	0
O43795	MYO1B	2	1136	131983	70	0.53037	70	70	0
O43809	NUDT21	2	227	26226.9	18	0.686318	18	15	0.166667
O43813	LANCL1	2	399	45282.5	21	0.463756	21	20	0.047619
O43815	STRN	2	780	86130.8	40	0.46441	40	38	0.05
O43819	SCO2	1	266	29809.4	18	0.603836	18	19	-0.0555556
O43824	GTPBP6	2	516	56896.6	28	0.49212	28	29	-0.0357143
O43826	SLC37A4	2	429	46359.4	12	0.258847	12	12	0
O43837	IDH3B	2	385	42183.2	23	0.545241	23	23	0
O43847	NRDC	2	1151	131699	56	0.425212	56	49	0.125
O43852	CALU	2	315	37106.3	17	0.458144	17	17	0
O43896	KIF1C	2	1103	122945	69	0.561228	69	71	-0.0289855
O43920	NDUFS5	2	106	12517.3	7	0.559224	7	7	0
O60220	TIMM8A	2	97	10998.2	6	0.545543	6	7	-0.166667
O60237	PPP1R12B	1	982	110402	59	0.53441	59	54	0.0847458
O60240	PLIN1	2	522	55989.5	33	0.589397	33	30	0.0909091
O60256	PRPSAP2	2	369	40925.2	26	0.635306	26	26	0
O60259	KLK8	2	260	28047.5	9	0.320885	9	10	-0.111111
O60264	SMARCA5	2	1052	121904	64	0.525005	64	65	-0.015625
O60271	SPAG9	2	1321	146203	78	0.533503	78	76	0.025641
O60306	AQR	2	1485	171293	81	0.472875	81	78	0.037037
O60307	MAST3	2	1309	143135	72	0.503022	72	67	0.0694444
O60313	OPA1	2	960	111629	66	0.591245	66	67	-0.0151515
O60341	KDM1A	2	852	92901.3	45	0.484385	45	44	0.0222222
O60343	TBC1D4	2	1298	146561	73	0.498086	73	73	0
O60437	PPL	2	1756	204743	135	0.659362	135	135	0
O60488	ACSL4	2	711	79187.2	40	0.505132	40	38	0.05
O60493	SNX3	2	162	18762.1	11	0.586288	11	10	0.0909091
O60504	SORBS3	2	671	75339.8	47	0.62384	47	40	0.148936
O60506	SYNCRIP	2	623	69601.9	39	0.56033	39	39	0
O60524	NEMF	2	1076	122953	58	0.471726	58	60	-0.0344828
O60563	CCNT1	2	726	80683.3	32	0.396613	32	32	0
O60610	DIAPH1	2	1272	141345	70	0.495241	70	70	0
O60645	EXOC3	2	745	85566.1	41	0.479162	41	40	0.0243902
O60662	KLHL41	1	606	68036.3	39	0.573223	39	39	0
O60664	PLIN3	2	434	47074.2	30	0.637292	30	30	0
O60669	SLC16A7	2	478	52199.6	14	0.268201	14	10	0.285714
O60684	KPNA6	2	536	60028.6	25	0.416468	25	24	0.04
O60701	UGDH	2	494	55023.4	34	0.617919	34	33	0.0294118
O60706	ABCC9	1	1549	174221	74	0.424748	74	74	0
O60716	CTNND1	2	968	108168	54	0.499221	54	54	0
O60739	EIF1B	2	113	12823.5	5	0.38991	5	5	0
O60749	SNX2	2	519	58470.2	32	0.547288	32	30	0.0625
O60763	USO1	2	962	107894	51	0.472688	51	49	0.0392157
O60783	MRPS14	2	128	15138.5	9	0.594512	9	9	0
O60784	TOM1	2	492	53817.6	19	0.353044	19	19	0
O60814	H2BC12	2	126	13890	11	0.791938	11	11	0
O60825	PFKFB2	2	505	58476.1	40	0.68404	40	39	0.025
O60826	CCDC22	2	627	70754.2	43	0.607737	43	42	0.0232558
O60832	DKC1	2	514	57673.4	36	0.624205	36	34	0.0555556
O60841	EIF5B	2	1220	138825	59	0.424995	59	58	0.0169492
O60869	EDF1	2	148	16368.4	11	0.672025	11	12	-0.0909091
O60879	DIAPH2	2	1101	125567	66	0.525614	66	65	0.0151515
O60884	DNAJA2	2	412	45745.2	25	0.546505	25	23	0.08
O60888	CUTA	2	179	19116	7	0.366184	7	7	0
O60925	PFDN1	2	122	14210.2	9	0.633346	9	9	0
O60936	NOL3	2	208	22629.1	9	0.397718	9	8	0.111111
O75027	ABCB7	2	752	82640.1	41	0.496127	41	39	0.0487805
O75052	NOS1AP	1	506	56148.8	33	0.587724	33	30	0.0909091
O75083	WDR1	2	606	66192.7	36	0.543867	36	37	-0.0277778
O75112	LDB3	1	727	77133.7	35	0.453758	35	31	0.114286
O75116	ROCK2	2	1388	160897	97	0.602868	97	94	0.0309278
O75122	CLASP2	2	1294	141061	86	0.609664	86	84	0.0232558
O75128	COBL	2	1261	135615	72	0.530916	72	70	0.0277778
O75131	CPNE3	2	537	60129.9	24	0.399136	24	26	-0.0833333
O75145	PPFIA3	2	1194	133494	78	0.584295	78	78	0
O75147	OBSL1	1	1896	206944	102	0.492887	102	94	0.0784314
O75152	ZC3H11A	2	810	89130	53	0.594637	53	51	0.0377358
O75153	CLUH	2	1309	146668	72	0.490906	72	73	-0.0138889
O75155	CAND2	2	1236	135254	65	0.480577	65	61	0.0615385
O75165	DNAJC13	2	2243	254411	127	0.499192	127	124	0.023622
O75170	PPP6R2	2	966	104940	52	0.495521	52	53	-0.0192308
O75179	ANKRD17	2	2603	274254	102	0.371918	102	89	0.127451
O75190	DNAJB6	1	326	36086.6	15	0.415667	15	14	0.0666667
O75208	COQ9	2	318	35508.4	18	0.506923	18	17	0.0555556
O75223	GGCT	2	188	21007.5	14	0.666428	14	14	0
O75251	NDUFS7	2	213	23563.2	13	0.551708	13	14	-0.0769231
O75298	RTN2	1	545	59262.8	29	0.489346	29	29	0
O75306	NDUFS2	2	463	52544.9	29	0.551909	29	27	0.0689655
O75312	ZPR1	2	459	50924.6	28	0.549832	28	26	0.0714286
O75323	NIPSNAP2	2	286	33742.1	20	0.592732	20	19	0.05
O75339	CILP	2	1184	132563	63	0.475245	63	62	0.015873
O75340	PDCD6	2	191	21868.1	12	0.548744	12	10	0.166667
O75342	ALOX12B	2	701	80354.5	40	0.497794	40	40	0
O75347	TBCA	2	108	12854.7	7	0.544549	7	7	0
O75348	ATP6V1G1	2	118	13757.3	7	0.508821	7	6	0.142857
O75367	MACROH2A1	2	369	39183.1	17	0.433861	17	17	0
O75368	SH3BGRL	2	114	12774.1	9	0.704552	9	8	0.111111
O75369	FLNB	1	2602	278161	157	0.564421	157	146	0.0700637
O75380	NDUFS6	2	124	13711.5	9	0.656384	9	9	0
O75390	CS	2	466	51711.7	20	0.38676	20	20	0
O75391	SPAG7	2	227	26034.1	15	0.576168	15	14	0.0666667
O75394	MRPL33	2	65	7619.1	4	0.524996	4	4	0
O75396	SEC22B	2	215	24740.2	14	0.565881	14	13	0.0714286
O75400	PRPF40A	2	957	108803	39	0.358444	39	39	0
O75410	TACC1	2	805	87793.1	48	0.54674	48	47	0.0208333
O75431	MTX2	2	263	29762.8	12	0.403189	12	12	0
O75436	VPS26A	2	327	38169.4	23	0.602576	23	22	0.0434783
O75438	NDUFB1	2	58	6961.11	3	0.430965	3	3	0
O75439	PMPCB	2	489	54365.4	27	0.49664	27	27	0
O75475	PSIP1	2	530	60102.6	35	0.582337	35	37	-0.0571429
O75477	ERLIN1	2	348	39170.6	25	0.638234	25	25	0
O75487	GPC4	2	556	62411.4	37	0.59284	37	30	0.189189
O75489	NDUFS3	2	264	30241.1	20	0.661352	20	20	0
O75521	ECI2	2	394	43584.6	21	0.481821	21	19	0.0952381
O75531	BANF1	2	89	10058.5	8	0.795349	8	7	0.125
O75533	SF3B1	2	1304	145828	73	0.500589	73	69	0.0547945
O75534	CSDE1	2	798	88883.7	53	0.596285	53	55	-0.0377358
O75556	SCGB2A1	2	95	10883.7	6	0.551285	6	6	0
O75569	PRKRA	2	313	34403.7	15	0.436	15	16	-0.0666667
O75582	RPS6KA5	2	802	89864.1	49	0.545268	49	48	0.0204082
O75608	LYPLA1	2	230	24669.2	13	0.526973	13	12	0.0769231
O75628	REM1	1	298	32946.5	19	0.576693	19	17	0.105263
O75635	SERPINB7	2	380	42904.2	24	0.559385	24	24	0
O75643	SNRNP200	2	2136	244504	129	0.527599	129	122	0.0542636
O75663	TIPRL	2	272	31443.5	19	0.604258	19	19	0
O75683	SURF6	2	361	41449.8	17	0.410135	17	18	-0.0588235
O75688	PPM1B	2	479	52642	26	0.493902	26	26	0
O75694	NUP155	2	1391	155197	66	0.425267	66	62	0.0606061
O75718	CRTAP	2	401	46561.2	28	0.601359	28	27	0.0357143
O75746	SLC25A12	2	678	74760.8	40	0.53504	40	38	0.05
O75764	TCEA3	2	348	38971.3	22	0.564519	22	22	0
O75781	PALM	2	387	42075.4	26	0.617939	26	26	0
O75787	ATP6AP2	2	350	39007.4	17	0.435814	17	17	0
O75821	EIF3G	2	320	35610.6	22	0.617794	22	20	0.0909091
O75822	EIF3J	2	258	29062.1	16	0.550546	16	16	0
O75828	CBR3	2	277	30849.8	21	0.680716	21	21	0
O75832	PSMD10	2	226	24427.5	13	0.532187	13	13	0
O75844	ZMPSTE24	2	475	54812.1	21	0.383127	21	21	0
O75874	IDH1	2	414	46658.7	30	0.642967	30	29	0.0333333
O75880	SCO1	1	301	33813.5	18	0.532331	18	15	0.166667
O75886	STAM2	2	525	58163.4	25	0.429824	25	23	0.08
O75891	ALDH1L1	2	902	98828	64	0.647589	64	59	0.078125
O75907	DGAT1	2	488	55277.4	17	0.30754	17	17	0
O75915	ARL6IP5	2	188	21614.5	5	0.231327	5	6	-0.2
O75923	DYSF	2	2080	237291	118	0.497279	118	113	0.0423729
O75935	DCTN3	2	186	21119	13	0.615559	13	13	0
O75947	ATP5PD	2	161	18490.9	11	0.594886	11	11	0
O75953	DNAJB5	2	348	39133	20	0.511077	20	20	0
O75962	TRIO	2	3097	346895	165	0.475649	165	162	0.0181818
O75964	ATP5MG	2	103	11428.3	8	0.700014	8	8	0
O75970	MPDZ	2	2070	221615	101	0.455746	101	99	0.019802
O75976	CPD	2	1380	152929	79	0.516579	79	78	0.0126582
O76003	GLRX3	1	335	37431.5	19	0.507594	19	19	0
O76021	RSL1D1	2	490	54971.8	26	0.47297	26	26	0
O76031	CLPX	2	633	69222.9	45	0.650074	45	44	0.0222222
O76041	NEBL	1	1014	116452	71	0.609694	71	68	0.0422535
O76062	TM7SF2	2	418	46405.1	15	0.32324	15	14	0.0666667
O76094	SRP72	2	671	74605.1	40	0.536157	40	39	0.025
O94760	DDAH1	2	285	31121.4	19	0.610513	19	18	0.0526316
O94776	MTA2	2	668	75021.9	53	0.70646	53	47	0.113208
O94788	ALDH1A2	2	518	56723.3	29	0.511254	29	26	0.103448
O94811	TPPP	2	219	23693.4	14	0.590881	14	14	0
O94826	TOMM70	2	608	67453.8	34	0.504048	34	35	-0.0294118
O94851	MICAL2	2	1957	219058	121	0.552365	121	116	0.0413223
